,((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at)),((223122_s_at_sigmoid/201744_s_at)_zscore-210809_s_at),((204589_at_radian*(203325_s_at*221729_at))_recip+((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at))),((((201125_s_at*207175_at)/201744_s_at_recip)-207175_at_zscore)/(209613_s_at_recip-215076_s_at)),((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at))_abs
0,-83245.63,-583.09564,-83245.63,-65211.625,83245.63
1,-22661.627,-2343.1562,-22661.627,-89582.695,22661.627
2,-284038.3,-44058.414,-284038.3,-143866.58,284038.3
3,-180824.78,-15187.411,-180824.78,-265894.66,180824.78
4,-3951.2847,-1643.3044,-3951.2847,-8480.159,3951.2847
5,-42687.52,-228.473,-42687.52,-18330.766,42687.52
6,-4932.2104,-419.07486,-4932.2104,-7793.7666,4932.2104
7,-24709.383,-634.9028,-24709.383,-66361.32,24709.383
8,-21963.773,-2897.4067,-21963.773,-40370.707,21963.773
9,-85574.72,-6081.0605,-85574.72,-79720.75,85574.72
10,-94904.31,-14084.608,-94904.31,-212455.0,94904.31
11,-20189.377,-943.69464,-20189.377,-39843.504,20189.377
12,-128373.13,-12097.51,-128373.13,-204981.77,128373.13
13,-50899.14,-192.56104,-50899.14,-78354.875,50899.14
14,-15427.357,-710.99554,-15427.357,-44290.926,15427.357
15,-599111.8,-30472.21,-599111.8,-813143.9,599111.8
16,-1516103.9,-30109.012,-1516103.9,-3901814.5,1516103.9
17,-7123.0386,-371.59113,-7123.0386,-42061.13,7123.0386
18,-24491.125,-1695.6064,-24491.125,-37761.43,24491.125
19,-7973.8047,-455.0807,-7973.8047,-38802.367,7973.8047
20,-2111258.5,-20429.81,-2111258.5,-2269194.8,2111258.5
21,-209830.23,-10572.308,-209830.23,-614396.2,209830.23
22,-38166.535,-7652.81,-38166.535,-97256.58,38166.535
23,-10384916.0,-17124.412,-10384916.0,-13867263.0,10384916.0
24,-3940219.0,-23128.81,-3940219.0,-4276300.0,3940219.0
25,-825061.94,-16000.509,-825061.94,-1923513.4,825061.94
26,-4327427.5,-4159.012,-4327427.5,-3821762.8,4327427.5
27,-556009.1,-9087.608,-556009.1,-1060919.4,556009.1
28,-27095.75,-671.0997,-27095.75,-7922.802,27095.75
29,-17646.889,-323.6968,-17646.889,-165332.56,17646.889
30,-19467.422,-248.66591,-19467.422,-28961.244,19467.422
31,-28411.365,-1892.8947,-28411.365,-31644.416,28411.365
32,-10155.1455,-686.60846,-10155.1455,-24104.762,10155.1455
33,-25025.51,-1042.8868,-25025.51,-63213.01,25025.51
34,-188890.78,-16777.512,-188890.78,-539642.5,188890.78
35,-4883.703,-2043.258,-4883.703,-21077.344,4883.703
36,-7504.364,-61.87423,-7504.364,-175649.8,7504.364
37,-93350.98,-2130.0986,-93350.98,-64162.934,93350.98
38,-20109.562,-13247.809,-20109.562,-60555.45,20109.562
39,-71833.58,-13112.109,-71833.58,-115467.91,71833.58
40,-9732.691,-153.29416,-9732.691,-126943.336,9732.691
41,-17574.174,-129.68799,-17574.174,-34714.676,17574.174
42,-25335.154,-18606.709,-25335.154,-43154.49,25335.154
43,-48646.547,-8397.904,-48646.547,-81917.03,48646.547
44,-5657.3135,-628.28577,-5657.3135,-71839.5,5657.3135
45,-23037.625,-7775.805,-23037.625,-60387.75,23037.625
46,-36704.85,-4370.4844,-36704.85,-69448.27,36704.85
47,-28685.229,-149.96677,-28685.229,-75609.61,28685.229
48,-42027.086,-11238.405,-42027.086,-212061.4,42027.086
49,-661153.0,-14534.41,-661153.0,-1720577.0,661153.0
50,-4853.3745,-1627.1602,-4853.3745,-8384.444,4853.3745
51,-271519.44,-20439.61,-271519.44,-260775.25,271519.44
52,-84032.54,-8249.708,-84032.54,-92262.28,84032.54
53,-38816.54,-5469.402,-38816.54,-403835.56,38816.54
54,-20473.627,-11527.009,-20473.627,-24887.152,20473.627
55,-1034986.2,-33610.715,-1034986.2,-1311987.6,1034986.2
56,-1892.7499,-776.57434,-1892.7499,-157.42409,1892.7499
57,-33690.273,-195.80188,-33690.273,-282961.16,33690.273
58,-9533.57,-1414.0895,-9533.57,-22983.023,9533.57
59,-14609.119,-100.57437,-14609.119,-53257.76,14609.119
60,-18169.035,-247.02298,-18169.035,-21457.148,18169.035
61,-49452.895,-2183.8076,-49452.895,-53794.906,49452.895
62,-21571.045,-1427.0978,-21571.045,-61538.59,21571.045
63,-62144.125,-1352.6875,-62144.125,-53100.85,62144.125
64,-165718.55,-14431.005,-165718.55,-285097.2,165718.55
65,-68219.47,-16231.507,-68219.47,-82852.42,68219.47
66,-48512.85,-120.39485,-48512.85,-79120.8,48512.85
67,-41583.844,-4545.2036,-41583.844,-125065.766,41583.844
68,-24825.793,-337.98932,-24825.793,-90052.484,24825.793
69,-113041.414,-585.78204,-113041.414,-114128.29,113041.414
70,-8314.33,-1274.1809,-8314.33,-20290.22,8314.33
71,-2353.594,-57.087193,-2353.594,-8021.3794,2353.594
72,-656.6616,-194.65512,-656.6616,-973.5797,656.6616
73,-23581.4,-1591.7902,-23581.4,-78800.84,23581.4
74,-97392.586,-908.5093,-97392.586,-450983.6,97392.586
75,-30927.361,-2076.102,-30927.361,-51113.367,30927.361
76,-987253.25,-23554.506,-987253.25,-983658.06,987253.25
77,-22864154.0,-9975.311,-22864154.0,-14638998.0,22864154.0
78,-300332.38,-12357.512,-300332.38,-760027.2,300332.38
79,-192259.6,-10228.911,-192259.6,-307083.94,192259.6
80,-5121122.5,-25729.012,-5121122.5,-3537191.2,5121122.5
81,-262391.53,-15884.212,-262391.53,-275276.5,262391.53
82,-71127.63,-13780.407,-71127.63,-86800.8,71127.63
83,-154824.53,-17699.912,-154824.53,-284121.03,154824.53
84,-136397.47,-13284.207,-136397.47,-57253.523,136397.47
85,-4513.508,-128.40266,-4513.508,-5810.3135,4513.508
86,-4858229.0,-10640.411,-4858229.0,-10762943.0,4858229.0
87,-43388.258,-223.69402,-43388.258,-60790.227,43388.258
88,-101330.016,-19823.111,-101330.016,-103333.805,101330.016
89,-10987.268,-3413.9014,-10987.268,-43573.582,10987.268
90,-8784.146,-704.3308,-8784.146,-60633.03,8784.146
91,-27858.648,-1329.9508,-27858.648,-41884.73,27858.648
92,-98527.195,-8290.809,-98527.195,-122997.03,98527.195
