,205382_s_at_sigmoid,37892_at_sigmoid,220988_s_at_sigmoid,223122_s_at_sigmoid,206488_s_at_sigmoid,209612_s_at_radian,212354_at_radian,221541_at_radian,205913_at_radian,209613_s_at_radian,204589_at_radian,(202766_s_at*211161_s_at),(200665_s_at*207175_at),(212489_at*221729_at),(207175_at*229554_at),(212354_at*223122_s_at),(206488_s_at*209687_at),(209596_at*227061_at),(203325_s_at*211161_s_at),(204589_at*205913_at),(201125_s_at*207175_at),(201150_s_at*212489_at),(213069_at*223122_s_at),(209613_s_at*223122_s_at),(203666_at*203980_at),(221730_at*228481_at),(203325_s_at*221729_at),(200665_s_at*221729_at),(204589_at*223121_s_at),(204589_at*211161_s_at),(204589_at*212667_at),201744_s_at_recip,223122_s_at_recip,228766_at_recip,209612_s_at_recip,209613_s_at_recip,225241_at_recip,232458_at_square,205382_s_at_square,212489_at_square,209613_s_at_square,209612_s_at_square,209596_at_square,207175_at_ln,226997_at_ln,201147_s_at_ln,207175_at_mmnorm,201852_x_at_mmnorm,209687_at_mmnorm,207175_at_zscore,229554_at_zscore,209612_s_at_degree,221730_at_degree,Tissue
0,1.0,1.0,1.0,1.0,1.0,5.0335293,14.219197,22.478096,0.3106686,5.2377334,14.0935335,59986864.0,6263812.5,3076271.5,83005.4,69168.03,203120.67,388284.78,30317728.0,14373.499,450196.3,1722779.4,181286.98,25478.49,155036.53,214610.4,3982634.8,61967100.0,27778.002,14588860.0,5651531.0,0.00019629012,0.011778563,0.0033233634,0.0034674064,0.0033322226,0.0036192546,854700.25,1281197.6,1680134.4,90060.016,83174.555,5161984.0,5.480222,6.9836044,5.886937,0.020214695,0.13246275,0.04729399,-0.21378781,-0.30945015,16524.102,62481.043,1.0
1,1.0,1.0,1.0,1.0,1.0,0.36128315,19.624483,13.638003,0.6387905,0.1012291,11.058406,806311.06,558566.0,148797.06,22386.082,261310.56,53280.0,172393.3,583187.2,23189.758,304166.9,71176.48,123985.4,1347.92,47025.0,199088.55,224613.8,2957159.5,32440.318,1261117.4,324910.06,0.0006122949,0.004302926,0.007052186,0.048309177,0.17241378,0.006329114,33745.688,3745.4402,37674.812,33.640003,428.49002,1708249.0,4.9753537,5.381739,6.004134,0.012150864,0.018629633,0.015770381,-0.27661395,-0.5446988,1186.0226,47469.55,1.0
2,1.0,1.0,1.0,1.0,1.0,6.543239,129.4022,44.54255,0.21293016,5.17141,54.473473,197497970.0,4374363.5,53723140.0,211646.3,103186390.0,3469801.5,9678507.0,239350020.0,38077.42,349598.53,25001228.0,50592532.0,4123725.5,327002.25,13340838.0,84728950.0,645748740.0,29311186.0,132627090.0,40159196.0,2.6912032e-05,7.18525e-05,0.0015639662,0.002667378,0.003374958,0.000877809,10349733.0,90120.05,12754897.0,87793.68,140550.0,53891750.0,4.623992,7.7084107,7.490976,0.008513236,0.57406217,0.2261193,-0.30495507,1.8181119,21480.186,483719.6,1.0
3,1.0,1.0,1.0,1.0,1.0,3.2567844,166.6737,62.091835,0.70162237,3.286455,32.354916,181294900.0,4881257.5,27296108.0,159893.11,76424340.0,192403.75,4822606.5,127580980.0,74522.766,774558.94,14518259.0,15426197.0,1506927.2,611879.0,2729222.0,36014500.0,300919550.0,5552131.0,73601060.0,14028446.0,3.46276e-05,0.00012495626,0.004844961,0.0053590564,0.005310674,0.0034916203,7800849.0,274995.38,5931660.0,35456.89,34819.562,57533744.0,5.202907,6.9888744,7.676659,0.015288212,0.4677433,0.08090145,-0.25217056,0.34627157,10691.393,261755.75,1.0
4,1.0,1.0,1.0,0.9999932,1.0,4.3144536,19.554668,73.01061,0.28797933,4.6146502,42.874012,210663360.0,264056.38,30480260.0,3886.7998,13332.76,13348529.0,2818582.2,110448910.0,40532.25,33898.797,3092217.2,48923.28,3146.3599,1142817.2,357220.34,46010988.0,230849100.0,22354.15,61862780.0,29744530.0,0.00010258304,0.084033616,0.00061606703,0.0040453076,0.0037821482,0.003992016,11122893.0,3613801.0,8441349.0,69907.36,61107.84,3135732.8,2.4849067,7.086236,5.498397,0.00089032843,0.20895879,0.64755464,-0.36434594,-0.33661315,14163.516,250823.73,1.0
5,1.0,0.9999938,1.0,1.0,1.0,2.682571,10.828023,4.9898963,0.9267698,0.24783675,4.1852994,153297.31,477061.47,41957.504,42617.3,18177.72,52808.28,247312.0,62879.242,12733.38,164774.88,48786.89,7626.7896,416.06,60159.402,45520.12,30647.502,860404.94,3237.3,159898.64,101531.32,0.0046490002,0.034129694,0.0064226077,0.006506181,0.07042254,0.0074794316,50760.09,8892.49,16666.812,201.64,23623.69,9096256.0,5.1940675,5.201256,4.3820267,0.015152543,0.0,0.017193919,-0.25322756,-0.44403595,8806.36,13086.3545,1.0
6,1.0,1.0,1.0,0.9996294,1.0,0.32463124,6.065019,7.559021,0.37175512,0.38397244,9.3567095,6689255.5,402934.5,2169965.2,4876.2,2745.25,5568.86,89866.05,16806034.0,11418.929,57360.152,307747.72,13714.4,173.8,36176.7,81496.93,3821704.8,20722772.0,5200.1694,4910461.0,1239838.4,0.0004153859,0.12658228,0.013642564,0.053763438,0.045454547,0.011428571,145161.0,106602.25,1085347.4,484.0,345.96002,1809832.2,3.701302,5.774241,5.0205855,0.0033069344,0.07194704,0.020727031,-0.3455179,-0.5867338,1065.7014,46277.8,1.0
7,1.0,1.0,1.0,1.0,1.0,5.003859,78.391464,23.506096,0.4607669,4.5588,17.373007,78236090.0,1765540.8,6741227.0,24645.678,918960.94,744398.3,2674657.2,35312268.0,26278.56,356186.47,7365908.5,1109566.4,53441.523,181734.88,504723.2,6132015.5,73679940.0,11546.641,22869118.0,5085698.0,0.000121295925,0.0048875855,0.0045269355,0.0034879663,0.0038284836,0.0010748066,926213.8,60319.363,2855086.0,68225.445,82196.9,7026741.0,4.560173,5.491826,7.411012,0.007979039,0.25590354,0.16031078,-0.30911708,-0.41785628,16426.7,133820.02,1.0
8,1.0,1.0,1.0,1.0,1.0,17.533577,15.046483,28.241173,0.74351025,23.080235,11.901401,70016820.0,1786932.6,4105846.8,18485.67,1152972.5,797773.3,2637517.2,42214970.0,29048.94,176895.33,3008226.0,2240412.5,1768577.9,439411.72,484405.22,5981575.0,77792360.0,388614.84,16320663.0,6231611.5,8.049391e-05,0.00074771943,0.004472272,0.0009954211,0.0007562008,0.0014415453,753944.9,313936.06,1465794.4,1748741.9,1009221.1,2048047.1,4.355426,6.103006,6.539297,0.0064781997,0.29572687,0.21046041,-0.32081026,-0.4430527,57559.336,98594.58,1.0
9,1.0,1.0,1.0,1.0,1.0,0.86742866,50.07175,17.559757,0.60737455,0.15882497,11.885692,4807819.5,1711917.0,350681.94,85420.5,1091329.5,94314.15,1167730.2,3146393.5,23698.799,605258.06,298252.25,466332.38,3461.6401,21904.23,327435.34,699023.4,6664517.0,19340.4,2989249.5,848389.8,0.0005644615,0.0026288119,0.029761907,0.020120723,0.1098901,0.0050735665,67236.484,733592.25,129312.164,82.810005,2470.09,4101434.8,5.523459,5.4302225,6.271933,0.021113506,0.045296215,0.037869498,-0.20678511,-0.31559563,2847.6,43802.62,1.0
