,207175_at_zscore_abs,209613_s_at_radian_tanh,204589_at_radian_tanh,205913_at_radian_tanh,229554_at_zscore_tanh,209612_s_at_radian_tanh,209613_s_at_recip_tanh,205913_at_radian_square,(202766_s_at*211161_s_at)_square,209613_s_at_radian_square,207175_at_zscore_negative,(207175_at*229554_at)_negative,(204589_at*211161_s_at)_negative,(201125_s_at*207175_at)_relu,(206488_s_at*209687_at)_relu,209613_s_at_square_relu,209596_at_square_relu,209612_s_at_recip_relu,(204589_at*212667_at)_relu,(204589_at*205913_at)_relu,(226997_at_ln*223121_s_at),(223122_s_at_recip*201852_x_at_mmnorm),((204589_at*223121_s_at)*201150_s_at),(207175_at_zscore*212488_at),(201744_s_at_recip*212489_at),((213069_at*223122_s_at)*226875_at),((200665_s_at*221729_at)*209596_at),(209687_at_mmnorm*207175_at_zscore),(209612_s_at_radian*215076_s_at),(209612_s_at_square*213069_at),((200665_s_at*207175_at)*37892_at),((203325_s_at*221729_at)*203325_s_at),((212354_at*223122_s_at)*207175_at_zscore),(221730_at_degree*37892_at),(209687_at_mmnorm*220988_s_at),(212489_at_square*209612_s_at_degree),(209613_s_at_recip*212489_at_square),(212354_at_radian*225241_at_recip),(205382_s_at_sigmoid*(201150_s_at*212489_at)),((221730_at*228481_at)*206488_s_at),(209613_s_at_radian*(201125_s_at*207175_at)),(209613_s_at_recip*203666_at),(220988_s_at_sigmoid*(204589_at*212667_at)),((209596_at*227061_at)*201125_s_at),(204589_at_radian*(203325_s_at*221729_at)),((200665_s_at*207175_at)*(204589_at*212667_at)),(223122_s_at_recip*212667_at),(207175_at_mmnorm*209612_s_at),(212354_at_radian*200665_s_at),(209613_s_at_radian*201744_s_at),(209613_s_at_radian*212667_at),((207175_at*229554_at)*212354_at),(229554_at_zscore*201125_s_at),((204589_at*212667_at)*228766_at_recip),(229554_at_zscore*223122_s_at),(205382_s_at_sigmoid*204589_at),((203666_at*203980_at)*205382_s_at),(209612_s_at_recip*207175_at_zscore),(205913_at_radian*(203325_s_at*221729_at)),(229554_at_zscore*212354_at),((201125_s_at*207175_at)*212488_at),((213069_at*223122_s_at)*37892_at),((204589_at*211161_s_at)*205422_s_at),((204589_at*212667_at)*225241_at_recip),(212354_at_radian*205913_at),((212489_at*221729_at)*(203325_s_at*211161_s_at)),(204589_at_radian*(213069_at*223122_s_at)),((212489_at*221729_at)-(200665_s_at*221729_at)),((201125_s_at*207175_at)-209955_s_at),((203325_s_at*221729_at)-228766_at_recip),(37892_at_sigmoid-(213069_at*223122_s_at)),(209612_s_at_recip-205382_s_at),(204589_at_radian-209687_at_mmnorm),((200665_s_at*207175_at)-(212354_at*223122_s_at)),((213069_at*223122_s_at)-209612_s_at_degree),(205382_s_at_sigmoid-221729_at),((203325_s_at*211161_s_at)-212354_at),(209613_s_at_radian-212354_at),((206488_s_at*209687_at)-211719_x_at),(207175_at_mmnorm-203325_s_at),((212489_at*221729_at)-207175_at_ln),(223122_s_at_recip-209687_at_mmnorm),((200665_s_at*207175_at)-201147_s_at_ln),(201147_s_at_ln-37892_at),((212489_at*221729_at)-209612_s_at_recip),((200665_s_at*207175_at)-209955_s_at),(209613_s_at_recip-215076_s_at),(205913_at_radian-221730_at_degree),(37892_at_sigmoid-232458_at),(201147_s_at_ln-226237_at),(209612_s_at_radian-(213069_at*223122_s_at)),((202766_s_at*211161_s_at)-223122_s_at_recip),(212489_at_square-201852_x_at_mmnorm),((201125_s_at*207175_at)-201744_s_at),(209687_at_mmnorm-212489_at),(221541_at_radian-209687_at),(206488_s_at_sigmoid-226237_at),(207175_at_ln-205913_at),((200665_s_at*207175_at)-203666_at),(220988_s_at_sigmoid-209613_s_at),((212489_at*221729_at)-232458_at),((201150_s_at*212489_at)-(213069_at*223122_s_at)),(209612_s_at_recip-209613_s_at),(201147_s_at_ln-223121_s_at),(221730_at_degree-203666_at),(205382_s_at_sigmoid-202766_s_at),(207175_at_zscore-213247_at),(209612_s_at_degree-212354_at),(229554_at_zscore-221730_at),(205382_s_at_square-212489_at),(207175_at_mmnorm-209687_at),(209613_s_at_recip-226997_at),(209613_s_at_radian-(212354_at*223122_s_at)),(209612_s_at_radian-206488_s_at),(203666_at*203980_at)_recip,209613_s_at_radian_recip,209687_at_mmnorm_recip,(223122_s_at_sigmoid/201744_s_at),(209687_at_mmnorm/228481_at),(229554_at_zscore/203980_at),(221541_at_radian/209613_s_at_recip),(204589_at_radian/223122_s_at),(205382_s_at_square/206488_s_at),(209612_s_at_square/201744_s_at),(207175_at_zscore/228766_at),(209613_s_at_recip/223121_s_at),((201125_s_at*207175_at)/201744_s_at_recip),((204589_at*205913_at)/202766_s_at),((204589_at*212667_at)/228766_at_recip),(228766_at_recip/205913_at),((221730_at*228481_at)/201125_s_at),(221730_at_degree/220988_s_at),(205913_at_radian/209613_s_at),((213069_at*223122_s_at)/201852_x_at),(207175_at_ln/209612_s_at),(206488_s_at_sigmoid/212489_at),((204589_at*205913_at)/205382_s_at),(221541_at_radian/201150_s_at),Tissue
0,0.21378781,0.99994355,1.0,0.3010452,-0.2999368,0.99991506,0.0033322105,0.09651497,3598423700000000.0,27.433851,0.21378781,-83005.4,-14588860.0,450196.3,203120.67,90060.016,5161984.0,0.0034674064,5651531.0,14373.499,240.23601,0.001560221,36919740.0,-974.851,0.25443125,126483930.0,140789250000.0,-0.010110878,177031.73,177602620.0,2025090600.0,6683259400.0,-14787.282,20200120.0,10.716819,27762710000.0,5598.5815,0.051462896,1722779.4,71744260.0,2358008.2,1.5234922,5651531.0,728655200.0,56129396.0,35400130000000.0,82.43581,5.829918,371264.66,26683.633,36657.848,67624500.0,-580.7142,18782.092,-26.272318,807.5,175485860.0,-0.00074128923,1237279.5,-252.10904,2052850200.0,58610080.0,271352800.0,20454.33,253.1017,93265560000000.0,2554974.2,-58890828.0,449733.8,3982634.8,-181285.98,-1131.8966,14.04624,6194644.5,164762.88,-2372.3,30316914.0,-809.4623,185370.58,-1678.0797,3076266.0,-0.035515428,6263806.5,-317.41306,3076271.5,6263350.0,-35170.496,-62480.73,-923.5,-277.81308,-181281.95,59986864.0,1680134.2,445101.8,-1296.1527,-585.1219,-282.7,-12.319777,6263355.5,-299.1,3075347.0,1541492.4,-300.09653,-28.513065,62023.844,-3319.3,-192.61378,15709.401,-1090.8094,1279901.4,-607.5798,-1078.7968,-69162.8,-329.26645,6.4500928e-06,0.19092228,0.04729399,0.00019629012,0.00024031498,-0.0009125631,6745.677,0.16600157,3832.4788,16.326344,-0.0007104946,9.6866934e-05,2293525200.0,4.328976,1700545700.0,0.00018670582,114.3613,275.73276,0.0010352168,11.870158,0.019002158,0.0007714859,12.698559,0.016912268,1.0
1,0.27661395,0.100884736,1.0,0.5640754,-0.49653652,0.3463438,0.17072542,0.40805328,650137500000.0,0.010247331,0.27661395,-22386.082,-1261117.4,304166.9,53280.0,33.640003,1708249.0,0.048309177,324910.06,23189.758,275.54504,8.016193e-05,11895865.0,-135.07059,0.11884644,79003496.0,3865007400.0,-0.0043623075,2003.4957,228599.42,71049590.0,65811844.0,-72282.15,6038126.5,6.074751,44683180.0,6495.6567,0.12420559,71176.48,44197656.0,30790.543,64.86207,324910.06,362129380.0,2483870.5,181483720000.0,2.2065403,0.2515229,75701.445,165.32736,51.910282,25170912.0,-1144.1943,2291.3262,-126.58799,633.6,2877930.0,-0.013362993,143481.16,-612.4593,148524700.0,15770942.0,83990420.0,2056.3928,718.25604,86776540000.0,1371080.9,-2808362.5,303866.5,224613.8,-123984.4,-61.15169,11.042636,297255.44,122799.375,-765.6,582062.8,-1124.2988,40343.0,-292.98785,148792.1,-0.011467455,558560.0,-121.19586,148797.02,558265.6,-5545.3276,-47468.91,-182.7,-149.79587,-123985.04,806311.06,37674.793,302533.72,-194.08423,-226.362,-154.8,-31.624645,558189.8,-4.8,148613.36,-52808.92,-5.751691,-45.195866,47093.35,-404.1,-40.076614,61.62256,-829.0447,3551.34,-239.98785,-217.22758,-261310.47,-221.63872,2.1265285e-05,9.878582,0.015770381,0.0006122949,6.5627886e-05,-0.0043575903,79.100426,0.0475835,16.871351,0.26236224,-0.001950733,0.0033674566,496765380.0,57.244526,46072250.0,0.00019268268,94.776985,123.23351,0.110136285,41.490276,0.24035524,0.0051519834,378.9176,0.03719117,1.0
2,0.30495507,0.99993557,1.0,0.20976944,0.9486498,0.9999958,0.0033749451,0.045339253,3.9005446e+16,26.743483,0.30495507,-211646.3,-132627090.0,349598.53,3469801.5,87793.68,53891750.0,0.002667378,40159196.0,38077.42,72392.0,4.12478e-05,205190020000.0,-2077.5063,0.09611363,65831002000.0,4740506000000.0,-0.068956226,590821.1,510927360.0,33101685000.0,477244300000.0,-31467212.0,3660403000.0,275.27765,273977560000.0,43047.242,0.11359042,25001228.0,17189669000.0,1807917.4,6.138036,40159196.0,33205023000.0,4615480300.0,175670920000000.0,0.9245261,3.1916122,5554978.0,192159.78,66540.53,1569188000.0,6237.5786,62807.625,25303.39,3121.1,98166080.0,-0.0008134304,18041350.0,13479.846,2381640000.0,382843800000.0,55995160000.0,35252.105,1578.7069,1.2858635e+16,2755950800.0,-592025600.0,347110.12,84728950.0,-50592532.0,-300.19736,54.247353,-98812030.0,50571052.0,-15041.6,239342610.0,-7409.029,3416532.5,-5632.592,53723136.0,-0.22604744,4374356.0,-7559.709,53723140.0,4371875.0,-90294.9,-483719.38,-3216.1,-7839.9087,-50592524.0,197497970.0,12754896.0,312440.44,-3571.1738,-2648.3574,-7846.4,-7.576008,4372545.0,-295.3,53719924.0,-25591304.0,-296.29733,-9383.809,481900.9,-4646.7,-287.20496,14065.985,-8440.682,86548.65,-2692.8914,-2226.9966,-103186380.0,-1281.9568,3.058083e-06,0.19337086,0.2261193,2.6912032e-05,0.00014309537,0.010111857,13197.957,0.003914055,69.941826,3.782486,-0.0004769394,3.593707e-07,12990418000.0,8.192745,25677791000.0,0.00012819395,3888.55,397.33826,0.0007186303,803.9838,0.012333934,0.00028000225,126.84017,0.0063628578,1.0
3,0.25217056,0.9972085,1.0,0.60539657,0.33306485,0.99703807,0.0053106244,0.49227396,3.2867839e+16,10.800786,0.25217056,-159893.11,-73601060.0,774558.94,192403.75,35456.89,57533744.0,0.0053590564,14028446.0,74522.766,20931.68,5.8447455e-05,33096808000.0,-1335.4448,0.08433552,7554209000.0,2282504800000.0,-0.020400964,273975.38,67118184.0,39510850000.0,115728990000.0,-19271968.0,2118755700.0,162.53911,63417704000.0,31501.113,0.5819613,14518259.0,525375230.0,2545553.0,5.5852356,14028446.0,20546716000.0,1165246100.0,68476460000000.0,0.945594,2.8527806,4475122.5,94908.55,24869.918,1526931200.0,1475.29,67967.27,2771.142,1853.8,320869380.0,-0.0013513963,25268578.0,3306.7898,4101909000.0,124865810000.0,109371170000.0,48982.008,6700.283,3482464200000000.0,499113300.0,-273623460.0,773579.3,36014500.0,-15426196.0,-524.39465,32.274014,-71543080.0,15415506.0,-11206.6,127571420.0,-9546.414,135940.66,-3213.3845,27296102.0,-0.0807765,4881250.0,-8086.723,27296108.0,4880278.0,-84124.49,-261755.05,-2792.0,-4393.4233,-15426194.0,181294900.0,5931659.5,745680.25,-2435.4192,-937.40814,-4400.1,-34.997093,4880206.0,-187.3,27293316.0,-907938.0,-188.29465,-2987.3232,260704.05,-4565.3,-243.05217,1141.6924,-4568.154,272559.88,-999.48474,-1084.4946,-76424340.0,-189.24321,1.63431e-06,0.30427924,0.08090145,3.46276e-05,0.00013542258,0.00059517287,11691.894,0.0040429495,1428.5474,1.2057178,-0.0012217567,1.7731801e-06,22368254000.0,16.320166,2895471400.0,0.00012052142,640.5873,130.28508,0.003726088,299.8056,0.027882673,0.00041059332,142.11053,0.010416171,1.0
4,0.36434594,0.9998038,1.0,0.2802739,-0.3244504,0.9996424,0.0037821303,0.0829321,4.437905e+16,21.294996,0.36434594,-3886.7998,-61862780.0,33898.797,13348529.0,69907.36,3135732.8,0.0040453076,29744530.0,40532.25,64.48475,0.017559562,23791524.0,-4881.9805,0.29804477,48566140.0,408787600000.0,-0.2359339,168124.33,251226560.0,346098700.0,201794980000.0,-4857.737,328754660.0,159.3632,119559180000.0,31926.434,0.07806255,3092217.2,626814500.0,156431.1,8.851739,29744530.0,7962213000.0,1972675700.0,7854232700000.0,1017.52106,0.22008918,430294.6,44984.535,55876.492,4354770.5,-950.89844,18324.625,-4.0056963,2456.5,2172495600.0,-0.0014738914,13250214.0,-377.1414,454220130.0,64123744.0,5215032300.0,118740.64,322.65204,3366511600000000.0,2097537.2,-200368850.0,33511.098,46010988.0,-48922.28,-1900.996,42.226456,250723.61,34759.766,-10489.9,110447790.0,-1115.7854,13320791.0,-4385.799,30480258.0,-0.563521,264050.88,-1305.2015,30480260.0,263668.7,-38967.695,-250823.45,-3334.1,-1835.7015,-48918.965,210663360.0,8441349.0,24150.598,-2904.7524,-7534.289,-1840.2,-14.015093,261715.97,-263.4,30476924.0,3043294.0,-264.39594,-3.6016035,248483.33,-8364.2,-160.76434,13043.115,-4378.0366,3610895.5,-7607.299,-1195.3962,-13328.1455,-1750.3855,8.7503054e-07,0.21670115,0.64755464,0.000102582344,0.007935719,-0.0006893573,19304.006,3.6028583,2059.498,6.268628,-0.00022446153,0.00041562066,330452260.0,4.845341,48281320000.0,3.7337395e-05,126.45416,1019.19434,0.0010891806,2.0794084,0.010052212,0.0003441867,21.32154,0.06859965,1.0
5,0.25322756,0.24288413,0.99953693,0.7290844,-0.41698426,0.99068993,0.07030635,0.8589023,23500067000.0,0.061423056,0.25322756,-42617.3,-159898.64,164774.88,52808.28,201.64,9096256.0,0.006506181,101531.32,12733.38,70.21695,0.0,1223375.6,-69.73887,0.60018593,1765601.8,2594981400.0,-0.004353974,5187.019,6149246.0,5724737.5,2890059.5,-4603.1,157036.25,2.7819762,146773950.0,1173.7192,0.08098745,48786.89,9368041.0,40837.27,21.83803,101531.32,226142100.0,128268.97,48436683000.0,14.450512,2.3289459,28666.107,53.30969,104.93408,26439774.0,-406.0265,652.0958,-13.010253,239.8,5673032.0,-0.0016475443,28403.18,-275.47992,45379000.0,91521.48,2958124.8,759.39655,574.968,2638256000.0,31920.398,-818447.44,164508.38,30647.496,-7625.7896,-94.293495,4.1681056,458883.75,-1179.5708,-324.0,62258.844,-620.15216,51224.48,-94.28485,41952.31,0.016935775,477057.1,-7.6179733,41957.496,476794.97,-1933.5295,-13085.428,-224.3,-78.71797,-7624.107,153297.28,16666.812,164559.78,-129.08281,-251.6101,-82.1,-47.90593,476751.38,-13.2,41732.203,41160.1,-14.193494,-9.117973,12776.255,-228.9,-395.45325,8185.9604,-228.84402,8763.391,-256.58484,-181.42958,-18177.473,-203.11743,1.6622505e-05,4.034914,0.017193919,0.0046490002,8.6271546e-05,-0.0022888451,70.85652,0.142843,43.209377,109.82654,-0.0016263813,0.0052164844,35443076.0,55.386604,15808426.0,0.00012095307,49.78141,80.879814,0.06526548,7.7991505,0.033793543,0.007745933,135.03053,0.0132042775,1.0
6,0.3455179,0.36615232,1.0,0.35552597,-0.5275425,0.31368852,0.04542327,0.13820188,44746140000000.0,0.14743483,0.3455179,-4876.2,-4910461.0,57360.152,5568.86,484.0,1809832.2,0.053763438,1239838.4,11418.929,56.010136,0.00910722,1536130.0,-509.74258,0.43274906,5739476.5,27878347000.0,-0.0071615605,5751.784,600586.6,74865230.0,7012064000.0,-948.533,8598416.0,5.5942254,1156656300.0,49333.973,0.0693145,307747.72,1523992.6,22024.717,10.213636,1239838.4,127277290.0,35758580.0,499573650000.0,292.74683,0.06150898,60340.875,924.3752,888.01306,1694479.6,-830.99115,16914.574,-4.635197,536.1,11811692.0,-0.01857623,1420738.4,-203.89,84623430.0,2548135.8,405113020.0,14169.581,129.1849,36468510000000.0,128321.66,-18552806.0,57130.35,3821704.8,-13713.4,-326.44623,9.335982,400189.25,12648.699,-2081.9,16805686.0,-347.11603,-1285.1401,-1834.7968,2169961.5,0.10585525,402929.47,-180.77942,2169965.2,402704.7,-17717.855,-46277.43,-380.0,-440.7794,-13714.076,6689255.5,1085347.2,54952.754,-1041.7793,-290.24097,-444.8,-17.598698,402709.8,-21.0,2169584.2,294033.3,-21.946236,-4.6794143,46053.1,-729.3,-13.045518,718.2014,-808.28674,105560.45,-297.7967,-321.85455,-2744.866,-18.37537,2.7642101e-05,2.6043537,0.020727031,0.00041523195,0.00020542151,-0.0036443095,166.29846,1.1843936,5700.655,0.14370692,-0.00471375,0.0046860357,138088830.0,15.635942,90880150.0,0.00064049603,57.542137,171.46277,0.01689796,1.5687944,0.19899473,0.0009598771,34.973747,0.025589103,1.0
7,0.30911708,0.9997806,1.0,0.43070906,-0.39512295,0.9999099,0.003828465,0.21230614,6120885700000000.0,20.78266,0.30911708,-24645.678,-22869118.0,356186.47,744398.3,68225.445,7026741.0,0.0034879663,5085698.0,26278.56,63.705185,0.0012507505,50335268.0,-760.76807,0.20495372,735864450.0,195310780000.0,-0.0495548,221422.27,445762020.0,5162441000.0,9424908000.0,-284066.53,391289730.0,45.25573,46899640000.0,10930.65,0.08425566,7365908.5,195125980.0,1623783.0,2.0937977,5085698.0,9965238000.0,106531544.0,8979007000000.0,24.971653,2.2875905,1447733.5,37584.117,23291.822,110696060.0,-1556.8489,23022.627,-85.49339,995.4,44634090.0,-0.0010781899,2825429.8,-1876.8015,876610560.0,3244372000.0,1731192200.0,5466.1416,2069.5347,238048010000000.0,19276504.0,-66938708.0,355308.88,6132015.5,-1109565.4,-245.59651,17.212696,846579.8,1093139.6,-3988.6,35307776.0,-4486.9414,719020.1,-1536.9921,6741222.5,-0.1554232,1765533.4,-2916.5889,6741227.0,1764663.1,-44250.297,-133819.56,-961.4,-2615.189,-1109561.4,78236090.0,2855085.8,347942.16,-1689.5397,-1901.9939,-2621.6,-21.839827,1764993.9,-260.2,6740264.5,6256342.0,-261.19653,-4.188988,133273.11,-3404.3,-596.00916,11935.199,-2336.018,58629.664,-1925.4921,-242.69617,-918956.4,-381.59616,5.502521e-06,0.21935596,0.16031078,0.000121295925,0.00074183603,-0.001257467,6139.7925,0.084912054,156.02525,9.970149,-0.001399353,0.0003300417,2936508200.0,7.716959,1123430700.0,0.00017147484,135.46706,474.0348,0.0017640386,38.804848,0.01590573,0.00059182104,106.99739,0.0053921724,1.0
8,0.32081026,1.0,1.0,0.63126135,-0.41617164,1.0,0.00075620064,0.5528075,4902354600000000.0,532.6972,0.32081026,-18485.67,-16320663.0,176895.33,797773.3,1748741.9,2048047.1,0.0009954211,6231611.5,29048.94,3478.1033,0.00022112072,965591300.0,-774.1793,0.097453974,651511940.0,111328640000.0,-0.06751786,954459.56,1690647200.0,1175801700.0,10550303000.0,-369885.4,64875230.0,117.60528,84370150000.0,1108.4349,0.021690188,3008226.0,153943970.0,4082785.8,0.71581966,6231611.5,5989274000.0,71189120.0,11135470000000.0,6.8331084,6.5079994,345148.28,286732.7,210921.02,15936496.0,-1006.0841,27869.46,-592.5387,681.9,246202380.0,-0.00031934128,4447362.5,-381.95572,426883800.0,1474191500.0,7344298500.0,8983.15,640.98016,173328190000000.0,26664046.0,-73686510.0,176167.62,5981575.0,-2240411.5,-560.299,11.69094,633960.1,2182853.2,-3390.3,42214104.0,-839.0197,775270.8,-1763.7936,4105842.5,-0.20971268,1786926.1,-651.4607,4105846.8,1786204.9,-54436.1,-98593.836,-867.3,-1466.1606,-2240395.0,70016820.0,1465794.1,164472.03,-1210.4895,-2482.0588,-1471.7,-38.24457,1785986.0,-1321.4,4104978.5,767813.5,-1322.399,-563.3607,97647.98,-2924.4,-475.8208,56697.234,-1721.243,312725.38,-2510.2935,-447.19925,-1152949.4,-300.26642,2.27577e-06,0.043327115,0.21046041,8.049391e-05,0.0007476391,-0.00095444353,37346.13,0.008898908,987.8417,81.23615,-0.0014347506,1.3269008e-06,2197623800.0,9.929904,1393388300.0,0.000104982915,213.31918,176.43983,0.00056224305,68.11628,0.0043354826,0.00082596845,51.845333,0.011366029,1.0
9,0.20678511,0.15750283,1.0,0.5422764,-0.30551904,0.7000654,0.1094499,0.36890385,23115128000000.0,0.02522537,0.20678511,-85420.5,-2989249.5,605258.06,94314.15,82.810005,4101434.8,0.020120723,848389.8,23698.799,154.21832,0.00011907522,16040929.0,-242.53827,0.20298037,175154450.0,13496979000.0,-0.007830848,11667.35,3028083.5,758721660.0,501059940.0,-225670.69,19413322.0,14.322245,368229340.0,14210.127,0.25404236,298252.25,62048996.0,96130.09,44.824173,848389.8,2821469700.0,8308376.5,1452372900000.0,3.2749739,1.0493412,342190.34,281.3743,197.86415,245062860.0,-762.5421,25249.7,-120.052574,681.0,18760974.0,-0.004160666,424569.0,-905.4123,709907200.0,206678510.0,1224396700.0,4304.3623,1742.4968,1103383400000.0,5542683.0,-6313835.0,604840.56,699023.4,-466331.38,-856.47986,11.847822,620587.5,463484.78,-974.2,3143524.5,-2868.741,76551.05,-716.7789,350676.4,-0.035240687,1711910.8,-436.92807,350681.9,1711499.5,-13450.39,-43802.016,-258.3,-539.5281,-466331.5,4807819.5,129312.12,603486.44,-359.56213,-480.14026,-544.8,-29.27654,1711509.1,-8.1,350422.62,-168080.12,-9.07988,-22.128067,43394.723,-1094.3,-265.7068,-21.299805,-764.8156,733232.6,-497.6789,-228.0901,-1091329.4,-188.63257,4.565328e-05,6.2962394,0.037869498,0.0005644615,8.8418165e-05,-0.0058770133,159.7938,0.031245247,3871.1992,1.3942708,-0.0061543193,0.0038693699,1072275140.0,21.63681,28505896.0,0.00085522723,135.51666,115.818665,0.066744454,79.497505,0.111136,0.0027808675,27.669352,0.021171639,1.0
