,EDUCATION_sigmoid,PAY_AMT3_sigmoid,PAY_AMT2_sigmoid,(LIMIT_BAL/SEX),(EDUCATION/AGE),BILL_AMT5_relu,PAY_AMT4_relu,PAY_0_relu,PAY_AMT2_relu,AGE_relu,PAY_0_sin,PAY_AMT5_sin,MARRIAGE_sin,PAY_AMT3_sin,PAY_5_tanh,PAY_AMT5_tanh,PAY_0_tanh,EDUCATION_tanh,PAY_AMT6_mmnorm,BILL_AMT1_mmnorm,PAY_0_mmnorm,PAY_AMT4_mmnorm,PAY_3_mmnorm,PAY_4_square,PAY_2_square,PAY_AMT5_square,PAY_AMT6_square,PAY_0_square,LIMIT_BAL_radian,PAY_0_radian,PAY_6_radian,SEX_radian,PAY_AMT1_adde,PAY_0_adde,PAY_5_adde,AGE_adde,SEX_adde,default.payment.next.month
0,0.95257413,1.0,1.0,310000.0,0.09375,57779.0,3000.0,0.0,6000.0,32.0,0.0,0.82687956,0.84147096,-0.6835038,0.0,1.0,0.0,0.9950548,0.0037831068,0.24678464,0.2,0.004830918,0.2,0.0,0.0,1000000.0,4000000.0,0.0,5410.5205,0.0,0.0,0.017453292,8297.719,2.7182817,2.7182817,34.71828,3.7182817,0.0
1,0.95257413,1.0,0.5,5000.0,0.06122449,1138.0,0.0,-0.0,0.0,49.0,-0.84147096,-0.21078107,0.84147096,0.5367764,0.9640276,1.0,-0.7615942,0.9950548,0.0,0.020128012,0.1,0.0,0.0,1.0,1.0,33124.0,0.0,1.0,174.53293,-0.017453292,0.034906585,0.034906585,2.7182817,1.7182817,4.7182817,51.71828,4.7182817,1.0
2,0.880797,1.0,1.0,50000.0,0.071428575,1300.0,1300.0,-0.0,46257.0,28.0,-0.84147096,-0.9999545,0.84147096,0.77400523,-0.7615942,1.0,-0.7615942,0.9640276,0.002621693,0.020650238,0.1,0.0020933978,0.1,0.0,1.0,1934856200.0,1920996.0,1.0,872.6646,-0.017453292,-0.017453292,0.017453292,2.7182817,1.7182817,1.7182817,30.71828,3.7182817,0.0
3,0.95257413,1.0,1.0,40000.0,0.057692308,39816.0,0.0,2.0,1600.0,52.0,0.9092974,-0.80122477,0.84147096,-0.80122477,0.9950548,1.0,0.9640276,0.9950548,0.0030264854,0.068174124,0.4,0.0,0.5,9.0,4.0,2560000.0,2560000.0,4.0,1396.2634,0.034906585,0.034906585,0.034906585,3702.7183,4.7182817,5.7182817,54.71828,4.7182817,1.0
4,0.7310586,1.0,1.0,270000.0,0.029411765,15490.0,0.0,1.0,4000.0,34.0,0.84147096,0.9300395,0.9092974,0.9300395,0.9640276,1.0,0.7615942,0.7615942,0.0037831068,0.04761311,0.3,0.0,0.2,0.0,4.0,4000000.0,4000000.0,1.0,4712.389,0.017453292,0.0,0.017453292,2.7182817,3.7182817,4.7182817,36.71828,3.7182817,0.0
5,0.95257413,1.0,1.0,70000.0,0.1,65000.0,0.0,0.0,4505.0,30.0,0.0,-0.9939086,0.84147096,0.33101505,0.9640276,1.0,0.0,0.9950548,0.004350573,0.14231974,0.2,0.0,0.2,0.0,0.0,4884100.0,5290000.0,0.0,2443.461,0.0,0.0,0.034906585,4702.7183,2.7182817,4.7182817,32.71828,4.7182817,0.0
6,0.880797,1.0,1.0,200000.0,0.07692308,12613.0,700.0,-0.0,3884.0,26.0,-0.84147096,0.9589157,0.9092974,0.7448316,0.0,1.0,-0.7615942,0.9640276,0.003240231,0.022378307,0.1,0.0011272142,0.2,0.0,1.0,129600.0,2934369.0,1.0,3490.6584,-0.017453292,0.0,0.017453292,12959.719,1.7182817,2.7182817,28.71828,3.7182817,0.0
7,0.880797,1.0,1.0,150000.0,0.054054055,61803.0,2200.0,-0.0,2500.0,37.0,-0.84147096,0.9300395,0.9092974,-0.6163016,0.0,1.0,-0.7615942,0.9640276,0.0037831068,0.110638455,0.1,0.003542673,0.2,0.0,0.0,4000000.0,4000000.0,1.0,2617.994,-0.017453292,0.0,0.017453292,2502.7183,1.7182817,2.7182817,39.71828,3.7182817,0.0
8,0.880797,1.0,1.0,10000.0,0.09090909,19818.0,2000.0,0.0,3001.0,22.0,0.0,0.16726655,0.9092974,0.21918997,0.0,1.0,0.0,0.9640276,0.0014810864,0.04237904,0.2,0.003220612,0.2,0.0,0.0,1004004.0,613089.0,0.0,349.06586,0.0,0.0,0.034906585,3002.7183,2.7182817,2.7182817,24.71828,4.7182817,0.0
9,0.880797,1.0,1.0,115000.0,0.055555556,827.0,827.0,-0.0,669.0,36.0,-0.9092974,0.8168643,0.9092974,0.55873907,-0.7615942,1.0,-0.9640276,0.9640276,0.0017837349,0.021211827,0.0,0.0013317231,0.1,1.0,1.0,5645376.0,889249.0,4.0,4014.2573,-0.034906585,-0.017453292,0.034906585,887.71826,0.71828175,1.7182817,38.71828,4.7182817,0.0
