,(duration_negative/age),(((job_kterm-purpose)*checking_status_'<0')+(duration+num_dependents)),(((personal_status_kterm+housing_own)-(savings_status_kterm+own_telephone_yes))+(checking_status_kterm_mmnorm*employment_'>=7')),(((savings_status_kterm*checking_status_'no checking')-job_kterm_mmnorm)+((job_kterm-purpose)/checking_status_kterm)),(((savings_status_'<100'*job_skilled)-(credit_amount*other_parties_none))+((credit_amount+other_parties_kterm)*(credit_history_kterm-job_skilled))),(((employment_kterm*property_magnitude_car)+(credit_history_kterm-job_skilled))+((credit_amount+personal_status_kterm)/other_parties_kterm)),(((duration+job_skilled)*(installment_commitment*savings_status_'<100'))+((checking_status_kterm*employment_kterm)*checking_status_'<0')),((existing_credits_tanh-checking_status_'<0'_degree)+(duration_negative/age)),(((savings_status_kterm+own_telephone_yes)-(age-other_payment_plans_none))+((age-employment_kterm)+duration)),(checking_status_'no checking'_negative_exp+((checking_status_kterm-savings_status_'<100')*other_payment_plans_kterm)),(((installment_commitment-purpose)/own_telephone_kterm)+(checking_status_kterm+savings_status_'<100')),(((existing_credits+foreign_worker_yes)-(residence_since-foreign_worker_kterm))*(duration_sigmoid/checking_status_kterm)),(((residence_since*housing_own)-duration)*(credit_amount+residence_since)_zscore),(((duration+job_skilled)+(own_telephone_kterm*foreign_worker_kterm))*(duration+num_dependents)),(((duration+num_dependents)-own_telephone_yes)*((checking_status_kterm*employment_kterm)+job_kterm_mmnorm)),((checking_status_'<0'_degree-age)*((checking_status_kterm-savings_status_'<100')*other_payment_plans_kterm)),(((housing_kterm+property_magnitude_'real estate')-credit_history_'critical/other existing credit')*((age+other_parties_none)*purpose)),(((personal_status_kterm+credit_history_'existing paid')-(duration*credit_amount))*(residence_since_ln*purpose_kterm_degree)),(((credit_amount+personal_status_kterm)+employment_kterm)*(checking_status_kterm+savings_status_'<100')_zscore),(((savings_status_kterm+own_telephone_yes)-(age-other_payment_plans_none))*((duration+num_dependents)-own_telephone_yes)),(((age*credit_history_kterm)+(checking_status_kterm-other_parties_kterm))*((credit_amount+personal_status_kterm)/other_parties_kterm)),((credit_amount+other_parties_kterm)*(credit_history_kterm-job_skilled))_degree,((existing_credits_tanh+credit_amount)/duration),(((residence_since*housing_own)-duration)/(duration*credit_amount)),((credit_history_kterm_mmnorm*(installment_commitment-purpose))/(other_payment_plans_kterm_ln/(credit_amount+other_parties_kterm))),((credit_history_kterm_mmnorm*(installment_commitment-purpose))/((installment_commitment+checking_status_'<0')*(age-employment_kterm))),(((credit_amount*other_parties_none)+(job_kterm-purpose))-(own_telephone_kterm_ln*(credit_history_kterm+checking_status_'no checking'))),(((credit_amount+other_parties_kterm)*(credit_history_kterm-job_skilled))-(employment_kterm*property_magnitude_car)),(((duration+job_skilled)*checking_status_'no checking')-duration_sigmoid),(((residence_since*housing_own)+(checking_status_'<0'*other_parties_none))-(credit_history_kterm*employment_kterm)),(((savings_status_kterm*checking_status_'no checking')-job_kterm_mmnorm)-(installment_commitment-purpose))
0,-0.08955224,630.0,365.63745,1.2737226000000001,605023.0,293.89307,69322.0,-56.421303,-62.0,223037.0,273.99258,3.5022678,1.4894271000000001,2723413.0,415938.0,-2164391.2,339388.0,-143804270.0,-760.9490400000001,708.0,35964.24,34732240.0,194.99400000000003,-0.00028514400000000003,-479.81207,0.0016655694000000001,33.58545,606192.0,-0.9975274,-74124.0,2.0
1,-2.1818182,49.0,-292.0,1.3159851999999999,3621932.0,535.90295,98.0,-1.4202241000000002,313.0,218153.0,269.9916,3.5799255,-43.677296000000005,28125852.0,4468408.0,-4799344.0,114954.0,-3172957000.0,-2856.1099,28518.0,76084.61,207862320.0,123.99503,-0.00016103736,-5116.4126,0.007886435,3187.1724,3627882.0,-1.0,-179668.0,4.0
2,-0.24489796,14.0,-54.0,603.20465,877783.0,295.9151,24.0,0.5166962,442.0,319902.38,394.99664,2.4416094,3.7485247000000004,8035440.0,959788.06,-15675198.0,142600.0,-77435976.0,2873.2666,7770.0,40356.707,50413350.0,174.73012,-0.00035782443999999994,-462.70892000000003,0.0041306120000000005,413.2693,879879.0,11.000005999999999,-50979.0,604.7072
3,-0.93333334,669.0,-55.0,1.2810218,4197087.0,691.11536,47762.0,-57.467518000000005,472.0,222223.0,274.99496,3.5072992,-68.654785,25255604.0,2097788.0,2732392.0,24300.0,-4751399000.0,-3223.486,24596.0,3902441.5,240475300.0,187.6848,-0.00012687135,-3551.4978,0.0077519375,-2761.8276,4197086.0,-1.0,-92220.0,2.0
4,-0.45283019999999996,655.0,-55.0,1.2956204,497730.0,92.97354,92961.0,-56.784580000000005,289.0,222223.0,275.00336,3.5109489999999997,-13.609594,14923298.0,2415062.0,954616.0,5832.0,-2162186200.0,-2156.8584,14326.0,24079.338,28796800.0,202.95683,-0.00020533881999999998,168.87900000000002,-0.00017125731,4936.6587,502599.0,-1.0,-29831.0,-3.0
5,-1.0285715,38.0,364.0,183.2047,5270805.0,540.58765,0.0,-0.2669773,-118.0,320716.38,393.99506,2.4390862,-73.814224,14785344.0,4941953.0,-11225060.0,15552.0,-1292430000.0,10021.468,5550.0,190969.47,302513660.0,251.54892999999998,-0.00011043622,-2972.8613,0.0032894735,6064.249,5279860.0,35.0,-179670.0,184.70723
6,-0.45283019999999996,25.0,487.0,63.586296,1976683.0,532.7298599999999,0.0,0.30876398,-165.0,320716.38,393.99664,2.4390862,3.0843523,14349325.0,2492075.0,-16997948.0,192510.0,-970292100.0,3665.063,275.0,102858.87,113418024.0,118.15673000000001,-0.00029394473,-1116.6881,0.0033333332,66.78223,1979518.0,24.0,-134086.0,64.0
7,-1.0285715,37.0,-56.0,0.33551413,4156202.0,877.2646,72.0,-0.2669773,302.0,218153.0,270.0,3.5799255,-46.903766999999995,14396256.0,3282883.5,-7635320.0,12888.0,-1020923800.0,-3390.5488,20520.0,148035.67,238530910.0,193.02116,-0.00014392631,0.0,-0.0,3913.2502,4162811.0,-1.0,-179670.0,-0.20723684
8,-0.19672132,13.0,3.0,48.197086,2098921.0,533.4278,0.0,0.56487286,-113.0,320716.38,393.9916,2.4390712000000003,0.59858567,7461480.0,891231.75,-19563676.0,309876.0,-815254140.0,3309.2415,-156.0,109061.805,120434580.0,254.98012000000003,-0.00021793615,-2958.8354,0.022123892000000003,-141.21777,2101980.0,11.000005999999999,-92216.0,52.707237
9,-1.0714285,31.0,-510.0,0.33923155,1794079.0,360.8721,120.0,-0.107400954,572.0,218153.0,270.00504,3.5836432,-19.470457,17793318.0,517024.4,-6108256.0,20648.0,-1458358800.0,-2331.6243,17856.0,44428.355,103093030.0,174.4988,-0.00017832124,1419.3285,-0.011389555,3508.6594,1799251.0,-1.0,-18164.0,-3.2072368
10,-0.48,13.0,-293.0,1.33829,1163564.0,702.7696,39.0,0.2815942,444.0,218153.0,270.00336,3.5836208,8.41341,7461493.0,601497.0,-5453800.0,4654.0,-0.0,-768.98596,7527.0,22317.816000000003,66741444.0,107.98013,-0.00077220076,657.12115,-0.004535147,-1462.8276,1164686.0,-0.9999938,-91160.0,-3.0
11,-2.0,676.0,-293.0,1.2883213,2754428.0,534.0915,47275.0,-58.534183999999996,480.0,222223.0,275.0,3.5072992,-17.657830999999998,28125852.0,2309321.0,7399054.0,13425.0,-1590790800.0,-1794.5720000000001,28420.0,61541.085999999996,158063860.0,89.76586999999999,-0.00023212627,0.0,-0.0,1548.1724,2758735.0,-1.0,-91159.0,-1.0
12,-0.54545456,13.0,-293.0,1.3159851999999999,1307180.0,870.0694599999999,13.0,0.21613961,278.0,218153.0,269.98514,3.5836208,6.6518106,5057845.0,1094304.0,-4799344.0,114793.0,-0.0,-958.9606,6996.0,22809.584,74985620.0,130.6468,-0.0005849819,-2214.8743,0.018927443999999998,-990.7497599999999,1308407.0,-0.9999938,-179669.0,5.0
13,-0.4,224.0,-53.362536999999996,0.43351419999999996,615859.0,547.92615,69418.0,-56.73175,375.0,222223.0,275.00504,3.5109489999999997,14.681607000000001,14349300.0,1733057.2,-600938.0,43432.0,-524655260.0,-749.2994,13600.0,32642.127,35354816.0,49.9985,-0.0006950236,486.74575999999996,-0.0016051601,-474.34058,616805.0,-1.0,-74124.0,-3.2927632000000004
14,-0.53571427,645.0,-293.0,1.2956204,1220588.0,869.8887,92918.0,-57.069897,280.0,222223.0,275.00167999999996,3.5072982,9.926621,9183424.0,1486192.0,6510166.0,5191.0,-385369200.0,-768.7812,9216.0,26831.963,70014860.0,93.58411,-0.0007127584,344.67523,-0.0010718113,-1354.8276,1221651.0,-0.99999964,-179669.0,-2.0
15,-0.75,218.0,208.0,0.41161640000000005,1158888.0,870.75525,92886.0,-57.284183999999996,-211.0,223037.0,273.99496,3.5145986000000002,15.518157,14349300.0,2322157.2,5641869.0,164703.0,-338682850.0,-745.8846,1800.0,28657.756,66472840.0,53.4484,-0.0007150286,-979.8624,0.0019543972,-1911.8276,1159831.0,-1.0,-179667.0,2.7072368
16,-0.45283019999999996,25.0,367.0,183.58122,970228.0,295.27673,0.0,0.5111974,-45.0,320716.38,393.99496,2.4416244,5.997843700000001,14349325.0,2492075.0,-16997948.0,269136.0,-1281650600.0,3250.7778,3275.0,49203.477,55728852.0,101.04016999999999,-0.00034378437000000007,-769.8719,0.0019362244,1168.2693,972652.0,24.0,-74125.0,185.0
17,-1.2,658.0,366.0,1.2883213,342109.0,220.50386,47128.0,-57.500719999999994,41.0,38087.0,273.99832000000004,3.5182480000000003,-45.94392,17793348.0,1460999.0,1230017.0,55614.0,-1475221800.0,-3396.0732,4898.0,3487.9159999999997,20063892.0,269.09982,-0.000111496534,-0.0,0.0,8443.391,350009.0,-1.0,-6876.0,0.0
