,checking_status_'<0'_tanh,other_parties_none_tanh,property_magnitude_car_tanh,existing_credits_tanh,property_magnitude_car_sigmoid,housing_own_sigmoid,checking_status_'<0'_sigmoid,duration_sigmoid,credit_history_kterm_ln,residence_since_ln,other_payment_plans_kterm_ln,own_telephone_kterm_ln,age_ln,(age+employment_kterm),(personal_status_kterm+housing_own),(checking_status_kterm+housing_kterm),(checking_status_kterm+savings_status_'<100'),(employment_'>=7'+foreign_worker_yes),(duration+job_skilled),(existing_credits+savings_status_kterm),(credit_amount+personal_status_kterm),(other_payment_plans_kterm+credit_history_'existing paid'),(credit_amount+residence_since),(savings_status_kterm+own_telephone_yes),(savings_status_kterm+own_telephone_kterm),(personal_status_kterm+credit_history_'existing paid'),(checking_status_kterm+credit_history_kterm),(own_telephone_kterm+other_payment_plans_none),(installment_commitment+housing_kterm),(credit_history_kterm+checking_status_'no checking'),(installment_commitment+checking_status_'<0'),(credit_history_'critical/other existing credit'+foreign_worker_yes),(foreign_worker_kterm+other_payment_plans_none),(age+other_parties_none),(credit_amount+other_parties_kterm),(duration+num_dependents),(housing_kterm+property_magnitude_'real estate'),(existing_credits+foreign_worker_yes),(savings_status_kterm*checking_status_'no checking'),(installment_commitment*other_parties_none),(own_telephone_kterm*employment_'>=7'),(own_telephone_kterm*foreign_worker_kterm),(other_payment_plans_none*own_telephone_yes),(savings_status_'<100'*job_skilled),(other_parties_kterm*foreign_worker_kterm),(credit_history_kterm*savings_status_'<100'),(own_telephone_kterm*housing_own),(residence_since*job_skilled),(credit_amount*other_parties_none),(existing_credits*checking_status_'no checking'),(duration*credit_amount),(installment_commitment*personal_status_'male single'),(credit_history_kterm*employment_kterm),(residence_since*housing_own),(checking_status_kterm*employment_kterm),(installment_commitment*employment_kterm),(employment_kterm*property_magnitude_car),(credit_history_'existing paid'*savings_status_'<100'),(own_telephone_kterm*personal_status_'male single'),(installment_commitment*savings_status_'<100'),(foreign_worker_kterm*property_magnitude_'real estate'),(checking_status_'<0'*other_parties_none),(age*credit_history_kterm),checking_status_kterm_mmnorm,job_kterm_mmnorm,other_payment_plans_kterm_mmnorm,foreign_worker_kterm_mmnorm,credit_history_kterm_mmnorm,(age-other_payment_plans_none),(other_payment_plans_kterm-own_telephone_kterm),(installment_commitment-num_dependents),(job_kterm-purpose),(credit_amount-other_payment_plans_kterm),(age-employment_kterm),(existing_credits-checking_status_'<0'),(other_payment_plans_none-purpose),(credit_history_kterm-job_skilled),(installment_commitment-purpose),(checking_status_kterm-other_parties_kterm),(credit_history_'existing paid'-personal_status_'male single'),(residence_since-foreign_worker_kterm),(purpose_kterm-other_parties_kterm),(purpose_kterm-checking_status_'<0'),(credit_history_'critical/other existing credit'-job_skilled),(housing_kterm-own_telephone_yes),(credit_history_'critical/other existing credit'-personal_status_'male single'),(credit_history_kterm-own_telephone_yes),(checking_status_kterm-savings_status_'<100'),(age-personal_status_'male single'),(purpose_kterm-foreign_worker_kterm),(checking_status_'<0'-checking_status_'no checking'),(employment_kterm-own_telephone_yes),(num_dependents-job_kterm),checking_status_'no checking'_negative,checking_status_'<0'_negative,own_telephone_kterm_negative,duration_negative,credit_history_'critical/other existing credit'_negative,purpose_kterm_negative,installment_commitment_degree,credit_history_'critical/other existing credit'_degree,employment_kterm_degree,checking_status_'<0'_degree,purpose_kterm_degree,residence_since_degree,class
0,0.7615942,0.7615942,0.0,0.9640276,0.5,0.7310586,0.7310586,0.9975274,5.6801724,1.3862944,6.7019606,6.001415,4.204693,320.0,549.0,987.0,274.0,2.0,7.0,185.0,1717.0,814.0,1173.0,184.0,587.0,548.0,567.0,405.0,717.0,293.0,5.0,2.0,964.0,68.0,2076.0,7.0,714.0,3.0,0.0,4.0,404.0,389052.0,1.0,0.0,873441.0,0.0,404.0,4.0,1169.0,0.0,7014.0,4.0,74129.0,4.0,69322.0,1012.0,0.0,0.0,404.0,0.0,963.0,1.0,19631.0,0.63746226,1.0,0.99999994,1.0,0.5163265,66.0,410.0,3.0,623.0,355.0,-186.0,1.0,-6.0,292.0,-3.0,-633.0,-1.0,-959.0,-627.0,279.0,0.0,712.0,0.0,292.0,274.0,66.0,-683.0,1.0,252.0,-629.0,-0.0,-1.0,-404.0,-6.0,-1.0,-280.0,229.1831,57.295776,14495.831,57.295776,16042.817,229.1831,1.0
1,0.0,0.7615942,0.0,0.7615942,0.5,0.7310586,0.5,1.0,6.272877,0.6931472,6.7019606,6.3902407,3.0910425,361.0,311.0,982.0,270.0,1.0,49.0,604.0,6261.0,815.0,5953.0,603.0,1199.0,311.0,799.0,597.0,715.0,530.0,2.0,1.0,964.0,23.0,6858.0,49.0,714.0,2.0,0.0,2.0,0.0,573948.0,0.0,1.0,873441.0,530.0,596.0,2.0,5951.0,0.0,285648.0,0.0,179670.0,2.0,91191.0,678.0,0.0,1.0,0.0,2.0,963.0,0.0,11660.0,0.62235653,1.0,0.99999994,1.0,0.99999994,21.0,218.0,1.0,623.0,5137.0,-317.0,1.0,-6.0,529.0,-5.0,-638.0,1.0,-961.0,-627.0,280.0,-1.0,713.0,0.0,530.0,268.0,22.0,-683.0,0.0,339.0,-629.0,-0.0,-0.0,-596.0,-48.0,-0.0,-280.0,114.59155,0.0,19423.268,0.0,16042.817,114.59155,0.0
2,0.0,0.7615942,0.0,0.7615942,0.5,0.7310586,0.5,0.9999938,5.6801724,1.0986123,6.7019606,6.3902407,3.8918202,223.0,549.0,1107.0,395.0,1.0,12.0,604.0,2644.0,814.0,2099.0,603.0,1199.0,548.0,687.0,597.0,715.0,294.0,2.0,2.0,964.0,50.0,3003.0,14.0,714.0,2.0,603.0,2.0,0.0,573948.0,0.0,0.0,873441.0,293.0,596.0,0.0,2096.0,1.0,25152.0,2.0,50982.0,3.0,68556.0,348.0,0.0,0.0,596.0,2.0,963.0,0.0,14357.0,1.0,0.29276314,0.99999994,1.0,0.5163265,48.0,218.0,0.0,196.0,1282.0,-125.0,1.0,-3.0,293.0,-2.0,-513.0,-1.0,-960.0,-857.0,50.0,1.0,713.0,0.0,293.0,393.0,48.0,-913.0,-1.0,174.0,-198.0,-1.0,-0.0,-596.0,-12.0,-1.0,-50.0,114.59155,57.295776,9969.465,0.0,2864.7888,171.88733,1.0
3,0.7615942,0.0,0.0,0.7615942,0.5,0.5,0.7310586,1.0,6.272877,1.3862944,6.7019606,6.3902407,3.8066626,219.0,548.0,382.0,275.0,1.0,43.0,604.0,8430.0,815.0,7886.0,603.0,1199.0,549.0,804.0,597.0,110.0,530.0,3.0,1.0,964.0,45.0,7934.0,44.0,108.0,2.0,0.0,0.0,0.0,573948.0,0.0,1.0,50076.0,530.0,0.0,4.0,0.0,0.0,331044.0,2.0,92220.0,0.0,47676.0,348.0,0.0,1.0,596.0,2.0,0.0,0.0,23850.0,0.63746226,1.0,0.99999994,1.0,0.99999994,44.0,218.0,0.0,625.0,7068.0,-129.0,0.0,-4.0,529.0,-3.0,222.0,0.0,-959.0,129.0,180.0,-1.0,108.0,-1.0,530.0,273.0,44.0,-782.0,1.0,174.0,-628.0,-0.0,-1.0,-596.0,-42.0,-0.0,-181.0,114.59155,0.0,9969.465,57.295776,10370.535,229.1831,1.0
4,0.7615942,0.7615942,0.0,0.9640276,0.5,0.5,0.7310586,1.0,4.477337,1.3862944,6.7019606,6.3902407,3.9702919,392.0,548.0,382.0,275.0,1.0,25.0,605.0,5418.0,814.0,4874.0,603.0,1199.0,548.0,362.0,597.0,111.0,88.0,4.0,1.0,964.0,54.0,5777.0,26.0,108.0,3.0,0.0,3.0,0.0,573948.0,0.0,1.0,873441.0,88.0,0.0,4.0,4870.0,0.0,116880.0,3.0,29832.0,0.0,92886.0,1017.0,0.0,0.0,596.0,3.0,0.0,1.0,4664.0,0.63746226,1.0,0.99999994,1.0,0.09795918,52.0,218.0,1.0,629.0,4056.0,-286.0,1.0,0.0,87.0,2.0,-633.0,-1.0,-959.0,-673.0,233.0,-1.0,108.0,-1.0,88.0,273.0,52.0,-729.0,1.0,339.0,-628.0,-0.0,-1.0,-596.0,-24.0,-0.0,-234.0,171.88733,0.0,19423.268,57.295776,13407.212,229.1831,0.0
5,0.0,0.7615942,0.0,0.7615942,0.5,0.5,0.5,1.0,6.272877,1.3862944,6.7019606,6.001415,3.5553482,374.0,548.0,502.0,394.0,1.0,36.0,184.0,9603.0,815.0,9059.0,184.0,587.0,549.0,924.0,405.0,110.0,531.0,2.0,1.0,964.0,36.0,9962.0,38.0,108.0,2.0,183.0,2.0,0.0,389052.0,1.0,0.0,873441.0,0.0,0.0,0.0,9055.0,1.0,325980.0,2.0,179670.0,0.0,133566.0,678.0,0.0,0.0,404.0,0.0,0.0,0.0,18550.0,1.0,0.29276314,0.99999994,1.0,0.99999994,34.0,410.0,0.0,196.0,8241.0,-304.0,1.0,-3.0,530.0,-2.0,-513.0,0.0,-959.0,-857.0,50.0,0.0,107.0,-1.0,529.0,394.0,34.0,-913.0,-1.0,338.0,-198.0,-1.0,-0.0,-404.0,-36.0,-0.0,-50.0,114.59155,0.0,19423.268,0.0,2864.7888,229.1831,1.0
6,0.0,0.7615942,0.0,0.7615942,0.5,0.7310586,0.5,1.0,6.272877,1.3862944,6.7019606,6.3902407,3.9702919,306.0,549.0,1107.0,394.0,2.0,25.0,64.0,3383.0,815.0,2839.0,63.0,659.0,549.0,924.0,597.0,716.0,531.0,3.0,1.0,964.0,54.0,3742.0,25.0,713.0,2.0,63.0,3.0,596.0,573948.0,0.0,0.0,873441.0,0.0,596.0,4.0,2835.0,1.0,68040.0,3.0,134090.0,4.0,99682.0,759.0,0.0,0.0,596.0,0.0,0.0,0.0,28090.0,1.0,1.0,0.99999994,1.0,0.99999994,52.0,218.0,2.0,625.0,2021.0,-200.0,1.0,-4.0,529.0,-2.0,-513.0,0.0,-959.0,-726.0,181.0,-1.0,713.0,-1.0,530.0,394.0,52.0,-782.0,-1.0,253.0,-629.0,-1.0,-0.0,-596.0,-24.0,-0.0,-181.0,171.88733,0.0,14495.831,0.0,10370.535,229.1831,1.0
7,0.0,0.7615942,0.7615942,0.7615942,0.7310586,0.5,0.5,1.0,6.272877,0.6931472,6.7019606,6.001415,3.5553482,374.0,548.0,448.0,270.0,1.0,36.0,604.0,7496.0,815.0,6950.0,604.0,1007.0,549.0,799.0,405.0,181.0,530.0,2.0,1.0,964.0,36.0,7855.0,37.0,179.0,2.0,0.0,2.0,0.0,389052.0,1.0,0.0,873441.0,530.0,0.0,0.0,6948.0,0.0,250128.0,2.0,179670.0,0.0,91191.0,678.0,339.0,1.0,404.0,2.0,0.0,0.0,18550.0,0.62235653,0.20723684,0.99999994,1.0,0.99999994,34.0,410.0,1.0,146.0,6134.0,-304.0,1.0,-1.0,530.0,0.0,-638.0,0.0,-961.0,-804.0,103.0,0.0,178.0,-1.0,529.0,268.0,34.0,-860.0,0.0,338.0,-147.0,-0.0,-0.0,-404.0,-36.0,-0.0,-103.0,114.59155,0.0,19423.268,0.0,5901.465,114.59155,1.0
8,0.0,0.7615942,0.0,0.7615942,0.5,0.7310586,0.5,0.9999938,6.272877,1.3862944,6.7019606,6.3902407,4.1108737,235.0,51.0,1107.0,394.0,1.0,12.0,49.0,3109.0,815.0,3063.0,48.0,644.0,51.0,924.0,597.0,715.0,531.0,2.0,1.0,964.0,62.0,3966.0,13.0,714.0,2.0,48.0,2.0,0.0,573948.0,0.0,0.0,873441.0,0.0,596.0,0.0,3059.0,1.0,36708.0,0.0,92220.0,4.0,68556.0,348.0,0.0,0.0,0.0,0.0,963.0,0.0,32330.0,1.0,0.29276314,0.99999994,1.0,0.99999994,60.0,218.0,1.0,193.0,2245.0,-113.0,1.0,-6.0,530.0,-5.0,-513.0,1.0,-959.0,-627.0,280.0,0.0,713.0,0.0,530.0,394.0,61.0,-683.0,-1.0,174.0,-199.0,-1.0,-0.0,-596.0,-12.0,-0.0,-280.0,114.59155,0.0,9969.465,0.0,16042.817,229.1831,1.0
9,0.0,0.7615942,0.7615942,0.9640276,0.7310586,0.7310586,0.5,1.0,5.6801724,0.6931472,6.7019606,6.3902407,3.3322046,90.0,93.0,982.0,270.0,1.0,30.0,605.0,5326.0,814.0,5236.0,603.0,1199.0,92.0,562.0,597.0,717.0,293.0,4.0,2.0,964.0,29.0,6141.0,31.0,713.0,3.0,0.0,4.0,0.0,573948.0,0.0,0.0,873441.0,293.0,596.0,0.0,5234.0,0.0,157020.0,0.0,18166.0,2.0,16678.0,248.0,62.0,0.0,0.0,4.0,0.0,0.0,8204.0,0.62235653,0.20723684,0.99999994,1.0,0.5163265,27.0,218.0,3.0,147.0,4420.0,-34.0,2.0,0.0,293.0,3.0,-638.0,0.0,-961.0,-673.0,234.0,1.0,713.0,1.0,293.0,268.0,28.0,-729.0,0.0,62.0,-147.0,-0.0,-0.0,-596.0,-30.0,-1.0,-234.0,229.1831,57.295776,3552.3381,0.0,13407.212,114.59155,0.0
