,(a23/a27),(a19/a27),(a05/a27),(a08/a27),(a24/a27),a01_sigmoid,(a08+a09),(a01+a08),(a14+a29),(a32+a34),(a04+a14),(a08+a18),(a16+a31),(a11+a29),(a06+a27),(a03+a30),(a19+a34),(a13+a22),(a13+a14),(a13+a18),(a04+a10),(a06+a09),(a06+a14),(a08+a21),(a33+a34),(a01+a05),(a15+a25),(a04+a11),(a16+a32),(a20-a21),(a16-a30),(a11-a25),(a18-a29),(a01-a33),(a23-a33),(a08-a14),(a16-a19),(a23-a34),(a04-a27),(a16-a21),(a07-a21),(a05-a17),(a13-a25),(a07-a31),(a21-a30),(a03-a26),(a01-a23),(a05-a24),(a11-a22),(a11-a21),(a10-a22),(a06-a12),(a12*a27),(a23*a25),(a17*a28),(a06*a27),(a20*a26),(a15*a27),(a03*a15),(a01*a17),(a04*a19),(a27*a33),(a17*a21),(a12*a25),(a19*a28),(a19*a27),(a03*a28),(a17*a23),(a12*a32),(a24*a33),(a18*a21),(a16*a27),(a14*a26),(a13*a16),(a12*a20),a15_degree,a08_degree,a21_degree,a22_degree,a03_degree,a34_degree,a24_mmnorm,a13_mmnorm,a21_mmnorm,a06_mmnorm,a28_mmnorm,a19_mmnorm,a15_relu,a03_relu,a06_relu,a14_relu,a31_relu,a21_relu,a01_sin,a27_sin,a06_sin,a25_sin,a21_sin,class
0,0.89941084,1.4171089,2.0751495,-0.9179609,-1.1528555,0.7310586,0.62292004,0.62292004,-0.23678999,-0.99787,-0.50834,-0.7625,0.040439993,1.06509,0.43384,0.65449,0.12911999,0.30080998,0.14809999,0.21212998,-0.02129,1.02306,-0.42639,0.19263002,-0.26659,1.85243,1.17347,0.79354,-0.92710006,-0.89163005,-0.04133001,0.28432,-0.59808,0.81359,0.18304999,0.07236999,-0.96435,0.82246,-0.46967,-0.95194006,0.26427,0.008870006,0.029439986,0.41131002,0.91061,1.5071,0.63054,1.326,1.1491699,0.28271997,0.33434,0.20061,-0.072933994,0.20989391,-0.38945478,0.009472587,0.16472968,0.24866977,0.6025693,0.84356,-0.034281045,0.0765735,0.48058456,-0.10086793,-0.26875317,0.23912326,-0.45955166,0.31166166,0.09674168,-0.08827818,-0.21957763,-0.15701245,0.22998805,-0.22840154,0.057156898,34.68457,-21.605091,32.64198,-17.00195,57.031643,-25.954987,0.263215,0.79877496,0.784855,0.51153,0.26916,0.79106,0.60536,0.99539,0.02306,-0.0,0.42267,0.56971,0.841471,0.39932457,0.023057956,0.53803986,0.5393879,0.0
1,0.8821575,-1.6175983,-4.545388,4.5728455,1.7458472,0.7310586,0.06402999,0.06402999,-0.88747,-0.08735,-0.88536,-1.5583401,-1.14141,0.31834,-0.56623995,0.88407,0.30662,-0.10868001,-0.35275,-0.27805,-0.23378,0.63844,-1.05863,-1.06748,-0.16185,1.9303501,-0.72017,0.32045,-1.03803,-0.86849,-0.85921997,0.71206,-0.43197,1.13738,-0.04317999,-0.2389,-1.30624,-0.15608999,0.016389996,-0.84363997,0.022830002,0.87536,0.54763997,0.05758,-0.015580006,1.26569,1.18056,1.28769,0.96174,0.64025,0.40751,0.31587,0.13865636,0.036711458,-0.01011871,0.0740041,0.26569,0.10578886,-0.51685,0.05499,-0.062340938,0.028118938,-0.007231735,0.13773505,-0.06092387,-0.0677675,-0.18401,-0.009928994,0.0425968,0.049091373,0.081847884,0.1995937,0.18520452,-0.33576363,0.67743,-29.613321,-53.62713,-7.534968,-25.954987,57.295776,-1.4020276,0.32133,0.67216,0.434245,0.31922,0.407995,0.665545,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.841471,-0.20325385,-0.35373378,-0.20192204,-0.13113126,1.0
2,0.7355384,1.2806015,1.6953751,-0.20449613,-0.20449613,0.7310586,0.76903,0.87938,0.43927,-0.62418,-0.02538,-0.25706,0.60735,1.1618199,0.59468997,0.82635,0.37296999,0.57941,0.86270005,0.71799004,-0.021669999,0.8945,0.01312,0.58825,0.17807001,2.0,1.1211901,0.69717,-0.23881,-0.79427,0.17664,0.15553999,-0.56744,0.43954998,-0.12660003,-0.12889,-0.75236,0.81623,-0.62349,-0.70588,0.29113,0.16224998,0.27915,0.39564002,0.88251996,1.4022,0.56615,1.12062,1.0058401,0.021950006,0.287,-0.048609998,0.031532846,0.24958523,-0.18551974,0.002860724,0.03434788,0.32199955,0.54591,0.83775,-0.025417527,0.33057582,0.59385586,0.030754467,-0.16727225,0.44553563,-0.22145,0.36345783,-0.012926627,-0.06760148,-0.096718214,0.0017636216,-0.0033261941,0.0025547456,-0.004565484,31.278337,-6.9110165,40.615257,-15.757484,57.295776,-21.90876,0.43969,0.927215,0.85443497,0.502425,0.389275,0.877675,0.54591,1.0,0.00485,0.00827,0.60436,0.70887,0.841471,0.55622804,0.004849981,0.54406977,0.6509764,0.0
3,0.0,-1.9374964,1.9374964,-1.9374964,0.0,0.7310586,-1.0,0.0,1.0,2.0,-0.45161,-1.3933,0.40197998,1.0,1.51613,0.79901,0.0,1.0,0.0,-0.3933,-0.45161,1.0,1.0,-1.69975,0.67618,2.0,0.0,-0.45161,1.14516,0.15508002,0.34615,-1.0,-1.3933,1.32382,0.32382,-1.0,1.14516,-1.0,-0.96773994,0.84491,1.41191,0.45906,-1.0,0.45534,-0.49875998,0.09305,1.0,1.0,-1.0,0.69975,-1.0,1.0,0.0,0.0,0.54094,0.51613,-0.49398845,-0.51613,-1.0,0.54094,0.45161,-0.1671332,-0.37852275,0.0,-1.0,-0.51613,1.0,0.0,0.0,-0.0,0.27521166,0.07492143,0.0,0.0,-0.0,-57.295776,-57.295776,-40.09272,57.295776,57.295776,57.295776,0.5,0.5,0.150125,1.0,1.0,0.0,-0.0,1.0,1.0,0.0,0.25682,-0.0,0.841471,0.49351794,0.841471,0.841471,-0.64402646,1.0
4,0.17373964,3.3940558,7.0835214,-1.7498119,-3.9788563,0.7310586,0.53897,0.76745,0.01719,-1.2527001,-0.031130001,-0.45035,-0.33163998,0.55229,0.19821,0.37803,-0.20590001,0.20834002,0.55697,0.34629,-0.18800001,0.83683,0.058190003,-0.17273,-0.70305,1.9414,0.37681,0.50397,-0.8703,-0.23795,0.3474,0.49512002,-0.24211001,1.04608,0.06917,-0.22543,-0.72564,0.68006,-0.15691,-0.33438998,0.86124,0.412,0.53123003,0.97813004,0.68179,1.65158,0.97691,1.47019,0.88373005,0.46816003,0.19175999,0.26806,-0.026945475,0.0007587374,-0.28167257,0.008679699,0.11606594,0.045710955,0.34395,0.5294,-0.010830191,-0.006124032,0.031668708,-0.006662365,-0.23999633,0.059947204,-0.53206,0.012223845,0.12078426,0.024366643,-0.013028797,-0.03649035,0.0046392498,-0.1548822,0.03611586,19.706882,-13.324133,3.4274333,-20.382973,57.295776,-37.64161,0.235605,0.782045,0.52991,0.532655,0.23396999,0.72553504,0.34395,1.0,0.06531,-0.0,-0.0,0.05982,0.841471,0.13250913,0.065263584,0.032854088,0.05978433,0.0
5,-0.46882713,3.5725307,3.0629628,3.6493826,-0.27407405,0.7310586,0.028820008,0.88176,-0.07859,0.12011,-0.00592,-0.2202,-0.1554,-0.04073,-0.15189,0.03069,0.004359998,0.03669,0.0,-0.10196,0.060450003,0.02757001,-0.11949,-0.09986,0.11972,0.90076,-0.010589998,0.03194,-0.1554,-0.07252,-0.16272,0.002729997,-0.023370005,1.00039,0.015579999,-0.11824,-0.039649993,-0.10492,0.02648,-0.17378,-0.02601,-0.095809996,-0.03513,-0.00763,0.0110599995,0.03872,0.98481,-0.108119994,0.0011699982,0.01948,0.029680002,-0.05647,0.002041848,0.0005336247,-0.00031634892,0.003871476,0.00083104905,0.001481328,-0.0010684764,-0.00343,0.00068523997,1.2636e-05,-6.30434e-05,-0.0022138928,-0.010675622,0.0037503,0.002155415,-5.21017e-05,-0.0,-3.4631998e-06,-0.0018740247,0.00503496,-0.0,-0.0,0.0034119028,-2.6195629,-6.7746525,1.0530963,2.1021821,1.3390023,6.8817954,0.50444,0.5,0.50919,0.440255,0.546115,0.442125,-0.0,0.02337,-0.0,0.0,0.0,0.01838,0.841471,-0.03239433,-0.119205855,0.035122775,0.018378964,1.0
6,2.33531,2.771213,6.9259095,-2.0755544,-5.8388605,0.7310586,0.57646,0.71650004,-0.46158,-1.62293,-0.61366,-0.96436,-0.65698,0.84372,-0.07141,0.15193003,-0.43123,0.016629994,0.27460998,0.101390004,-0.37944,0.65196,-0.71564,0.07974002,-0.94807005,1.94601,0.9742,0.69164,-1.4275401,-1.09965,0.20959002,0.56974,-0.72692,1.13832,0.4573,0.22414002,-0.99288,1.12873,-0.24261001,-0.9776,0.56482,0.36655998,0.55433,0.97068,1.18719,1.7922201,0.68102,1.74354,1.56328,0.43442,0.4922,0.27129,-0.065466225,0.07270192,-0.4781042,-0.028410722,0.601161,0.10193439,0.72827977,0.57945,-0.040130693,-0.01889313,0.21047942,-0.10923978,-0.31231686,0.05170205,-0.8051986,0.18483298,0.38974905,0.11031435,-0.24731559,-0.083915435,0.41440687,-0.48058307,0.35295397,42.758694,-16.243351,20.812119,-43.86679,55.913803,-46.395256,0.101235,0.89112496,0.68162,0.396,0.08745,0.68926,0.74628,0.97588,-0.0,-0.0,-0.0,0.36324,0.841471,0.13616568,-0.20650342,0.2259518,0.3553047,0.0
7,0.0,-1.0,0.0,-1.0,0.0,0.5,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,-2.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-57.295776,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.841471,0.0,0.841471,0.0,1.0
8,1.2094586,1.4682424,1.7368046,-0.37016514,-1.1154628,0.7310586,0.78687,0.78687,-0.15232998,-1.46199,-0.47866,-0.5657,-0.01267001,1.18005,0.43244004,0.32435995,0.111169994,0.33921003,0.53842,0.59253,-0.43372,0.85667,-0.55000997,0.54033,-0.34525,2.0,1.75498,0.85372,-1.1916,-1.41366,0.17538002,0.074640036,-0.60692,0.61105,0.30742002,0.19354999,-1.30918,1.43057,-0.64775,-1.21727,0.24654001,0.016950011,0.094040036,0.54886,1.39265,1.61795,0.30363,1.6422501,1.53159,0.17224002,0.24414998,0.29236,-0.25085723,0.5926526,-0.6853038,-0.08252511,0.43203488,0.52045006,0.8709721,0.98305,-0.060849734,0.22394574,0.74068886,-0.37079832,-0.58932436,0.4867387,-0.67170995,0.6845665,0.3170908,-0.24980313,-0.26564738,-0.26704788,0.26613137,-0.43834683,0.28764254,51.7908,-12.211449,43.170074,-34.714935,55.207344,-42.06656,0.178875,0.97255003,0.87672997,0.428335,0.15144,0.922685,0.90392,0.96355,-0.0,-0.0,0.45114,0.75346,0.841471,0.5444808,-0.14283974,0.75197953,0.6841663,0.0
9,0.0,3.086849,0.0,0.0,0.0,0.7310586,0.1147,1.0,0.0,0.62151,-0.08459,0.15018,0.55197,-0.45663,0.20645,-0.01864,1.01793,0.0,0.0,0.15018,-0.35268998,0.1147,0.0,0.0,0.29857,1.0,-0.48459,-0.54122,0.62688,0.22115,0.38602,-0.3086,0.15018,1.08208,0.08208,0.0,-0.25125998,-0.38065,-0.29104,0.38602,0.0,0.37133,0.14803,-0.16595,0.0,-0.00538,1.0,0.0,-0.45663,-0.45663,-0.2681,0.38172,-0.078806095,-0.0,0.00851831,0.0,-0.002932449,-0.06948281,0.0062734787,-0.37133,-0.053907517,-0.016945416,-0.0,0.05650601,-0.014619203,0.13156645,0.00042760163,-0.0,-0.09194108,-0.0,0.0,0.07969383,-0.0,0.0,-0.08441738,-19.283466,0.0,0.0,0.0,-1.0679933,21.809639,0.5,0.5,0.5,0.5,0.48853,0.81864,-0.0,-0.0,0.0,0.0,0.16595,0.0,0.841471,0.20498659,0.0,-0.14748996,0.0,1.0
