,((6_adde_negative-(6+148))+(33.6*50)_radian_negative),((148_mmnorm_negative*((148*33.6)+33.6))+(33.6*0.627)_radian_zscore),((((72/50)+148_adde)-50)*(33.6*50)),((50_cos_recip-148_adde)*((72/50)-33.6_adde))
0,-104.11027,-977.5923,48525.504,2355.2712
1,-214.73145,-3942.4846,116103.55,4431.8423
2,-104.01746999999999,-1131.8989,43585.465,2588.8704
3,-164.5421,-4088.2388,153509.4,9592.017
4,-142.1224,-1746.7491,70030.05,2901.4656
5,-100.78564,-960.51465,45652.94,2517.306
6,-155.5852,-2367.1772,90820.91,4526.269
7,-231.93152,-5979.1353,239305.1,6405.255
8,-143.71828,-1.2040024,0.0,121.25363
9,-140.4056,-2307.6597,96765.42,3957.4387
10,-213.26792999999998,-5421.201999999999,179452.02,6625.210999999999
11,-188.67838,-2648.2427,133032.33,3995.316
12,-224.71357999999998,-5431.8843,237500.39,6138.139
13,-201.68332,-3594.1323,156751.3,4536.840999999999
14,-133.47345,-1522.6860000000001,67889.555,3321.5454
15,-145.49847,-3231.015,131229.22,5479.858
16,-139.73343,-1719.5007,74422.305,3251.2776
17,-132.65729,-2331.3887,105206.16,8166.474
18,-139.04256999999998,-2319.1953,97329.28,4093.423
19,-153.23796000000002,-3159.2427,111391.664,5121.668
20,-148.61061,-1761.2395,94514.97,3668.6782
21,-241.19856000000001,-7722.205,260946.69,8053.7886
22,-154.3965,-2081.6147,80296.08,3563.633
23,-200.2966,-3787.752,180241.53,5410.3184
24,-169.97296,-2462.1394,112751.48,4133.68
25,-193.28763999999998,-4307.885,183796.52,5968.569
26,-110.62645,-1108.5610000000001,41198.613,2308.2908
27,-195.80368,-2362.4585,116615.31,3442.2861
28,-152.33426,-2366.0603,109027.74,4081.9617
29,-159.41738999999998,-2168.718,114411.49,4225.2324
30,-182.16095,-3988.3315,119830.73,5112.1720000000005
31,-106.2408,-976.7364,38931.094,2282.1277
32,-116.44326000000001,-856.5126,39006.227,1851.2312
33,-166.39526,-2081.3374,101162.91,3510.6516
34,-127.54128999999999,-1291.2976,59032.883,4507.8623
35,-182.99901,-3200.3308,125367.84,4786.142
36,-149.1321,-1736.4214,91364.66,3635.4658
37,-114.71961,-1571.858,70379.44,3691.8037
38,-157.97925,-2314.9114,122586.695,4336.6963
39,-204.14699,-5566.9185,140714.95,6206.379
40,-175.6783,-3599.2476,150210.36,5463.571999999999
41,-141.7354,-1294.5743,68247.05,2591.7683
42,-234.50677000000002,-6708.729,298495.34,8060.7207
43,-194.84708999999998,-3503.3704,135156.84,4654.6875
44,-201.04424,-6871.1914,168376.19,7646.019
45,-165.7508,-3203.022,104776.555,4574.766
46,-88.46951,-719.2022,33818.46,2057.4783
47,-140.87341,-2104.876,93146.63,4152.4907
48,-121.71828500000001,-1.2040024,0.0,286.4003
49,-115.16735,-1044.7474,37282.96,1972.3594
50,-116.6999,-1253.0184,50110.348,2553.8225
51,-113.494095,-960.8594400000001,46056.184,2099.0005
52,-228.83248999999998,-5275.468000000001,238988.97,5938.738
53,-192.15471000000002,-3948.7861,163651.02,5564.09
54,-86.148224,-625.1114,27578.932,1809.6699
55,-230.69582999999997,-6660.665,232437.45,7392.689
56,-128.03951999999998,-2372.9734,108167.28,4743.815
57,-179.82003999999998,-4363.4795,189928.97,6108.8306
58,-123.65314,-2321.725,80916.79,4491.066
59,-90.718285,-1.2040024,0.0,240.68756000000002
60,-174.1126,-2946.9631,126468.04,4456.8384
61,-72.42625,-248.80458,11196.452,1417.6431
62,-158.3578,-2555.3928,74453.46,3633.2004
63,-154.76193,-2161.389,105096.7,4047.0884
64,-127.91493999999999,-1443.4589,66844.57,2955.8562
65,-133.2731,-1957.2052,93902.08,3641.3596
66,-155.96208000000001,-2571.1220000000003,137015.22,4936.429
67,-108.2704,-898.94525,36925.56,1903.0752
68,-170.33708000000001,-3117.6216,97433.27,4331.4834
69,-122.79626,-1668.7811,71001.88,3451.0803
70,-164.69655,-2797.0522,87878.51,4044.9216
71,-186.53214,-3489.1165,161976.08,5770.384
72,-153.80832,-2958.4973,90786.87,4552.8047
73,-96.0054,-1016.4983,44441.67,2589.8435
74,-14.202401,-0.93463147,-9292.086,93.837265
75,-102.04635999999999,-640.0885,34244.652,2196.4602
76,-125.48398999999999,-1727.8761,74698.54,3818.2478
77,-153.32181,-3754.137,120989.18,6069.1333
78,-129.19026000000002,-1590.5558,56080.973,2805.4556
79,-130.31927,-1450.9938,47169.97,2698.3271
80,-80.718285,-1.2040024,0.0,211.2603
81,-118.12801,-1025.984,54728.24,2792.111
82,-113.16401,-1274.2634,45824.937999999995,2551.3296
83,-181.23193,-4636.5864,190738.52,6726.7246
84,-131.98641999999998,-1987.4022,77383.96,3760.37
85,-163.46385,-2086.7124,107579.2,4028.8665
86,-124.189026,-1954.2524,79413.01,3905.5518
87,-196.56151,-3474.3655,155296.38,5228.9053
88,-122.81858000000001,-1539.7277,56318.832,2832.7087
89,-91.7188,-622.7699,25805.705,1623.1803
90,-152.70746,-2452.6826,102349.5,4107.056
91,-131.95117,-1558.955,85468.836,4100.644
92,-169.64157,-2164.218,111267.3,3488.0547
93,-157.7713,-2520.1328,66198.07,3445.765
94,-182.38495,-3557.4753,147150.78,5160.6846
95,-111.95486499999998,-1359.5253,55591.95,2931.065
96,-83.55131999999999,-524.735,24190.365,1564.3375
97,-119.239204,-1261.1889999999999,49436.34,2854.1057
98,-153.60858000000002,-3747.6753,148864.77,6121.303000000001
99,-190.18066000000002,-5236.4263,173616.42,9529.787
100,-165.73996,-3011.1277,77198.64,4036.7576
101,-135.96497,-1781.5236,52584.39,2674.676
102,-96.860466,-888.4428,40039.355,2141.2761
103,-110.37933999999998,-1452.9884,67493.99,3637.5293
104,-141.23738,-2307.2395,66529.01,3753.3506
105,-111.27403000000001,-1049.0276,46108.015999999996,2104.087
106,-173.76854,-3095.8208,121468.5,4456.975
107,-106.68448000000001,-1202.0127,54055.33,2939.2709999999997
108,-113.38436000000002,-1714.4945,69348.53,3487.9746
109,-193.66695,-4922.3945,122052.44,5658.0380000000005
110,-201.01523,-4131.022,176835.38,5660.409000000001
111,-106.24277,-1256.5765,51683.44,2865.3125
112,-101.55358000000001,-1000.0076,47768.543,2660.6367
113,-197.47897,-3947.9475,148809.89,5060.532
114,-189.93538,-3364.7908,169815.83,4945.5425
115,-159.26793,-2648.8625,117140.016,4369.7036
116,-105.42268,-1043.0017,48560.254,2749.8379999999997
117,-118.54631,-1347.3123,49908.426,2839.3509999999997
118,-118.22153,-1154.9718,41089.15,2308.9521
119,-187.93115,-7057.3516,189868.5,8656.671999999999
120,-140.04395,-2137.0662,75829.57,3814.2866
121,-127.20618999999999,-1951.3104,69502.29,3693.895
122,-176.9929,-2365.141,123670.24,3791.9092
123,-129.08575,-2156.114,73543.73,3846.9963
124,-117.67648999999999,-2163.702,94197.15,5043.992
125,-151.18066000000002,-3129.8845,122331.44,5031.242
126,-136.08575,-2350.2686,76773.83,4106.51
127,-145.80383,-2393.6233,113047.23,4244.8345
128,-137.909,-1560.0306,81427.08,3108.7585
129,-200.82425,-4492.979,141957.19,7605.714
130,-161.8977,-2509.3684,102654.02,6865.5645
131,-196.78243999999998,-5040.021,149921.42,5832.3584
132,-128.78826999999998,-1374.0215,74111.0,3245.7764
133,-112.29316000000001,-987.49335,41328.055,2060.3386
134,-150.00583,-2676.098,103369.41,4379.05
135,-114.00707,-1562.9878,55011.387,3155.6553
136,-106.7383,-1260.7955,48267.727,2774.9463
137,-147.51001000000002,-2628.7617,95435.5,4145.9507
138,-135.75101999999998,-2064.5513,85021.734,4029.1094
139,-156.97281999999998,-1751.5334,89516.86,1915.749
140,-144.91568,-2251.6252,109387.15,4313.3516
141,-127.19738999999998,-1922.9618,65123.574,3670.4658
142,-154.46872,-1917.1648,95650.24,3798.12
143,-177.88504,-3934.9497,102910.66,5205.505999999999
144,-104.718285,-1.2040024,0.0,-90.897675
145,-101.18947,-545.86725,27796.346,2038.5647
146,-130.81735,-1736.2245,79434.86,3443.7163
147,-197.9497,-3684.9395,188203.98,5335.4355
148,-107.20073000000001,-1124.5759,44384.4,2515.0679999999998
149,-156.38435,-3501.7341,105738.73,5050.1147
150,-138.86068999999998,-1443.2256,66019.23,2638.49
151,-201.8615,-4219.512,171094.16,5637.9130000000005
152,-174.01616,-4806.1523,127261.52,6264.8853
