,(35+50)_ln,148_adde_ln,0.627_degree_ln,50_cos_exp,((72/50)-33.6_adde),(148_degree-0_cos),(148_mmnorm-0_radian),((0.627*50)-50),((0+0.627)-(33.6*0.627)),((148/50)-72_radian),(148_degree-6_cos),(72_radian-33.6_recip),((35+0)-6),((72/50)-0_recip),((72+33.6)-0_radian),(33.6_adde-0_cos),(0_radian-0_cos),(33.6_adde-6_cos),((0/0.627)-(72+33.6)),(33.6_adde-0.627),((0/0.627)-6_adde),(6+148)_radian,72_radian_radian,(33.6*50)_radian,(33.6*0.627)_radian,33.6_adde_radian,0_radian_radian,(148/50)_negative,6_adde_negative,148_mmnorm_negative,33.6_adde_negative,(0+0.627)_negative,(148_radian/50),(148_degree/0_cos),((148/50)/(6+148)),((148/50)/50),((35+0)/50),((0+0.627)/0_cos),((148*33.6)/50),(6_adde/0.627_degree),(35_mmnorm/(35+50)),50_cos_recip,(0.627*50)_recip,(72/50)_recip,(33.6*0.627)_recip,148_radian_recip,(0_cos+148_recip),((148*33.6)+33.6),(148_degree+(35+50)),((148/50)+6_cos),(72_radian+(72*0)),(72_radian+(6*50)),(148_recip+72),((72+33.6)+(33.6*50)),((0+33.6)+6_cos),(6_cos+148),((72/50)+148_adde),(148_degree+50),(148_radian+0_recip),(0_radian+(6*50)),((0/0.627)+(72*0)),(148_adde+0_recip),((6+148)+50_cos),(72+33.6)_mmnorm,72_radian_mmnorm,(148/50)_mmnorm,(6*50)_mmnorm,148_mmnorm_mmnorm,1
0,4.0943446,4.47413,3.001258,2.4961321,-27.18925,4869.141,0.42713568,-20.119,-8.9856,1.5900182,4869.6006,-25.448084,28.0,2.1290324,92.6,28.318283,-1.0,28.77798,-92.6,28.967283,-3.7182817,1.5009831,0.020104751,14.391986,0.16295442,0.5117006,0.0,-2.7419355,-3.7182817,-0.42713568,-29.318283,-0.351,0.047855802,4870.141,0.03188297,0.08844953,0.9354839,0.351,72.935486,0.18488963,0.004882155,1.093204,0.091903314,2.1290324,9.3366,1.4835298,86.0,2287.6,4930.141,3.2822378,1.1519173,32.151917,151.0,917.2,27.140303,85.5403,89.84732,4901.141,1.4835298,31.0,0.0,87.718285,86.91474,0.5228684,0.5409836,0.30312854,0.0387985,0.42713568,0.0
1,3.465736,5.224231,3.65073,2.3030248,-24.01828,10484.127,0.919598,-10.496,-14.9855995,4.6017394,10485.272,-22.18299,-8.0,2.0,87.3,25.01828,-1.0,26.16378,-87.3,25.34628,-10.718282,3.3335788,0.019495515,13.013174,0.27327666,0.45410466,0.0,-5.71875,-10.718282,-0.919598,-26.01828,-0.672,0.09981102,10485.127,0.029941099,0.17871094,0.0,0.672,133.24687,0.27837697,0.0,1.1987197,0.046502978,2.0,15.657599,3.1939526,184.0,4287.1997,10517.127,5.57325,1.1170107,257.117,247.0,832.89996,23.1545,182.8545,187.71828,10517.127,3.1939526,256.0,0.0,185.71828,191.83423,0.49294186,0.52459013,0.6322236,0.3204005,0.919598,1.0
2,3.7841897,4.5187216,2.2584655,0.57826144,-27.675426,5098.355,-1.1933733,-17.493,89.4743,3.0861778,5098.7837,-26.948084,116.0,-90.85714,92.45939,29.848824,0.67115015,30.27798,468.77426,30.651283,559.156,1.5707964,0.020104751,10.299189,0.08190306,0.5378805,0.028634038,-4.2380953,-3.7182817,-0.44723618,-30.818283,-94.167,0.073968716,5259.967,0.04708995,0.20181406,5.571429,97.13352,119.090485,0.38860038,0.0052800733,-1.8257196,0.285144,3.142857,4.6927,1.553343,89.96946,2529.0002,5143.324,4.7783976,6205.152,22.151917,155.0,684.2,122.640305,89.5403,94.861145,5120.324,95.553345,22.64061,6766.874,185.71829,89.45227,0.5313382,0.5409836,0.46853313,0.026282854,0.44723618,0.0
3,4.2195077,4.939628,4.875905,0.986811,-44.60616,7849.5967,-2.243711,42.504005,71.67519,3.4533834,7848.5215,-42.401867,203.0,-166.78787,80.16785,45.893414,3.0072894,44.81828,-9.673431,43.53028,70.70828,2.3911011,0.012184696,24.823816,1.7211181,0.7996798,0.05117573,-4.151515,-2.7182817,-0.68844223,-45.81828,-170.288,0.07245761,-104470.73,0.03030303,0.12580349,6.151515,-2266.3943,178.9303,0.020735562,0.005199049,-75.31965,0.013244331,1.2121212,98.6128,2.3911011,136.92487,5947.8,7917.5215,5.151515,6720.698,0.6981317,177.0,1505.3999,212.1,138.0,140.9304,7882.5215,170.3911,2.9321532,6793.427,307.71826,136.98672,0.46922642,0.32786882,0.45896143,0.0,0.68844223,1.0
4,3.4011974,4.7767534,2.4437766,1.1667843,-25.851616,6645.31,0.5829146,-23.97,-4.9446,2.5751228,6646.0264,-24.308456,-5.0,2.4666667,99.6,27.318283,-1.0,28.03462,-99.6,28.117283,-7.7182817,2.1118484,0.022541689,13.404129,0.08980767,0.4942473,0.0,-3.8666666,-7.7182817,-0.5829146,-28.318283,-0.201,0.06748606,6646.31,0.03195592,0.12888889,0.0,0.201,98.98667,0.67019624,0.0,6.482921,0.16583747,2.4666667,5.1456003,2.024582,117.0,2995.2002,6676.31,4.1503286,1.2915436,151.29155,190.0,867.6,25.883663,116.28366,121.18495,6676.31,2.024582,150.0,0.0,118.718285,121.15425,0.5623941,0.6065573,0.42747065,0.18773468,0.5829146,0.0
5,4.060443,4.390965,2.6539004,1.9096488,-31.795204,4468.071,-1.14393,-19.552,80.56,2.1273353,4470.0605,-30.127335,117.0,-86.07692,79.46411,32.718906,0.5365165,34.708275,273.8387,33.47028,349.12042,1.4137167,0.015230871,14.067353,0.1341809,0.588495,0.026806332,-3.0,-5.7182817,-0.3919598,-33.71828,-88.248,0.05235988,4471.873,0.037037037,0.115384616,4.6153846,88.303345,93.0,0.40243083,0.005572971,1.5457878,0.15508685,1.9230769,7.6879997,1.3613569,78.999374,2449.0,4527.0703,2.0100074,4400.8726,78.872665,128.0,887.0,118.01001,77.01001,82.641365,4495.0703,89.36136,79.53589,4754.839,168.71829,81.64692,0.4573687,0.40983605,0.33165827,0.09762203,0.3919598,1.0
6,3.3672957,4.7682943,2.0383115,0.473285,-38.01828,6588.014,0.57788944,-25.114,-4.5962,3.9655173,6589.853,-35.3,-10.0,0.0,35.3,37.01828,-1.0,38.857353,-35.3,37.88428,-12.718282,2.1816616,0.0,17.866934,0.08255756,0.6635442,0.0,-3.9655173,-12.718282,-0.57788944,-38.01828,-0.134,0.069211334,6589.014,0.03172414,0.13674198,0.0,0.134,139.98276,1.6565366,0.0,-1.3367956,0.25733402,0.0,4.7302,2.0071287,116.0,4094.8,6618.014,3.1264458,0.0,290.0,115.0,1059.0,34.460926,114.16093,117.718285,6618.014,2.0071287,290.0,0.0,117.718285,124.251945,0.1993224,0.0,0.43839887,0.3629537,0.57788944,0.0
7,4.5849676,5.296908,2.2030668,0.39920396,-31.897526,11288.147,-8.487187,-44.626,538.339,2.4952507,11287.684,-29.278269,586.0,-541.67926,91.022865,34.098,10.356854,33.634426,3336.2087,33.06028,3431.9905,3.473205,0.021323219,28.213247,0.08410742,0.57976836,0.16540726,-3.7169812,-4.7182817,-0.98994976,-33.21828,-543.158,0.06487356,-12830.5625,0.018678298,0.07013172,11.094339,-617.4234,113.36793,0.5211997,0.0046382193,-1.0889891,0.119417235,1.3207548,4.8190002,3.4382987,196.12029,6039.0,11385.268,3.3008344,38011.223,107.22173,267.0,1717.0,573.08386,196.58385,201.03903,11340.268,546.4383,115.477135,41446.707,742.71826,198.08171,0.567476,0.57377046,0.41092253,0.13266583,0.98994976,1.0
8,3.988984,4.849827,2.587209,0.43635035,-0.94050395,7160.972,0.6281407,-41.472,0.232,0.6392987,7162.1177,1.6755161,-8.0,1.7777778,96.0,1.7182817,-1.0,2.8637817,-96.0,2.4862819,-10.718282,2.3212879,0.029243274,0.0,0.0,0.047442965,0.0,-2.3148148,-10.718282,-0.6281407,-2.7182817,-0.232,0.040401142,7161.972,0.017404623,0.04286694,0.0,0.232,0.0,0.8063333,0.0,-1.205822,0.0798212,1.7777778,0.0,2.1816616,126.0,0.0,7215.972,2.1693149,1.6755161,433.6755,221.0,96.0,-0.14550003,124.8545,129.49606,7215.972,2.1816616,432.0,0.0,127.718285,132.17068,0.54206663,0.7868852,0.25590917,0.5406759,0.6281407,1.0
9,3.4011974,4.7248917,2.392745,1.1667843,-37.251614,6301.535,0.5527638,-24.27,-6.9905996,2.0609639,6303.189,-35.994297,-4.0,3.0666666,129.6,39.31828,-1.0,40.971924,-129.6,40.127277,-6.7182817,1.9896753,0.028024802,19.687313,0.12534256,0.7036867,0.0,-3.6666667,-6.7182817,-0.5527638,-40.31828,-0.191,0.063995406,6302.535,0.032163743,0.12222222,0.0,0.191,137.86667,0.6139065,0.0,6.482921,0.17452008,3.0666666,7.1815996,1.9198622,111.0,4173.6,6332.535,3.0130231,1.6057029,121.605705,202.0,1257.6,36.946354,109.34636,115.78495,6332.535,1.9198622,120.0,0.0,112.718285,114.15425,0.73178995,0.7540983,0.40536013,0.15018773,0.5527638,0.0
