,(frequency_ln_square*suction_side_displacement_thickness_sin),((frequency_ln_square*suction_side_displacement_thickness_sin)*(chord_length_radian_negative+chord_length_sigmoid_adde)),(suction_side_displacement_thickness_sin_sigmoid_radian*frequency_ln_sigmoid),((chord_length_radian_negative*frequency_degree)*(suction_side_displacement_thickness_radian_sin+free_stream_velocity_ln_adde)),((chord_length_radian_negative*frequency_degree)*free_stream_velocity_adde),((chord_length_sin_radian*frequency_relu)*angle_of_attack_relu_adde),((suction_side_displacement_thickness_zscore_abs+suction_side_displacement_thickness_zscore)+chord_length_sin_square_zscore),((suction_side_displacement_thickness_zscore_abs+suction_side_displacement_thickness_zscore)+(frequency_relu_mmnorm+suction_side_displacement_thickness_adde)),((suction_side_displacement_thickness_tanh_mmnorm-suction_side_displacement_thickness_sigmoid)+frequency_relu_mmnorm),((frequency_relu_mmnorm*suction_side_displacement_thickness_adde)+chord_length_sin_square_zscore),((chord_length_sin_radian*frequency_relu)-(frequency_relu_mmnorm+suction_side_displacement_thickness_sin)),((frequency_relu_mmnorm*suction_side_displacement_thickness_adde)-(suction_side_displacement_thickness_radian_sin+free_stream_velocity_ln_adde)),((chord_length_sin_radian*frequency_relu)-free_stream_velocity_ln_sigmoid),(frequency_relu_mmnorm_negative-(suction_side_displacement_thickness_tanh_mmnorm-suction_side_displacement_thickness_sigmoid)),(frequency_ln_square*suction_side_displacement_thickness_sin)_recip
0,0.11900998,0.39137352,0.008727358000000001,-1703.277,-18048.617,11.390198,2.1355133,2.7512481,-0.43131354,2.217966,4.1572533,-6.9027715,3.2040509999999998,0.43131354,8.402657000000001
1,0.12708808,0.41793900000000006,0.008729536999999999,-2129.0962,-22560.772999999997,14.237748000000002,2.1355133,2.7613492,-0.42121252,2.2454505,5.1947074,-6.875286999999999,4.251606,0.42121252,7.8685584
2,0.13543145,0.4453768,0.008731282,-2661.37,-28200.965,17.797186,2.1355133,2.7739754,-0.40858626,2.279806,6.491525,-6.8409320000000005,5.56105,0.40858626,7.383808999999999
3,0.14497058,0.47674698,0.00873281,-3406.554,-36097.234,22.780396,2.1355133,2.7916522,-0.39090949999999997,2.3279033,8.30707,-6.792834299999999,7.394271000000001,0.39090949999999997,6.897950999999999
4,0.15387261,0.506022,0.0087339,-4258.1924,-45121.547,28.475496000000003,2.1355133,2.8118541,-0.37070748,2.3828718999999996,10.381977000000001,-6.737865400000001,9.489381,0.37070748,6.4988823
5,0.16303985,0.5361691999999999,0.008734774,-5322.74,-56401.93,35.59437,2.1355133,2.8371067,-0.34545496,2.4515827,12.975613000000001,-6.669155,12.108269,0.34545496,6.13347
6,0.17281406,0.5683123999999999,0.008735495,-6706.6533,-71066.44,44.848907000000004,2.1355133,2.869935,-0.31262666,2.5409067000000003,16.347338,-6.5798309999999995,15.512822,0.31262666,5.7865663
7,0.18321633,0.60252106,0.008736083,-8516.385,-90243.09,56.950993000000004,2.1355133,2.9128642000000005,-0.26969737,2.6577148,20.756517000000002,-6.4630227,19.964931,0.26969737,5.458029
8,0.19320747,0.6353776999999999,0.00873652,-10645.48,-112803.86,71.18874,2.1355133,2.9633694,-0.21919233,2.7951365000000004,25.943787,-6.325601,25.202707,0.21919233,5.175783
9,0.20383503,0.67032725,0.00873688,-13413.306999999999,-142132.88,89.697815,2.1355133,3.029026,-0.15353575,2.9737843999999996,32.687236999999996,-6.146953,32.011814,0.15353575,4.905928
10,0.21511935,0.7074366,0.008737175,-17032.77,-180486.19,113.90198500000001,2.1355133,3.1148846000000003,-0.06767717,3.2074008,41.505596000000004,-5.9133368,40.91603,0.06767717,4.6485825
11,0.2259344,0.7430028000000001,0.008737394,-21290.96,-225607.72,142.37749,2.1355133,3.2158947,0.033332914,3.4822434999999996,51.880140000000004,-5.638494000000001,51.391582,-0.033332914,4.426063500000001
12,0.23701467,0.77944106,0.008737568000000001,-26613.701,-282009.62,177.97185,2.1355133,3.3421574,0.15959555,3.8257976,64.84830500000001,-5.29494,64.48601500000001,-0.15959555,4.219148000000001
13,0.24958158,0.8207683000000001,0.0087377215,-34065.54,-360972.38,227.80397000000002,2.1355133,3.518925,0.33636320000000003,4.3067720000000005,83.00375,-4.8139650000000005,82.81823,-0.33636320000000003,4.006705999999999
14,0.10932957,0.35953873,0.008721555,-1026.3705,-8872.466,7.118874000000001,2.1355133,2.736264,-0.44361728,2.1767423,2.6009052,-6.6934857,1.6365865,0.44361728,9.146657000000001
15,0.11761236,0.38677734,0.008725148,-1293.2267,-11179.306999999999,8.969781,2.1355133,2.7428296000000003,-0.43705162,2.1946082000000002,3.2752502,-6.675619599999999,2.3174973,0.43705162,8.502507000000001
16,0.12649184,0.41597822,0.008728086999999999,-1642.1926,-14195.944,11.390198,2.1355133,2.7514155,-0.42846575,2.2179713,4.157086,-6.6522565,3.2079191000000002,0.42846575,7.905647999999999
17,0.13507782,0.44421387,0.008730267,-2052.741,-17744.932,14.237748000000002,2.1355133,2.7615166,-0.41836473,2.2454572,5.19454,-6.624770599999999,4.2554739999999995,0.41836473,7.40314
18,0.14394571,0.4733766,0.008732011999999999,-2565.926,-22181.164,17.797186,2.1355133,2.7741427000000005,-0.40573847,2.2798147,6.491358,-6.590413000000001,5.564918,0.40573847,6.9470634
19,0.15408453,0.5067189000000001,0.008733539,-3284.3853,-28391.889,22.780396,2.1355133,2.7918196,-0.3880617,2.3279152,8.306902000000001,-6.5423126,7.398139,0.3880617,6.489944
20,0.16354620000000003,0.53783435,0.00873463,-4105.482,-35489.863,28.475496000000003,2.1355133,2.8120215,-0.3678597,2.3828871,10.38181,-6.4873405,9.493249,0.3678597,6.11448
21,0.17328978,0.56987685,0.008735504,-5131.852,-44362.33,35.59437,2.1355133,2.8372740000000003,-0.34260717,2.4516022,12.975445,-6.418626000000001,12.112136999999999,0.34260717,5.770681
22,0.18367846,0.6040408,0.008736224,-6466.1343,-55896.535,44.848907000000004,2.1355133,2.8701024,-0.30977887,2.5409317000000002,16.347170000000002,-6.329296,15.516689999999999,0.30977887,5.444296400000001
23,0.19473471,0.6404002,0.008736813000000001,-8210.964,-70979.73,56.950993000000004,2.1355133,2.9130316,-0.26684958,2.657747,20.75635,-6.2124805,19.968798,0.26684958,5.1351914
24,0.20535396,0.67532235,0.00873725,-10263.704,-88724.66,71.18874,2.1355133,2.9635367,-0.21634454,2.7951770000000002,25.943620000000003,-6.075051,25.206573000000002,0.21634454,4.8696410000000006
25,0.21664965,0.7124691,0.00873761,-12932.268999999998,-111793.07,89.697815,2.1355133,3.0291933999999996,-0.15068796,2.973836,32.68707,-5.896392,32.015682,0.15068796,4.615747
26,0.22864339,0.75191146,0.008737905,-16421.928,-141959.45,113.90198500000001,2.1355133,3.115052,-0.06482938,3.2074666,41.50543,-5.662761,40.9199,0.06482938,4.373623
27,0.24013835,0.78971356,0.008738124,-20527.408,-177449.31,142.37749,2.1355133,3.216062,0.036180705,3.4823265,51.87997,-5.3879013,51.39545,-0.036180705,4.1642660000000005
28,0.25191522,0.8284427,0.008738298,-25659.26,-221811.62,177.97185,2.1355133,3.3423247000000003,0.16244334,3.8259015,64.84814,-5.0443263,64.48988,-0.16244334,3.9695894999999997
