,frequency_ln,free_stream_velocity_ln,chord_length_radian,suction_side_displacement_thickness_radian,chord_length_sigmoid,suction_side_displacement_thickness_sigmoid,suction_side_displacement_thickness_tanh,chord_length_tanh,suction_side_displacement_thickness_zscore,angle_of_attack_zscore,free_stream_velocity_adde,suction_side_displacement_thickness_adde,chord_length_adde,suction_side_displacement_thickness_sin,frequency_sin,chord_length_sin,chord_length_degree,angle_of_attack_degree,frequency_degree,chord_length_relu,frequency_relu,angle_of_attack_relu,scaled_sound_pressure_level
0,6.684612,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.89396966,0.3001024,17.463753,0.0,45836.62,0.3048,800.0,0.0,126.201
1,6.9077554,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.82687956,0.3001024,17.463753,0.0,57295.777,0.3048,1000.0,0.0,125.201
2,7.130899,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.34653634,0.3001024,17.463753,0.0,71619.72,0.3048,1250.0,0.0,125.951
3,7.377759,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.80122477,0.3001024,17.463753,0.0,91673.24,0.3048,1600.0,0.0,127.591
4,7.6009026,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.9300395,0.3001024,17.463753,0.0,114591.555,0.3048,2000.0,0.0,127.461
5,7.824046,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.65012753,0.3001024,17.463753,0.0,143239.44,0.3048,2500.0,0.0,125.571
6,8.055158,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.850761,0.3001024,17.463753,0.0,180481.7,0.3048,3150.0,0.0,125.201
7,8.294049,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.6835038,0.3001024,17.463753,0.0,229183.11,0.3048,4000.0,0.0,123.061
8,8.517193,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.9879664,0.3001024,17.463753,0.0,286478.88,0.3048,5000.0,0.0,121.301
9,8.748305,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.89423966,0.3001024,17.463753,0.0,360963.4,0.3048,6300.0,0.0,119.541
