,frequency_sin_abs,suction_side_displacement_thickness_zscore_abs,chord_length_sigmoid_exp,suction_side_displacement_thickness_tanh_exp,suction_side_displacement_thickness_sin_exp,frequency_sin_sin,suction_side_displacement_thickness_radian_sin,frequency_relu_sin,angle_of_attack_zscore_sin,chord_length_radian_radian,free_stream_velocity_ln_radian,frequency_sin_radian,chord_length_sin_radian,suction_side_displacement_thickness_zscore_radian,free_stream_velocity_ln_mmnorm,frequency_relu_mmnorm,chord_length_sigmoid_mmnorm,suction_side_displacement_thickness_tanh_mmnorm,chord_length_tanh_mmnorm,chord_length_radian_negative,frequency_ln_negative,suction_side_displacement_thickness_zscore_negative,free_stream_velocity_ln_negative,frequency_ln_adde,free_stream_velocity_ln_adde,angle_of_attack_relu_adde,chord_length_sigmoid_adde,angle_of_attack_degree_adde,frequency_ln_sigmoid,free_stream_velocity_ln_sigmoid,chord_length_sigmoid_sigmoid,suction_side_displacement_thickness_sin_sigmoid,angle_of_attack_degree_sigmoid,suction_side_displacement_thickness_tanh_square,chord_length_sin_square,angle_of_attack_zscore_square,frequency_ln_square,scaled_sound_pressure_level
0,0.89396966,0.6448046,1.7782246,1.002667,1.002667,0.77956414,4.6484576e-05,0.89396966,-0.9112887,9.284739e-05,0.074471384,0.015602713,0.005237775,-0.011253963,1.0,0.030303031,1.0,0.039049268,1.0,-0.0053197634,-6.684612,0.6448046,-4.2668962,9.402893,6.985178,2.7182817,3.2938972,2.7182817,0.9987515,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,44.684036,126.201
1,0.82687956,0.6448046,1.7782246,1.002667,1.002667,0.7358219,4.6484576e-05,0.82687956,-0.9112887,9.284739e-05,0.074471384,0.014431771,0.005237775,-0.011253963,1.0,0.04040404,1.0,0.039049268,1.0,-0.0053197634,-6.9077554,0.6448046,-4.2668962,9.626038,6.985178,2.7182817,3.2938972,2.7182817,0.99900097,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,47.717083,125.201
2,0.34653634,0.6448046,1.7782246,1.002667,1.002667,-0.33964208,4.6484576e-05,-0.34653634,-0.9112887,9.284739e-05,0.074471384,-0.0060482,0.005237775,-0.011253963,1.0,0.053030305,1.0,0.039049268,1.0,-0.0053197634,-7.130899,0.6448046,-4.2668962,9.84918,6.985178,2.7182817,3.2938972,2.7182817,0.99920064,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,50.84972,125.951
3,0.80122477,0.6448046,1.7782246,1.002667,1.002667,-0.71820885,4.6484576e-05,-0.80122477,-0.9112887,9.284739e-05,0.074471384,-0.013984011,0.005237775,-0.011253963,1.0,0.07070707,1.0,0.039049268,1.0,-0.0053197634,-7.377759,0.6448046,-4.2668962,10.096041,6.985178,2.7182817,3.2938972,2.7182817,0.9993754,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,54.431328,127.591
4,0.9300395,0.6448046,1.7782246,1.002667,1.002667,0.80164355,4.6484576e-05,0.9300395,-0.9112887,9.284739e-05,0.074471384,0.016232252,0.005237775,-0.011253963,1.0,0.09090909,1.0,0.039049268,1.0,-0.0053197634,-7.6009026,0.6448046,-4.2668962,10.319184,6.985178,2.7182817,3.2938972,2.7182817,0.9995003,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,57.77372,127.461
5,0.65012753,0.6448046,1.7782246,1.002667,1.002667,-0.6052879,4.6484576e-05,-0.65012753,-0.9112887,9.284739e-05,0.074471384,-0.011346865,0.005237775,-0.011253963,1.0,0.116161615,1.0,0.039049268,1.0,-0.0053197634,-7.824046,0.6448046,-4.2668962,10.542328,6.985178,2.7182817,3.2938972,2.7182817,0.99960023,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,61.2157,125.571
6,0.850761,0.6448046,1.7782246,1.002667,1.002667,0.7517824,4.6484576e-05,0.850761,-0.9112887,9.284739e-05,0.074471384,0.014848581,0.005237775,-0.011253963,1.0,0.1489899,1.0,0.039049268,1.0,-0.0053197634,-8.055158,0.6448046,-4.2668962,10.773439,6.985178,2.7182817,3.2938972,2.7182817,0.99968266,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,64.88557,125.201
7,0.6835038,0.6448046,1.7782246,1.002667,1.002667,-0.6315136,4.6484576e-05,-0.6835038,-0.9112887,9.284739e-05,0.074471384,-0.011929392,0.005237775,-0.011253963,1.0,0.1919192,1.0,0.039049268,1.0,-0.0053197634,-8.294049,0.6448046,-4.2668962,11.012331,6.985178,2.7182817,3.2938972,2.7182817,0.9997501,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,68.79125,123.061
8,0.9879664,0.6448046,1.7782246,1.002667,1.002667,-0.8349084,4.6484576e-05,-0.9879664,-0.9112887,9.284739e-05,0.074471384,-0.017243266,0.005237775,-0.011253963,1.0,0.24242425,1.0,0.039049268,1.0,-0.0053197634,-8.517193,0.6448046,-4.2668962,11.235475,6.985178,2.7182817,3.2938972,2.7182817,0.9998,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,72.54257,121.301
9,0.89423966,0.6448046,1.7782246,1.002667,1.002667,-0.77973324,4.6484576e-05,-0.89423966,-0.9112887,9.284739e-05,0.074471384,-0.015607426,0.005237775,-0.011253963,1.0,0.30808082,1.0,0.039049268,1.0,-0.0053197634,-8.748305,0.6448046,-4.2668962,11.466587,6.985178,2.7182817,3.2938972,2.7182817,0.9998412,0.9861688,0.6400579,0.50066584,0.5,7.093506e-06,0.090061456,1.3142397,76.532845,119.541
