,chord_length_radian_radian_exp,chord_length_sin_radian_exp,suction_side_displacement_thickness_sin_sigmoid_exp,frequency_sin_radian_exp,(free_stream_velocity_ln_negative*frequency_ln_adde),(frequency_relu_mmnorm*suction_side_displacement_thickness_adde),(suction_side_displacement_thickness_sin_exp*chord_length_relu),(frequency_sin_radian*angle_of_attack_zscore),(chord_length_sin_radian*free_stream_velocity_ln_negative),(frequency_relu_sin*frequency_ln_sigmoid),(frequency_relu_sin*frequency_ln),(frequency_relu_mmnorm*free_stream_velocity_ln_negative),(chord_length_sin_radian*frequency_relu),(suction_side_displacement_thickness_radian_sin*free_stream_velocity_adde),(suction_side_displacement_thickness_tanh_mmnorm*frequency_sin),(frequency_relu_mmnorm*angle_of_attack_degree),(chord_length_radian_negative*frequency_degree),(frequency_ln_square*suction_side_displacement_thickness_sin),(frequency_sin_radian*suction_side_displacement_thickness_tanh_mmnorm),(angle_of_attack_zscore_square*suction_side_displacement_thickness_adde),(frequency_relu_sin*chord_length_sin_radian),(suction_side_displacement_thickness_sin_exp*suction_side_displacement_thickness_tanh_square),(frequency_sin_abs*free_stream_velocity_adde),(suction_side_displacement_thickness_tanh_exp*chord_length_sin_radian),(frequency_relu_sin+free_stream_velocity_ln_negative),(frequency_sin_abs+angle_of_attack_zscore_sin),(suction_side_displacement_thickness_zscore_abs+suction_side_displacement_thickness_zscore),(suction_side_displacement_thickness_zscore_radian+free_stream_velocity_ln_adde),(suction_side_displacement_thickness_sin_exp+suction_side_displacement_thickness_sin),(free_stream_velocity_ln_radian+free_stream_velocity_ln_sigmoid),(chord_length_sigmoid_mmnorm+frequency_ln_square),(chord_length_sin_square+suction_side_displacement_thickness_radian),(chord_length_sin_radian+suction_side_displacement_thickness),(frequency_ln_square+frequency_degree),(chord_length_radian_negative+frequency_sin),(suction_side_displacement_thickness_radian_sin+suction_side_displacement_thickness_radian),(suction_side_displacement_thickness_radian_sin+free_stream_velocity_ln_adde),(chord_length_radian_negative+chord_length_sigmoid_adde),(frequency_relu_mmnorm+suction_side_displacement_thickness_sin),(suction_side_displacement_thickness_zscore_negative+chord_length_sigmoid),(suction_side_displacement_thickness_zscore_radian+free_stream_velocity_adde),(suction_side_displacement_thickness_zscore_negative+angle_of_attack_zscore),(free_stream_velocity_ln_negative+angle_of_attack_degree_sigmoid),(frequency_relu_mmnorm+suction_side_displacement_thickness_adde),chord_length_tanh_mmnorm_radian,suction_side_displacement_thickness_tanh_square_radian,angle_of_attack_zscore_square_radian,frequency_ln_sigmoid_radian,suction_side_displacement_thickness_sin_sigmoid_radian,free_stream_velocity_ln_mmnorm_radian,angle_of_attack_degree_adde_zscore,suction_side_displacement_thickness_zscore_abs_zscore,frequency_relu_mmnorm_zscore,free_stream_velocity_ln_adde_zscore,chord_length_sin_square_zscore,suction_side_displacement_thickness_radian_sin_zscore,chord_length_sin_radian_zscore,free_stream_velocity_ln_negative_negative,chord_length_sin_radian_negative,frequency_relu_mmnorm_negative,chord_length_tanh_mmnorm_negative,frequency_ln_sigmoid_negative,suction_side_displacement_thickness_radian_sin_negative,suction_side_displacement_thickness_tanh_exp_negative,(frequency_sin_abs-suction_side_displacement_thickness_radian),(suction_side_displacement_thickness_sin_sigmoid-frequency_ln),(angle_of_attack_zscore_sin-chord_length_radian_negative),(angle_of_attack_degree_sigmoid-chord_length_adde),(free_stream_velocity_ln_mmnorm-chord_length_sigmoid_adde),(suction_side_displacement_thickness_tanh_square-chord_length_adde),(frequency_ln_sigmoid-frequency_degree),(frequency_ln_negative-chord_length_degree),(suction_side_displacement_thickness_zscore_negative-angle_of_attack),(angle_of_attack_degree_sigmoid-angle_of_attack_degree),(angle_of_attack_relu_adde-angle_of_attack),(free_stream_velocity_ln_negative-chord_length_sigmoid_sigmoid),(free_stream_velocity_ln_adde-chord_length_tanh),(chord_length_radian_negative-angle_of_attack_zscore),(chord_length_radian_radian-chord_length_tanh),(suction_side_displacement_thickness_tanh_mmnorm-suction_side_displacement_thickness_sigmoid),free_stream_velocity_ln_mmnorm_adde,chord_length_sigmoid_mmnorm_adde,frequency_sin_radian_adde,frequency_ln_adde_adde,suction_side_displacement_thickness_tanh_mmnorm_adde,free_stream_velocity_ln_radian_adde,scaled_sound_pressure_level
0,1.0000929,1.0052515,1.6498194,1.015725,-40.12117,0.082452886,0.3056129,-0.017886996,-0.022349043,0.89285356,5.97584,-0.1292999,4.19022,0.0034407086,0.03490886,0.0,-243.83998,0.11900998,0.00060927455,3.5759742,0.004682412,7.112424e-06,66.170105,0.005251744,-3.3729267,-0.017319024,0.0,6.973924,1.0053303,1.0606402,45.684036,0.09010794,0.007901145,45881.305,0.8886499,9.296915e-05,6.9852242,3.2885773,0.032966398,1.2204201,74.007034,-0.50159836,-3.7668962,2.7512481,0.017453292,1.2380504e-07,0.02293781,0.017431503,0.008738267,0.017453292,-1.146403,-0.19210754,-0.6620227,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.030303031,-1.0,-0.9987515,-4.6484576e-05,-1.002667,0.89392316,-6.183946,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-45835.62,-24.148365,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7338846,12.121175,2.757331,2.7927532,126.201
1,1.0000929,1.0052515,1.6498194,1.0145364,-41.073303,0.109937176,0.3056129,-0.016544625,-0.022349043,0.8260535,5.7118816,-0.17239985,5.237775,0.0034407086,0.032289043,0.0,-304.8,0.12708808,0.0005635501,3.5759742,0.004331009,7.112424e-06,61.20421,0.005251744,-3.4400167,-0.08440912,0.0,6.973924,1.0053303,1.0606402,48.717083,0.09010794,0.007901145,57343.496,0.8215598,9.296915e-05,6.9852242,3.2885773,0.043067407,1.2204201,74.007034,-0.50159836,-3.7668962,2.7613492,0.017453292,1.2380504e-07,0.02293781,0.017435856,0.008738267,0.017453292,-1.146403,-0.19210754,-0.59856135,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.04040404,-1.0,-0.99900097,-4.6484576e-05,-1.002667,0.82683307,-6.4070897,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-57294.777,-24.371508,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7327135,12.344319,2.757331,2.7927532,125.201
2,1.0000929,1.0052515,1.6498194,0.99397004,-42.02543,0.14429255,0.3056129,0.0069336747,-0.022349043,-0.34625933,-2.4711156,-0.2262748,6.547219,0.0034407086,-0.01353199,0.0,-380.99997,0.13543145,-0.00023617779,3.5759742,-0.0018150794,7.112424e-06,25.650026,0.005251744,-4.6134324,-0.56475234,0.0,6.973924,1.0053303,1.0606402,51.84972,0.09010794,0.007901145,71670.57,-0.3518561,9.296915e-05,6.9852242,3.2885773,0.05569367,1.2204201,74.007034,-0.50159836,-3.7668962,2.7739754,0.017453292,1.2380504e-07,0.02293781,0.017439341,0.008738267,0.017453292,-1.146403,-0.19210754,-0.51923466,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.053030305,-1.0,-0.99920064,-4.6484576e-05,-1.002667,0.34648985,-6.6302333,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-71618.72,-24.594652,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7122335,12.567462,2.757331,2.7927532,125.951
3,1.0000929,1.0052515,1.6498194,0.9861133,-43.07876,0.19239005,0.3056129,0.016031312,-0.022349043,-0.8007243,-5.9112434,-0.30169973,8.38044,0.0034407086,-0.03128724,0.0,-487.67996,0.14497058,-0.0005460654,3.5759742,-0.004196635,7.112424e-06,59.305286,0.005251744,-5.068121,-0.11006391,0.0,6.973924,1.0053303,1.0606402,55.431328,0.09010794,0.007901145,91727.67,-0.80654454,9.296915e-05,6.9852242,3.2885773,0.073370434,1.2204201,74.007034,-0.50159836,-3.7668962,2.7916522,0.017453292,1.2380504e-07,0.02293781,0.01744239,0.008738267,0.017453292,-1.146403,-0.19210754,-0.40817732,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.07070707,-1.0,-0.9993754,-4.6484576e-05,-1.002667,0.8011783,-6.8770933,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-91672.24,-24.84151,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7042978,12.814322,2.757331,2.7927532,127.591
4,1.0000929,1.0052515,1.6498194,1.0163647,-44.030888,0.24735865,0.3056129,-0.018608702,-0.022349043,0.9295748,7.06914,-0.38789967,10.47555,0.0034407086,0.036317363,0.0,-609.6,0.15387261,0.00063385756,3.5759742,0.0048713377,7.112424e-06,68.839935,0.005251744,-3.3368568,0.018750846,0.0,6.973924,1.0053303,1.0606402,58.77372,0.09010794,0.007901145,114649.33,0.92471975,9.296915e-05,6.9852242,3.2885773,0.09357246,1.2204201,74.007034,-0.50159836,-3.7668962,2.8118541,0.017453292,1.2380504e-07,0.02293781,0.01744457,0.008738267,0.017453292,-1.146403,-0.19210754,-0.28125456,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.09090909,-1.0,-0.9995003,-4.6484576e-05,-1.002667,0.92999303,-7.100237,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-114590.555,-25.064655,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.734514,13.037466,2.757331,2.7927532,127.461
5,1.0000929,1.0052515,1.6498194,0.98871726,-44.98302,0.31606936,0.3056129,0.01300808,-0.022349043,-0.64986765,-5.086628,-0.49564955,13.094438,0.0034407086,-0.025387004,0.0,-761.99994,0.16303985,-0.00044308678,3.5759742,-0.0034052217,7.112424e-06,48.121326,0.005251744,-4.9170237,-0.26116115,0.0,6.973924,1.0053303,1.0606402,62.2157,0.09010794,0.007901145,143300.66,-0.6554473,9.296915e-05,6.9852242,3.2885773,0.11882498,1.2204201,74.007034,-0.50159836,-3.7668962,2.8371067,0.017453292,1.2380504e-07,0.02293781,0.017446315,0.008738267,0.017453292,-1.146403,-0.19210754,-0.122601196,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.116161615,-1.0,-0.99960023,-4.6484576e-05,-1.002667,0.65008104,-7.3233805,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-143238.44,-25.2878,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.706935,13.26061,2.757331,2.7927532,125.571
6,1.0000929,1.0052515,1.6498194,1.0149593,-45.969147,0.40539333,0.3056129,-0.017022457,-0.022349043,0.85049105,6.853014,-0.6357244,16.498991,0.0034407086,0.033221595,0.0,-960.12,0.17281406,0.0005798262,3.5759742,0.0044560945,7.112424e-06,62.97187,0.005251744,-3.4161353,-0.060527682,0.0,6.973924,1.0053303,1.0606402,65.88557,0.09010794,0.007901145,180546.6,0.8454412,9.296915e-05,6.9852242,3.2885773,0.15165327,1.2204201,74.007034,-0.50159836,-3.7668962,2.869935,0.017453292,1.2380504e-07,0.02293781,0.017447755,0.008738267,0.017453292,-1.146403,-0.19210754,0.083648235,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.1489899,-1.0,-0.99968266,-4.6484576e-05,-1.002667,0.8507145,-7.554492,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-180480.7,-25.51891,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7331302,13.491721,2.757331,2.7927532,125.201
7,1.0000929,1.0052515,1.6498194,0.9881415,-46.988472,0.5222016,0.3056129,0.01367589,-0.022349043,-0.683333,-5.6690145,-0.8188993,20.9511,0.0034407086,-0.026690323,0.0,-1219.2,0.18321633,-0.00046583402,3.5759742,-0.0035800391,7.112424e-06,50.59178,0.005251744,-4.9504,-0.22778487,0.0,6.973924,1.0053303,1.0606402,69.79125,0.09010794,0.007901145,229251.9,-0.6888236,9.296915e-05,6.9852242,3.2885773,0.19458257,1.2204201,74.007034,-0.50159836,-3.7668962,2.9128642,0.017453292,1.2380504e-07,0.02293781,0.01744893,0.008738267,0.017453292,-1.146403,-0.19210754,0.35335898,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.1919192,-1.0,-0.9997501,-4.6484576e-05,-1.002667,0.6834573,-7.7933836,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-229182.11,-25.757801,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7063525,13.730613,2.757331,2.7927532,123.061
8,1.0000929,1.0052515,1.6498194,0.98290455,-47.940605,0.6596231,0.3056129,0.019767731,-0.022349043,-0.9877688,-8.4147005,-1.0343992,26.188875,0.0034407086,-0.038579363,0.0,-1523.9999,0.19320747,-0.0006733369,3.5759742,-0.005174746,7.112424e-06,73.12758,0.005251744,-5.254863,0.07667774,0.0,6.973924,1.0053303,1.0606402,73.54257,0.09010794,0.007901145,286551.4,-0.9932862,9.296915e-05,6.9852242,3.2885773,0.24508762,1.2204201,74.007034,-0.50159836,-3.7668962,2.9633694,0.017453292,1.2380504e-07,0.02293781,0.017449802,0.008738267,0.017453292,-1.146403,-0.19210754,0.6706658,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.24242425,-1.0,-0.9998,-4.6484576e-05,-1.002667,0.9879199,-8.016527,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-286477.88,-25.980946,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7010384,13.953756,2.757331,2.7927532,121.301
9,1.0000929,1.0052515,1.6498194,0.98451376,-48.92674,0.838271,0.3056129,0.0178924,-0.022349043,-0.8940977,-7.8230815,-1.3145489,32.997982,0.0034407086,-0.034919403,0.0,-1920.24,0.20383503,-0.00060945854,3.5759742,-0.004683826,7.112424e-06,66.19009,0.005251744,-5.1611357,-0.017049015,0.0,6.973924,1.0053303,1.0606402,77.532845,0.09010794,0.007901145,361039.94,-0.89955944,9.296915e-05,6.9852242,3.2885773,0.3107442,1.2204201,74.007034,-0.50159836,-3.7668962,3.029026,0.017453292,1.2380504e-07,0.02293781,0.01745052,0.008738267,0.017453292,-1.146403,-0.19210754,1.0831647,1.2428252,2.1355133,-0.64480466,1.7874475,4.2668962,-0.005237775,-0.30808082,-1.0,-0.9998412,-4.6484576e-05,-1.002667,0.8941932,-8.24764,-0.9059689,-2.5230818,-2.2938972,-3.0230746,-360962.4,-26.212059,0.6448046,0.5,2.7182817,-4.9069543,6.689479,1.1410832,-0.29560626,-0.46161658,3.7182817,3.7182817,2.7026744,14.184869,2.757331,2.7927532,119.541
