,atemp_tanh,workingday_tanh,casual_tanh,registered_tanh,weather_sigmoid,humidity_sigmoid,casual_sigmoid,temp_ln,season_ln,(weather/atemp),(workingday/atemp),(season/atemp),windspeed_sin,registered_sin,workingday_sin,workingday_adde,weather_adde,registered_adde,(casual+datetime),(casual+registered),(workingday+temp),(workingday+atemp),(temp+datetime),humidity_mmnorm,weather_mmnorm,registered_mmnorm,workingday_zscore,registered_zscore,atemp_zscore,windspeed_zscore,count
0,1.0,0.0,1.0,1.0,0.880797,1.0,1.0,3.356897,1.0986123,0.059997004,0.0,0.0899955,-0.999983,-0.33830503,0.0,2.7182817,4.7182817,209.71828,3810.0,308.0,28.7,33.335,3737.7,0.74,0.33333334,0.23363432,-1.4577379,0.3374087,1.1400648,-0.21800892,308.0
1,1.0,0.0,0.9999877,0.99999976,0.880797,1.0,0.9975274,2.8460715,0.0,0.09429515,0.0,0.047147576,-0.999983,0.98935825,0.0,2.7182817,4.7182817,10.718282,6747.0,14.0,17.22,21.21,6758.22,0.94,0.33333334,0.009029346,-1.4577379,-0.97678125,-0.29286346,-0.21800892,14.0
2,1.0,0.0,1.0,1.0,0.7310586,1.0,1.0,3.2672849,1.3862944,0.03219575,0.0,0.128783,0.41835144,0.41214597,0.0,2.7182817,3.7182817,348.7183,10041.0,539.0,26.24,31.06,9874.24,0.44,0.0,0.3905192,-1.4577379,1.2553604,0.87120616,0.025939684,539.0
3,1.0,0.7615942,1.0,1.0,0.7310586,1.0,1.0,3.4391353,0.6931472,0.029998502,0.029998502,0.059997004,-0.64552724,0.98358774,0.841471,3.7182817,3.7182817,98.718285,1457.0,143.0,32.16,34.335,1441.16,0.22999999,0.0,0.10835215,0.6859943,-0.3956319,1.1400648,2.9582343,143.0
4,1.0,0.7615942,0.0,0.7615942,0.880797,1.0,0.5,2.7972813,1.3862944,0.09777561,0.048887804,0.19555122,-0.011651149,0.841471,0.841471,3.7182817,4.7182817,3.7182817,10672.0,1.0,17.4,21.455,10688.4,0.65999997,0.33333334,0.0011286682,0.6859943,-1.0230091,-0.382089,1.1261642,1.0
5,1.0,0.7615942,1.0,1.0,0.7310586,1.0,1.0,3.356897,1.0986123,0.029998502,0.029998502,0.0899955,0.6581168,-0.7023863,0.841471,3.7182817,3.7182817,196.71828,3055.0,250.0,29.7,34.335,3027.7,0.78999996,0.0,0.21896163,0.6859943,0.25155708,1.1400648,-0.7067247,250.0
6,1.0,0.7615942,0.99999994,1.0,0.880797,1.0,0.9998766,2.6919208,0.6931472,0.1257071,0.06285355,0.1257071,0.9999419,-0.85552,0.841471,3.7182817,4.7182817,69.718285,1442.0,76.0,15.76,16.91,1447.76,0.57,0.33333334,0.07562077,0.6859943,-0.58714706,-0.9192155,2.469519,76.0
7,1.0,0.0,1.0,1.0,0.7310586,1.0,1.0,3.412467,1.0986123,0.028694406,0.0,0.08608322,-0.999983,-0.75100714,0.0,2.7182817,3.7182817,339.7183,9274.0,482.0,30.34,34.85,9159.34,0.65999997,0.0,0.38036117,-1.4577379,1.1959246,1.3191069,-0.21800892,482.0
8,1.0,0.7615942,1.0,1.0,0.880797,1.0,1.0,3.2672849,0.6931472,0.0643915,0.03219575,0.0643915,0.6581168,0.5949086,0.841471,3.7182817,4.7182817,193.71828,7514.0,259.0,27.24,32.059998,7472.24,0.53,0.33333334,0.21557562,0.6859943,0.23174517,0.87120616,-0.7067247,259.0
9,1.0,0.7615942,1.0,1.0,0.7310586,1.0,1.0,2.9796028,1.3862944,0.04258037,0.04258037,0.17032148,0.41835144,0.609044,0.841471,3.7182817,3.7182817,149.71828,4543.0,167.0,20.68,24.485,4542.68,0.55,0.0,0.16591422,0.6859943,-0.05882948,-0.024004566,0.025939684,167.0
10,0.9999891,0.0,0.0,1.0,0.95257413,1.0,0.5,1.7474592,0.0,0.4950495,0.0,0.1650165,-0.9608175,0.42016706,0.0,2.7182817,5.7182817,15.718282,394.0,13.0,5.74,6.06,399.74,0.93,0.6666666,0.014672686,-1.4577379,-0.94376135,-2.083285,0.5146555,13.0
11,1.0,0.7615942,1.0,1.0,0.880797,1.0,0.9999999,2.8925915,0.0,0.09103323,0.045516614,0.045516614,0.0,0.053083587,0.841471,3.7182817,4.7182817,134.71828,6727.0,148.0,19.04,22.97,6729.04,0.94,0.33333334,0.14898421,0.6859943,-0.15788901,-0.20304689,-1.562182,148.0
12,1.0,0.0,1.0,1.0,0.7310586,1.0,1.0,3.4391353,1.0986123,0.027498968,0.0,0.082496904,-0.011651149,-0.629888,0.0,2.7182817,3.7182817,83.718285,8738.0,108.0,31.16,36.365,8742.16,0.65999997,0.0,0.091422126,-1.4577379,-0.49469146,1.4981494,1.1261642,108.0
