,weather_adde_ln,(casual+registered)_ln,(casual+datetime)_ln,season_ln_adde,weather_sigmoid_adde,(weather/atemp)_adde,(casual+registered)_adde,workingday_sin_adde,registered_sin_abs,workingday_zscore_abs,(casual+registered)_radian,(weather/atemp)_radian,workingday_tanh_radian,(workingday+atemp)_radian,casual_sigmoid_radian,season_ln_degree,windspeed_zscore_degree,workingday_zscore_degree,(casual+registered)_degree,atemp_zscore_degree,windspeed_sin_exp,registered_sin_exp,registered_tanh_negative,(casual+registered)_negative,windspeed_zscore_negative,registered_sin_negative,season_ln_negative,humidity_sigmoid_zscore,(casual+registered)_zscore,(casual+registered)_recip,casual_tanh_recip,(season/atemp)_recip,count
0,1.5514446,5.7300997,8.245384,3.816894,3.5990787,2.7782788,310.7183,2.7182817,0.33830503,1.4577379,5.375614,0.0010471452,0.0,0.58180547,0.017453292,62.945847,-12.490991,-83.522224,17647.1,65.3209,0.36788568,0.7129777,-1.0,-308.0,0.21800892,0.33830503,-1.0986123,0.04476791,0.638095,0.0032467532,1.0,11.111667,308.0
1,1.5514446,2.6390574,8.816854,2.7182817,3.5990787,2.812577,16.71828,2.7182817,0.98935825,1.4577379,0.2443461,0.0016457608,0.0,0.3701843,0.017410139,0.0,-12.490991,-83.522224,802.14087,-16.779839,0.36788568,2.6895077,-0.99999976,-14.0,0.21800892,-0.98935825,-0.0,0.04476791,-0.9808988,0.071428575,0.9999877,21.21,14.0
2,1.3132616,6.289716,9.214432,4.104576,3.4493403,2.7504776,541.71826,2.7182817,0.41214597,1.4577379,9.407325,0.00056192186,0.0,0.54209924,0.017453292,79.42881,1.4862343,-83.522224,30882.424,49.916435,1.5194545,1.5100548,-1.0,-539.0,-0.025939684,-0.41214597,-1.3862944,0.04476791,1.9101616,0.0018552876,1.0,7.765,539.0
3,1.3132616,4.962845,7.284135,3.411429,3.4493403,2.7482803,145.71828,3.5597527,0.98358774,0.6859943,2.4958208,0.0005235726,0.013292326,0.5992588,0.017453292,39.714405,169.49434,39.304577,8193.296,65.3209,0.524386,2.6740327,-1.0,-143.0,-2.9582343,-0.98358774,-0.6931472,0.04476791,-0.27052397,0.006993007,1.0,16.6675,143.0
4,1.5514446,0.0,9.275379,4.104576,3.5990787,2.8160574,3.7182817,3.5597527,0.841471,0.6859943,0.017453292,0.0017065062,0.013292326,0.3744604,0.008726646,79.42881,64.52445,39.304577,57.295776,-21.892086,0.9884165,2.319777,-0.7615942,-1.0,-1.1261642,-0.841471,-1.3862944,0.04476791,-1.052487,1.0,0.0,5.11375,1.0
5,1.3132616,5.521461,8.024535,3.816894,3.4493403,2.7482803,252.71828,3.5597527,0.7023863,0.6859943,4.363323,0.0005235726,0.013292326,0.5992588,0.017453292,62.945847,-40.49234,39.304577,14323.944,65.3209,1.9311522,0.49540168,-1.0,-250.0,0.7067247,0.7023863,-1.0986123,0.04476791,0.3187017,0.004,1.0,11.111667,250.0
6,1.5514446,4.3307333,7.2737865,3.411429,3.5990787,2.843989,78.718285,3.5597527,0.85552,0.6859943,1.3264502,0.002194003,0.013292326,0.29513517,0.01745114,39.714405,141.493,39.304577,4354.479,-52.667164,2.718124,0.4250621,-1.0,-76.0,-2.469519,0.85552,-0.6931472,0.04476791,-0.6394784,0.013157895,0.99999994,7.955,76.0
7,1.3132616,6.177944,9.13497,3.816894,3.4493403,2.7469761,484.7183,2.7182817,0.75100714,1.4577379,8.412487,0.00050081185,0.0,0.6082472,0.017453292,62.945847,-12.490991,-83.522224,27616.564,75.579254,0.36788568,0.47189105,-1.0,-482.0,0.21800892,0.75100714,-1.0986123,0.04476791,1.5962751,0.002074689,1.0,11.616666,482.0
8,1.5514446,5.556828,8.924523,3.411429,3.5990787,2.7826734,261.7183,3.5597527,0.5949086,0.6859943,4.520403,0.0011238437,0.013292326,0.5595525,0.017453292,39.714405,-40.49234,39.304577,14839.606,49.916435,1.9311522,1.8128653,-1.0,-259.0,0.7067247,-0.5949086,-0.6931472,0.04476791,0.36826274,0.0038610038,1.0,15.53,259.0
9,1.3132616,5.117994,8.421343,4.104576,3.4493403,2.760862,169.71828,3.5597527,0.609044,0.6859943,2.9146998,0.00074316765,0.013292326,0.42734388,0.017453292,79.42881,1.4862343,39.304577,9568.395,-1.3753603,1.5194545,1.8386729,-1.0,-167.0,-0.025939684,-0.609044,-1.3862944,0.04476791,-0.1383612,0.005988024,1.0,5.87125,167.0
10,1.7436683,2.5649493,5.976351,2.7182817,3.670856,3.2133312,15.718282,2.7182817,0.42016706,1.4577379,0.2268928,0.008640244,0.0,0.10576695,0.008726646,0.0,29.487585,-83.522224,744.8451,-119.363434,0.38257998,1.5222158,-1.0,-13.0,-0.5146555,-0.42016706,-0.0,0.04476791,-0.9864056,0.07692308,0.0,6.06,13.0
11,1.5514446,4.9972124,8.813885,2.7182817,3.5990787,2.809315,150.71828,3.5597527,0.053083587,0.6859943,2.5830872,0.0015888296,0.013292326,0.40090212,0.01745329,0.0,-89.506424,39.304577,8479.775,-11.633729,1.0,1.0545179,-1.0,-148.0,1.562182,-0.053083587,-0.0,0.04476791,-0.24299006,0.006756757,1.0,21.97,148.0
12,1.3132616,4.6821313,9.075437,3.816894,3.4493403,2.7457807,110.718285,2.7182817,0.629888,1.4577379,1.8849555,0.0004799475,0.0,0.63468903,0.017453292,62.945847,64.52445,-83.522224,6187.944,85.83763,0.9884165,0.5326515,-1.0,-108.0,-1.1261642,0.629888,-1.0986123,0.04476791,-0.46326137,0.009259259,1.0,12.121667,108.0
13,1.5514446,1.3862944,6.391917,2.7182817,3.5990787,2.843989,6.7182817,3.5597527,0.7568025,0.6859943,0.06981317,0.002194003,0.013292326,0.29513517,0.008726646,0.0,-89.506424,39.304577,229.1831,-52.667164,1.0,0.4691642,-0.9993293,-4.0,1.562182,0.7568025,-0.0,0.04476791,-1.0359666,0.25,0.0,15.91,4.0
14,1.5514446,4.465908,8.572438,4.104576,3.5990787,2.850295,89.718285,3.5597527,0.8218178,0.6859943,1.5184364,0.002304065,0.013292326,0.28187066,0.008726646,79.42881,-89.506424,39.304577,4984.7324,-57.81327,1.0,0.43963176,-1.0,-87.0,1.562182,0.8218178,-1.3862944,0.04476791,-0.5789038,0.011494253,0.0,3.7875,87.0
15,1.3132616,2.4849067,6.43294,2.7182817,3.4493403,2.906783,14.718282,3.5597527,0.41211846,0.6859943,0.20943952,0.0032899703,0.013292326,0.110043004,0.016625555,0.0,64.52445,39.304577,687.5493,-124.475685,0.9884165,1.5100132,-0.99999994,-12.0,-1.1261642,-0.41211846,-0.0,0.04476791,-0.99191236,0.083333336,0.9950548,5.305,12.0
