,weather_sigmoid_adde_zscore,workingday_sin_adde_zscore,(casual+registered)_negative_zscore,workingday_zscore_degree_zscore,casual_sigmoid_radian_zscore,(casual+registered)_degree_zscore,(casual+registered)_radian_ln,(casual+registered)_adde_ln,workingday_zscore_abs_ln,season_ln_adde_ln,(workingday+atemp)_radian_ln,(casual+registered)_recip_sigmoid,casual_sigmoid_radian_sigmoid,(casual+registered)_adde_sigmoid,(casual+datetime)_ln_sigmoid,workingday_zscore_abs_sigmoid,workingday_tanh_radian_negative,(casual+registered)_ln_negative,casual_sigmoid_radian_negative,season_ln_negative_negative,(casual+registered)_degree_negative,(casual+registered)_negative_abs,workingday_zscore_degree_abs,humidity_sigmoid_zscore_abs,(casual+registered)_recip_tanh,humidity_sigmoid_zscore_tanh,workingday_tanh_radian_tanh,workingday_sin_adde_recip,workingday_tanh_radian_recip,(casual+registered)_negative_recip,humidity_sigmoid_zscore_mmnorm,(casual+registered)_adde_mmnorm,workingday_sin_adde_mmnorm,weather_sigmoid_adde_mmnorm,workingday_tanh_radian_mmnorm,count
0,1.1544789,-1.4577379,-0.638095,-1.4577379,0.46024832,0.6380951,1.6818728,5.738887,0.3768859,1.339437,-0.5416192,0.5008117,0.5043632,1.0,0.99973756,0.81118643,-0.0,-5.7300997,-0.017453292,1.0986123,-17647.1,308.0,83.522224,0.04476791,0.0032467418,0.044738024,0.0,0.36787945,0.0,-0.0032467532,1.0,0.31454918,0.0,0.59667397,0.0,308.0
1,1.1544789,-1.4577379,0.9808988,-1.4577379,0.44390202,-0.98089886,-1.4091697,2.8165028,0.3768859,1.0,-0.99375427,0.51784956,0.50435245,1.0,0.9998518,0.81118643,-0.0,-2.6390574,-0.017410139,0.0,-802.14087,14.0,83.522224,0.04476791,0.07130734,0.044738024,0.0,0.36787945,0.0,-0.071428575,1.0,0.013319671,0.0,0.59667397,0.0,14.0
2,-0.7005614,-1.4577379,-1.9101616,-1.4577379,0.46024832,1.9101616,2.2414887,6.294746,0.3768859,1.4121025,-0.6123062,0.50046384,0.5043632,1.0,0.99990046,0.81118643,-0.0,-6.289716,-0.017453292,1.3862944,-30882.424,539.0,83.522224,0.04476791,0.0018552855,0.044738024,0.0,0.36787945,0.0,-0.0018552876,1.0,0.5512295,0.0,0.0,0.0,539.0
3,-0.7005614,0.6859944,0.27052397,0.6859943,0.46024832,-0.27052397,0.91461766,4.981675,-0.37688592,1.2271312,-0.5120617,0.50174826,0.5043632,1.0,0.9993142,0.66507524,-0.013292326,-4.962845,-0.017453292,0.6931472,-8193.296,143.0,39.304577,0.04476791,0.006992893,0.044738024,0.013291542,0.2809184,0.013292326,-0.006993007,1.0,0.14549178,1.0,0.0,0.99999994,143.0
4,1.1544789,0.6859944,1.052487,0.6859943,-2.845338,-1.052487,-4.048227,1.3132616,-0.37688592,1.4121025,-0.9822692,0.7310586,0.50218165,0.9762997,0.9999063,0.66507524,-0.013292326,-0.0,-0.008726646,1.3862944,-57.295776,1.0,39.304577,0.04476791,0.7615942,0.044738024,0.013291542,0.2809184,0.013292326,-1.0,1.0,0.0,1.0,0.59667397,0.99999994,1.0
5,-0.7005614,0.6859944,-0.3187017,0.6859943,0.46024832,0.31870174,1.4732339,5.532275,-0.37688592,1.339437,-0.5120617,0.501,0.5043632,1.0,0.9996728,0.66507524,-0.013292326,-5.521461,-0.017453292,1.0986123,-14323.944,250.0,39.304577,0.04476791,0.003999979,0.044738024,0.013291542,0.2809184,0.013292326,-0.004,1.0,0.25512293,1.0,0.0,0.99999994,250.0
6,1.1544789,0.6859944,0.6394784,0.6859943,0.4594327,-0.6394783,0.28250635,4.3658752,-0.37688592,1.2271312,-1.2203218,0.5032894,0.50436264,1.0,0.99930704,0.66507524,-0.013292326,-4.3307333,-0.01745114,0.6931472,-4354.479,76.0,39.304577,0.04476791,0.013157136,0.044738024,0.013291542,0.2809184,0.013292326,-0.013157895,1.0,0.07684426,1.0,0.59667397,0.99999994,76.0
7,-0.7005614,-1.4577379,-1.5962751,-1.4577379,0.46024832,1.5962751,2.129717,6.183568,0.3768859,1.339437,-0.49717385,0.5005187,0.5043632,1.0,0.9998921,0.81118643,-0.0,-6.177944,-0.017453292,1.0986123,-27616.564,482.0,83.522224,0.04476791,0.0020746859,0.044738024,0.0,0.36787945,0.0,-0.002074689,1.0,0.49282783,0.0,0.0,0.0,482.0
8,1.1544789,0.6859944,-0.36826274,0.6859943,0.46024832,0.36826277,1.5086012,5.567269,-0.37688592,1.2271312,-0.58061796,0.50096524,0.5043632,1.0,0.99986696,0.66507524,-0.013292326,-5.556828,-0.017453292,0.6931472,-14839.606,259.0,39.304577,0.04476791,0.0038609845,0.044738024,0.013291542,0.2809184,0.013292326,-0.0038610038,1.0,0.26434425,1.0,0.59667397,0.99999994,259.0
9,-0.7005614,0.6859944,0.1383612,0.6859943,0.46024832,-0.13836122,1.0697669,5.13414,-0.37688592,1.4121025,-0.85016626,0.50149703,0.5043632,1.0,0.99978,0.66507524,-0.013292326,-5.117994,-0.017453292,1.3862944,-9568.395,167.0,39.304577,0.04476791,0.0059879525,0.044738024,0.013291542,0.2809184,0.013292326,-0.005988024,1.0,0.17008194,1.0,0.0,0.99999994,167.0
