,(NOX_tanh_sigmoid-LSTAT_recip),((RM_negative_abs/NOX_tanh)-DIS),((PTRATIO_radian_sigmoid-CRIM_radian_sigmoid)-(LSTAT_radian_cos*LSTAT_square_mmnorm)),((LSTAT_recip_tanh-RM_negative)-PTRATIO_relu_mmnorm_square),((RM_zscore_recip-RAD)-(NOX_tanh_mmnorm*LSTAT_square)),((LSTAT_recip_tanh*RM_relu)-RM_negative_adde),((LSTAT_recip_tanh*RM_relu)-PTRATIO_relu_mmnorm),((PTRATIO_radian_sigmoid*LSTAT_radian_recip)/TAX),((NOX_tanh_mmnorm*LSTAT_square)/NOX_tanh_cos_recip),((RM_zscore_abs*RM_tanh_tanh)/LSTAT_adde_adde),((RM_adde_tanh*AGE_relu)/LSTAT_square_recip),((NOX_tanh_sigmoid-LSTAT_recip)/RM_negative_abs),((NOX_exp_negative-RM)/LSTAT_recip),((LSTAT_tanh_negative*RM_relu)/LSTAT_recip_sigmoid_recip),(RM_relu_relu_square/LSTAT_adde),((LSTAT_recip_tanh*LSTAT_recip)+RM_relu_mmnorm),((NOX_tanh_sigmoid*TAX)+LSTAT_recip),((PTRATIO_radian_sigmoid-LSTAT_tanh)+(NOX_tanh_sigmoid-LSTAT_recip)),((RM_zscore_tanh/RM_negative)+CRIM_radian),((LSTAT_recip_tanh*RM_relu)+NOX_tanh_cos_square),((NOX_tanh_mmnorm*LSTAT_square)+RM_negative),((ZN_recip_relu*RM_zscore_tanh)+LSTAT_recip_sigmoid_sigmoid),((LSTAT_recip_sigmoid/AGE_relu)+LSTAT_recip_tanh),(LSTAT_adde_recip_degree*NOX_exp),((LSTAT_square_relu-ZN_tanh)*TAX),((NOX_exp_negative-RM)*LSTAT_adde_recip_degree),((NOX_tanh_cos*PTRATIO_relu_mmnorm)*LSTAT_square_mmnorm),((RM_negative_abs*LSTAT_recip_tanh)*LSTAT_adde_adde),((NOX_exp_mmnorm-PTRATIO)*(RM_negative_cos/DIS)),((LSTAT_square_relu-ZN_tanh)*LSTAT_recip_tanh_square),((RM_negative_cos*RM_adde)*(LSTAT_square_relu/RM_relu)),((PTRATIO_radian_sigmoid*LSTAT_radian_recip)*(RM_zscore_abs/DIS)),((LSTAT_adde_recip*LSTAT_radian)*PTRATIO_radian_sigmoid),((RM_zscore_abs-NOX_tanh_cos)*LSTAT_recip_tanh_square)
0,0.41965002,9.288164,0.05123708,6.690644,-7.798760400000001,5.159535400000001,1.0155832,0.02201395,8.125305,0.030245021,1616.986,0.0638251,-41.272137,-3.6161239999999997,5.6156197,0.6172938,183.85497,-0.013890564,-0.05944646,2.0801043999999997,2.6411371,7.682687,0.20658320000000002,12.746156,7044.9185,-61.681713,0.0038384315999999996,13.570878,-3.5208201,0.93445796,33.57161,0.6590556,0.006394539,-0.018373461
1,0.49822792,9.713128999999999,0.0216555,6.223954,-14.40414,4.402444999999999,0.14653516,0.014947665,15.899198,0.010150393,6591.275,0.07759351,-73.29727,-3.385954,3.4768307000000003,0.5599205,147.1576,0.075276405,-0.029404472999999997,1.5203087,11.130497,0.6288590000000001,0.11565816400000001,7.722981,20216.584,-38.74739,0.028054692000000003,10.199608999999999,-3.5216787000000003,0.9920734,117.778076,0.14148211,0.007762723000000001,-0.008450421999999999
2,0.35949814,11.45985,0.067744024,7.1221476,-4.632582,6.2138834,1.1939739,0.033901155,3.0909567000000004,0.103195466,992.3191,0.050034537999999996,-35.397083,-4.0333977,7.649980499999999,0.7547254,147.29633,-0.062821746,-0.11882867,2.5677476,-3.7728205000000004,0.63685006,0.25236190000000003,13.571051999999998,3930.2983,-74.574745,0.004614324,16.539652,-2.2050077999999997,0.9603391,13.883072,2.1186373,0.0060145273,0.022283696000000002
3,0.26536804,10.27099,0.076813884,6.904481,-3.6013107000000004,6.572255,1.6436005,0.05099257,1.4419765,0.09240179,395.8769,0.037920552999999996,-25.221992,-4.065608,8.654925,0.76998353,134.76203999999998,-0.14818043,-0.10923159,3.1199265,-5.4127307,0.6420387,0.34035479999999996,16.008287,1918.8793,-86.87005,0.0023183586999999998,19.20358,-2.3145265999999998,0.92763984,9.063402,1.8978099,0.0052677444,0.011450402
4,0.41788685,10.618752,0.06298702,6.911328,-7.396350999999999,5.754103700000001,0.6764493,0.028127233999999997,4.7393410000000005,0.0869057,1539.7623,0.05847025,-46.519756,-3.9075620000000004,6.3466473,0.7218977,134.60953,-0.0011886954,-0.116629735,2.1527752999999996,-1.9366984,0.6333852,0.19553438,11.254502,6306.776,-62.13405,0.010427629,14.269848000000001,-1.9906685000000002,0.9769928,25.471076999999998,1.26547,0.006714072,0.010969383000000001
5,0.41356552,8.94529,0.06403009999999999,6.1984973,-3.1496572,4.9309473,0.57029307,0.02877508,4.5283394,0.01481443,1593.3588,0.06431812,-41.736835,-3.5223873,5.2148623,0.58611673,134.61385,-0.005497276999999999,-0.031234132,2.0466192,-1.4516673,0.63363385,0.19894862,11.424847,6025.99,-57.892902,0.00990871,12.980602000000001,-3.0317566000000005,0.9759428,38.2038,0.21822840000000002,0.006662245,-0.02525827
6,0.5374818,6.944146000000001,-0.037290163,6.0157723,-60.057311999999996,3.7763459999999998,0.20603201,0.008388005,46.532955,0.016556595,10290.025,0.08940149,-95.720566,-3.126852,2.3860228,0.47608855,192.2574,0.10341805,0.06308276,1.2687473,46.47072,-3.9976954,0.08808673,6.3874793,47740.027,-29.126839,0.025826057000000003,8.622899,-2.5923777,0.9892564,216.1636,0.18222020000000003,0.008104993000000001,-0.0032107790000000004
7,0.565713,6.886937599999999,-0.17351784,6.1476665,-135.80132,3.7757232000000003,0.04540932,0.0054445374,110.44749499999999,0.0049705654,35242.023,0.091657974,-150.53372,-3.1665561,1.7419558999999998,0.50301176,192.22916999999998,0.13164926,0.028300969,1.1081246999999999,118.39745,-1.3632585,0.05751064,4.424643,113739.69,-20.595531,0.061999715999999996,7.916997,-2.4988356,0.99546313,524.9732,0.045661482999999996,0.008649659,-0.0019765634
8,0.58452106,5.6300870000000005,-0.47278178,5.587894,-310.36374,3.1007874,-0.088526696,0.003483558,269.7937,0.020052582,89580.484,0.10380413,-219.08067000000003,-2.8625305,0.97120464,0.3977436,192.21036999999998,0.15045732,0.13353156,0.9741886999999999,298.65884,-8.515025,0.038482387,2.9636886000000002,278284.34,-12.845756,0.15218472,6.6513543,-1.9550741999999999,0.9981408000000002,1055.6323,0.16587295,0.009055059,4.9719359999999994e-05
9,0.5594528,5.8959074000000005,-0.1270747,5.985908,-106.82796,3.6364297999999997,0.07411572,0.006097245,88.06647,0.013510903000000001,25118.017999999996,0.09318001,-131.54636000000002,-3.0897527,1.8189273999999997,0.47151336,192.23543999999998,0.12538904,0.06622302,1.136831,93.32276,-4.1214194,0.06440383,4.882327,90628.51,-22.24023,0.049332738,7.903830499999999,-2.181762,0.9943125,408.34918,0.115006305,0.008522656,-0.0016610862
