,NOX_exp,ZN_negative,RM_negative,PTRATIO_negative,RM_zscore,PTRATIO_zscore,INDUS_zscore,ZN_recip,LSTAT_recip,DIS_recip,AGE_relu,RM_relu,PTRATIO_relu,LSTAT_tanh,NOX_tanh,ZN_tanh,RM_tanh,CRIM_radian,PTRATIO_radian,LSTAT_radian,CRIM_square,LSTAT_square,INDUS_square,RM_adde,LSTAT_adde,TAX_adde,MEDV
0,1.7125782,-18.0,-6.575,-15.3,0.4136716,-1.4590002,-1.2879095,18.0,0.2008032,0.24449877,65.2,6.575,15.3,0.9999055,0.4914725,1.0,0.9999961,0.00011030481,0.26703537,0.08691739,3.9942403e-05,24.8004,5.3360996,9.293282,7.698282,298.7183,24.0
1,1.598395,-0.0,-6.421,-17.8,0.19427447,-0.30309457,-0.593381,0.0,0.10940918,0.20132472,78.9,6.421,17.8,1.0,0.43739098,0.0,0.9999947,0.00047664944,0.3106686,0.1595231,0.0007458361,83.539604,49.9849,9.139282,11.858282,244.71828,21.6
2,1.598395,-0.0,-7.185,-17.8,1.2827135,-0.30309457,-0.593381,0.0,0.24813895,0.20132472,61.1,7.185,17.8,0.99936837,0.43739098,0.0,0.99999887,0.00047630034,0.3106686,0.070336774,0.0007447441,16.240902,49.9849,9.903282,6.748282,244.71828,34.7
3,1.580909,-0.0,-6.998,-18.7,1.0163027,0.113032326,-1.3068777,0.0,0.34013605,0.16495661,45.8,6.998,18.7,0.994426,0.42845273,0.0,0.99999833,0.0005649631,0.3263766,0.05131268,0.001047817,8.6436,4.7524004,9.716282,5.658282,224.71828,33.4
4,1.580909,-0.0,-7.147,-18.7,1.2285763,0.113032326,-1.3068777,0.0,0.18761726,0.16495661,54.2,7.147,18.7,0.9999531,0.42845273,0.0,0.99999875,0.0012051498,0.3263766,0.09302605,0.004767902,28.4089,4.7524004,9.865282,8.048282,224.71828,36.2
5,1.580909,-0.0,-6.43,-18.7,0.20709614,0.113032326,-1.3068777,0.0,0.19193858,0.16495661,58.7,6.43,18.7,0.99994034,0.42845273,0.0,0.9999948,0.0005209808,0.3263766,0.090931654,0.00089102256,27.1441,4.7524004,9.148281,7.928282,224.71828,28.7
6,1.6887691,-12.5,-6.012,-15.2,-0.3884108,-1.5052366,-0.47665358,12.5,0.08045052,0.17983994,66.6,6.012,15.2,1.0,0.4807813,1.0,0.999988,0.0015409512,0.26529005,0.21694443,0.007795124,154.50491,61.936897,8.730282,15.148282,313.7183,22.9
7,1.6887691,-12.5,-6.172,-15.2,-0.16046566,-1.5052366,-0.47665358,12.5,0.052219324,0.1680531,96.1,6.172,15.2,1.0,0.4807813,1.0,0.9999913,0.0025228732,0.26529005,0.33423054,0.0208947,366.72247,61.936897,8.890282,21.868282,313.7183,27.1
8,1.6887691,-12.5,-5.631,-15.2,-0.93120587,-1.5052366,-0.47665358,12.5,0.033411294,0.1644169,100.0,5.631,15.2,1.0,0.4807813,1.0,0.9999743,0.0036868334,0.26529005,0.5223771,0.044622336,895.80493,61.936897,8.349281,32.64828,313.7183,16.5
9,1.6887691,-12.5,-6.004,-15.2,-0.39980793,-1.5052366,-0.47665358,12.5,0.058479533,0.15169673,85.9,6.004,15.2,1.0,0.4807813,1.0,0.9999878,0.0029677579,0.26529005,0.2984513,0.0289136,292.41,61.936897,8.722282,19.818283,313.7183,18.9
10,1.6887691,-12.5,-6.377,-15.2,0.13158926,-1.5052366,-0.47665358,12.5,0.048899755,0.1575622,94.3,6.377,15.2,1.0,0.4807813,1.0,0.9999942,0.0039250706,0.26529005,0.35691985,0.05057551,418.20255,61.936897,9.095282,23.168282,313.7183,15.0
11,1.6887691,-12.5,-6.009,-15.2,-0.39268515,-1.5052366,-0.47665358,12.5,0.07535795,0.16059871,82.9,6.009,15.2,1.0,0.4807813,1.0,0.99998796,0.0020502384,0.26529005,0.2316052,0.013799202,176.09291,61.936897,8.727282,15.988282,313.7183,18.9
12,1.6887691,-12.5,-5.889,-15.2,-0.56364405,-1.5052366,-0.47665358,12.5,0.06365372,0.18345594,39.0,5.889,15.2,1.0,0.4807813,1.0,0.9999847,0.0016367699,0.26529005,0.27419123,0.008794689,246.80411,61.936897,8.607282,18.428282,313.7183,21.7
13,1.7125782,-0.0,-5.949,-21.0,-0.47816458,1.1764656,-0.43725798,0.0,0.12106537,0.21242698,61.8,5.949,21.0,0.9999999,0.4914725,0.0,0.9999864,0.010991386,0.36651915,0.1441642,0.39659768,68.2276,66.259605,8.667282,10.978282,309.7183,20.4
14,1.7125782,-0.0,-6.096,-21.0,-0.2687393,1.1764656,-0.43725798,0.0,0.09746589,0.22411975,84.5,6.096,21.0,1.0,0.4914725,0.0,0.99998987,0.0111345025,0.36651915,0.17907079,0.40699297,105.2676,66.259605,8.814281,12.978282,309.7183,18.2
15,1.7125782,-0.0,-5.834,-21.0,-0.642,1.1764656,-0.43725798,0.0,0.11806375,0.22229138,56.5,5.834,21.0,0.99999994,0.4914725,0.0,0.9999829,0.010950021,0.36651915,0.1478294,0.39361826,71.740906,66.259605,8.552282,11.188282,309.7183,19.9
16,1.7125782,-0.0,-5.935,-21.0,-0.49810973,1.1764656,-0.43725798,0.0,0.15197569,0.22229138,29.3,5.935,21.0,0.9999961,0.4914725,0.0,0.999986,0.018394548,0.36651915,0.11484266,1.1107686,43.2964,66.259605,8.653282,9.298282,309.7183,23.1
17,1.7125782,-0.0,-5.99,-21.0,-0.41975376,1.1764656,-0.43725798,0.0,0.06816632,0.23485754,81.7,5.99,21.0,1.0,0.4914725,0.0,0.9999875,0.013686872,0.36651915,0.2560398,0.6149697,215.20891,66.259605,8.7082815,17.388283,309.7183,17.5
18,1.7125782,-0.0,-5.456,-21.0,-1.1805214,1.1764656,-0.43725798,0.0,0.0855432,0.2634005,36.6,5.456,21.0,1.0,0.4914725,0.0,0.9999635,0.014009932,0.36651915,0.20402898,0.6443433,136.6561,66.259605,8.174282,14.408281,309.7183,20.2
19,1.7125782,-0.0,-5.727,-21.0,-0.79443836,1.1764656,-0.43725798,0.0,0.088652484,0.2634005,69.5,5.727,21.0,1.0,0.4914725,0.0,0.9999788,0.012667599,0.36651915,0.19687313,0.5267856,127.238396,66.259605,8.445282,13.9982815,309.7183,18.2
20,1.7125782,-0.0,-5.57,-21.0,-1.0181098,1.1764656,-0.43725798,0.0,0.047573738,0.2633034,98.1,5.57,21.0,1.0,0.4914725,0.0,0.999971,0.021847857,0.36651915,0.36686823,1.5669783,441.84042,66.259605,8.288282,23.738281,309.7183,13.6
21,1.7125782,-0.0,-5.965,-21.0,-0.45536968,1.1764656,-0.43725798,0.0,0.07230658,0.2492336,89.2,5.965,21.0,1.0,0.4914725,0.0,0.9999868,0.014870903,0.36651915,0.24137904,0.7259722,191.26889,66.259605,8.683282,16.548283,309.7183,19.6
22,1.7125782,-0.0,-6.142,-21.0,-0.20320502,1.1764656,-0.43725798,0.0,0.053418804,0.25145212,91.7,6.142,21.0,1.0,0.4914725,0.0,0.99999076,0.02151066,0.36651915,0.32672563,1.5189824,350.4384,66.259605,8.860282,21.438282,309.7183,15.2
23,1.7125782,-0.0,-5.813,-21.0,-0.67191774,1.1764656,-0.43725798,0.0,0.050301813,0.24418831,100.0,5.813,21.0,1.0,0.4914725,0.0,0.9999821,0.017251357,0.36651915,0.34697145,0.9769939,395.21436,66.259605,8.531282,22.598282,309.7183,14.5
24,1.7125782,-0.0,-5.924,-21.0,-0.5137812,1.1764656,-0.43725798,0.0,0.061349697,0.22729339,94.1,5.924,21.0,1.0,0.4914725,0.0,0.9999857,0.013094507,0.36651915,0.28448865,0.56289005,265.68997,66.259605,8.642282,19.01828,309.7183,15.6
25,1.7125782,-0.0,-5.599,-21.0,-0.976795,1.1764656,-0.43725798,0.0,0.06056935,0.22448705,85.7,5.599,21.0,1.0,0.4914725,0.0,0.9999726,0.01467019,0.36651915,0.28815386,0.7065075,272.5801,66.259605,8.317282,19.228283,309.7183,13.9
26,1.7125782,-0.0,-5.813,-21.0,-0.67191774,1.1764656,-0.43725798,0.0,0.067521945,0.21358393,90.3,5.813,21.0,1.0,0.4914725,0.0,0.9999821,0.011727042,0.36651915,0.25848326,0.45146304,219.3361,66.259605,8.531282,17.528282,309.7183,16.6
27,1.7125782,-0.0,-6.047,-21.0,-0.33854797,1.1764656,-0.43725798,0.0,0.05787037,0.22454754,88.8,6.047,21.0,1.0,0.4914725,0.0,0.9999888,0.016681334,0.36651915,0.30159292,0.9134963,298.59842,66.259605,8.765282,19.998283,309.7183,14.8
28,1.7125782,-0.0,-6.495,-21.0,0.29969904,1.1764656,-0.43725798,0.0,0.078125,0.22448201,94.4,6.495,21.0,1.0,0.4914725,0.0,0.9999954,0.01349122,0.36651915,0.22340214,0.5975135,163.84001,66.259605,9.213282,15.518282,309.7183,18.4
29,1.7125782,-0.0,-6.674,-21.0,0.5547128,1.1764656,-0.43725798,0.0,0.08347246,0.23590471,87.3,6.674,21.0,1.0,0.4914725,0.0,0.9999968,0.017496053,0.36651915,0.20909044,1.0049059,143.52039,66.259605,9.392282,14.698281,309.7183,21.0
