,INDUS_square_negative,NOX_exp_negative,LSTAT_tanh_negative,LSTAT_recip_negative,PTRATIO_zscore_negative,RM_zscore_abs,RM_negative_abs,NOX_exp_relu,ZN_tanh_relu,RM_relu_relu,LSTAT_square_relu,ZN_recip_relu,NOX_tanh_sigmoid,PTRATIO_radian_sigmoid,LSTAT_recip_sigmoid,CRIM_radian_sigmoid,NOX_tanh_cos,RM_negative_cos,RM_tanh_cos,LSTAT_radian_cos,RM_relu_cos,RM_zscore_tanh,LSTAT_recip_tanh,RM_adde_tanh,NOX_exp_tanh,RM_tanh_tanh,INDUS_square_mmnorm,PTRATIO_relu_mmnorm,NOX_exp_mmnorm,RM_relu_mmnorm,NOX_tanh_mmnorm,LSTAT_square_mmnorm,RM_zscore_recip,LSTAT_radian_recip,LSTAT_adde_recip,ZN_recip_recip,LSTAT_square_recip,NOX_tanh_adde,RM_negative_adde,LSTAT_adde_adde,LSTAT_square_adde,RM_adde_adde,MEDV
0,-5.3360996,-1.7125782,-0.9999055,-0.2008032,1.4590002,0.4136716,6.575,1.7125782,1.0,6.575,24.8004,18.0,0.62045324,0.56636494,0.5500328,0.5000276,0.8816389,0.95772344,0.54030555,0.99622506,0.95772344,0.39158574,0.19814712,1.0,0.9369631,0.76159245,0.006661285,0.28723407,0.26418173,0.5775052,0.37161243,0.015157484,2.4173765,11.5051775,0.12989911,18.0,0.04032193,3.2097542,-3.856718,10.416563,27.51868,12.011563,24.0
1,-49.9849,-1.598395,-1.0,-0.10940918,0.30309457,0.19427447,6.421,1.598395,0.0,6.421,83.539604,0.0,0.6076371,0.5770485,0.52732503,0.50011915,0.9058599,0.99051857,0.54030675,0.98730314,0.99051857,0.19186668,0.1089747,1.0,0.9214266,0.76159185,0.06469981,0.5531914,0.14002705,0.54799765,0.21009791,0.05598466,5.1473565,6.2686844,0.08432925,0.0,0.01197037,3.1556728,-3.7027183,14.576564,86.25789,11.857564,21.6
2,-49.9849,-1.598395,-0.99936837,-0.24813895,0.30309457,1.2827135,7.185,1.598395,0.0,7.185,16.240902,0.0,0.6076371,0.5770485,0.5617184,0.5001191,0.9058599,0.6201875,0.54030323,0.99752736,0.6201875,0.8572062,0.24316846,1.0,0.9214266,0.7615937,0.06469981,0.5531914,0.14002705,0.6943858,0.21009791,0.009208134,0.7795973,14.217314,0.14818586,0.0,0.061572935,3.1556728,-4.466718,9.466564,18.959183,12.621564,34.7
3,-4.7524004,-1.580909,-0.994426,-0.34013605,-0.113032326,1.0163027,6.998,1.580909,0.0,6.998,8.6436,0.0,0.6055041,0.58087754,0.58422357,0.50014126,0.9096097,0.75521463,0.5403037,0.9986838,0.75521463,0.7683563,0.32759884,1.0,0.9187437,0.76159346,0.0059025404,0.6489363,0.121014,0.6585553,0.18340385,0.0039275666,0.9839588,19.48836,0.1767321,0.0,0.115692526,3.1467345,-4.2797184,8.376564,11.361882,12.434564,33.4
4,-4.7524004,-1.580909,-0.9999531,-0.18761726,-0.113032326,1.2285763,7.147,1.580909,0.0,7.147,28.4089,0.0,0.6055041,0.58087754,0.54676723,0.5003013,0.9096097,0.6495419,0.54030335,0.9956762,0.6495419,0.8421659,0.18544643,1.0,0.9187437,0.7615936,0.0059025404,0.6489363,0.121014,0.68710476,0.18340385,0.017665602,0.81395024,10.749677,0.12425012,0.0,0.03520024,3.1467345,-4.428718,10.766563,31.127182,12.583564,36.2
5,-4.7524004,-1.580909,-0.99994034,-0.19193858,-0.113032326,0.20709614,6.43,1.580909,0.0,6.43,27.1441,0.0,0.6055041,0.58087754,0.5478379,0.5001303,0.9096097,0.9892421,0.5403067,0.99586856,0.9892421,0.20418537,0.18961577,1.0,0.9187437,0.76159203,0.0059025404,0.6489363,0.121014,0.54972214,0.18340385,0.016786493,4.8286753,10.997271,0.12613073,0.0,0.036840416,3.1467345,-3.711718,10.646564,29.862381,11.866563,28.7
6,-61.936897,-1.6887691,-1.0,-0.08045052,1.5052366,0.3884108,6.012,1.6887691,1.0,6.012,154.50491,12.5,0.6179323,0.56593627,0.5201018,0.5003852,0.8866339,0.96345407,0.5403124,0.9765597,0.96345407,-0.36998937,0.0802774,0.99999994,0.93399024,0.7615891,0.08023609,0.2765957,0.23829341,0.46963018,0.33968318,0.105309695,-2.5745935,4.6094756,0.06601409,12.5,0.0064722863,3.199063,-3.2937183,17.866564,157.22319,11.448564,22.9
7,-61.936897,-1.6887691,-1.0,-0.052219324,1.5052366,0.16046566,6.172,1.6887691,1.0,6.172,366.72247,12.5,0.6179323,0.56593627,0.51305187,0.50063074,0.8866339,0.99382526,0.5403096,0.944663,0.99382526,-0.15910241,0.052171912,0.99999994,0.93399024,0.76159054,0.08023609,0.2765957,0.23829341,0.50028735,0.33968318,0.2528133,-6.231863,2.9919467,0.04572833,12.5,0.0027268578,3.199063,-3.4537182,24.586563,369.44077,11.608563,27.1
8,-61.936897,-1.6887691,-1.0,-0.033411294,1.5052366,0.93120587,5.631,1.6887691,1.0,5.631,895.80493,12.5,0.6179323,0.56593627,0.50835204,0.5009217,0.8866339,0.7947594,0.5403239,0.8666356,0.7947594,-0.73115563,0.033398867,0.9999999,0.93399024,0.7615834,0.08023609,0.2765957,0.23829341,0.39662772,0.33968318,0.6205565,-1.0738764,1.914326,0.030629484,12.5,0.0011163144,3.199063,-2.9127183,35.36656,898.5232,11.067563,16.5
9,-61.936897,-1.6887691,-1.0,-0.058479533,1.5052366,0.39980793,6.004,1.6887691,1.0,6.004,292.41,12.5,0.6179323,0.56593627,0.5146157,0.50074196,0.8866339,0.9612803,0.5403126,0.955793,0.9612803,-0.37978458,0.05841296,0.99999994,0.93399024,0.76158905,0.08023609,0.2765957,0.23829341,0.4680974,0.33968318,0.20116177,-2.501201,3.3506303,0.050458457,12.5,0.0034198556,3.199063,-3.2857184,22.536564,295.1283,11.440564,18.9
