,(PTRATIO_radian_sigmoid-LSTAT_tanh),(LSTAT_square_relu-ZN_tanh),(LSTAT_adde_recip-ZN_negative),(RM_zscore_abs-NOX_tanh_cos),(LSTAT_square_mmnorm-PTRATIO_negative),(NOX_exp_mmnorm-PTRATIO),(RM_tanh_cos-NOX_tanh),(PTRATIO_relu_mmnorm-ZN_recip_recip),(NOX_exp_negative-ZN_tanh),(LSTAT_square_mmnorm-LSTAT_tanh),(RM_adde_adde-DIS),(NOX_exp_relu-NOX_exp_tanh),(NOX_tanh_cos-NOX_exp_mmnorm),(NOX_tanh_sigmoid-LSTAT_recip),(INDUS_square_negative-ZN_recip_relu),(RM_negative_abs-RM_adde_tanh),(PTRATIO_radian_sigmoid-CRIM_radian_sigmoid),(LSTAT_square_adde-NOX_exp),(RM_relu_cos-LSTAT_tanh),(NOX_exp_negative-RM),(LSTAT_recip_tanh-RM_negative),(RM_zscore_recip-RAD),(ZN_recip_relu-RM_relu_cos),(NOX_exp_negative-PTRATIO_zscore),(INDUS_square_mmnorm-TAX),(RM_relu_cos*RM_relu_mmnorm),(PTRATIO_radian_sigmoid*RM_zscore_tanh),(INDUS_square_mmnorm*RM_negative_adde),(NOX_tanh_sigmoid*TAX),(NOX_exp_mmnorm*PTRATIO_radian),(LSTAT_adde_adde*LSTAT_square),(RM_negative_cos*RM_adde),(LSTAT_tanh_negative*LSTAT_radian_cos),(RM_zscore_abs*RM_negative_abs),(RM_zscore_abs*RM_tanh_tanh),(RM_relu_relu*RAD),(LSTAT_adde_recip*LSTAT_radian),(CRIM_radian_sigmoid*RM_tanh_cos),(LSTAT_radian_cos*LSTAT_square_mmnorm),(RM_relu_cos*INDUS_zscore),(PTRATIO_radian_sigmoid*LSTAT_radian_recip),(LSTAT_recip_tanh*RM_relu),(NOX_tanh_cos*PTRATIO_relu_mmnorm),(ZN_recip_recip*LSTAT_recip),(RM_negative_abs*LSTAT_square_adde),(ZN_recip_relu*RM),(ZN_tanh_relu*ZN),(RM_negative_abs*INDUS_square_mmnorm),(RM_zscore_abs*TAX_adde),(LSTAT_square_relu*PTRATIO_zscore),(PTRATIO_relu_mmnorm*NOX),(PTRATIO_zscore_negative*NOX_exp_tanh),(RM_negative_abs*LSTAT_recip_tanh),(NOX_exp_mmnorm*NOX_tanh),(NOX_tanh_mmnorm*LSTAT_square),(LSTAT_square_mmnorm*RM_adde),(RM_tanh_cos*NOX_exp),(RM_adde_tanh*AGE_relu),(RM_negative_abs*LSTAT_square_mmnorm),(RM_tanh_tanh*CRIM_square),(NOX_tanh_adde*CRIM),(LSTAT_recip_tanh*LSTAT_recip),(RM_zscore_abs*LSTAT_adde),(PTRATIO_zscore_negative*RM_relu_mmnorm),(NOX_exp_relu*DIS),(NOX_exp_tanh*PTRATIO_relu),(LSTAT_radian_cos*LSTAT),(LSTAT_tanh_negative*RM_relu),(RM_relu_mmnorm*RM_zscore_recip),(LSTAT_recip_negative*PTRATIO_relu),(RM_adde_tanh*ZN_tanh),(ZN_recip_relu*CRIM_radian),(ZN_recip_relu*RM_zscore_tanh),(ZN_recip_relu*RM_zscore_recip),(LSTAT_square_relu/RM_relu),(INDUS_square_negative/LSTAT_recip_sigmoid),(RM_negative_abs/NOX_tanh),(RM_zscore_abs/DIS),(CRIM_radian_sigmoid/INDUS),(RM_relu_relu/NOX_exp_tanh),(RM_negative_cos/DIS),(RM_zscore_tanh/RM_negative),(PTRATIO_radian_sigmoid/RM),(NOX_tanh_mmnorm/LSTAT_tanh),(PTRATIO_radian_sigmoid/DIS_recip),(NOX_tanh_cos/RAD),(ZN_tanh_relu/LSTAT_radian),(RM_tanh_cos/LSTAT_recip_tanh),(ZN_tanh_relu/PTRATIO_negative),(PTRATIO_zscore_negative/RM_tanh_cos),(LSTAT_square_recip/DIS_recip),(NOX_exp_mmnorm/INDUS),(LSTAT_radian_cos/LSTAT_adde_adde),(LSTAT_recip_sigmoid/AGE_relu),(LSTAT_square_relu/INDUS),(RM_adde_adde/RM_zscore),(NOX_tanh_cos/TAX),LSTAT_adde_recip_degree,PTRATIO_zscore_negative_degree,RM_negative_abs_degree,NOX_tanh_cos_degree,RM_tanh_tanh_degree,LSTAT_tanh_negative_degree,RM_relu_relu_square,LSTAT_recip_tanh_square,NOX_exp_relu_square,RM_relu_cos_square,NOX_tanh_cos_square,PTRATIO_relu_mmnorm_square,LSTAT_recip_sigmoid_recip,NOX_tanh_cos_recip,RM_relu_mmnorm_recip,RM_zscore_recip_recip,RM_adde_tanh_recip,NOX_tanh_sigmoid_recip,RM_negative_abs_sigmoid,LSTAT_recip_sigmoid_sigmoid,NOX_tanh_sigmoid_sigmoid,MEDV
0,-0.43354058,23.8004,18.1299,-0.46796727,15.315158,-15.035818,0.048833042,-17.712767,-2.7125783,-0.98474807,7.921563,0.7756151,0.61745715,0.41965002,-23.3361,5.575,0.06633735,25.806103,-0.042182088,-8.287578,6.773147,1.4173765,17.042276,-0.25357795,-295.99335,0.5530902,0.22178043,-0.025690699,183.65416,0.07054587,258.33493,8.9003935,-0.99613094,2.7198908,0.31504917,6.575,0.0112904925,0.27016768,0.015100266,-1.2334611,6.516129,1.3028172,0.2532367,3.6144576,180.93532,118.35,18.0,0.043797947,123.57128,-36.18379,0.15453193,1.3670293,1.3028172,0.12983806,9.216137,0.14086278,0.9253155,65.2,0.099660456,3.0419833e-05,0.020285647,0.039788578,3.1845605,0.8425802,7.004445,14.335535,4.9612007,-6.5743785,1.3960475,-3.072289,1.0,0.0019854866,7.0485435,43.51278,3.771924,-9.701421,13.378164,0.1011422,0.21646217,7.017352,0.2341622,-0.059556767,0.08613916,0.37164754,2.3164327,0.8816389,11.5051775,2.72679,-0.06535947,2.7003243,0.1649167,0.11436439,0.09563856,0.008436087,10.736104,29.03647,0.0029785098,7.442671,83.59455,376.71973,50.514183,43.636032,-57.290363,43.23062,0.03926228,2.932924,0.9172342,0.7772871,0.08250341,1.8180734,1.1342512,0.5775052,0.41367158,1.0,1.611725,0.9986072,0.6341432,0.65032166,24.0
1,-0.42295152,83.539604,0.08432925,-0.7115854,17.855984,-17.659973,0.102915764,0.5531914,-1.598395,-0.9440153,6.890464,0.6769684,0.76583284,0.49822792,-49.9849,5.421,0.07692933,84.65949,-0.00948143,-8.019395,6.529975,3.1473565,-0.99051857,-1.2953005,-241.9353,0.54280186,0.11071638,-0.23956518,147.04819,0.043502003,1217.7203,9.0526285,-0.98730314,1.2474364,0.14795785,12.842,0.013452463,0.27021775,0.05527383,-0.5877549,3.6173348,0.6997266,0.5011139,0.0,553.8619,0.0,0.0,0.4154375,47.542515,-25.3204,0.25944677,0.27927938,0.6997266,0.061246566,17.551497,0.5116596,0.8636236,78.9,0.35947752,0.0005680227,0.086181425,0.0119228335,2.3037615,0.16609511,7.939388,16.401392,9.023951,-6.421,2.8207393,-1.9474834,0.0,0.0,0.0,0.0,13.010373,-94.78955,14.680229,0.03911225,0.07073821,6.968542,0.19941586,-0.029881122,0.08986894,0.21009791,2.8662574,0.45292994,0.0,4.958093,-0.0,0.56096756,0.059458025,0.019805806,0.06773223,0.0066834604,11.816069,61.03511,0.0037432227,4.83171,17.36604,367.89618,51.901947,43.635998,-57.295776,41.22924,0.011875486,2.5548666,0.981127,0.82058215,0.30602074,1.8963636,1.1039234,0.54799765,0.19427449,1.0,1.645719,0.99837554,0.628859,0.64740163,21.6
2,-0.4223199,16.240902,0.14818586,0.37685364,17.809208,-17.659973,0.10291225,0.5531914,-1.598395,-0.9901602,7.654464,0.6769684,0.76583284,0.35949814,-49.9849,6.185,0.07692939,17.360788,-0.37918085,-8.783395,7.4281683,-1.2204027,-0.6201875,-1.2953005,-241.9353,0.43064943,0.49464956,-0.28899583,147.04819,0.043502003,153.74554,6.141892,-0.9968973,9.216296,0.97690654,14.37,0.010422915,0.27021596,0.009185366,-0.36800748,8.20408,1.7471653,0.5011139,0.0,136.22173,0.0,0.0,0.46486816,313.90344,-4.922529,0.25944677,0.27927938,1.7471653,0.061246566,3.4121795,0.091190755,0.86361796,61.1,0.06616045,0.0005671924,0.08611831,0.060339566,8.656113,0.21046457,7.939388,16.401392,4.0200353,-7.180462,0.5413413,-4.416873,0.0,0.0,0.0,0.0,2.26039,-88.985695,16.42695,0.25824192,0.070738204,7.797691,0.12485907,-0.11930497,0.080312945,0.2102307,2.8662574,0.45292994,0.0,2.2219298,-0.0,0.5609712,0.30583894,0.019805806,0.10537375,0.009193428,2.2971573,9.839737,0.0037432227,8.490424,17.36604,411.67014,51.901947,43.6361,-57.259586,51.624226,0.0591309,2.5548666,0.38463256,0.82058215,0.30602074,1.7802514,1.1039234,0.6943858,1.2827135,1.0,1.645719,0.9992428,0.63685006,0.64740163,34.7
3,-0.41354847,8.6436,0.1767321,0.10669303,18.703928,-18.578987,0.11185098,0.6489363,-1.580909,-0.9904984,6.3723636,0.6621653,0.7885957,0.26536804,-4.7524004,5.998,0.08073628,9.780973,-0.23921138,-8.578909,7.325599,-2.0160413,-0.75521463,-1.6939414,-221.9941,0.49735063,0.44632092,-0.02526121,134.4219,0.039496135,72.40367,7.337878,-0.99311715,7.1120863,0.77400947,20.994,0.009068597,0.27022818,0.0039223973,-0.98697317,11.320351,2.2925367,0.5902787,0.0,79.51045,0.0,0.0,0.041305978,228.38179,0.97700626,0.2972128,-0.10384774,2.2925367,0.051848777,1.5852696,0.038161345,0.854171,45.8,0.027485112,0.00079801056,0.1018598,0.11142818,5.750527,-0.07443804,9.583787,17.180508,2.9361305,-6.9589934,0.6479913,-6.360544,0.0,0.0,0.0,0.0,1.235153,-8.134558,16.33319,0.16764586,0.22942258,7.616923,0.12457765,-0.109796554,0.08300622,0.18443187,3.521396,0.30320323,0.0,1.6492846,-0.0,-0.20920147,0.7013512,0.055511005,0.119223565,0.012755973,3.9649541,12.235099,0.004097341,10.126002,-6.476275,400.95584,52.11679,43.63609,-56.97641,48.972008,0.107321,2.4992733,0.57034916,0.8273898,0.4211183,1.7116735,1.0993726,0.6585553,1.0163027,1.0,1.6515164,0.9990871,0.6420387,0.64691454,33.4
4,-0.41907555,28.4089,0.12425012,0.31896663,18.717667,-18.578987,0.11185062,0.6489363,-1.580909,-0.98228747,6.5213637,0.6621653,0.7885957,0.41788685,-4.7524004,6.147,0.08057624,29.546272,-0.35041118,-8.727909,7.332446,-2.1860497,-0.6495419,-1.6939414,-221.9941,0.44630334,0.48919526,-0.026140688,134.4219,0.039496135,305.8662,6.407914,-0.9956295,8.780635,0.9356758,21.441,0.011558498,0.27031446,0.01758922,-0.8488719,6.244246,1.3253856,0.5902787,0.0,222.46596,0.0,0.0,0.042185456,276.08356,3.211124,0.2972128,-0.10384774,1.3253856,0.051848777,5.2103014,0.17427614,0.85417044,54.2,0.12625606,0.0036312037,0.21728201,0.03479295,9.887928,-0.077665046,9.583787,17.180508,5.3069544,-7.1466646,0.5592691,-3.5084429,0.0,0.0,0.0,0.0,3.9749405,-8.691816,16.680952,0.20266178,0.229496,7.7791004,0.10714623,-0.11783488,0.08127572,0.18341245,3.521396,0.30320323,0.0,2.913528,-0.0,-0.2092016,0.21339089,0.055511005,0.09247855,0.010087957,13.031605,10.242395,0.004097341,7.119007,-6.476275,409.4929,52.11679,43.636097,-57.293087,51.079605,0.03439038,2.4992733,0.4219047,0.8273898,0.4211183,1.8289318,1.0993726,0.68710476,1.2285763,1.0,1.6515164,0.99921334,0.6333852,0.64691454,36.2
5,-0.4190628,27.1441,0.12613073,-0.7025135,18.716787,-18.578987,0.11185396,0.6489363,-1.580909,-0.9831538,5.804363,0.6621653,0.7885957,0.41356552,-4.7524004,5.43,0.08074725,28.281471,-0.010698259,-8.010909,6.6196156,1.8286753,-0.9892421,-1.6939414,-221.9941,0.5438083,0.118606694,-0.021908566,134.4219,0.039496135,288.9914,9.049865,-0.99580914,1.3316282,0.15772277,19.289999,0.011469276,0.27022374,0.016717141,-1.2928184,6.3880677,1.2192293,0.5902787,0.0,192.0151,0.0,0.0,0.037953332,46.53829,3.0681608,0.2972128,-0.10384774,1.2192293,0.051848777,4.9783325,0.15356755,0.8541757,58.7,0.10793715,0.0006785957,0.09393003,0.03639458,1.6419166,-0.06213637,9.583787,17.180508,5.188475,-6.429616,2.6544297,-3.5892515,0.0,0.0,0.0,0.0,4.2214775,-8.6748295,15.007489,0.03416188,0.22941756,6.9986873,0.16318202,-0.031755112,0.090338655,0.18341479,3.521396,0.30320323,0.0,2.8494818,-0.0,-0.20920031,0.22333397,0.055511005,0.09353897,0.009332843,12.451422,57.299778,0.004097341,7.226758,-6.476275,368.41183,52.11679,43.636005,-57.29236,41.3449,0.03595414,2.4992733,0.9785999,0.8273898,0.4211183,1.8253574,1.0993726,0.54972214,0.20709614,1.0,1.6515164,0.9983902,0.63363385,0.64691454,28.7
6,-0.43406373,153.50491,12.566014,-0.49822307,15.305309,-14.961706,0.059531122,-12.223404,-2.688769,-0.8946903,5.8880634,0.75477886,0.64834046,0.5374818,-74.4369,5.012,0.06555104,155.53442,-0.036545932,-7.7007694,6.0922775,-7.5745935,11.536546,-0.18353248,-310.91977,0.4524671,-0.2093904,-0.26427507,192.17696,0.06321687,2760.472,8.411225,-0.9765597,2.3351257,0.29580945,30.060001,0.014321389,0.27036434,0.102841206,-0.45923382,2.6086695,0.48262772,0.24523912,1.0056314,945.2258,75.15,12.5,0.4823794,121.85158,-232.56645,0.14493614,1.4058763,0.48262772,0.11456701,52.48272,0.9193833,0.9124629,66.59999,0.6331219,0.0059366813,0.28244528,0.0064583584,5.8837566,0.70690453,9.390401,14.196651,12.138638,-6.012,-1.2091068,-1.2228479,0.99999994,0.01926189,-4.624867,-32.18242,25.699419,-119.086105,12.504646,0.06985178,0.06358135,6.436898,0.17326751,0.06154181,0.09413444,0.33968318,3.1468887,0.17732677,4.6094756,6.730567,-0.065789476,2.7858634,0.03598915,0.030278705,0.054658506,0.0078093363,19.632137,-29.475399,0.0028509127,3.7823284,86.2437,344.46222,50.800377,43.635838,-57.295776,36.144146,0.0064444607,2.851941,0.92824376,0.78611964,0.076505184,1.9227005,1.1278613,0.46963018,-0.38841084,1.0000001,1.6183002,0.9975568,0.6271716,0.6497481,22.9
7,-0.43406373,365.72247,12.545729,-0.7261682,15.452813,-14.961706,0.05952832,-12.223404,-2.688769,-0.74718666,5.6580634,0.75477886,0.64834046,0.565713,-74.4369,5.172,0.06530553,367.75198,-0.006174743,-7.8607693,6.2241716,-11.231863,11.506175,-0.18353248,-310.91977,0.4971982,-0.09004182,-0.27711284,192.17696,0.06321687,9016.445,8.835386,-0.944663,0.99039406,0.122209124,30.86,0.015283804,0.2704956,0.23882337,-0.47371036,1.6932511,0.32200503,0.24523912,0.65274155,2280.1885,77.15,12.5,0.49521714,50.34101,-552.0041,0.14493614,1.4058763,0.32200503,0.11456701,124.56945,2.2475815,0.9124582,96.09999,1.5603638,0.015913207,0.46242455,0.0027243819,3.5091083,0.75305086,10.049021,14.196651,18.090296,-6.172,-3.1177223,-0.7937337,0.99999994,0.031535916,-1.9887801,-77.898285,59.41712,-120.72249,12.837438,0.026966752,0.06361255,6.608206,0.16701542,0.025778096,0.09169415,0.33968318,3.3676038,0.17732677,2.9919467,10.356331,-0.065789476,2.785878,0.016226167,0.030278705,0.03842192,0.0053387294,46.59752,-72.34298,0.0028509127,2.6200402,86.2437,353.62952,50.800377,43.63592,-57.295776,38.093582,0.0027219085,2.851941,0.98768866,0.78611964,0.076505184,1.9491206,1.1278613,0.50028735,-0.16046566,1.0000001,1.6183002,0.99791723,0.62552166,0.6497481,27.1
8,-0.43406373,894.80493,12.530629,0.044571996,15.820557,-14.961706,0.059542626,-12.223404,-2.688769,-0.37944353,4.985463,0.75477886,0.64834046,0.58452106,-74.4369,4.631,0.06501454,896.8344,-0.2052406,-7.319769,5.664399,-6.0738764,11.70524,-0.18353248,-310.91977,0.3152236,-0.41378748,-0.23370513,192.17696,0.06321687,31681.541,6.6356697,-0.8666356,5.2436204,0.7091909,28.155,0.01600014,0.27065998,0.5377963,-0.37882492,1.0833865,0.18806902,0.24523912,0.41764116,5059.584,70.3875,12.5,0.45180944,292.13632,-1348.3984,0.14493614,1.4058763,0.18806902,0.11456701,304.28986,5.1812005,0.9124823,99.999985,3.4943535,0.03398363,0.67577004,0.0011158994,30.402271,0.5970186,10.271262,14.196651,25.938404,-5.631,-0.42592916,-0.50785166,0.9999999,0.046085417,-9.139445,-13.423454,159.08452,-121.83859,11.712187,0.15310597,0.06364952,6.028971,0.13067187,0.12984473,0.10050369,0.33968318,3.442081,0.17732677,1.914326,16.177912,-0.065789476,2.7858043,0.006789536,0.030278705,0.024504378,0.0050835204,113.82528,-11.885195,0.0028509127,1.75494,86.2437,322.6325,50.800377,43.635513,-57.295776,31.708162,0.0011154843,2.851941,0.6316425,0.78611964,0.076505184,1.9671407,1.1278613,0.39662772,-0.93120587,1.0000001,1.6183002,0.99642783,0.6244201,0.6497481,16.5
9,-0.43406373,291.41,12.550459,-0.48682594,15.401161,-14.961706,0.0595313,-12.223404,-2.688769,-0.79883826,4.848464,0.75477886,0.64834046,0.5594528,-74.4369,5.004,0.06519431,293.4395,-0.038719714,-7.692769,6.062413,-7.5012007,11.53872,-0.18353248,-310.91977,0.44997278,-0.21493387,-0.26363322,192.17696,0.06321687,6589.9165,8.384558,-0.955793,2.400447,0.30448934,30.02,0.015059392,0.2705572,0.19226901,-0.45819768,1.8962432,0.35071144,0.24523912,0.73099416,1771.9503,75.05,12.5,0.48173752,125.42706,-440.14624,0.14493614,1.4058763,0.35071144,0.11456701,99.32676,1.7545898,0.9124632,85.899994,1.2077754,0.022020282,0.5439687,0.0034159627,7.9235067,0.70459735,11.132535,14.196651,16.34406,-6.004,-1.1708056,-0.8888889,0.99999994,0.037096974,-4.7473073,-31.26501,48.70253,-120.35563,12.488008,0.060649555,0.06362668,6.428333,0.14582308,0.06325526,0.094259866,0.33968318,3.7307086,0.17732677,3.3506303,9.249875,-0.065789476,2.7858627,0.02254403,0.030278705,0.04241077,0.00599087,37.15502,-28.61515,0.0028509127,2.8910565,86.2437,344.00385,50.800377,43.635838,-57.295776,36.04802,0.0034120742,2.851941,0.9240598,0.78611964,0.076505184,1.9431976,1.1278613,0.4680974,-0.39980796,1.0000001,1.6183002,0.99753726,0.6258879,0.6497481,18.9
