,oz2_zscore,oz4_zscore,oz19_zscore,oz25_zscore,oz12_zscore,oz1_cos,oz2_cos,oz23_cos,oz21_cos,oz24_cos,oz4_relu,oz3_relu,oz23_relu,oz2_relu,oz17_relu,oz19_sin,oz4_sin,oz15_sin,oz20_sin,oz2_sin,oz5_adde,oz1_adde,oz25_adde,oz6_adde,oz8_adde,oz19_rbfFeature,oz11_rbfFeature,oz20_rbfFeature,oz10_rbfFeature,oz16_rbfFeature,oz13_radian,oz4_radian,oz12_radian,oz8_radian,oz2_radian,oz20_recip,oz13_recip,oz18_recip,oz4_recip,oz1_recip,oz9_negative,oz4_negative,oz19_negative,oz17_negative,oz2_negative,oz26
0,-0.43889058,-0.005310668,-0.82054055,1.4342725,-1.2023001,0.22923411,0.9053169,0.85927874,0.57942706,0.43053332,-0.0,-0.0,-0.0,-0.0,-0.0,-0.73123467,-0.0053079873,-0.28358865,0.5470033,-0.42473674,1.7408936,1.3787762,4.151837,4.024271,2.8488429,-0.0112988325,0.12371339,-0.28172168,0.28222233,-0.0412815,0.0019703677,-9.2642294e-05,-0.0209736,0.0022787203,-0.007656255,1.7277712,8.857886,-0.99203354,-188.39444,-0.7465441,1.0655926,0.0053080125,0.82013017,0.21070252,0.43867108,0.5110096
1,-1.3674777,0.033361405,-1.3231658,-1.2250574,0.6364277,-0.19557422,0.20259053,0.9887375,0.99996024,0.018666688,0.03334472,-0.0,0.15022446,-0.0,1.6149504,-0.9693335,0.03333854,0.1052014,-0.59888726,-0.97926354,1.5289415,0.95064247,1.4938371,1.8839939,2.5399296,-0.2662829,-0.005568508,-0.2800355,-0.24986869,-0.07132364,-0.027980518,0.00058197515,0.011102203,-0.0031128328,-0.023855051,-1.5573634,-0.6237659,1.1770163,29.989756,-0.5657263,-1.079478,-0.03334472,1.322504,-1.6149504,1.3667938,-0.20462348
2,-1.4637569,-0.1779011,-0.22353762,-1.6266251,-1.3618287,0.66095775,0.107562974,0.46913907,0.7678662,0.9854257,-0.0,-0.0,1.0824807,-0.0,-0.0,-0.22157158,-0.17687662,0.03117234,-0.95709354,-0.99419826,1.7380807,1.8695798,1.0924702,2.481709,1.9600737,-0.25180566,0.22356816,0.20214716,0.28139868,0.26297578,-0.01088384,-0.003103407,-0.023756508,-0.013233228,-0.0255346,-0.78320783,-1.6035969,1.4773806,-5.6239133,-1.1782699,-0.39121082,0.17781213,0.22342582,1.0790437,1.4630249,0.01154738
3,1.2370454,-0.037484307,0.42592865,-0.45846137,-1.2964386,0.74664325,0.32817376,0.94365513,0.522998,0.039664425,-0.0,0.22214445,-0.0,1.2364267,-0.0,0.41297263,-0.037456796,-0.99866563,-0.70170003,0.9446174,2.6430035,3.4460764,2.2600496,2.4433904,1.1470827,-0.2777002,0.14678477,-0.2527472,0.28210115,-0.27447325,0.015309026,-0.0006538974,-0.022615805,-0.027422596,0.021579716,-1.2857093,1.1400654,0.68923813,-26.69118,1.3740138,-1.2346438,0.03746556,-0.42571563,0.33447123,-1.2364267,-1.8895428
4,0.39566007,-1.1589189,1.1382143,1.4004375,0.9385716,0.99722266,0.9228186,0.70443153,-0.22426239,0.99975765,-0.0,-0.0,-0.0,0.3954622,0.6016044,0.9076476,-0.91613865,0.9842228,-0.99348515,0.38523474,2.681844,2.7928288,4.118019,3.2410269,4.2859163,-0.2684008,0.05694891,0.027291369,0.029076466,0.18044245,-0.01361749,-0.020216834,0.016372971,0.027360385,0.0069021173,-0.5934697,-1.281682,0.9098451,-0.8633049,13.414333,1.3150986,1.1583393,-1.1376451,-0.6016044,-0.3954622,-0.3322213
5,1.4346004,-1.1194589,0.60121304,-1.1802778,1.6203371,0.6230133,0.13648614,0.68010473,0.011832395,0.18218887,-0.0,-0.0,0.8228909,1.4338828,0.94490176,0.56539524,-0.8996202,0.67226255,0.99717057,0.99064195,1.9315412,3.616489,1.5385942,2.6895008,2.5497515,0.20606302,-0.24928182,-0.0931297,-0.2721529,-0.11928451,-0.01973604,-0.019528471,0.028266074,-0.0029414073,0.025025977,0.6075188,-0.8843361,-1.7362968,-0.8937357,1.1133289,-0.23674634,1.118899,-0.60091233,-0.94490176,-1.4338828,-1.0588244
6,-0.50011015,-1.041524,-1.3529145,-1.432639,-1.3945773,0.83721805,0.87764966,0.18799947,0.8470339,-0.0031967545,-0.0,0.0017882541,1.3816714,-0.0,-0.0,-0.976211,-0.8629116,-0.74006313,0.9645338,-0.47930267,2.0821254,2.1396616,1.2863592,3.3762398,2.2284076,-0.048541363,0.0038488186,-0.06526481,0.16651623,0.2779727,-0.011643167,-0.018168932,-0.02432779,-0.0085499175,-0.008724203,0.7670644,-1.4990159,-1.3561676,-0.96061194,-1.7282495,0.63711405,1.0410031,1.3522378,0.77917236,0.49986002,0.2631806
7,-0.77824044,1.4120075,0.7357149,0.13849752,-0.47371715,0.4798616,0.7124231,0.25288805,0.99514216,0.9061406,1.4113013,0.09525597,-0.0,-0.0,-0.0,0.6708445,0.9873076,-0.4110991,-0.41188025,-0.7017502,2.2772167,1.6479824,2.85671,3.0033302,1.6435374,-0.21843685,0.26941457,-0.070273034,-0.2066157,0.1403448,-0.019917097,0.024631854,-0.008263789,-0.018757828,-0.013576065,-2.355621,-0.876297,1.3524531,0.70856595,-0.934318,-1.4113765,-1.4113013,-0.735347,1.7601599,0.7778512,1.2276176
8,-1.1489859,0.010347407,-0.58343416,-1.1113924,0.31098124,0.36790285,0.40993705,-0.06801647,0.50389206,0.74162,0.010342232,-0.0,-0.0,-0.0,-0.0,-0.5506497,0.010342048,0.4894294,-0.9990103,-0.9121138,1.7861346,1.5242381,1.6074452,1.4689533,1.9405881,0.21344589,0.2763067,-0.11627907,-0.2816834,0.19173653,-0.0006575301,0.000180506,0.005424932,-0.013573314,-0.020043558,-0.655178,-26.543716,-0.8660496,96.690926,-0.8374903,-0.24382463,-0.010342232,0.5831424,1.2264873,1.1484113,-0.17463738
9,0.49632218,0.75838256,0.41687074,-0.48308435,1.3445979,0.8518658,0.879458,0.74546164,0.9978015,0.6966341,0.7580033,1.1619971,-0.0,0.49607396,1.4593807,0.40471053,0.6874728,-0.8869095,0.6528556,0.47597644,3.5833619,3.2695405,2.235439,1.9674847,2.8021579,-0.2612377,-0.15985674,0.12173169,-0.23370226,0.09250497,-0.010799559,0.013229653,0.023455923,0.0014639128,0.008658124,1.4057814,-1.6161115,-1.3325844,1.3192555,1.8140298,-0.50888157,-0.7580033,-0.41666225,-1.4593807,-0.49607396,-0.93528897
