,oz1_adde_ln,oz25_adde_ln,oz8_adde_ln,oz21_cos_exp,oz10_rbfFeature_exp,oz12_radian_exp,oz2_radian_exp,oz4_sin_exp,oz1_adde_radian,oz5_adde_radian,oz4_relu_radian,oz2_radian_radian,oz13_radian_radian,oz19_negative_radian,(oz2_zscore+oz23),(oz4_sin+oz19_negative),(oz2_relu+oz18_recip),(oz19_sin+oz19_negative),(oz4_negative+oz2),(oz8_adde+oz1),(oz2_zscore+oz9),(oz12_zscore+oz4_radian),(oz8_adde+oz3),(oz21_cos+oz12),(oz2_sin+oz2_radian),(oz18_recip+oz11),(oz19_zscore+oz4_recip),(oz10_rbfFeature+oz9_negative),(oz2_cos+oz15_sin),(oz10_rbfFeature+oz12),(oz8_adde+oz13),(oz1_adde+oz2_negative),(oz13_recip+oz21),(oz2_zscore+oz8),(oz2_zscore+oz5_adde),(oz24_cos+oz20_recip),(oz2_relu+oz20_sin),(oz4_zscore-oz21_cos),(oz20_recip-oz13_recip),(oz9_negative-oz2_negative),(oz12_zscore-oz10),(oz23_cos-oz19_sin),(oz4_zscore-oz9),(oz17_relu-oz2_radian),(oz2_sin-oz2_radian),(oz15_sin-oz25_adde),(oz4_relu-oz18),(oz4_relu-oz25),(oz20_sin-oz17_negative),(oz19_sin-oz10),(oz2_negative-oz11),(oz8_adde-oz4_negative),(oz25_zscore-oz11),(oz16_rbfFeature-oz1),(oz20_sin-oz25_adde),(oz17_relu-oz2_sin),(oz24_cos-oz16_rbfFeature),(oz25_adde-oz9),(oz25_adde-oz6_adde),(oz8_adde-oz5),oz2_relu_cos,oz3_relu_cos,oz1_adde_cos,oz9_negative_cos,oz13_recip_cos,oz11_rbfFeature_cos,(oz4_relu*oz17_relu),(oz21_cos*oz1_recip),(oz4_zscore*oz1_cos),(oz23_relu*oz4_recip),(oz8_radian*oz23),(oz20_sin*oz18_recip),(oz1_recip*oz17),(oz13_recip*oz2),(oz5_adde*oz11_rbfFeature),(oz19_negative*oz2),(oz25_zscore*oz8_radian),(oz13_radian*oz4_recip),(oz12_zscore*oz20_recip),(oz4_zscore*oz7),(oz12_zscore*oz24),(oz4_relu*oz6),(oz4_sin*oz9),(oz2_relu*oz2_negative),(oz8_radian*oz9),(oz8_adde*oz22),(oz21_cos*oz8_adde),(oz8_adde*oz3),(oz8_radian*oz13_recip),(oz15_sin/oz9_negative),(oz3_relu/oz18),(oz4_relu/oz20_sin),(oz1_cos/oz4_negative),(oz20_sin/oz24),(oz17_negative/oz6),(oz23_relu/oz1),(oz12_radian/oz22),(oz1_cos/oz10_rbfFeature),(oz19_zscore/oz20_rbfFeature),(oz2_relu/oz17),(oz10_rbfFeature/oz4_radian),(oz2_sin/oz6_adde),(oz15_sin/oz12),(oz4_sin/oz17_negative),(oz4_zscore/oz10),(oz5_adde/oz16_rbfFeature),(oz20_rbfFeature/oz22),(oz4_recip/oz1_recip),(oz2_sin/oz13_recip),(oz23_cos/oz19),(oz19_zscore/oz5_adde),(oz25_zscore/oz21),oz13_radian_mmnorm,oz2_zscore_mmnorm,oz4_zscore_mmnorm,oz15_sin_mmnorm,oz25_zscore_mmnorm,oz19_rbfFeature_mmnorm,oz26
0,0.3211963,1.4235508,1.0469129,1.7850153,1.3260734,0.9792448,0.99237305,0.99470603,0.024064183,0.030384324,-0.0,-0.00013362685,3.4389403e-05,0.014313972,-0.975829,0.8148222,-0.99203354,0.0888955,-0.43336308,1.5093373,-1.5044832,-1.2023927,2.2676818,-0.6222717,-0.43239298,-0.045828342,-189.21498,1.347815,0.62172824,-0.91947645,2.9617367,1.8174473,9.8106575,-0.30832952,1.302003,2.1583045,0.5470033,-0.5847377,-7.130115,0.62692153,-2.3440466,1.5905135,1.060282,0.007656255,-0.4170805,-4.4354258,1.0080304,-1.4335552,0.3363008,-1.8729811,-0.50753415,2.843535,0.48806733,1.2982241,-3.6048336,0.42473674,0.4718148,5.2174296,0.12756586,3.826231,1.0,1.0,0.19084229,0.4839857,-0.8435743,0.99235725,0.0,-0.43256786,-0.0012173863,0.0,-0.0012235325,-0.54264563,0.15729873,-3.8856986,0.21537185,-0.35976738,0.003268306,-0.3712063,-2.0772994,0.0076867174,-1.3534446,-0.0,0.0056561525,-0.0,-0.0024281875,-1.7444055,1.6506966,-1.6556363,0.020184645,-0.26613232,0.0,-0.0,43.18643,0.48591733,0.16133554,0.0,0.03425264,0.81224656,2.912593,0.0,-3046.366,-0.10554377,0.2359898,-0.025191855,-0.004651355,-42.17128,0.46008843,252.3554,-0.047950123,-1.0477346,-0.47133297,1.50537,0.5370262,0.37271369,0.49392703,0.35820568,0.913468,0.48002452,0.5110096
1,-0.050617248,0.40134808,0.93213636,2.7181737,0.778903,1.011164,0.97642726,1.0339005,0.016591841,0.026685063,0.00058197515,-0.00041634918,-0.00048835215,0.02308205,-1.2172532,1.3558426,1.1770163,0.3531705,-1.4001385,0.77229035,-0.28799963,0.6370097,1.3549373,1.6360697,-1.0031186,1.2634201,28.66659,-1.3293467,0.30779192,0.38624072,0.936764,2.3174362,-0.6326841,-1.5458298,0.16146386,-1.5386966,-0.59888726,-0.96659887,-0.9335975,-2.446272,-0.60195786,1.958071,-1.0461166,1.6388055,-0.9554085,-1.3886358,-0.81626123,1.2577894,1.0160632,-2.207719,1.2803899,2.5732744,-1.3114612,1.6963156,-2.0927243,2.594214,0.08999033,0.4143591,-0.39015675,3.72927,1.0,1.0,0.58116037,0.47178864,0.81168455,0.9999845,0.05385007,-0.5657038,-0.006524631,4.505195,-0.00046762364,-0.7049,-0.9136199,0.8525593,-0.008513923,-1.8075902,0.0038133988,-0.8391289,-0.9911492,0.01792532,-0.9878176,-0.027819097,0.03598822,-0.0,-0.0033602347,-0.14779726,2.5398285,-3.009797,0.0019416789,-0.09745581,-0.0,-0.05567779,5.8652234,0.385849,1.9357231,-0.08498593,-0.1907939,0.782708,4.724993,-0.0,-429.34598,-0.51978064,0.16538256,-0.020643692,0.026939433,-21.436672,4.8124743,-53.01107,1.5699216,-0.74762535,-0.86541295,137.36592,0.051556766,0.109635025,0.5050889,0.5526007,0.14850563,0.0292705,-0.20462348
2,0.6257137,0.08844134,0.6729821,2.1551628,1.3249817,0.9765234,0.97478867,0.8378832,0.032630324,0.03033523,-0.0,-0.00044566285,-0.00018995884,0.003899516,-0.38127625,0.0465492,1.4773806,0.0018542409,-1.2852128,1.1113718,-1.0725461,-1.3649321,0.9883326,-0.59328145,-1.0197328,2.4690454,-5.8474507,-0.10981214,0.13873531,-1.079749,1.3364756,3.3326046,-0.90830415,-2.221965,0.27432382,0.20221788,-0.95709354,-0.9457673,0.8203891,-1.8542356,0.22509682,0.69071066,-0.56911194,0.0255346,-0.9686637,-1.0612978,-0.6768736,1.6258116,-2.0361373,1.365354,0.47136015,1.7822616,-2.6182897,1.1116778,-2.0495636,0.99419826,0.7224499,0.7012594,-1.3892388,2.9402747,1.0,1.0,-0.29435778,0.924448,-0.032794718,0.97511256,0.0,-0.9047536,-0.117585115,-6.0877776,-0.0143247135,-1.4139915,1.2714047,2.3461022,0.38857952,-0.32687753,0.0215255,0.06120977,1.0665948,-0.17734759,-0.23278789,0.0,-0.069196045,-0.0,-0.005176982,-2.0597894,1.5050744,-1.9046842,0.021220762,-0.079681695,-0.0,0.0,3.717169,-5.5990777,-4.5611496,-1.2754544,0.022606442,2.3488302,-1.1058164,0.0,-90.67411,-0.40061033,-0.022901513,-0.16391979,0.11210426,6.6092806,-0.19236109,4.7730265,0.61998016,-2.0997531,-0.12861176,-2.3394823,0.32867426,0.08235809,0.4441123,0.5155862,0.032993764,0.054862946,0.01154738
3,1.2372363,0.8153868,0.13722193,1.6870779,1.325913,0.977638,1.0218143,0.96323603,0.060145378,0.04612911,-0.0,0.0003766371,0.00026719293,-0.0074301395,0.89975595,-0.46317244,1.9256649,-0.012742996,1.2738923,1.8748775,2.4716892,-1.2970924,1.3692272,-0.7727922,0.96619713,-0.45525438,-26.265251,-0.95254266,-0.6704919,-1.013689,2.0242252,2.2096496,2.1604972,-0.33415365,3.8800488,-1.2460449,0.5347267,-0.56048226,-2.4257746,0.0017828941,-2.552309,0.5306825,-1.2721281,-0.021579716,0.92303765,-3.2587152,-1.4508773,0.45823207,-1.0361712,-0.84289783,-0.091934204,1.1096171,0.6860311,-1.002268,-2.9617496,-0.9446174,0.31413767,1.0254058,-0.18334079,1.2223611,0.32817376,0.9754272,-0.95400184,0.32985738,0.41753504,0.9892464,0.0,0.7186064,-0.027987404,0.0,0.009249353,-0.4836384,-0.45956808,1.4096074,0.38795266,-0.5263662,0.012572201,-0.40861598,1.666843,-0.025723046,1.985005,0.0,-0.046245802,-1.528751,-0.033857137,-1.7226655,0.59992194,0.25481805,-0.031263553,0.8088694,0.15311043,0.0,19.92879,0.45829153,-1.2167399,-0.0,0.015059335,2.6467216,-1.6851963,-3.696661,-431.415,0.3866011,0.7707001,-0.1119881,-0.029847272,-9.629366,0.16829845,-19.4257,0.82856417,2.2166326,0.16115327,-0.44928175,0.7532305,0.8475243,0.48464078,0.0006671846,0.36901873,0.009087294,-1.8895428
4,1.027055,1.4153723,1.4553344,0.79910547,1.0295032,1.0165077,1.006926,0.4000608,0.048744056,0.046807006,-0.0,0.00012046467,-0.00023767004,-0.019855654,-0.39351436,-2.053784,1.3053073,-0.22999752,1.5538014,4.3604636,-0.9194386,0.91835475,4.0327044,0.71383977,0.39213687,-0.025767863,0.27490944,1.3441751,1.9070414,0.96717864,3.5056915,2.3973665,-3.0786643,1.9632946,3.0775042,0.40628797,-0.59802294,-0.9346565,0.68821234,1.7105608,1.428408,-0.20321608,0.15617979,0.5947023,0.3783326,-3.1337962,-1.0990882,-1.3997371,-0.39188075,1.3974841,0.54015076,3.127577,2.3360505,0.105895326,-5.111504,0.21636966,0.8193152,5.433118,0.8769922,4.322354,0.9228186,1.0,-0.93979585,0.25292048,0.2851034,0.9983789,-0.0,-3.0083303,-1.1557002,0.0,-0.021592116,-0.9039176,8.070122,-0.5068568,0.1527281,-0.44989562,0.03831651,0.011756047,-0.55701375,-0.054305125,0.02066343,-0.0,1.2048126,-0.15639034,-0.035981607,-2.9186373,-0.96116984,-1.0852462,-0.035067312,0.7484023,-0.0,0.0,0.86090726,-45.12595,-1.1508558,-0.0,-0.024043133,34.296555,41.70602,0.6573459,-1.4382305,0.11886194,1.0491638,1.5228257,2.36593,14.8626,-0.040076416,-0.0643569,-0.30056968,0.6192015,0.4244148,-0.77932733,0.28436494,0.6091508,0.16096145,0.99211144,0.9037353,0.025526524,-0.3322213
5,1.2855036,0.43086916,0.93599594,1.0119027,0.7617378,1.0286694,1.0253417,0.4067241,0.06311964,0.033711754,-0.0,0.0004367857,-0.00034445888,-0.010487898,2.257491,-1.5005325,-0.30241394,-0.035517097,2.5527818,3.4479587,1.6713467,1.6008086,1.6818597,1.6313591,1.0156679,-0.56160593,-0.29252267,-0.5088992,0.8087487,1.3473738,1.4189597,2.1826062,0.67462754,1.2660701,3.3661416,0.78970766,2.4310534,-1.1312913,1.4918549,1.1971365,2.047126,0.1147095,-1.3562052,0.9198758,0.965616,-0.8663317,0.5759384,1.1796875,1.9420724,0.99218416,-2.6085737,1.4308525,-2.3549685,-1.0174917,-0.5414237,-0.045740187,0.30147338,1.3018479,-1.1509066,3.336492,0.13648614,1.0,-0.88934016,0.9721062,0.6338031,0.96908987,-0.0,0.013173347,-0.6974378,-0.735447,-0.0024204573,-1.731384,1.0519865,-1.2680343,-0.48149812,-0.8616379,0.0034716777,0.017638804,0.98438525,-1.2426343,2.2483542,0.0,-0.21298179,-2.05602,-0.0006963674,3.4062042,0.030169666,-2.2129085,0.0026011926,-2.83959,0.0,-0.0,0.55680925,0.7186379,32.830917,0.9161482,0.02115888,-2.2892034,-6.455653,1.5174941,13.936212,0.36833674,0.41509816,0.952078,2.62298,-16.192724,-0.069713265,-0.80275977,-1.1202098,1.131787,0.3112608,-0.7570913,0.18519026,0.90349376,0.17235076,0.8361313,0.16138658,0.86427104,-1.0588244
6,0.76064765,0.2518159,0.8012873,2.3327174,1.1811827,0.9759657,0.99131376,0.4219318,0.03734414,0.036339942,-0.0,-0.00015226608,-0.00020321159,0.023601001,0.8815613,0.48932624,-1.3561676,0.3760268,0.54114306,1.6497874,-1.1372242,-1.4127462,2.2301958,-0.54684585,-0.4880269,-1.7444944,-2.3135264,0.8036303,0.13758653,-1.2273636,1.5613034,2.6395216,-0.9385997,-0.9899844,1.5820153,0.7638676,0.9645338,-1.8885579,2.2660804,0.13725403,-1.3987861,1.1642104,-0.40441,0.008724203,-0.47057846,-2.0264223,0.73737204,1.4319226,0.18536144,-0.9804198,0.88818693,1.1874045,-1.044312,0.85659283,-0.32182539,0.47930267,-0.28116944,1.9234732,-2.0898805,2.864564,1.0,0.9999984,-0.5386763,0.8038159,0.071718775,0.9999926,0.0,-1.463886,-0.87198275,-1.3272501,-0.011813177,-1.3080695,1.3466042,0.74929816,0.008013723,-0.6759296,0.012248945,0.011184565,-1.0697305,0.45464438,-2.195055,-0.0,0.5497731,-0.0,0.0054472727,-1.1981214,1.8875369,0.0039849593,0.012816463,-1.1615866,-0.0024251721,-0.0,0.80424166,0.61279416,1.184228,-2.387873,0.045247696,5.0278463,20.729614,0.0,-9.164888,-0.14196345,0.53093755,-1.1074721,-247.46494,7.4903955,0.121387206,0.5558294,0.31974488,-0.13902842,-0.6497757,-2.5563838,0.31636643,0.35536954,0.19484508,0.12996843,0.08879429,0.41418818,0.2631806
7,0.49955174,1.0496706,0.49685085,2.705109,0.81333214,0.9917702,0.9865157,2.6839983,0.028762719,0.03974493,0.024631854,-0.00023694703,-0.00034761892,-0.012834226,-2.0933726,0.25196064,1.3524531,-0.06450248,-2.1891525,0.573238,0.63313603,-0.4490853,1.7387934,0.52166194,-0.7153263,0.785411,1.4442809,-1.6179922,0.30132398,-0.6800959,0.5023718,2.4258337,-0.97490484,-1.8529848,1.4989762,-1.4494805,-0.41188025,0.4168653,-1.4793241,-2.1892276,-0.71466225,-0.41795644,0.00063097477,0.013576065,-0.6881741,-3.2678092,0.6719041,1.272873,-2.17204,0.4298994,1.3448933,3.0548387,0.70553964,1.2106442,-3.2685902,0.7017502,0.7657958,1.4453335,-0.14662027,2.0846024,1.0,0.9954666,-0.07710941,0.15874544,0.6400008,0.9639269,-0.0,-0.92977923,0.67756814,-0.0,0.024669021,-0.55704874,1.644549,0.6816287,0.6135154,0.57199055,-0.0025979124,-0.014112577,1.1158981,-1.7623585,0.2068854,0.40228945,1.3934628,-0.0,-0.026474357,-2.0090137,1.6355534,0.15655676,0.016437428,0.2912753,0.12882924,-3.4264843,-0.34001356,0.9431054,6.1749463,0.0,0.006760455,-2.3224835,-10.4693775,0.0,-8.38815,-0.23365736,0.8682498,0.5609193,5.860287,16.225872,0.05748909,-0.75837773,0.8008132,0.34390303,0.32307637,-1.4045284,0.18225557,0.27657223,0.90300715,0.29445046,0.54073536,0.11385146,1.2276176
8,0.4214947,0.47464612,0.6629911,1.6551507,0.75451255,1.0054396,0.98015594,1.0103958,0.026602974,0.03117393,0.000180506,-0.00034982606,-1.1476065e-05,0.010177755,-2.7878513,0.59348446,-0.8660496,0.032492697,-1.1587535,0.7465445,-0.90516126,0.31116176,1.6125321,0.81471777,-0.93215734,-1.8256204,96.10749,-0.52550805,0.8993665,0.02914232,1.9029144,2.6726494,-25.501019,-1.9266795,0.63714874,0.08644199,-0.9990103,-0.49354467,25.888538,-1.3922359,-0.4717445,0.48263323,-0.23347722,0.020043558,-0.89207023,-1.1180158,1.1650106,1.1211787,-2.2254977,-1.3333755,2.1079822,1.9509304,-0.15182155,1.3857802,-2.6064556,0.9121138,0.5498835,1.3636206,0.13849199,2.8727353,1.0,1.0,0.0465414,0.97042173,0.15914162,0.9620696,-0.0,-0.42200473,0.0038068406,-0.0,0.022244833,0.8651925,1.0271713,30.483103,0.49352095,-0.66968733,0.015085278,-0.06357719,-0.20374808,-0.0027126363,-0.22866893,-0.012920845,0.002521646,-0.0,-0.0033095083,-1.7677953,0.977847,-0.6366214,0.3602862,-2.0073009,0.0,-0.010352477,-35.57287,1.358617,-0.9817172,0.0,-0.005955191,-1.3060864,5.017534,0.0,-1560.5209,-0.6209277,1.5746105,0.0084322505,0.0132197095,9.315567,0.12764475,-115.453186,0.0343627,0.11663784,-0.32664624,-1.0658818,0.494431,0.17153609,0.49844643,0.74471474,0.18120164,0.87732226,-0.17463738
9,1.1846495,0.80443764,1.0303898,2.7123122,0.7915975,1.0237331,1.0086957,1.9886836,0.057064246,0.06254146,0.013229653,0.00015111278,-0.00018848786,-0.007272128,-0.23324701,0.27081057,-0.8365104,-0.011951715,-0.26192933,3.3534167,1.0052037,1.3578275,3.964155,2.341727,0.48463455,-0.105635285,1.7361262,-0.7425838,-0.0074514747,1.1102232,2.1833887,2.7734666,-1.6824341,0.5801982,4.0796843,2.1024156,1.1489296,-0.23941892,3.021893,-0.012807608,1.7465849,0.3407511,0.24950099,1.4507226,0.46731833,-3.1223485,1.5084248,1.240846,2.1122363,0.80669755,-1.723023,3.560161,-1.7100334,-0.45875388,-1.5825834,0.9834043,0.60412914,1.7265575,0.26795435,1.9370778,0.879458,0.39750782,-0.9918258,0.87328994,-0.045299683,0.9872501,1.1062154,1.8100417,0.6460402,-0.0,-0.0010680257,-0.86998516,2.64736,-0.80171084,-0.57282454,-0.20669529,-0.00070719334,-0.014247377,1.8902107,-0.45959842,-1.0758145,-0.5691066,0.34984225,-0.24608937,0.00074495823,-0.44622406,2.7959974,3.2560992,-0.0023658462,1.7428603,-1.5484592,1.1610582,-1.1238286,-0.81596625,1.9437755,-0.0,-0.1472964,-3.6450903,3.4245048,0.33992085,-17.665033,0.24192129,-0.65993947,-0.4710716,-1.8865848,38.736965,-0.76443976,0.7272513,-0.29451954,1.7891269,0.116335094,7.2838564,0.33004037,0.6376695,0.7143516,0.056545258,0.36193588,0.038189232,-0.93528897
