,oz2_relu,oz16_relu,oz13_relu,oz8_relu,oz3_relu,oz20_cos,oz19_cos,oz1_cos,oz14_cos,oz3_cos,oz9_rbfFeature,oz7_rbfFeature,oz1_rbfFeature,oz18_rbfFeature,oz24_rbfFeature,oz19_negative,oz2_negative,oz8_negative,oz14_negative,oz15_negative,oz15_abs,oz20_abs,oz14_abs,oz2_abs,oz3_abs,oz2_degree,oz3_degree,oz18_degree,oz17_degree,oz16_degree,oz16_square,oz5_square,oz20_square,oz2_square,oz3_square,oz14_tanh,oz2_tanh,oz23_tanh,oz9_tanh,oz11_tanh,oz26
0,-0.0,0.0029822337,-0.0,1.3896595,-0.0,0.49126482,-0.017138878,0.9683874,0.51890254,0.962181,0.21775205,0.27154475,-0.2586965,-0.2593668,0.090549625,-1.587936,1.1967932,-1.3896595,1.0252297,-1.3427484,1.3427484,1.057255,1.0252297,1.1967932,0.275898,-68.5712,-15.807791,-57.36819,-21.59776,0.1708694,8.893718e-06,0.088691674,1.1177882,1.4323139,0.07611971,-0.7719881,-0.83267385,0.93137556,-0.8558961,0.8993998,0.42376396
1,-0.0,1.2026858,-0.0,-0.0,0.90699947,0.99987763,0.2980636,0.8460195,-0.12852134,0.61611193,0.05210969,0.2789329,0.2811727,0.27410728,0.14915517,-1.2681329,0.38273928,1.2705307,-1.6996741,0.22547731,0.22547731,0.01564416,1.6996741,0.38273928,0.90699947,-21.929344,51.96724,15.87532,11.610255,68.90882,1.4464532,0.15086895,0.00024473973,0.14648935,0.82264805,0.9353683,-0.365084,-0.56455326,-0.33347347,-0.49473774,1.2983443
2,-0.0,-0.0,-0.0,0.9511298,-0.0,0.97135156,0.9185177,0.80828816,0.10541079,0.40776506,0.16689539,-0.20631969,-0.27944532,0.011704721,-0.22527328,-0.40648142,1.2256025,-0.9511298,1.4651893,1.3466178,1.3466178,0.2399428,1.4651893,1.2256025,1.1507913,-70.22185,-65.93548,49.798378,95.30661,-64.73711,1.2766193,2.4186497,0.057572547,1.5021015,1.3243206,-0.8986558,-0.84129906,0.9192649,0.8020636,-0.23070553,0.16984154
3,1.5306116,-0.0,-0.0,1.4874094,-0.0,0.9930346,0.33798105,0.07645573,0.9942752,0.9997591,-0.17280631,0.07665569,-0.25295702,-0.28249314,0.0577695,-1.2260255,-1.5306116,-1.4874094,-0.10705357,-0.6386932,0.6386932,0.11809719,0.10705357,1.5306116,0.021952713,87.69758,-1.2577977,-92.230194,-44.883453,-70.59983,1.5183157,0.7626645,0.013946947,2.342772,0.0004819216,0.10664648,0.9105292,0.53836113,0.8597042,-0.4801987,0.47838485
4,1.4654361,0.10243306,0.47851443,-0.0,0.25958574,0.2212941,0.07540294,-0.67602074,0.6629789,0.9664964,0.13779052,0.119018145,-0.24439535,-0.23533943,0.27965924,-1.4953218,-1.4654361,0.6879296,-0.8460055,1.2974378,1.2974378,1.347655,0.8460055,1.4654361,0.25958574,83.9633,14.873166,-60.165855,67.14405,5.868982,0.0104925325,0.1068241,1.8161741,2.147503,0.06738476,0.68897694,0.8987033,0.6807889,-0.7824793,0.64140487,-0.19833702
5,0.7457538,-0.0,0.12953255,-0.0,0.17328133,0.9458563,0.9263473,0.9484846,0.7882461,0.98502433,0.28239614,0.28003937,-0.2827146,0.0120300185,-0.27873003,-0.3861994,-0.7457538,1.5297579,0.66284275,0.31230837,0.31230837,0.3305738,0.66284275,0.7457538,0.17328133,42.728546,9.928288,-8.769062,34.88074,-58.42361,1.0397563,0.8690769,0.10927904,0.55614877,0.03002642,-0.5802521,0.6326089,-0.80668014,-0.90809935,-0.9193221,-1.733091
6,-0.0,0.94112533,1.4277138,0.1740612,-0.0,0.7664883,0.8222111,0.8067591,0.5877735,0.6858173,0.23729531,0.17121167,0.032751113,0.2268889,0.13950562,-0.6055114,0.09774573,-0.1740612,-0.9424923,-1.1196464,1.1196464,0.6974409,0.9424923,0.09774573,0.8150702,-5.6004176,-46.70008,25.875368,-68.304596,53.92251,0.8857169,2.7393515,0.48642385,0.009554228,0.6643394,0.73636526,-0.097435616,-0.52723765,0.92116064,0.9150626,0.8696165
7,-0.0,-0.0,0.018095508,0.73895407,0.028290039,0.06380984,0.87371975,0.7991889,0.6092587,0.9995999,0.08861839,0.25256708,0.28126165,0.016426276,-0.05900064,-0.5079987,0.11950099,-0.73895407,0.91567093,1.5137212,1.5137212,1.5069431,0.91567093,0.11950099,0.028290039,-6.846902,1.6208998,-39.788776,48.775326,-79.89995,1.9446785,0.20652793,2.2708776,0.014280486,0.0008003263,-0.72384304,-0.11893537,0.27263394,0.39069954,-0.63892275,0.92438215
8,-0.0,0.54305613,1.0738581,-0.0,-0.0,0.021916497,0.7608327,0.95681745,0.8880773,0.9538076,-0.2602873,0.03516974,0.25971895,0.10906712,-0.18134047,-0.70620096,0.30718446,0.51450676,0.47765073,0.13535497,0.13535497,1.5488781,0.47765073,0.30718446,0.3051311,-17.600372,-17.482723,-96.8882,-51.762894,31.114822,0.29490995,1.3778654,2.3990233,0.09436229,0.093104996,-0.44436023,-0.29787353,0.6778458,-0.65119076,0.857899,0.8306931
9,-0.0,0.99733984,-0.0,-0.0,-0.0,0.54160064,0.9923403,-0.28111228,-0.17341362,-0.004173668,0.041295998,-0.028334122,-0.2257071,0.04071389,-0.15806003,0.12385056,1.7457753,1.1521701,1.7450911,0.455361,0.455361,0.9984563,1.7450911,1.7457753,1.57497,-100.02555,-90.23913,24.462389,73.42242,57.14336,0.9946868,0.50383383,0.996915,3.0477316,2.4805305,-0.94081426,-0.9408928,0.33260617,0.16490963,-0.33721077,0.6687324
