,oz2_tanh_exp,oz9_tanh_exp,oz7_rbfFeature_exp,oz14_tanh_exp,oz3_degree_abs,oz15_negative_abs,oz2_negative_abs,oz8_negative_abs,oz1_rbfFeature_abs,oz11_tanh_relu,oz15_abs_relu,oz3_abs_relu,oz1_cos_relu,oz3_relu_relu,oz2_tanh_relu,oz2_relu_relu,oz24_rbfFeature_degree,oz18_rbfFeature_degree,oz15_abs_degree,oz9_rbfFeature_degree,oz3_relu_degree,oz2_degree_degree,oz1_cos_degree,(oz20_cos-oz12),(oz2_degree-oz11),(oz2_relu-oz25),(oz11_tanh-oz13),(oz14_abs-oz3),(oz14_cos-oz14_abs),(oz8_negative-oz9_tanh),(oz2_relu-oz18_degree),(oz1_rbfFeature-oz21),(oz3_degree-oz10),(oz15_abs-oz15),(oz14_negative-oz14_tanh),(oz2_abs-oz2),(oz15_negative-oz16),(oz8_relu-oz3_degree),(oz9_rbfFeature-oz16_degree),(oz19_cos-oz1),(oz2_negative-oz14_tanh),(oz2_square-oz6),(oz7_rbfFeature-oz3_degree),(oz16_relu-oz11_tanh),oz1_cos_tanh,oz2_degree_tanh,oz3_relu_tanh,oz11_tanh_tanh,oz3_cos_tanh,oz18_rbfFeature_tanh,oz2_tanh_mmnorm,oz3_abs_mmnorm,oz3_degree_mmnorm,oz14_tanh_mmnorm,oz17_degree_mmnorm,oz20_abs_mmnorm,oz15_negative_mmnorm,oz18_degree_zscore,oz2_tanh_zscore,oz15_negative_zscore,oz2_negative_zscore,oz3_cos_zscore,oz17_degree_zscore,oz20_square_zscore,(oz2_relu/oz18_degree),(oz18_rbfFeature/oz11),(oz2_abs/oz25),(oz2_negative/oz18_degree),(oz19_cos/oz14_abs),(oz16_square/oz13),(oz1_cos/oz14_cos),(oz2_negative/oz15),(oz3_cos/oz2_square),oz26
0,0.4348849,0.42490226,1.3119897,0.46209344,15.807791,1.3427484,1.1967932,1.3896595,0.2586965,0.8993998,1.3427484,0.275898,0.9683874,-0.0,-0.0,-0.0,5.1881113,-14.860622,76.933815,12.476273,-0.0,-3928.84,55.48451,2.017826,-70.04027,0.054159667,2.560815,1.3011277,-0.50632715,-0.5337634,57.36819,0.09137499,-15.049989,0.0,1.7972178,2.3935864,-1.3457307,17.19745,0.04688266,0.23497446,1.9687812,2.908452,16.079336,-0.89641756,0.74799484,-1.0,-0.0,0.7160055,0.7452481,-0.25370318,0.05985841,0.090981826,0.35638916,0.090791374,0.38077974,0.5830101,0.10254264,-1.0017649,-1.2385782,-1.3434203,1.197392,0.80309784,-0.37714064,0.13173082,0.0,-0.17655174,-22.0975,-0.020861616,-0.01671711,-5.3530975e-06,1.8662221,0.89130116,0.6717668,0.42376396
1,0.6941384,0.7164309,1.3217187,2.5481517,51.96724,0.22547731,0.38273928,1.2705307,0.2811727,-0.0,0.22547731,0.90699947,0.8460195,0.90699947,-0.0,-0.0,8.545961,15.70519,12.918898,2.985665,51.96724,-1256.4587,48.473343,-0.0060244203,-21.38703,-1.6735942,0.83039093,0.79267466,-1.8281955,1.6040041,-15.87532,0.47247893,52.01391,0.45095462,-2.6350424,0.76547855,-0.9772085,-51.96724,-68.85671,0.8603854,-0.552629,1.147488,-51.688305,1.6974236,0.6889843,-1.0,0.71968895,-0.45796865,0.5484151,0.2674425,0.30854845,0.29954928,0.58692753,0.99578834,0.55276203,0.008549958,0.5555182,0.27721527,-0.5482797,0.22559012,0.3829308,0.02489572,0.20273858,-1.1075752,-0.0,-0.50543994,0.228693,0.024109075,0.17536515,-1.0915568,-6.5827165,-1.6974626,4.2058477,1.2983443
2,0.43115008,2.2301383,0.8135729,0.4071166,65.93548,1.3466178,1.2256025,0.9511298,0.27944532,-0.0,1.3466178,1.1507913,0.80828816,-0.0,-0.0,-0.0,-12.9072075,0.67063105,77.15551,9.562401,-0.0,-4023.4153,46.311497,1.7869959,-69.986916,0.63093734,1.432603,2.6159806,-1.3597785,-1.7531934,-49.798378,-1.9604006,-67.51326,2.6932356,2.363845,2.451205,2.4764936,66.886604,64.904,1.5480752,2.1242583,0.46880865,65.72916,0.23070553,0.66864485,-1.0,-0.0,-0.22669773,0.38657337,0.011704186,0.05527103,0.38011798,0.1858787,0.023650229,0.98622036,0.13225317,0.8793551,0.8695806,-1.2513114,1.3472916,1.2262157,-0.4436119,1.6642466,-1.0440012,-0.0,-0.049821198,-1.9425107,0.024611294,0.6268935,-0.76751804,7.667983,-0.9101339,0.27146304,0.16984154
3,2.4856377,2.3624618,1.0796702,1.112541,1.2577977,0.6386932,1.5306116,1.4874094,0.25295702,-0.0,0.6386932,0.021952713,0.07645573,-0.0,0.9105292,1.5306116,3.3099484,-16.185663,36.594425,-9.901072,-0.0,5024.7007,4.3805904,-0.39656603,88.22082,2.563383,-0.19787523,0.12900628,0.88722163,-2.3471136,93.7608,-0.4446209,-2.203018,0.0,-0.21370006,0.0,0.59350634,2.745207,70.427025,-1.1562848,-1.637258,0.7010608,1.3344535,0.4801987,0.0763071,1.0,-0.0,-0.44640276,0.7614929,-0.27521095,0.98698986,0.007057566,0.40588132,0.55651814,0.26018453,0.065053955,0.3059061,-1.6105261,1.3348957,-0.6390128,-1.5313776,0.88759935,-0.7837561,-1.09238,-0.01659556,0.5398895,-1.482043,0.01659556,3.1571207,-5.377929,0.07689594,-2.396474,0.42674196,0.47838485
4,2.4564157,0.4572709,1.1263903,1.9916768,14.873166,1.2974378,1.4654361,0.6879296,0.24439535,0.64140487,1.2974378,0.25958574,-0.0,0.25958574,0.8987033,1.4654361,16.023293,-13.483955,74.33771,7.8948145,14.873166,4810.7427,-38.73313,0.7505472,83.20274,2.103198,0.16289043,0.58641976,-0.18302661,1.4704089,61.63129,0.5325748,14.926786,2.5948756,-1.5349824,0.0,1.1950047,-14.873166,-5.731191,-2.2377424,-2.154413,3.8166642,-14.754148,-0.5389718,-0.5889264,1.0,0.253908,0.5658553,0.74716055,-0.23108885,0.98070014,0.08559092,0.46075115,0.86518675,0.8403682,0.74316895,0.8651496,-1.0506178,1.3174373,1.298087,-1.4661694,0.8128019,1.1724712,0.90620977,-0.024356607,-0.3094304,-2.297779,0.024356607,0.08912819,0.021927306,-1.0196716,1.1294847,0.45005593,-0.19833702
5,1.8825155,0.40329,1.3231819,0.55975723,9.928288,0.31230837,0.7457538,1.5297579,0.2827146,-0.0,0.31230837,0.17328133,0.9484846,0.17328133,0.6326089,0.7457538,-15.970054,0.68926924,17.893951,16.180105,9.928288,2448.1653,54.344162,2.544391,44.31318,1.1624023,-1.0488546,0.48956144,0.12540334,2.4378572,9.514816,-1.272104,9.392849,0.62461674,1.2430949,0.0,1.3319929,-9.928288,58.706005,0.603969,-0.16550171,-0.8565842,-9.648249,0.9193221,0.7390962,1.0,0.17156757,-0.7255765,0.7552327,0.012029438,0.83917654,0.057068896,0.44393104,0.19242245,0.67327845,0.18223718,0.580599,-0.1531256,0.9246047,0.31246465,-0.746127,0.8544655,0.6090884,-0.98666096,-0.085043736,-0.007591684,-1.7898874,0.085043736,1.3975371,8.026989,1.2032849,2.3878765,1.7711526,-1.733091
6,0.90716076,2.5122044,1.1867418,2.0883312,46.70008,1.1196464,0.09774573,0.1740612,0.032751113,0.9150626,1.1196464,0.8150702,0.8067591,-0.0,-0.0,-0.0,7.993083,12.999775,64.15101,13.59602,-0.0,-320.88028,46.22389,1.3435326,-7.158213,0.5127711,-0.51265115,1.7575625,-0.3547188,-1.0952219,-25.875368,1.3751438,-47.9391,0.0,-1.6788576,0.19549146,-2.0607717,46.87414,-53.68521,1.454361,-0.63861954,-0.20824146,46.871292,0.026062727,0.6677985,-0.9999727,-0.0,0.7235533,0.5952883,0.22307412,0.45089862,0.26916835,0.25130832,0.8903053,0.13888785,0.38456854,0.16698474,0.45183638,-0.15315299,-1.1202067,0.097794645,0.18164152,-1.1927366,-0.56842417,-0.0,0.1456474,-0.19062254,0.0037775591,0.8723796,0.6203743,1.372568,0.08730053,71.781555,0.8696165
7,0.8878652,1.4780143,1.2873259,0.48488522,1.6208998,1.5137212,0.11950099,0.73895407,0.28126165,-0.0,1.5137212,0.028290039,0.7991889,0.028290039,-0.0,-0.0,-3.3804874,0.94115627,86.729836,5.0774593,1.6208998,-392.29855,45.79015,-1.0800133,-6.0905504,-0.4225283,-0.65701824,0.8873809,-0.30641222,-1.1296536,39.788776,1.0152451,1.5268022,3.0274425,1.639514,0.23900197,2.9082384,-0.8819457,79.98856,1.5185714,0.84334403,-1.0006261,-1.3683327,0.63892275,0.6635831,-0.99999774,0.028282495,-0.56416565,0.76142603,0.016424801,0.43946385,0.009151936,0.41567326,0.11631101,0.7452377,0.8310181,0.9276222,-0.6947927,-0.18489285,1.5144787,0.119560786,0.88724136,0.85171604,1.4104557,0.0,-0.021717785,0.28282362,-0.0030033842,0.9541853,107.467476,1.3117398,-0.078945175,69.99761,0.92438215
8,0.74239516,0.5214245,1.0357956,0.6412344,17.482723,0.13535497,0.30718446,0.51450676,0.25971895,0.857899,0.13535497,0.3051311,0.95681745,-0.0,-0.0,-0.0,-10.390043,6.2490854,7.7552676,-14.913363,-0.0,-1008.427,54.821598,1.5688365,-18.885704,-1.621157,-0.21595913,0.78278184,0.4104266,1.1656976,96.8882,0.4139716,-18.291492,0.27070993,0.92201096,0.6143689,-0.40770116,17.482723,-31.37511,1.05578,0.7515447,-1.016614,17.517893,-0.31484288,0.742854,-1.0,-0.0,0.69517356,0.74150205,0.10863669,0.34429467,0.10064283,0.35069185,0.26445293,0.22455633,0.8541457,0.5294867,-1.6918643,-0.44905752,0.13542269,0.30733818,0.7842687,-0.903885,1.5525635,0.0,0.08485523,0.1894847,-0.0031705045,1.5928642,0.27462655,1.0774033,-2.269473,10.107932,0.8306931
9,0.39027923,1.1792866,0.97206354,0.3903099,90.23913,0.455361,1.7457753,1.1521701,0.2257071,-0.0,0.455361,1.57497,-0.0,-0.0,-0.0,-0.0,-9.056172,2.332734,26.090263,2.3660862,-0.0,-5731.0415,-16.106546,1.8058307,-99.67461,-0.2391606,0.012868375,3.3200612,-1.9185047,0.98726046,-24.462389,-0.85140556,-89.79911,0.910722,2.6859055,3.4915507,-0.54197884,90.23913,-57.102066,2.8480897,2.6865897,3.5612864,90.21079,1.3345506,-0.2739342,-1.0,-0.0,-0.32498503,-0.004173644,0.04069141,0.0023015738,0.5203013,0.10320926,0.001303792,0.87288344,0.5505819,0.62191916,0.4271629,-1.3983408,0.45558885,1.7466489,-1.3699344,1.2821043,-0.002312192,-0.0,-0.116013125,7.2995944,0.07136569,0.5686467,-2.8413198,1.6210508,-3.833827,-0.0013694343,0.6687324
