,oz1_rbfFeature_abs_exp,oz2_tanh_relu_exp,oz11_tanh_relu_exp,(oz3_relu_degree*oz20_abs),((oz14_negative-oz14_tanh)*oz17_degree),(oz2_tanh_zscore*oz22),(oz2_degree_degree*oz2_tanh_mmnorm),(oz14_tanh_exp*oz14),((oz2_abs-oz2)*oz2_degree),(oz9_rbfFeature_degree*oz3_abs),((oz15_negative-oz16)*oz19),(oz18_rbfFeature_degree*oz3_cos),((oz20_cos-oz12)*(oz15_negative-oz16)),(oz3_cos_tanh*(oz1_cos/oz14_cos)),((oz19_cos-oz1)*oz19),((oz2_negative/oz15)*oz9),(oz2_relu_relu*(oz15_negative-oz16)),(oz2_degree_degree*(oz14_negative-oz14_tanh)),(oz11_tanh_relu*(oz14_negative-oz14_tanh)),(oz3_relu_tanh*oz2_relu),((oz14_negative-oz14_tanh)*oz20_abs),(oz2_degree_tanh*oz7),(oz2_tanh_exp*oz2_tanh_mmnorm),(oz2_tanh_relu*oz25),((oz2_abs-oz2)*oz23_tanh),((oz16_square/oz13)*oz5),(oz3_cos_zscore*(oz3_cos/oz2_square)),(oz15_negative_abs*oz24_rbfFeature),(oz3_relu_relu*oz10),(oz15_negative_zscore*oz8),(oz2_tanh_zscore*oz1),((oz2_abs-oz2)*oz24_rbfFeature),((oz2_negative-oz14_tanh)*oz2_tanh_zscore),(oz24_rbfFeature_degree*(oz16_square/oz13)),(oz15_abs_degree*oz20),(oz7_rbfFeature_exp*oz2_degree_degree),((oz2_relu-oz25)*(oz14_cos-oz14_abs)),((oz19_cos-oz1)*oz17),(oz7_rbfFeature_exp*oz19_negative),((oz14_cos-oz14_abs)*oz20_square_zscore),((oz2_negative/oz18_degree)*oz8_relu),((oz3_cos/oz2_square)*oz18),(oz2_tanh_relu*oz14_cos),oz3_cos_zscore_adde,(oz2_degree-oz11)_adde,oz3_relu_tanh_adde,oz1_cos_degree_adde,oz18_degree_zscore_adde,(oz2_relu-oz25)_adde,(oz7_rbfFeature-oz3_degree)_adde,((oz16_square/oz13)/oz18),((oz2_relu/oz18_degree)/oz3_square),((oz15_abs-oz15)/oz9_tanh),((oz2_degree-oz11)/oz14_cos),((oz2_negative/oz15)/oz24),(oz3_relu_degree/(oz9_rbfFeature-oz16_degree)),(oz2_tanh_exp/(oz19_cos-oz1)),(oz1_cos_tanh/oz3),(oz2_degree_tanh/(oz3_cos/oz2_square)),((oz9_rbfFeature-oz16_degree)/oz21),(oz15_negative_mmnorm/oz16_square),(oz3_cos_zscore/(oz2_abs/oz25)),(oz1_cos_degree/oz14),(oz8_negative_abs/oz15),((oz16_relu-oz11_tanh)/oz4),((oz2_square-oz6)/oz1_cos_tanh),(oz7_rbfFeature_exp/oz1_rbfFeature_abs),((oz14_cos-oz14_abs)/oz2_degree),((oz14_negative-oz14_tanh)/oz9_tanh),(oz3_degree_abs/oz7_rbfFeature),(oz9_rbfFeature_degree/(oz2_relu-oz18_degree)),((oz2_degree-oz11)/oz1_cos_tanh),(oz3_abs_relu/oz3_cos_zscore),(oz17_degree_mmnorm/oz20_cos),(oz11_tanh_tanh/oz9_rbfFeature),(oz3_relu_degree/(oz14_negative-oz14_tanh)),((oz2_degree-oz11)/oz3_degree),((oz2_degree-oz11)/oz4),(oz1_rbfFeature_abs/(oz2_relu-oz18_degree)),(oz3_relu_relu/(oz2_abs/oz25)),(oz15_abs_degree/oz2_degree_degree),((oz11_tanh-oz13)/oz11_tanh),(oz2_tanh_relu/oz9_rbfFeature_degree),((oz18_rbfFeature/oz11)/oz9_rbfFeature),(oz2_relu_relu/oz19_cos),(oz2_tanh_relu/oz15),(oz3_abs_relu/oz16),(oz20_abs_mmnorm/oz19_negative),(oz2_tanh_relu/oz3_cos_tanh),((oz2_degree-oz11)-(oz18_rbfFeature/oz11)),((oz18_rbfFeature/oz11)-oz18_degree),(oz15_negative_abs-oz1_cos),(oz2_tanh_zscore-oz3),((oz2_square-oz6)-oz20_square),(oz18_rbfFeature_tanh-oz16_degree),(oz15_negative_zscore-oz22),((oz16_square/oz13)-(oz1_cos/oz14_cos)),(oz1_cos_degree-oz9_tanh),((oz15_negative-oz16)-oz20_square_zscore),((oz16_square/oz13)-oz23),((oz11_tanh-oz13)-(oz8_negative-oz9_tanh)),(oz2_negative_abs-(oz2_relu-oz25)),((oz15_abs-oz15)-oz7),(oz24_rbfFeature_degree-oz3_degree),(oz2_relu_relu-(oz16_relu-oz11_tanh)),(oz7_rbfFeature_exp-oz1_rbfFeature_abs),(oz11_tanh_relu-oz1_cos_tanh),(oz3_degree_abs-(oz14_abs-oz3)),((oz8_relu-oz3_degree)-oz3_relu),((oz16_square/oz13)-oz8),(oz8_negative_abs-oz15_negative_zscore),(oz20_abs_mmnorm-oz8_negative),(oz2_negative_zscore-oz24_rbfFeature),((oz2_relu-oz25)-oz9_tanh),((oz19_cos/oz14_abs)-oz11_tanh),(oz2_relu_relu-(oz2_square-oz6)),(oz2_degree_degree-oz1_cos_tanh),(oz9_rbfFeature_degree-oz1_cos_degree),(oz3_cos_tanh-(oz2_relu/oz18_degree)),(oz3_abs_relu-oz18_rbfFeature),(oz20_abs_mmnorm-oz3_cos_zscore),((oz14_negative-oz14_tanh)-oz1_rbfFeature),(oz11_tanh_tanh-oz3_cos_zscore),(oz14_tanh_mmnorm-(oz2_relu/oz18_degree)),((oz7_rbfFeature-oz3_degree)-oz14_cos),((oz2_square-oz6)-oz15_negative),((oz1_rbfFeature-oz21)-(oz2_abs/oz25)),(oz2_degree_degree-oz3_abs_mmnorm),(oz9_tanh_exp-oz13),((oz15_abs-oz15)-oz3_relu),(oz17_degree_mmnorm-oz16),((oz14_abs-oz3)-(oz1_cos/oz14_cos)),oz2_negative_zscore_zscore,oz9_rbfFeature_degree_zscore,oz14_tanh_mmnorm_zscore,oz1_cos_tanh_zscore,oz1_cos_relu_sigmoid,(oz2_abs-oz2)_sigmoid,oz2_tanh_relu_sigmoid,oz15_negative_abs_sigmoid,oz1_cos_tanh_sigmoid,oz18_degree_zscore_square,oz1_cos_relu_square,(oz11_tanh-oz13)_square,oz2_relu_relu_square,oz1_rbfFeature_abs_square,oz18_rbfFeature_degree_square,(oz2_relu-oz18_degree)_square,oz26
0,1.2952406,1.0,2.4581273,-0.0,-38.81588,0.60036194,-235.17413,-0.47375193,-164.13109,3.4421787,-2.1369343,-14.298608,-2.7154505,1.3907984,0.37312442,-1.1388996,0.0,-7060.9814,1.6164174,0.0,1.9001176,-0.8965727,0.02603152,0.0,2.229328,-1.5942139e-06,0.53949445,0.12158536,0.0,-1.8668967,0.3122621,0.21673836,-2.4384894,-2.7772467e-05,-81.33866,-5154.5977,-0.02742251,-0.0885741,-2.0833557,-0.066698894,-0.028990544,-0.6726158,-0.0,3.5213795,-67.32198,2.7182817,58.20279,1.7165169,2.7724414,18.797619,5.3463405e-06,0.0,-0.0,-134.97769,-0.7760533,-0.0,1.8507752,-2.711128,-1.4886118,-0.1339231,11529.783,-0.03634338,-54.1191,1.0349367,1.5273336,3.8883317,5.0715404,0.0073839626,-2.0998085,58.21431,0.21747719,-93.63737,0.34354222,0.77510077,3.2881687,-0.0,4.4307437,119.33596,0.0045094066,0.0,-0.019581813,2.8472488,-0.0,-0.81079257,0.0,-0.0,92.51388,-0.3671496,-0.0,-69.863716,57.19164,0.37436098,-0.9626802,1.7906638,-0.4245726,-0.85870165,-1.8662275,56.340405,-1.4774615,-1.668675,3.0945785,1.1426336,-0.8965727,20.995903,0.89641756,1.0532932,0.15140498,14.506663,17.19745,-1.3896649,2.73308,1.9726696,1.1068424,0.91005576,-0.91611695,-2.908452,-3929.5881,-43.008236,0.7452481,0.53526485,-0.22008777,2.0559144,-0.08709234,0.090791374,15.560433,4.2512007,22.188875,-3928.9312,2.0863175,0.0,0.3777975,-0.5650945,1.197392,1.0950696,-1.1409576,0.8138256,0.72479796,0.9163369,0.5,0.7929416,0.67874163,1.0035329,0.9377742,6.557774,0.0,0.06692388,220.8381,3291.1094,0.42376396
1,1.3246824,1.0,1.0,0.81298375,-30.593515,0.090102695,-387.6784,4.3310275,-16.786442,2.7079966,-1.2392303,9.676155,0.0058871144,-3.6100612,1.091083,0.5885634,0.0,3310.822,0.0,-0.0,-0.041223023,0.8968088,0.21417533,-0.0,-0.4321534,0.4239809,0.104707606,0.033631105,-0.04233007,-0.2866192,0.3083096,0.11417508,0.30299526,-9.3284025,0.20210528,-1660.685,3.0596573,0.17434609,-1.676115,2.024864,-0.0,1.1653421,0.0,2.7431774,-18.668747,3.4379706,51.191624,2.995497,1.0446875,-48.970024,-3.9395483,-0.0,-1.3522953,166.4084,-63.54935,-0.7547157,0.8067761,0.7596303,-0.2377642,359.92923,0.38405544,0.10886088,28.519197,-5.6348495,1.1284106,1.6654778,4.7007365,0.08336754,7.9018054,186.30731,-0.1880696,-31.04139,36.431942,0.5528297,-8.788551,-19.721596,-0.41154832,-14.217635,-0.017711308,3.9660134,-0.010281991,-1.6784467,-0.0,-9.699538,-0.0,0.0,0.75414497,-0.006742162,-0.0,-20.88159,-16.38076,-0.62054217,-1.4552791,1.1472433,-68.64138,0.3899272,5.4911594,48.806816,0.13036668,-0.4520653,-0.7736132,2.0563335,1.3477634,-43.42128,-1.6974236,1.040546,-0.6889843,51.174564,-52.874237,0.17897391,1.0449406,-1.2619808,0.23377562,-1.3401208,0.6701029,-1.147488,-1257.1477,-45.48768,0.5484151,0.6328922,-0.016345762,-2.9162152,-0.48286438,0.99578834,-51.559784,0.92201066,0.24378593,-1256.7583,2.0415597,-0.45604485,-0.6499238,7.375391,0.3829308,0.26905957,1.3893332,0.6361044,0.6997315,0.682542,0.5,0.5561317,0.66574097,0.076848306,0.715749,0.6895491,0.0,0.07905808,246.65298,252.0258,1.2983443
2,1.3223962,1.0,1.0,-0.0,225.29007,0.76199335,-222.37831,-0.5965029,-172.12814,11.004328,1.0066487,0.2734599,4.4254837,2.9642382,0.6292638,-1.0051254,-0.0,-9510.73,-0.0,0.0,0.5671876,0.74843395,0.023830108,0.0,2.2533069,1.1936446,-0.12042423,-0.303357,-0.0,1.2814492,0.7877724,-0.552191,-2.6581087,9.906514,-18.512909,-3273.3416,-0.8579351,2.5750904,-0.33070225,1.4196104,0.023408536,0.23594093,-0.0,2.27467,-67.26863,2.7182817,49.029778,3.5878625,3.349219,68.44744,-0.8830718,-0.0,3.357883,-663.9445,0.88688743,-0.0,0.2785072,-0.5810305,-3.6837428,38.611378,0.6888154,0.22837037,-31.607859,-0.7063101,-0.2698796,0.70113254,2.9113848,0.019364038,2.947204,-319.5792,-0.19202234,-104.66979,-2.5941398,1.0153073,-1.3583223,-0.0,1.0614455,81.87077,-0.0056115347,0.0,-0.019176621,-6.2096605,-0.0,-0.29851753,-0.0,0.0,-1.0185113,-0.32536092,-0.0,-69.937096,-49.848198,0.53832966,-0.100520134,0.4112361,64.74881,1.9562473,-8.435501,45.509434,3.520495,-2.3517804,3.1857963,0.59466517,3.4416695,53.02827,-0.23070553,0.5341276,-0.66864485,63.319496,66.886604,-1.7186478,-0.3961618,1.083383,1.451489,-0.17112625,0.857599,-0.46880865,-4024.084,-36.749096,0.38657337,1.1390866,0.57586503,2.6432905,0.21691416,0.023650229,65.62375,-0.87780917,-0.017889857,-4023.7954,3.893447,2.6932356,2.116096,-5.0520024,1.2262157,0.8414624,-1.3286783,0.5748485,0.69174457,0.9206495,0.5,0.7935762,0.6611996,0.75617045,0.65332973,2.0523515,0.0,0.078089684,0.449746,2479.8784,0.16984154
3,1.287828,2.4856377,1.0,-0.0,9.591597,1.2870817,4959.3286,0.11910148,0.0,-0.21735539,0.72765386,-16.181765,-0.23536445,0.05855571,-1.4176346,-3.096747,0.9084277,-1073.7788,0.0,-0.0,-0.025237378,1.3111635,2.453299,-0.9403685,0.0,4.6965814,0.3787759,0.03689699,-0.0,-0.9504736,1.9946892,0.0,-2.1855688,-17.800669,4.321699,5425.0195,2.274289,0.90579194,-1.3237032,-0.9691832,0.02468439,-0.68693537,0.9053166,3.6058812,90.9391,2.7182817,7.098872,1.1077557,5.281665,4.0527353,3.3409083,-34.436222,0.0,88.72877,-1.3579645,-0.0,-2.149676,-3.475976,2.3433366,367.45065,0.20147726,-0.5989025,40.91961,2.3288321,-0.83046585,9.187359,4.268196,0.010116831,-0.24857393,16.408405,-0.10559926,1156.1285,0.024732683,0.26200953,2.583255,0.0,-70.139114,-152.57095,0.0026978974,0.0,0.0072829067,0.41206947,-0.091962695,-3.1242466,4.528691,1.4256128,-0.017815875,-0.053060852,1.1957159,87.68093,92.77008,0.5622375,1.3568485,0.6871138,70.32462,-1.6031942,-5.454825,3.5208862,1.6858864,-5.9797745,2.1492383,-1.0327715,-1.3111635,4.567746,1.0504129,0.8267132,-0.0763071,1.1287915,2.745207,-6.8653383,2.1264222,1.5524633,-1.5891471,1.7036788,3.6373193,0.82955086,5024.6245,-14.281662,0.77808845,0.30444586,-0.8225454,0.03925696,-1.3340021,0.5731137,0.34017825,1.339754,1.0374222,5024.694,2.6447854,0.0,1.4923841,0.052110344,-1.5313776,-0.8525309,0.1611729,-1.2090862,0.51910466,0.5,0.7131084,0.654458,0.5190675,2.5937943,0.0058454783,0.039154608,2.342772,0.063987255,261.9757,8791.088,0.47838485
4,1.2768489,2.4564157,1.899147,20.043898,-103.06494,-1.3915442,4717.896,1.6849695,0.0,2.0493813,1.7869165,-13.032194,0.8969074,-0.76185834,-3.346145,-1.1879165,1.7512031,-7384.406,-0.98454523,0.37208596,-2.0686269,1.3831719,2.409007,-0.57315874,0.0,0.007166711,0.3658063,0.36284047,-0.013919041,-0.89299244,3.047424,0.0,-2.838304,0.35134766,-100.18159,5418.774,-0.38494122,-2.6223762,-1.6843159,-0.1658605,-0.0,-0.47260028,0.5958213,3.5310836,85.92103,2.9721897,-36.01485,1.6676639,4.82148,-12.035866,-0.020881312,-0.36145574,-3.3162227,125.49833,0.7804579,-2.5951264,-1.0977205,-2.2687163,2.221946,7.3763337,82.45384,-0.3537337,-45.783546,-0.53022164,0.6715625,-6.4807153,4.6088862,-0.0021798406,1.9616908,124.96554,0.1280975,-141.27869,0.31937146,3.7975173,4.1066346,-9.68947,5.5941515,-103.67118,0.0039654425,-0.11297245,0.015452439,0.25395885,0.11383463,-2.2456582,19.434734,-0.6926754,2.5341988,-0.49699602,1.2028248,83.51218,59.856426,1.9734585,1.0578516,2.0004902,-6.1000705,2.3543377,1.0415989,-37.950653,0.28879493,-0.80865556,-1.3075185,-0.63776195,1.2117037,1.1501265,2.004408,0.88199496,1.2303312,14.286746,-15.132751,0.70985687,-0.61015743,0.05523938,-1.7458286,2.8856773,-0.5522767,-2.3512282,4811.3315,46.627945,0.77151716,0.49492517,-0.06963295,-1.2905871,-0.24694657,0.88954335,-15.417127,2.5192266,2.8303537,4810.657,-0.021243542,2.33529,0.7379351,1.6060913,-1.4661694,0.6963248,1.0241828,-3.21256,0.5,0.5,0.7106829,0.78540343,0.35688126,1.1037978,0.0,0.026533294,2.147503,0.059729084,181.81705,3798.416,-0.19833702
5,1.3267264,1.8825155,1.0,3.282032,43.360073,-0.9580307,2054.4429,-0.37103102,0.0,2.80371,0.51441485,0.678947,3.3891106,0.9087601,0.23325247,-3.6213994,0.99333876,3043.3018,-0.0,0.12794718,0.4109346,-1.5417004,1.5797629,-0.26357552,-0.0,-7.4831038,1.5133888,-0.08704972,0.092781626,-0.47799525,0.29807255,-0.0,-0.15302366,-128.19145,5.9152713,3239.368,0.14576913,0.3676865,-0.5110121,-0.123730585,-0.0,-0.27107316,0.49865147,3.5727472,47.03146,2.8898494,57.062443,2.5651562,3.880684,-6.929967,-52.44718,-2.832297,-0.68782866,56.21744,-1.5859778,0.16911879,3.1169076,4.2652965,0.5646041,59.33559,0.55839914,-0.47738504,-81.9865,-4.8982286,-134.91434,-1.1589617,4.680274,0.0029348845,-1.3688974,35.45319,1.7005168,59.9559,0.202795,0.711819,-2.5693572,7.98675,4.463325,-6503.1436,0.02971309,-0.0968113,0.007309127,1.1409,0.039097946,-0.026883101,0.80504775,-2.0255907,-0.16993622,-0.47187325,0.8376344,44.32077,8.761471,-0.6361762,0.7513234,-0.9658632,58.43564,1.3486164,6.8237042,55.252262,2.3186538,9.144439,-3.4867117,-0.41664845,2.166317,-25.898342,-0.17356825,1.0404673,-0.7390962,9.438727,-10.10157,9.5567465,1.2172933,-1.3475207,-0.46739697,2.0705016,2.3168592,1.6023381,2447.4263,-38.164055,0.8402764,0.1612513,-0.67222834,1.5258095,-1.580042,0.27746618,-10.436495,-1.1688926,0.5177834,2448.1082,0.27375746,0.45133543,1.6929629,-0.7137234,-0.746127,1.4174308,-0.8568061,0.7870258,0.7208103,0.5,0.6530808,0.57744867,0.6767982,0.023447448,0.89962304,1.100096,0.55614877,0.07992755,0.47509208,90.53173,-1.733091
6,1.0332932,1.0,2.4969316,-0.0,114.67369,-0.1092131,-144.68448,1.9682361,-1.0948339,11.081711,-1.2478209,8.91547,-2.768714,0.81707364,0.88063216,0.13938719,0.0,538.7123,-1.5362598,0.0,-1.1709039,0.33986518,0.40903753,0.0,-0.10307046,1.0267807,13.03851,0.15619698,-0.0,-0.19498453,0.09681563,0.02727216,0.09780649,4.9587035,44.74154,-380.80206,-0.18188956,-1.7338021,-0.7185857,0.20163074,0.0006575264,32.417297,-0.0,2.8999233,-4.4399314,2.7182817,48.94217,3.170118,3.2310529,49.589573,1.3736937,-0.0,0.0,-12.178523,-0.07368483,0.0,0.6237521,-0.8193141,-0.013930775,39.99218,0.1885306,-0.95288587,49.044315,0.15546086,-0.017047986,-0.3118328,36.23516,0.06333792,-1.8225459,272.76224,-0.52544254,-10.719121,4.487246,0.18120022,3.049168,0.0,0.15328053,4.6822853,-0.0012657255,0.0,-0.19992194,-0.56023616,-0.0,0.6137812,-0.0,-0.0,0.8660592,-0.6351136,-0.0,-7.3038607,-25.729721,0.3128873,0.6619172,-0.6946653,-53.699432,-1.8333048,-0.7521937,45.302727,-1.4923475,1.2066859,0.58257073,-0.4150254,0.33987445,54.693165,-0.026062727,1.1539907,0.24726409,44.94252,46.87414,0.44631314,1.2942679,0.55862975,-0.04171098,-0.4083895,-0.042683005,0.20824146,-321.54807,-32.62787,0.5952883,0.5881813,0.20292702,-1.7116086,0.5419118,0.8903053,46.28352,0.91140497,1.5657663,-321.14944,1.0844907,0.0,-0.8022375,0.3849945,0.097794645,1.1925263,1.094412,0.5722996,0.69141847,0.5487178,0.5,0.75392306,0.66101,0.20415612,0.65086025,0.26281118,0.0,0.0010726354,168.99416,669.53467,0.8696165
7,1.3248003,1.0,1.0,2.4426038,79.96783,0.17119235,-172.40103,-0.4439953,-1.6364231,0.14364152,1.4773813,0.9407797,-3.1409361,0.9987928,0.7714323,-0.032574777,-0.0,-643.17896,-0.0,-0.0,2.4706542,0.758733,0.39018467,-0.0,0.06516005,48.838963,62.10478,-0.08931052,0.0026620247,1.1191301,0.11922847,-0.01410127,-0.15592828,-363.29245,130.69693,-505.01608,0.12946783,1.2927448,-0.6539599,-0.43218085,-0.0022193629,-48.609505,-0.0,3.605523,-3.3722687,2.7465641,48.50843,2.023489,2.2957535,1.349949,-154.753,0.0,7.748774,-9.996657,0.20195465,0.020264145,0.5846714,23.456423,-0.014286169,-108.97871,0.47700542,3.1370838,-50.00721,-0.4881705,2.4319696,-1.5079137,4.576969,0.04475195,4.196355,6.4177003,0.12761034,-9.178278,0.031885393,11.67904,-6.3662367,0.9886465,-3.757512,-23.182823,0.007068869,0.100027144,-0.2210812,1.0283219,-0.0,-0.24507086,-0.0,0.0,-0.020286618,-1.6358665,-0.0,-6.068833,39.76706,0.7145323,-0.21318288,-3.2715037,79.916374,2.4403791,106.15574,45.39945,1.4977827,107.18777,0.47263533,0.54202926,3.7861772,-5.001387,-0.63892275,1.0060642,-0.6635831,0.7335189,-0.91023576,106.72852,-0.7755246,1.5699722,0.17856142,-0.81322783,1.593108,1.0006261,-392.96213,-40.712692,0.76142603,0.0118637625,-0.056223273,1.3582523,-1.451407,0.11631101,-1.9775915,-2.5143473,0.73242146,-392.3077,1.4599189,2.9991524,2.139755,-0.4243589,0.119560786,0.45111778,-1.0696069,0.5596041,0.689801,0.5594677,0.5,0.819612,0.6600648,0.4827369,0.6387029,0.43167296,0.0,0.07910812,0.88577515,1583.1467,0.92438215
8,1.2965657,1.0,2.358201,-0.0,-47.725956,-0.32618326,-347.19604,-0.30628607,-10.813122,-4.550531,-0.28791896,5.960425,-0.63961643,0.79889673,0.7455929,1.7642053,0.0,-929.78076,0.79099226,0.0,1.4280826,-0.77255076,0.2556027,-0.0,0.41644737,0.32236356,7.9273343,-0.024545332,-0.0,-0.06967589,0.1324483,-0.11140995,-0.3374868,-2.8533819,-12.011964,-1044.5242,-0.66536593,-0.9538265,-0.7314798,0.63721335,0.0,-17.092695,-0.0,3.5025504,-16.167423,2.7182817,57.53988,1.0264175,1.0971247,20.236176,-0.16240308,0.0,-0.41571525,-21.265833,-2.1154695,0.0,0.7031722,-2.4345403,-0.09893221,203.40079,1.7954183,4.138955,-114.7734,-3.8011665,0.37406063,-1.3685246,3.98814,-0.0233192,-1.4158846,497.0956,-0.15392342,-25.42317,0.38906452,10.2459955,-2.670793,-0.0,1.0802495,22.437855,0.0026806046,-0.0,-0.00769046,-0.25173026,0.0,-0.326006,-0.0,0.0,0.56187767,-1.2094939,-0.0,-18.97056,96.97305,-0.8214625,-0.14392641,-3.4156373,-31.006186,-0.5909503,-0.80277675,55.47279,-1.9602647,-0.55049115,-1.3816566,1.9283415,-0.50184083,7.09268,0.31484288,0.7760766,0.11504501,16.699942,17.482723,0.7891333,0.37908405,0.33963895,0.48867863,-0.9699663,0.73496515,1.016614,-1009.16986,-69.73496,0.74150205,0.196064,0.06987703,0.662292,-0.089095116,0.26445293,16.629816,-1.151969,0.2244869,-1008.52765,-0.55243367,0.27070993,-0.3184998,-0.29462147,0.30733818,-1.2887732,-0.6554153,0.798343,0.7224841,0.64893675,0.5,0.5337872,0.67761964,2.8624046,0.9154996,0.046638347,0.0,0.067453936,39.051067,9387.323,0.8306931
9,1.2532085,1.0,1.0,-0.0,197.20567,-1.9553747,-13.190414,-0.6811263,-349.2443,3.7265148,0.06712438,-0.009736058,-0.97872204,-0.006765689,-0.35273752,-0.6380616,0.0,-15393.036,-0.0,0.0,2.681759,-0.41851026,0.00089825643,-0.0,1.1613113,2.0168045,0.0018760352,-0.071974374,0.0,-0.5249158,2.59497,-0.5518746,-3.756768,25.731482,26.049988,-5570.9365,0.45883074,3.6497216,0.12039062,0.0044359514,-0.0,-0.00058467896,0.0,1.3483473,-96.95632,2.7182817,-13.388265,3.1454446,2.4791212,92.92908,-6.6549354,-0.0,5.522552,574.7796,4.2770224,0.0,0.13703193,0.17392978,730.2285,-91.26132,0.6252412,-0.18767267,9.22963,-2.5302343,3.2788513,-13.000519,4.306748,0.019180147,16.287136,-3184.8218,-0.09672343,363.86334,-1.1496682,1.6116736,-7.8696494,-0.0,1.1045609,-244.89008,-0.009226699,-0.0,-0.0045524472,-0.038161222,-0.0,-2.8093066,-0.0,0.0,1.5791708,4.4455338,0.0,-99.55859,-24.578402,0.7364733,0.17662919,2.5643716,-57.10267,-0.94276464,-4.462371,-16.271456,-0.53966665,-3.1870756,-0.97439206,1.984936,0.49221176,81.18295,-1.3345506,0.7463564,0.2739342,86.91907,90.23913,-1.6891497,0.69658124,-0.6015882,1.904709,-0.40407023,0.9058575,-3.5612864,-5730.7676,18.472633,-0.004173644,1.5342561,1.9205163,2.9116125,1.0449494,0.001303792,90.38421,3.1059256,-8.151,-5731.562,1.5293658,0.910722,-0.124456406,1.6990104,1.7466489,0.21513483,-1.3911568,-2.2639024,0.5,0.97044647,0.5,0.61191314,0.4319415,0.18246813,0.0,0.00016559506,0.0,0.050943695,5.4416485,598.40845,0.6687324
