,oz33_radian,oz3_radian,oz1_radian,oz7_radian,oz29_radian,oz36_radian,oz3_tanh,oz1_tanh,oz48_tanh,oz5_tanh,oz28_tanh,oz37_tanh,oz22_degree,oz36_degree,oz23_degree,oz2_degree,oz37_degree,oz11_degree,oz30_zscore,oz29_zscore,oz35_zscore,oz40_zscore,oz32_zscore,oz2_zscore,oz14_mmnorm,oz27_mmnorm,oz12_mmnorm,oz18_mmnorm,oz2_mmnorm,oz24_mmnorm,oz20_sin,oz45_sin,oz39_sin,oz35_sin,oz1_sin,oz3_sin,oz2_relu,oz34_relu,oz13_relu,oz27_relu,oz35_relu,oz48_relu,(oz20+oz36),(oz4+oz9),(oz23+oz43),(oz12+oz14),(oz3+oz17),(oz31+oz38),(oz3+oz6),(oz35+oz48),(oz15+oz41),(oz14+oz48),(oz27+oz34),(oz12+oz47),(oz27+oz48),(oz26+oz31),(oz11+oz50),(oz4+oz41),(oz1+oz9),(oz11+oz37),(oz17-oz20),(oz14-oz29),(oz4-oz18),(oz11-oz45),(oz42-oz48),(oz2-oz13),(oz8-oz50),(oz1-oz31),(oz13-oz14),(oz12-oz31),(oz22-oz36),(oz15-oz26),(oz2-oz47),(oz35-oz42),oz51
0,0.019951256,0.013704647,0.014332866,0.019382088,-0.006353119,0.00877844,0.6556918,0.67572945,0.5698247,0.625646,0.90157574,0.6038392,93.653305,28.817915,69.62842,62.476337,40.059353,-35.244915,0.30965438,-0.36418906,0.20661467,0.8403467,-1.711946,1.0909635,0.41229638,0.81617045,0.25532913,0.99265456,0.8340742,0.53596145,0.9768669,0.9999792,0.7473478,0.20504661,0.7319727,0.7069797,1.0904179,0.62587994,-0.0,1.0956978,0.20651133,0.6472633,1.8582511,0.306,2.4359932,-1.2024596,2.2018304,0.7598447,1.6295927,0.8537746,0.4755668,0.30817026,1.7215776,-0.8278311,1.742961,-1.9199417,-1.864351,-0.5788107,1.0820775,0.08402783,0.061328292,0.024913877,-1.619861,-2.1923904,0.033644617,2.211879,1.0985304,1.3728364,-0.7823681,-0.31174308,1.1315911,2.467831,1.0548824,-0.4743966,-1.4993902
1,-0.022447282,-0.007085219,-0.03145874,0.021436572,-0.0042360914,-0.015205219,-0.38503113,-0.94705945,-0.26252213,-0.75543207,0.76863503,-0.4215313,32.898388,-49.915787,71.124405,-60.052494,-25.757475,48.47319,-1.6195278,-0.24283162,-1.0635759,1.271788,1.404947,-1.0486382,0.77041286,0.80742383,0.042277552,0.9641757,0.20996845,0.21955115,-0.8568799,0.9497139,-0.94967234,-0.87383956,-0.97328734,-0.3948946,-0.0,0.5696484,1.7227598,1.0659178,-0.0,-0.0,-1.9003813,-0.25767922,1.8472912,-0.68894917,-0.9125645,-0.1474737,-1.6262308,-1.3318592,1.583061,0.63995373,1.6355662,-0.086444736,0.7971026,0.06474602,0.38742402,1.2185304,-3.300927,0.39646405,0.52257514,1.1514792,-0.32600188,-0.40630406,-0.22079545,-2.7708735,-1.1865078,-2.940236,0.8139908,-2.7355013,1.4453802,2.6783624,-2.5593872,-0.57343316,0.16803277
2,0.008461791,-0.00047064546,0.0054053483,-0.019450989,-0.01264497,0.024661768,-0.026959464,0.30016747,-0.35561544,-0.2658434,0.7023597,-0.49170136,-39.24134,80.95981,28.598085,-29.278666,-30.842417,15.778624,-0.83681786,-0.7248659,-1.3751928,0.069936,-0.2195385,-0.51126486,0.92785966,0.9091255,0.7297732,0.20412472,0.36671624,0.1704136,0.06985001,0.999858,0.24148269,-0.98079664,0.3047764,-0.026962731,-0.0,0.43701893,-0.0,1.4121839,-0.0,-0.0,1.4829222,-1.3478076,1.5443907,2.2293544,-0.19383904,-0.96595424,-1.0420548,-1.7463627,0.5647644,1.0855372,1.8492029,1.2326335,1.0403264,-0.7222954,1.6744581,0.5672426,-0.9518754,-0.2629128,-0.23677997,2.181898,0.9677522,-1.2785568,0.7449227,-0.15111181,-1.7787434,1.0572634,-1.8172922,1.5195191,-2.0979059,-0.11397116,-0.97168314,-1.7475702,0.47445622
3,-0.023458485,0.0025760198,-0.013812648,-0.024279015,-0.028340716,0.024974437,0.14653258,-0.659205,0.13579707,-0.5347382,0.84506935,-0.3236246,-67.38944,81.98624,-22.369759,-44.23418,-19.233644,-34.061405,0.37265968,-1.6246159,-1.3641644,1.0298665,-0.95708036,-0.77241844,0.85052377,0.6734875,0.00747975,0.9095075,0.2905397,0.06359836,0.58311427,-0.8430265,0.33890918,-0.97858727,-0.7113425,0.14705977,-0.0,-0.0,1.4729553,0.6099018,-0.0,0.13664117,2.0534868,0.8097596,1.1473294,-0.52974343,-0.47413653,0.3843919,-1.3012531,-1.226841,0.22948241,1.3245579,-1.0619298,-1.8962531,0.74654293,-0.32835525,-1.573706,2.821739,-1.3402495,-0.9301741,-1.2442884,2.8117201,-0.019689083,0.4084018,0.14317685,-2.2449875,-0.18772894,-0.09556669,0.2850386,-1.0218204,-2.6070976,-1.6011384,-0.5934392,-1.6433002,0.9538165
4,0.02301077,-0.011834283,-0.0021762112,0.026427068,-0.016746262,-0.014752361,-0.59025323,-0.124045536,-0.61019146,-0.4775951,0.923162,0.5617335,-76.38539,-48.429142,-83.9174,-5.166126,36.403572,-72.33412,-1.0717331,-0.95997024,1.0426433,-1.5595294,-1.4479665,-0.09021102,0.6206185,0.1704593,0.38155225,0.32669577,0.4895345,0.6943929,0.9940215,-0.89875245,0.023158178,0.86347646,-0.12436488,-0.6272791,-0.0,1.3783946,-0.0,-0.0,1.0421219,-0.0,0.61614555,-1.175361,-0.529431,-0.041488916,-1.3430564,3.2639608,1.1787219,0.33289552,-0.00037831068,-0.32241777,0.2756251,-0.32624626,-1.8119959,2.8614025,0.13875055,-1.958708,0.24181007,-0.6271065,-2.1263955,1.3462987,-0.9105225,-0.14555287,1.719374,1.2537402,-0.017044902,-1.706629,-1.7307147,-2.010239,-0.48792857,-0.86299026,-0.19221714,0.031974316,0.0032614633
5,0.012336606,0.008539351,0.03177275,0.019396575,-0.028020043,0.00850376,0.45363584,0.9488827,-0.8172868,0.6911311,0.06016241,-0.8898406,-3.7876995,27.916195,-59.877247,83.79632,-81.42645,100.75685,-1.2887269,-1.6062336,1.1940393,0.124157414,0.95087206,1.4632535,0.41247755,0.6214695,0.50646174,0.4978144,0.94266844,0.6343259,-0.33489832,-0.26168123,0.626872,0.9296428,0.9689994,0.4699806,1.4625217,1.4185483,-0.0,0.43279502,1.1934422,-0.0,0.14573222,0.6609997,0.5669919,-0.33621806,0.36560094,-0.25861144,0.3431754,0.044851184,-0.41201288,-1.4870528,1.8513434,1.195781,-0.715796,1.9308767,3.5630372,-0.7075671,2.7719042,0.3373791,0.21782951,1.2669685,-0.2491681,2.0233026,2.0482435,3.0691586,-2.9479935,0.5110649,-1.2681751,-1.3071359,-0.5533374,-0.616403,0.26898432,0.29378974,1.0360783
6,0.0037671158,-0.024503084,-0.012607857,0.019855605,0.012402156,0.01853431,-0.88619673,-0.61837953,0.7125946,-0.7210034,-0.6697173,0.93015754,-97.49784,60.84455,90.81918,-13.002261,95.085625,46.303833,0.3705647,0.71094674,0.91677314,0.5169331,-0.6042185,-0.22704582,0.4090812,0.35803026,0.8546939,0.6273251,0.4496208,0.8666854,-0.94338936,-0.046892896,-0.22204503,0.7933636,-0.6611698,-0.98610896,-0.0,-0.0,-0.0,-0.0,0.91631466,0.8924356,-0.17076683,-1.5143497,0.50356793,0.85224265,-2.784583,-0.12864624,1.7985296,1.8087503,-2.2908978,0.5421392,-1.5897404,0.69714624,0.42829314,-0.62931406,2.1238563,-2.7946112,-1.1323867,2.4677117,-0.14795518,-1.0608876,-1.5096217,0.8550645,-1.2511283,1.0988325,-0.02300191,-0.41577154,-0.97546834,1.5091445,-2.7635963,-0.27791783,0.27846056,1.2750074,0.7804035
7,-0.022841759,-0.028757552,-0.029243303,-0.019864574,-0.0077560325,-0.016330006,-0.92853945,-0.9322775,0.21032487,-0.7527092,-0.0561107,0.91195387,-95.14786,-53.608246,39.54429,-88.96542,88.17877,12.573118,0.8781699,-0.4446103,-1.2674894,-1.2509198,-1.2746916,-1.5535166,0.7720137,0.4055309,0.33505717,0.6906,0.06269925,0.70917994,-0.9990798,-0.023355542,0.6509732,-0.95416445,-0.9945217,-0.9970454,-0.0,-0.0,-0.0,-0.0,-0.0,0.21351123,-2.4635344,-0.2880833,2.2378569,0.3257894,-0.35079038,2.7987323,-2.484691,-1.0533442,0.05723393,1.1278586,-1.6825894,0.50635165,-0.08890477,1.9035196,-0.4770186,0.005163908,-0.6025485,1.7584524,2.82479,1.3587353,-1.9845165,0.24279998,-0.7124311,-0.28104186,1.3372855,-3.0322218,-2.1860452,-1.9452617,-0.725003,-1.8557987,-2.6476493,-0.76793563,0.053294215
8,-0.0005580064,-0.015587305,-0.0053365654,-0.024355818,-0.019564817,-0.0021104757,-0.712915,-0.29657736,0.27920324,-0.51386017,-0.048887476,-0.16952302,0.25475696,-6.9282827,-34.287857,-24.117773,-9.807634,65.919914,-1.3785673,-1.1215423,-1.2505656,0.6985136,-0.73551375,-0.42114517,0.24492307,0.24552593,0.31451783,0.3489226,0.39300346,0.2835746,-0.7258324,-0.9425564,0.8840943,-0.9489657,-0.30102056,-0.7790109,-0.0,0.02201613,0.83292156,-0.0,-0.0,0.28681773,-0.93316513,0.043178797,-1.7857547,-1.5816613,-1.2122674,-1.9482977,-2.52523,-0.9631224,-0.98716354,-0.6354901,-0.82517236,0.883782,-0.56037074,-0.9396992,1.0580918,-0.04851514,0.37242654,0.97934407,0.4930631,0.1986736,-0.08031583,2.3807218,0.26102018,-1.2538562,-0.18579416,1.2493553,1.7552295,0.89576447,0.1253677,-2.1890776,-1.9640701,-1.7977781,0.7656309
9,0.02384155,-0.012270687,-0.010746343,-0.010588165,0.026858978,0.00418478,-0.6063056,-0.5481411,0.9401585,-0.82153356,0.4728045,0.17296049,4.787114,13.737822,71.658295,-23.848692,10.010537,-89.64269,0.98557234,1.5396761,1.2050956,1.279125,1.463034,-0.4164465,0.291712,0.057303376,0.53761005,0.24425158,0.39437404,0.6641184,0.12070774,0.74287635,-0.7125011,0.9336577,-0.57754654,-0.646554,-0.0,-0.0,-0.0,-0.0,1.2044929,1.7394124,0.36077303,-1.1925502,-0.44448376,-0.64966476,0.80037606,0.9541838,-1.488486,2.9439054,-1.3707176,0.9801413,-2.9458952,-0.47764802,0.25137842,-1.2954351,-2.899658,-1.6251571,-0.42283878,-1.3898433,1.3824319,-2.2981772,-0.46981454,-2.401917,-1.7809665,0.7383373,0.27001882,-0.7701714,-0.39530432,-0.044844948,-0.15621933,0.3188944,0.17101619,1.246047,0.1696867
