,oz35_relu_sigmoid,oz2_relu_sigmoid,oz13_relu_sigmoid,oz2_mmnorm_sigmoid,oz20_sin_sigmoid,oz3_radian_sigmoid,oz35_zscore_degree,(oz12+oz14)_degree,oz2_mmnorm_degree,oz3_radian_degree,oz1_sin_degree,(oz23+oz43)_degree,(oz35-oz42)_degree,(oz37_degree+oz27_mmnorm),((oz8-oz50)+oz36),(oz30_zscore+oz1),(oz20_sin+oz10),(oz48_tanh+oz7),(oz13_relu+(oz14+oz48)),((oz13-oz14)+oz27),(oz28_tanh+(oz27+oz34)),((oz2-oz13)+oz46),((oz15+oz41)+oz2),((oz14+oz48)+oz44),(oz30_zscore+oz50),(oz22_degree+(oz11+oz37)),(oz48_tanh+(oz14-oz29)),(oz29_zscore+oz3),((oz8-oz50)+oz14),((oz42-oz48)+oz9),((oz17-oz20)+oz11),(oz14_mmnorm+oz46),(oz3_radian+(oz11+oz50)),(oz37_tanh+oz40),(oz28_tanh+oz1_sin),(oz27_mmnorm+oz3),(oz1_radian+oz32_zscore),(oz33_radian+oz45),((oz11+oz50)+oz38),(oz35_zscore+(oz1-oz31)),(oz1_radian+oz2_zscore),(oz45_sin+oz42),(oz2_relu+oz28),((oz8-oz50)+oz34),(oz39_sin+oz47),(oz29_zscore+oz29),((oz4+oz9)+oz45),(oz1_radian+oz27_mmnorm),(oz22_degree+oz17),(oz3_radian+oz1),(oz36_radian+(oz12+oz47)),((oz15+oz41)-oz18),(oz28_tanh-oz28),(oz48_tanh-oz37_degree),(oz35_relu-(oz3+oz17)),(oz2_degree-oz21),(oz7_radian-oz5_tanh),((oz17-oz20)-oz12),(oz23_degree-(oz13-oz14)),(oz23_degree-oz36),((oz13-oz14)-oz4),(oz33_radian-oz13_relu),((oz13-oz14)-oz34),(oz18_mmnorm-oz1),(oz30_zscore-oz29_zscore),(oz48_tanh-oz2_degree),((oz42-oz48)-oz46),(oz1_radian-oz37_degree),((oz2-oz47)-oz5),(oz2_zscore-oz49),((oz14+oz48)-oz15),((oz27+oz48)-oz37),((oz22-oz36)-oz26),(oz2_relu-oz39),(oz27_mmnorm-oz4),((oz14-oz29)-(oz2-oz13)),(oz27_mmnorm-oz30),((oz2-oz47)-oz13),(oz32_zscore-oz45),(oz39_sin-(oz13-oz14)),((oz27+oz48)-(oz22-oz36)),((oz2-oz47)-oz1),(oz30_zscore-(oz35-oz42)),(oz3_tanh-oz26),((oz1-oz31)-(oz35-oz42)),(oz48_relu-(oz1+oz9)),((oz4+oz9)-oz1),(oz12_mmnorm-oz46),(oz12_mmnorm-oz18_mmnorm),oz35_relu_zscore,oz1_tanh_zscore,(oz4+oz41)_zscore,oz35_sin_zscore,oz1_radian_zscore,oz2_relu_zscore,(oz3+oz6)_zscore,(oz7_radian*(oz35+oz48)),(oz7_radian*oz19),(oz18_mmnorm*(oz11+oz50)),((oz1-oz31)*oz1),(oz35_zscore*(oz2-oz13)),((oz3+oz17)*(oz35+oz48)),(oz13_relu*oz45),(oz29_zscore*oz19),((oz42-oz48)*(oz8-oz50)),(oz39_sin*(oz14+oz48)),(oz28_tanh*oz29_zscore),(oz1_tanh*oz2_mmnorm),(oz5_tanh*oz17),(oz11_degree*oz1),(oz36_radian*oz28),(oz3_tanh*oz37),(oz3_radian*oz39),(oz22_degree*oz12_mmnorm),((oz3+oz17)*(oz12-oz31)),(oz27_relu*oz23),(oz22_degree*(oz35+oz48)),(oz2_degree*oz2_zscore),(oz20_sin*oz37),((oz12+oz47)*oz32),(oz35_zscore*(oz13-oz14)),((oz12+oz14)*(oz1-oz31)),((oz12+oz14)*oz37),((oz4+oz9)*oz41),((oz3+oz17)*(oz14+oz48)),((oz1+oz9)*(oz35-oz42)),(oz29_radian*oz1_tanh),(oz3_tanh*oz11),(oz27_mmnorm*oz50),(oz2_degree*oz28),(oz8-oz50)_tanh,oz2_mmnorm_tanh,oz37_tanh_tanh,oz1_radian_tanh,oz18_mmnorm_tanh,oz27_relu_tanh,oz27_mmnorm_tanh,(oz27+oz34)_radian,oz2_degree_radian,oz32_zscore_radian,(oz14+oz48)_radian,(oz35-oz42)_radian,oz2_mmnorm_radian,(oz4-oz18)_radian,(oz11-oz45)_radian,oz35_zscore_square,oz2_relu_square,oz3_tanh_square,oz32_zscore_square,oz45_sin_square,oz29_zscore_square,oz39_sin_square,oz51
0,0.5514452,0.7484604,0.5,0.69721574,0.7264861,0.5034261,11.838148,-68.89585,47.78893,0.7852184,41.938942,139.57213,-27.180922,40.875523,1.6014979,1.1308671,1.2972152,1.6803365,0.30817026,0.31332964,2.6231534,1.0013957,1.5659847,1.1749709,-0.93955684,93.737335,0.5947386,0.42102942,0.7594374,0.29450932,-0.55381155,-0.7981869,-1.8506464,1.4437656,1.6335485,1.6013889,-1.6976131,1.5972018,-0.5528828,1.5794511,1.1052964,1.6808871,2.5709934,1.7244103,0.7828833,-0.72819597,1.8832506,0.83050334,95.069916,0.8349174,-0.81905264,-1.1894295,-0.5789998,-39.48953,-1.995319,61.961582,-0.60626394,0.9246949,70.41079,69.12545,-0.82750344,0.019951256,-1.4082481,0.1714418,0.67384344,-61.906513,1.244128,-40.04502,0.32065302,1.1276528,-0.79134256,1.0437934,2.4999092,0.24635649,0.77103513,-2.1869652,0.50667095,2.1763434,-3.2891965,1.5297159,0.61136997,0.23366964,0.78405094,2.02401,1.8472329,-0.4348142,-0.5152128,1.4658124,-0.73732543,-0.40563673,1.0268182,-0.4136487,0.2803913,0.8216237,1.1938258,1.1582637,0.016547935,-0.0018617577,-1.8506565,1.1273907,0.45700666,1.8798668,-0.0,0.03498239,0.036959633,0.23031035,-0.32834402,0.5636085,0.8862976,-28.943575,0.012997144,0.45843852,0.011567564,23.912416,-0.68640536,1.3315415,79.95882,68.1594,0.68299377,1.4164934,-0.16164874,-1.6507802,-0.84072083,-0.19092748,0.6785386,-0.51333386,-0.0042929896,-0.40334216,-1.0195693,92.50094,0.7999705,0.68265754,0.53977585,0.014331886,0.75849193,0.7989483,0.67298007,0.030047199,1.0904177,-0.029879095,0.005378586,-0.008279783,0.014557341,-0.028271908,-0.03826443,0.04268962,1.1890111,0.42993173,2.9307592,0.9999584,0.13263367,0.5585287,-1.4993902
1,0.5,0.5,0.848484,0.5523001,0.29799163,0.4982287,-60.938404,-39.473877,12.030305,-0.40595314,-55.765255,105.84199,-32.855297,-24.95005,-2.0577028,-3.4219809,-2.018929,0.965703,2.3627136,1.8799086,2.4042013,-2.334793,0.53494716,0.6235798,-2.0781207,33.294853,0.88895714,-0.64878476,-0.27773875,-1.7192693,1.368592,1.2064934,0.3803388,0.8496206,-0.20465231,0.4014707,1.3734883,1.2298737,-0.89783275,-4.003812,-1.080097,0.46010312,1.0169834,-0.61685944,0.56160116,-0.4855418,0.99464166,0.7759651,32.391777,-1.8095382,-0.101649955,0.016264439,-0.24834836,25.494953,0.9125645,-59.03626,0.77686864,2.1202934,70.31042,71.9956,-0.4268039,-1.7452071,0.24434239,2.7666287,-1.3766962,59.78997,-0.65687597,25.726017,-1.5738987,-0.17370182,-0.9653715,1.2466553,2.5184174,1.2521882,-0.43337083,3.9223528,2.4261417,-4.282147,0.15262616,-1.763663,-0.64827764,-0.75693417,-1.0460947,0.6880059,-2.366803,3.300927,1.5447738,-0.39380297,-0.9218981,-0.7739962,-1.4542217,0.8708262,-1.1800392,-1.8033549,-0.78515047,-1.1558741,-0.028550496,0.010551589,0.37354484,5.2996373,2.9470341,1.2154075,2.157448,-0.119527474,0.26197553,-0.60774636,-0.18664889,-0.1988526,0.38271046,-87.37065,-0.015463456,0.17309181,0.0088720275,1.3908633,2.4963214,1.3231825,-43.81602,62.97334,0.38521272,-0.12138954,-0.86574095,2.0256732,0.309719,0.0057370374,-0.5839991,1.892861,0.0040118303,-0.3257428,-0.37027875,-61.072388,-0.8294927,0.2069363,-0.39821967,-0.031448364,0.74613374,0.7879183,0.6681667,0.028546015,-1.0481137,0.024520952,0.0111692995,-0.010008297,0.0036646407,-0.0056898063,-0.0070913434,1.1311936,0.0,0.14824897,1.9738762,0.90195644,0.058967195,0.9018776,0.16803277
2,0.5,0.5,0.5,0.5906653,0.5174554,0.49988237,-78.79274,127.73259,21.011292,-0.026965998,17.4624,88.48706,-100.12839,-29.93329,-0.36572814,-0.5271142,1.6466624,-1.4700749,1.0855372,-0.40510833,2.5515625,-0.5103214,0.053755224,2.466127,0.5622513,-39.504253,1.8262827,-0.7518319,-0.32134855,-0.51665634,0.038608983,0.5686501,1.6739875,-0.42180035,1.0071361,0.88215953,-0.21413314,1.5624076,1.4560636,-0.3179294,-0.5058595,1.3729231,0.8719424,-1.3417244,0.7021567,-1.4493693,0.20613813,0.9145309,-39.408215,0.309233,1.2572953,1.6187452,-0.16958272,30.486801,0.19383904,-28.85802,0.2463924,-1.0087394,30.415379,27.18507,-1.7310636,0.008461791,-2.254311,-0.10557893,-0.11195195,28.92305,1.1041323,30.847822,-0.69929737,0.32091302,1.174244,1.5786281,-2.1231701,-0.24389347,0.9953541,2.33301,1.7455249,-0.61178577,-1.7734842,2.058775,3.1382322,-1.2813869,0.9107523,-0.05222375,2.8048334,0.9518754,-1.6575112,1.0889828,0.5256485,-0.7739962,0.45263118,0.40538153,-1.3248212,0.30985862,-0.78515047,-0.74066,0.033968482,-0.0036367837,0.3417983,0.32743832,0.20780787,0.33851328,-0.0,-0.13552938,-1.3250263,0.26213846,-0.5091166,0.110076286,0.044362094,4.8866973,0.021503642,0.0145123275,-0.000114787355,-28.63728,-0.29454213,0.70486444,68.52961,14.969152,-0.037600387,-0.27047518,2.4991271,2.3570147,-1.2000654,-0.8807535,-0.21041949,1.6634691,-0.0037956086,-0.0074243387,1.2719295,-25.52931,-0.9445599,0.3511161,-0.45556572,0.0054052956,0.2013361,0.887957,0.72071224,0.03227468,-0.5110091,-0.0038316695,0.018946199,-0.030500853,0.006400406,0.016890462,-0.022315025,1.8911551,0.0,0.0007268127,0.04819715,0.99971604,0.5254306,0.05831389,0.47445622
3,0.5,0.5,0.8135062,0.57212824,0.64178365,0.500644,-78.16086,-30.35206,16.646698,0.14759506,-40.75692,65.73713,-94.15416,-18.560158,1.243201,-0.41874677,-0.19567746,-1.2552881,2.7975132,0.8949404,-0.21686047,-0.85378623,-0.5425497,2.8223653,-0.6065627,-68.31962,2.9475172,-1.4770209,1.0001879,-0.4056663,-1.838772,2.241725,-1.57113,0.70572674,0.13372684,0.82108253,-0.970893,-1.026344,-0.49347436,-1.4597311,-0.7862311,-0.56320846,1.2386472,-1.8595605,0.16031624,-3.2484193,-0.19312584,0.6596748,-68.01118,-0.78883046,-1.8712786,-1.1488094,-0.39357787,19.369442,0.47413653,-44.7041,0.5104592,0.47337174,-22.654797,-23.800688,-1.0735642,-1.4964138,1.9568702,1.7009139,1.9972756,44.369976,-1.2480245,19.219831,0.0033181906,-0.36220858,2.5582118,1.0822334,-2.9745822,-0.34575722,-0.6851153,5.0567074,0.30101418,-2.0663946,0.045805097,0.05387059,3.3536406,0.19796723,2.0159597,-0.22095193,1.5477335,1.4768907,1.601166,-1.3837215,-0.9020278,-0.7739962,-1.0141286,2.0165637,-1.3218305,-0.79180247,-0.78515047,-0.9248901,0.02978649,-0.012726925,-1.4312974,0.075632095,3.062532,0.58169013,-1.4772055,-0.8516147,-0.026878439,0.44890484,-1.3729131,-0.19152524,0.33246362,26.956415,0.030934518,-0.049189586,0.00089067745,-0.5040562,0.48448238,-0.23812148,82.67613,34.167297,-0.19574589,1.8139589,-0.38883948,0.050625827,0.1778298,1.1847886,-0.6280213,2.2024324,0.018682342,-0.08711123,-0.659494,-54.790546,-0.18555428,0.2826315,-0.31278065,-0.01381177,0.72089577,0.5440579,0.5872693,-0.018534172,-0.7720321,-0.016704204,0.023117896,-0.028680999,0.0050708745,-0.00034363932,0.007127956,1.8609444,0.0,0.021471797,0.9160028,0.7106937,2.6393769,0.11485943,0.9538165
4,0.73925924,0.5,0.5,0.6199967,0.72988147,0.49704143,59.73906,-2.3771396,28.04826,-0.67805445,-7.1255827,-30.33416,1.8319932,36.57403,-0.86229295,-1.1964208,-0.27474028,0.903968,-0.32241777,-2.8334842,1.1987871,-0.33689833,-0.09054422,0.28714696,0.32948613,-77.0125,0.73610723,-1.6380248,0.3697637,2.0858717,-3.388864,-0.97002,0.12691627,-0.99701595,0.79879713,-0.5075952,-1.4501426,-1.0939051,1.8207699,-0.6639857,-0.09238723,0.11139512,1.6100131,1.3613497,0.12520942,-1.9194603,-2.2922769,0.16828309,-77.05039,-0.136522,-0.34099862,0.63095796,-0.68685114,-37.013763,2.3851783,-5.833655,0.5040222,-1.698098,-82.18668,-83.07215,-0.18885589,0.02301077,-3.1091094,0.45138347,-0.11176288,4.5559344,3.3100123,-36.405746,0.32764694,-0.7368524,-0.73888874,-2.4473581,-1.7673898,-0.023160249,1.7123181,0.0925585,1.2416564,1.1516889,-0.33105063,1.7538729,-1.3240674,-0.067529425,-1.1037074,-1.8697145,-1.7386034,-0.24181007,-1.0506734,1.9721907,0.05485648,1.0848627,-0.19593708,-1.3997962,1.1716726,-0.12475011,-0.78515047,0.8377988,0.008797453,-0.0071370876,0.04532922,0.21279567,1.3072038,-0.44709748,0.0,0.2592566,-0.02930656,-0.0074666077,-0.886208,-0.060724568,0.31760165,9.0191765,-0.023751495,-0.3750246,-0.00027408494,-29.145018,2.6998644,0.0,-25.428354,0.46604148,0.63156366,0.4721574,-1.8045181,0.07080619,-0.02636049,0.48994842,0.43302527,0.0077317115,0.0020772992,0.74517626,0.23885085,-8.317531,-0.017043252,0.4538469,0.5092625,-0.0021762077,0.31554866,-0.0,0.1688273,0.0048105656,-0.090165906,-0.025271783,-0.0056272517,0.0005580571,0.008543989,-0.015891615,-0.002540377,1.087105,0.0,0.3483989,2.096607,0.80775595,0.9215429,0.0005363012,0.0032614633
5,0.7673561,0.811918,0.5,0.71963835,0.41704926,0.5021348,68.413414,-19.263874,54.01092,0.48926872,55.519573,32.486244,16.832912,-80.804985,-2.460764,0.53171754,-0.03560677,0.29405516,-1.4870528,-0.8353801,1.9115058,2.928186,1.0505087,-1.119826,0.5157714,-3.4503202,0.4496817,-1.1169648,-3.2864552,2.9997032,1.9763683,0.27150494,3.5715766,-0.7657453,1.0291618,1.1107383,0.9826448,-0.2524271,1.9950461,1.7051042,1.4950262,0.6379713,1.5227568,-1.5294452,1.8204093,-3.2116637,0.396236,0.65324223,-3.9113672,1.8289838,1.2042848,-0.37072098,-7.274747e-05,80.60917,0.8278413,84.00142,-0.6717345,0.21558581,-58.60907,-60.364475,-0.97771513,0.012336606,-2.6867235,-1.32263,0.31750667,-84.6136,2.1892161,81.45823,-0.58113366,0.9855529,-1.492147,0.70536375,-1.1748345,0.7849898,0.9119295,-1.8021901,1.9095519,1.8756212,1.2156358,1.8950472,-0.1624586,-1.5514601,-1.5825167,-0.16786131,0.21727514,-2.7719042,-1.1594448,0.64743435,0.008647352,1.3547766,1.444435,-0.5056648,1.2612383,1.8213555,1.8691492,0.24391837,0.00086995936,-0.007612091,1.7737311,0.93036526,3.664696,0.016397635,0.0,0.6303585,-6.0382085,-0.9321918,-0.09663489,0.8944818,-0.08547068,183.42226,0.0005122253,-0.644689,0.0057856827,-1.9183248,-0.47789013,-0.45229468,-0.1698828,122.61526,0.475944,1.1364661,-1.514251,-0.17182924,0.47781956,-0.27570766,-0.5436679,0.81435704,-0.026587734,0.7977362,1.1214406,5.0474844,-0.99451417,0.73644584,-0.711315,0.031762067,0.46039653,0.4076545,0.5521503,0.03231204,1.4625217,0.016595848,-0.025953967,0.0051275985,0.016452668,-0.004348804,0.03531329,1.42573,2.1389697,0.20578548,0.9041577,0.068477064,2.5799863,0.3929685,1.0360783
6,0.7142906,0.5,0.5,0.6105491,0.28021622,0.49387452,52.52723,48.829903,25.761374,-1.4039233,-37.88224,28.852316,73.052536,95.44366,1.0389359,-0.3518123,0.5762277,1.850237,0.5421392,-1.4396108,-2.2594576,1.7338378,-2.5178301,-0.67649007,1.6862667,-95.03013,-0.34829295,-0.69297653,-0.37329835,-1.661138,0.6601992,1.0440866,2.0993533,1.4468322,-1.3308871,-1.045893,-0.61682636,-0.043142986,2.3018155,0.5010016,-0.23965368,-0.4055856,-0.8102303,-1.1485999,-0.72743785,1.4215379,-1.5612597,0.34542242,-98.8785,-0.7468801,0.71568054,-2.6961796,0.140513,-94.37303,3.7008977,-11.488833,0.74085903,-1.3504943,91.794655,89.75725,0.12887162,0.0037671158,0.15012962,1.3497021,-0.34038204,13.714856,-1.8861337,-95.098236,1.1881921,-1.515815,1.1427656,-1.2312642,-2.4408877,0.22391136,1.4623702,-2.15972,-0.012349099,1.6042254,-0.5573084,0.75342333,3.1918895,1.0008376,-0.90444267,-0.5634881,-1.690779,2.0248222,-0.7919727,0.21968853,0.22736877,0.86045724,-0.95171154,-1.9971768,1.0767645,-0.72273844,-0.78515047,1.2783388,0.035913832,-0.018360037,1.3323485,0.3003438,1.0073801,-5.0366154,0.0,-0.6573967,0.02877834,-0.120379314,-0.47613335,-0.2780363,0.99546045,-33.448826,-0.01501706,-1.4706943,0.0054865186,-83.33081,-4.202338,-0.0,-176.34924,2.952109,-1.5656087,-0.42101797,-0.8942832,-0.35433823,1.4143455,2.5596619,-1.5096315,-1.4438014,-0.00766924,-0.7161838,0.4710611,10.534826,-0.022997852,0.42158726,0.7306674,-0.012607189,0.5562076,-0.0,0.34347787,-0.027746204,-0.22693227,-0.010545602,0.0094621135,0.022253076,0.007847363,-0.02634787,0.014923691,0.840473,0.0,0.78534466,0.36507997,0.0021989436,0.50544524,0.049303997,0.7804035
7,0.5,0.5,0.5,0.5156697,0.26912236,0.4928111,-72.62179,18.666357,3.5924022,-1.6476862,-56.98189,128.21974,-43.99947,88.584305,0.40164506,-0.797348,-0.3152315,-0.9278314,1.1278586,-2.4884613,-1.7387002,-1.4431005,-1.4955057,-0.5215938,0.18170899,-93.389404,1.5690602,-2.0922966,2.251633,0.36053836,3.0442324,-0.39004487,-0.50577617,-0.33834034,-1.0506324,-1.2421554,-1.3039349,-0.046199426,0.9650098,-4.299711,-1.58276,-0.5222754,-0.056169696,-0.042887926,1.7458829,-0.88899827,-0.31144097,0.3762876,-93.85096,-1.7042755,0.49002165,-0.5662298,5.8997422e-05,-87.968445,0.35079038,-89.56014,0.73284465,3.413348,41.730335,40.47993,-0.8249924,-0.022841759,-0.8058717,2.366118,1.3227801,89.17575,0.44962752,-88.208015,-1.6684728,-1.391331,2.4368415,-1.6279148,-1.2718189,-0.70886576,1.7665837,1.6397772,-0.47219983,-1.3759515,-1.251334,2.8370185,0.63609827,-0.9721314,1.6461055,-1.4753554,-2.264286,0.8160597,1.3874346,1.4971157,-0.3555428,-0.7739962,-1.4316219,0.0036904016,-1.2887706,-1.6763563,-0.78515047,-1.7660408,0.020924235,0.009153712,-0.32942903,5.080542,0.3562176,0.36950302,0.0,0.20487902,-0.95272374,0.7342057,0.024947394,-0.0584531,-0.97618556,-21.066484,0.00091725145,-1.4290316,-0.020385243,-31.879972,0.6823791,-0.0,100.22345,138.20926,-1.5375938,-0.64511937,2.7707891,-0.9878657,0.50139314,-0.39358422,-0.39564195,0.46271846,0.0072307745,-0.20376085,-0.28243643,4.997161,0.8710187,0.06261722,0.7220687,-0.029234972,0.5983673,-0.0,0.38467145,-0.029366724,-1.5527395,-0.022247564,0.019684847,-0.013403005,0.0010943083,-0.03463635,0.0042376593,1.6065295,0.0,0.86218554,1.6248386,0.00054548134,0.19767831,0.4237661,0.053294215
8,0.5,0.5,0.6969723,0.5970055,0.32610995,0.49610326,-71.65213,-90.62251,22.517439,-0.89308673,-17.247208,-102.3162,-103.0051,-9.562108,-0.30671552,-1.68433,-0.90575105,-1.1162822,0.19743145,0.908041,-0.87405986,-0.6693704,-1.4080981,0.76406103,-1.4709952,1.234101,0.47787684,-2.0146291,-1.108102,0.9392094,1.6435827,0.8294088,1.0425044,0.5286413,-0.34990805,-0.64756083,-0.7408503,-1.2307602,0.66491205,-0.0012103319,-0.42648172,-0.39471847,-0.04892648,-0.16377804,2.42723,-2.2425237,-1.1870234,0.24018936,-0.06442371,-0.32134998,0.88167155,-0.43246895,3.900379e-05,10.086838,1.2122674,-24.512213,0.48950434,1.1524166,-36.043087,-34.166935,2.39024,-0.8334796,1.7332133,0.65468526,-0.257025,24.396976,-0.3234656,9.802298,-1.3961091,0.19859949,0.9381687,-0.3891952,-0.4900511,-1.0845523,0.8805363,1.4525298,1.6234038,-2.7969916,0.49468845,-0.8711352,-0.68573844,-1.6583074,0.4192108,-1.3283339,3.0471334,-0.08560881,0.34894148,-0.26996794,-0.034404784,-0.7739962,-0.45971653,-0.03467148,-1.2817334,-0.30591568,-0.78515047,-1.7948546,0.023457633,0.037051134,0.36919215,-0.38200623,1.5680295,1.1675619,-1.0246619,1.7061392,-0.048496027,-0.5618332,0.054829374,-0.11655593,0.16401424,-20.15585,0.00010325815,0.122033596,-0.016905246,0.08012561,-1.085906,0.0,-0.24536213,10.1570835,0.12424474,-0.64970875,-2.1950297,-1.976057,0.2707417,0.02532416,0.77038395,-0.6695403,0.005802482,-0.8202227,-0.022693444,1.1799978,-0.18368544,0.37394664,-0.16791753,-0.005336515,0.33541974,-0.0,0.24070838,-0.014401974,-0.42093456,-0.012837136,-0.011091395,-0.031377148,0.0068592043,-0.0014017756,0.041551434,1.5639144,0.0,0.5082478,0.54098046,0.88841254,1.2578572,0.7816227,0.7656309
9,0.76932305,0.5,0.5,0.5973352,0.53014034,0.49693236,69.04689,-37.223045,22.595966,-0.70305854,-33.090977,-25.467041,71.393234,10.067841,0.50978905,0.36985224,-1.250503,0.33350128,0.9801413,-1.8833383,-2.4730906,1.1129358,-1.7869558,-0.32769537,-0.34952545,3.3972707,-1.3580188,0.83661747,-0.48925233,-1.5880852,-0.18212831,0.6663105,-2.9119287,1.4514458,-0.10474205,-0.64575523,1.4522877,0.8611985,-2.0999255,0.43492424,-0.42719284,0.70132226,0.5136761,-1.1878424,-1.2997556,3.0785823,-0.35519326,0.04655703,6.290549,-0.6279908,-0.47346324,-0.45510066,-0.04087162,-9.070378,0.40411687,-23.290249,0.8109454,1.2728255,72.0536,71.418526,0.9901272,0.02384155,1.0625569,0.85997164,-0.55410373,24.78885,-2.155565,-10.021283,1.3325329,-1.6299736,2.1111333,0.07666157,1.2936671,0.7930563,1.442735,-3.0365145,-0.92777604,1.3255917,0.6256771,-0.3171968,0.40759775,0.78673625,-0.26047468,0.84358084,-2.0162184,2.1622512,-0.5768301,0.16301155,0.29335847,1.3744881,-0.84432584,-1.1614231,1.2666731,-0.6160282,-0.78515047,-1.0579695,-0.031170556,-0.0075163413,-0.70824605,0.47421,0.88976705,2.3562315,-0.0,1.0929873,-0.48089448,-0.69835174,0.7279658,-0.21617264,-1.2351221,55.194805,0.0021496215,-0.1059318,0.009731346,2.5736008,-0.03589282,-0.0,14.092811,9.9317045,0.021089677,-0.6984658,-0.4763795,0.5003532,-0.113507375,0.28588477,0.78448164,-0.526877,-0.01472251,0.9486016,-0.07650561,-12.250504,0.26364234,0.37512493,0.17125615,-0.01074593,0.23950751,-0.0,0.057240736,-0.05141557,-0.4162382,0.02553476,0.017106693,0.021747623,0.0068831253,-0.00819981,-0.04192136,1.4522555,0.0,0.3676065,2.1404686,0.5518653,2.3706024,0.5076578,0.1696867
