,oz12_adde,oz11_adde,oz2_adde,oz6_adde,oz13_adde,oz5_adde,oz7_recip,oz44_recip,oz2_recip,oz31_recip,oz50_recip,oz1_recip,oz1_sin,oz30_sin,oz28_sin,oz19_sin,oz2_sin,oz45_sin,oz46_tanh,oz22_tanh,oz38_tanh,oz16_tanh,oz1_tanh,oz3_tanh,oz1_relu,oz37_relu,oz13_relu,oz34_relu,oz40_relu,oz4_relu,oz2_zscore,oz6_zscore,oz25_zscore,oz23_zscore,oz10_zscore,oz16_zscore,oz38_negative,oz2_negative,oz12_negative,oz29_negative,oz24_negative,oz30_negative,oz4_radian,oz5_radian,oz46_radian,oz51
0,4.473573,3.4204242,1.1867204,2.1429,3.4584825,1.6821151,-161.35518,-2.949516,-0.6529285,-0.676201,1.4255391,-0.54663336,-0.9667532,0.7174529,-0.8496404,-0.9979643,-0.9992304,0.7419851,-0.69506365,-0.9218972,0.9071167,-0.7552019,-0.9497654,-0.9075887,-0.0,0.2883266,0.7402007,-0.0,-0.0,1.1361047,-1.5330952,-0.5759579,0.8405433,0.85654294,-1.1605785,-0.98593915,-1.511002,1.5315614,-1.7552916,1.2990443,-0.85308474,-0.80013895,0.019828768,-0.01808452,-0.0149694495,0.249989
1,3.3093667,1.4582537,2.732658,4.061657,1.5699862,2.7720194,1.144526,0.88194764,69.55967,-0.7421136,8.150596,-4.7891707,-0.20729043,-0.39833173,0.9812338,-0.8194331,0.01437565,-0.99358815,0.74797064,0.5365073,-0.946203,0.68751657,-0.20582183,0.21139054,-0.0,0.40777206,-0.0,1.0549648,-0.0,-0.0,0.014390546,1.3447208,-0.48703808,-1.3435246,0.30834615,0.84407526,1.7942086,-0.014376146,-0.5910849,-0.18097033,1.3334429,0.40969732,-0.013601001,0.00093789765,0.016900592,0.50881726
2,1.1898445,2.363583,2.4292197,2.06539,1.936292,2.8412538,-0.9589557,-2.306849,-3.4594648,-0.76785624,0.7169564,5.5496426,0.17921826,0.9903172,-0.37155357,0.76974946,-0.2850533,-0.99599475,-0.048253253,0.81594396,0.16650116,-0.26010603,0.17826657,0.40027693,0.18019179,0.8784162,-0.0,-0.0,-0.0,0.73638,-0.28935155,-0.6535455,-0.8690409,0.23716986,1.1130799,-0.26648873,-0.16806588,0.28906205,1.5284373,0.35807768,1.0469778,-1.710069,0.012852255,0.0021462685,-0.00084283267,1.0932935
3,4.4963493,1.5713019,1.7483997,1.7442489,3.5853558,1.3833406,-1.4653834,2.6786354,-1.0310533,-2.3151329,-1.5594069,-1.9322132,-0.49474487,-0.9969675,-0.25668767,-0.9105206,-0.82481897,0.9969018,-0.81460786,0.70917994,-0.91184056,0.8563007,-0.47580013,-0.8186781,-0.0,-0.0,0.867074,0.52047503,-0.0,-0.0,-0.97085327,-0.9750084,-0.5948176,-1.1539078,-0.21929686,1.2805904,1.5383375,0.96988195,-1.7780675,-1.2695054,0.37610173,1.4928983,-0.018112557,-0.023299119,-0.0199068,0.07901887
4,1.7828071,2.0421197,2.023993,1.9414028,2.6884403,2.4549692,-3.0270915,-1.0162271,-1.440323,0.72040623,-0.76230145,-1.8942461,-0.50373286,-0.11726924,0.6757446,-0.99996394,-0.639839,0.5184216,-0.08992537,0.79866886,0.09840118,-0.71408856,-0.48378536,-0.22132935,-0.0,0.49354634,-0.0,-0.0,-0.0,0.89696336,-0.6949841,-0.777657,0.12723297,-1.1160678,-1.3914062,-0.8963741,-0.09872063,0.69428873,0.9354747,0.8106993,-1.4336323,0.1175397,0.015654964,-0.0045956704,-0.0015737449,1.0227435
5,3.2926152,3.859299,2.2388592,2.4651723,1.3833923,2.5797305,-1.0146662,-0.78951997,-2.0858426,3.7463655,-0.8050952,-1.6833923,-0.5597123,0.3865419,0.99726117,0.97093576,-0.4612669,0.8184582,0.88069516,-0.87397045,0.19075078,0.24396753,-0.53279406,-0.20372018,-0.0,-0.0,-0.0,0.4939718,-0.0,0.19501981,-0.47990268,-0.253363,-0.39788666,1.3856198,1.6591259,0.24923779,-0.1931162,0.47942254,-0.57433337,0.3918197,1.6807612,-0.3968791,0.0034037377,-0.0024181746,0.024065603,0.92465764
6,2.8753934,3.9272423,1.2324296,1.242638,2.7753756,2.1942632,-1.4588753,-1.1654556,-0.67301446,-0.7812663,0.78799814,-0.9788193,-0.8529647,-0.63542664,0.41473195,0.9457101,-0.9963944,-0.78763103,-0.416062,-0.651951,-0.92504656,0.19835378,-0.77053326,0.18312421,-0.0,0.37259504,0.057093803,-0.0,-0.0,1.1376694,-1.4873402,-1.4771216,0.07570261,-1.6550647,-1.6291698,0.20121963,1.6229191,1.4858521,-0.15711153,0.688356,-0.58605415,0.6885609,0.019856077,-0.009145849,-0.007730414,-0.2836693
7,2.3413951,2.7607229,2.122693,3.1845596,3.125145,2.4561846,94.14586,-0.6066045,-1.6790115,0.7153501,-0.90676814,-6.0121503,-0.16556397,-0.31702247,0.120107464,0.67034036,-0.56099606,-0.7999273,-0.7483112,0.57821697,-0.61340165,0.0069852406,-0.16481276,-0.38392994,-0.0,-0.0,0.4068631,1.5575204,0.9434193,0.60385805,-0.596185,0.46674487,-1.7991467,-1.1179324,-1.0648342,0.006992351,0.71435684,0.59558856,0.37688667,0.548759,1.2914017,0.32258835,0.010539311,-0.004574458,-0.016914092,1.3654089
8,4.5098763,3.8935876,4.1266837,1.2073671,3.7354963,6.1350355,-0.5556429,-2.797023,0.71002454,242.04657,-4.9562187,0.593601,0.9935276,-0.7511928,0.92073095,-0.7765123,0.986843,-0.9971363,-0.2572679,0.9032532,0.441954,-0.699875,0.93346024,0.9871164,1.6846333,1.5738395,1.0172145,-0.0,0.9387753,1.0308917,1.4098126,-1.5124279,1.0365161,-1.1148894,0.4866226,-0.86792374,-0.4746565,-1.4084021,-1.7915945,-1.2811455,-0.2958229,0.8498672,0.017992454,0.0596336,-0.004593365,2.8195395
9,2.1820679,3.9256945,2.1818411,3.0550814,3.2826219,1.6587123,11.212281,2.231555,-1.8641394,-0.94405663,0.63742536,-0.9773121,-0.85378605,0.36464772,0.7250009,0.9809371,-0.5110798,-0.25794926,0.92374104,-0.8222803,-0.29005226,0.8935473,-0.77117264,-0.856358,-0.0,-0.0,0.56434023,-0.0,-0.0,0.37213376,-0.53697777,0.33713686,1.2032013,-0.22458887,-0.14061572,1.4406946,0.29862332,0.53644055,0.53621393,0.16290712,-0.9560536,-0.37325445,0.0064949594,-0.018492976,0.02816867,0.83257765
