,oz5_adde_ln,oz2_adde_ln,oz3_tanh_exp,oz5_radian_exp,oz1_sin_exp,oz30_sin_exp,oz34_relu_sigmoid,oz28_sin_sigmoid,oz5_adde_sigmoid,oz12_adde_sigmoid,oz2_adde_sigmoid,oz4_relu_sigmoid,oz5_radian_adde,oz6_adde_adde,oz2_negative_adde,oz1_recip_adde,oz44_recip_adde,oz7_recip_degree,oz44_recip_degree,oz1_relu_degree,oz2_adde_degree,oz30_negative_degree,oz5_adde_degree,(oz4_relu*oz16_zscore),(oz1_recip*oz28),(oz28_sin*oz17),(oz5_adde*oz2_sin),(oz37_relu*oz2),(oz31_recip*oz29_negative),(oz28_sin*oz41),(oz16_tanh*oz15),(oz22_tanh*oz40_relu),(oz6_adde*oz1),(oz28_sin*oz23_zscore),(oz2_recip*oz6),(oz5_adde*oz47),(oz46_tanh*oz9),(oz23_zscore*oz43),(oz37_relu*oz46),(oz46_tanh*oz2_negative),(oz46_radian*oz36),(oz44_recip*oz41),(oz16_tanh*oz12_negative),(oz4_radian*oz32),(oz28_sin*oz38_negative),(oz6_zscore*oz16_zscore),(oz30_negative*oz37),(oz46_radian*oz23),(oz37_relu*oz23),(oz19_sin*oz24_negative),(oz1_recip*oz43),(oz23_zscore*oz46),(oz3_tanh+oz11),(oz2_adde+oz1_recip),(oz2_recip+oz18),(oz7_recip+oz13_relu),(oz40_relu+oz5),(oz38_negative+oz10),(oz11_adde+oz20),(oz40_relu+oz2),(oz2_adde+oz8),(oz12_adde+oz1_tanh),(oz30_sin+oz10),(oz44_recip+oz46_tanh),(oz1_relu+oz40_relu),(oz13_adde+oz26),(oz44_recip+oz4_relu),(oz4_radian+oz50),(oz50_recip+oz4),(oz11_adde+oz15),(oz13_relu+oz27),(oz19_sin+oz4_radian),(oz3_tanh+oz3),(oz5_radian+oz24),(oz3_tanh+oz2_zscore),(oz22_tanh+oz4_relu),(oz2_adde+oz3),(oz12_adde+oz4),(oz12_adde+oz28),oz37_relu_tanh,oz5_radian_tanh,oz2_sin_tanh,oz51
0,0.52005196,0.17119351,0.40349597,0.98207796,0.38031584,2.049207,0.5,0.2995083,0.8431844,0.9887221,0.766154,0.75696373,2.7001972,4.8611817,4.249843,2.1716485,-0.23123431,-9244.971,-168.99481,-0.0,67.994064,-45.84458,96.37809,-1.1201301,0.5549985,1.1815747,-1.6808205,-0.44158986,-0.878415,1.1896662,0.6278592,0.0,-3.920178,-0.7277535,0.37568304,1.3909339,-0.76033455,-1.2404071,-0.24729376,-1.0645326,0.019571511,4.129911,1.3255996,-0.0015640326,1.2838084,0.5678594,-0.23070134,-0.012809148,0.246717,0.85134816,0.79160994,-0.7346451,-0.20544624,0.640087,-0.14410561,-160.61497,-1.0361667,-2.6704192,3.3226101,-1.5315614,0.73391473,3.5238078,-0.4419644,-3.6445796,-0.0,3.5851045,-1.8134114,0.72131777,2.5616438,2.589045,1.6291856,-0.9781355,-2.4212618,0.8350002,-2.4406838,0.21420753,-0.32695282,5.609678,3.45827,0.28059387,-0.018082548,-0.7612707,0.249989
1,1.0195761,1.0052748,1.2353948,1.0009384,0.8127835,0.6714393,0.7417271,0.7273529,0.9411449,0.96474874,0.9389264,0.5,2.7192197,6.7799387,2.7039056,-2.070889,3.6002293,65.57651,50.531876,-0.0,156.56976,23.473927,158.825,-0.0,-6.5935354,1.5574903,0.039849583,0.005862191,0.13430054,-1.1306032,0.54494524,-0.0,-0.8480919,-1.3183117,93.444756,-2.5364108,0.4569904,1.4741782,0.394859,-0.010752935,0.024402339,-1.016203,-0.40638065,-0.022324398,1.7605381,1.1350456,0.16706312,-0.022683643,-0.5473037,-1.0926672,5.254903,-1.3009787,-1.0486375,-2.0565128,70.57591,1.144526,0.053737577,2.1022463,1.8587117,0.014376146,3.3069263,3.103545,-0.09029409,1.6299183,-0.0,-0.07457483,0.88194764,0.10908942,7.3713155,2.2508821,0.042568,-0.8330341,0.42601705,-1.332505,0.22578108,0.5365073,2.9472845,2.5300868,4.6861258,0.38657933,0.0009378974,0.01437466,0.50881726
2,1.0442454,0.88757014,1.4922378,1.0021485,1.1962818,2.6920884,0.5,0.4081657,0.9448648,0.76671326,0.91902846,0.6762038,2.720428,4.783672,3.0073438,8.267924,0.41143274,-54.94411,-132.1727,10.324228,139.18404,-97.97973,162.79184,-0.19623697,-2.112648,0.36102816,-0.8099088,-0.25391677,-0.27495217,0.23771767,-0.20321108,-0.0,0.37216634,-0.08812131,2.2586555,-1.9484453,0.08004474,-0.19198486,-0.04241938,-0.013948184,-0.00027792214,1.4759077,-0.39755574,0.02168273,0.062445477,0.1741625,-1.5021522,-0.00019969452,0.20812541,0.8059106,-4.4923387,-0.011453112,0.0455783,7.9788623,-1.8667232,-0.9589557,0.12297212,0.94390035,1.9044445,-0.28906205,3.508707,1.368111,2.1022835,-2.3551023,0.18019179,1.5991507,-1.570469,1.4076374,1.4533364,3.1448455,0.83694375,0.7826017,0.8242556,-1.0448315,0.11092538,1.5523239,2.8531983,1.9262245,0.8091627,0.70562494,0.0021462652,-0.27757555,1.0932935
3,0.32450128,0.5587009,0.44101423,0.97697014,0.6097265,0.36899674,0.62725884,0.43617815,0.79952693,0.9889733,0.85175085,0.5,2.6949825,4.4625306,3.6881638,0.78606856,5.3969173,-83.96028,153.47449,-0.0,100.17592,85.536766,79.259575,-0.0,0.50158995,-0.4390156,-1.1410055,0.0,2.9390736,0.23115362,0.34931013,-0.0,-0.9027207,0.2961939,1.0042799,0.11344364,1.0947227,-1.5925837,0.0,-0.79007345,0.025407618,-2.4121778,-1.5225605,0.012132828,-0.39487225,-1.2485864,-1.0214796,0.022947628,0.0,-0.34244838,-2.6667738,1.3161191,-1.965658,-0.18381345,-1.3149004,-0.5983094,-1.3349411,1.31926,0.14803624,-0.96988195,0.80436724,4.0205493,-1.2160449,1.8640275,-0.0,3.6153073,2.6786354,-0.659382,-2.59718,1.9792312,-0.2658124,-0.92863315,-1.9714737,-0.39940086,-1.7895314,0.70917994,0.5956042,3.4585762,4.236756,-0.0,-0.023294903,-0.6776842,0.07901887
4,0.8981142,0.7050723,0.8014527,0.99541485,0.60427076,0.8893457,0.5,0.66278833,0.92092407,0.8560431,0.8832933,0.71032506,2.713686,4.6596847,3.4125705,0.82403564,1.7020546,-173.43956,-58.22552,-0.0,115.96625,6.734528,140.65936,-0.80401474,-1.405482,0.13532268,-1.570785,-0.34266365,0.58403283,-0.7572839,-0.19632916,-0.0,-1.0248947,-0.75417674,1.1189566,-3.4087167,-0.05210464,1.7887527,-0.044502553,-0.06243417,-0.0006769014,1.138851,-0.6680118,0.014247176,-0.066709936,0.69707155,0.058011286,0.0017546486,-0.55028003,1.4335805,3.0359607,0.10063466,-0.8974913,0.12974691,-1.4379145,-3.0270915,-0.26331252,-1.4887347,1.0414298,-0.69428873,0.674682,1.2990217,-1.5072833,-1.1061525,-0.0,3.9359932,-0.11926377,-1.2961621,0.13466191,2.3170564,1.6806701,-0.98430896,-0.44638282,1.4290366,-0.9163134,1.6956322,1.7989396,2.6797705,2.5247815,0.4570266,-0.004595638,-0.56478995,1.0227435
5,0.94768494,0.80596644,0.8156906,0.99758476,0.57137346,1.471882,0.62104166,0.7305198,0.9295456,0.96417457,0.9036852,0.54860103,2.7158635,5.183454,3.1977043,1.0348895,1.9287617,-58.13609,-45.23616,-0.0,128.27718,-22.739496,147.80766,0.048606306,-2.5196474,-0.9156405,-1.1899443,0.0,1.4678998,0.41984114,-0.29290232,0.0,-1.4644076,1.3818247,0.5279466,3.7336552,1.4911026,0.36260906,-0.0,0.42222512,0.0077780928,-0.3323833,-0.14011869,0.0043395055,-0.19258729,-0.063147634,0.56041795,0.033312414,-0.0,1.6319112,-0.44053447,1.9105722,0.937297,0.5554669,-0.9451318,-1.0146662,-0.1385512,1.4643497,2.497685,-0.47942254,1.4026909,2.7598212,2.0440078,0.0911752,-0.0,0.35269105,-0.5945002,-1.2386854,-0.61007535,2.65872,0.08682697,0.9743395,-0.41033095,-1.6831794,-0.68362284,-0.67895067,2.0322485,3.487635,4.789383,-0.0,-0.0024181698,-0.43111622,0.92465764
6,0.78584635,0.20898753,1.2009635,0.9908958,0.42614967,0.52970946,0.5,0.602222,0.8997331,0.94661653,0.77424353,0.7572515,2.709136,3.9609199,4.204134,1.7394624,1.5528262,-83.587395,-66.77568,-0.0,70.613014,39.45163,125.722015,0.22892143,-0.41859034,-0.27812725,-2.1863515,-0.5536211,-0.5377893,0.46879032,-0.27308685,0.0,-1.2695274,-0.6864082,0.9931296,-3.794822,-0.5044049,1.8738996,-0.16502984,-0.6182066,-0.0099203335,-1.3173673,-0.031163665,0.02041236,0.6730764,-0.29722586,0.25655437,0.012781534,-0.6160519,-0.55423737,1.1082401,0.73306143,1.3920848,0.2536103,-1.1246916,-1.4017814,-0.5240186,-0.0046207905,4.5114613,-1.4858521,0.16537654,2.10486,-2.2629666,-1.5815176,-0.0,1.062677,-0.027786136,1.2888947,1.9256675,2.5504756,-1.0917659,0.9655662,0.36833763,0.5769083,-1.304216,0.48571843,1.4176431,4.013063,3.3030417,0.3562595,-0.009145594,-0.76007575,-0.2836693
7,0.89860916,0.7526856,0.68117917,0.995436,0.8474157,0.72831434,0.8259973,0.52999085,0.9210125,0.91224784,0.89308935,0.6465385,2.7137072,5.9028416,3.3138704,-3.2938685,2.1116772,5394.16,-34.75588,-0.0,121.621346,18.48295,140.729,0.0042223874,-0.7238516,-0.096657574,-1.3779099,0.0,0.3925548,-0.040805794,-0.005045034,0.54550105,-0.5296873,-0.13427202,-0.7828859,-2.7338839,0.5551335,-0.8883011,0.0,-0.4456856,0.024819322,0.20609026,0.002632644,-0.005537664,0.08579959,0.003263644,-0.3040244,0.018889893,0.0,0.8656787,-4.777211,1.0833952,-0.34148887,-3.8894572,-0.6319655,94.55272,0.6813221,-0.34941202,4.0412426,0.3478307,3.6045513,2.1765823,-1.3807913,-1.3549157,0.9434193,4.695824,-0.0027464628,-1.0922785,-0.3029101,2.0384808,-0.070881784,0.68087965,-0.78859085,-1.2959762,-0.98011494,1.182075,1.7180321,2.9452531,2.4617932,-0.0,-0.004574426,-0.5087161,1.3654089
8,1.8140159,1.4174742,2.683485,1.0614475,2.7007449,0.47180343,0.5,0.715191,0.99783903,0.9891199,0.98411995,0.73708874,2.7779152,3.9256487,1.3098797,3.3118827,-0.07874131,-31.83599,-160.25761,96.52237,236.44154,48.6938,351.51163,-0.89473534,0.6944833,0.11676143,6.054317,2.216599,-310.09686,-0.59565365,0.3216048,0.84795177,2.0339706,-1.0265132,-1.0727865,3.3736458,-0.0922643,0.48594406,-0.41420376,0.36233664,-0.002444591,1.8094939,1.2538922,0.02479906,-0.4370309,1.3126721,1.3375547,0.00511597,-1.7529014,0.22971012,-0.2587314,0.29341707,2.1624222,4.7202845,0.28556547,0.46157163,4.355529,0.011479229,5.54593,2.3471775,3.684605,5.4433365,-0.2650571,-3.054291,2.6234086,4.8171453,-1.7661314,-0.18377428,-3.925327,3.43407,2.194367,-0.7585199,3.5063586,0.3554565,2.396929,1.9341449,6.645926,5.5407677,5.679826,0.91763437,0.059563015,0.7560129,2.8195395
9,0.5060415,0.78016907,0.42470604,0.98167694,0.4257998,1.4400066,0.5,0.6737073,0.84006506,0.89862764,0.89860696,0.5919745,2.6997888,5.773363,3.2547224,1.7409697,4.9498367,642.4164,127.85867,-0.0,125.010284,-21.385904,95.03721,0.5361311,-0.792635,0.6064216,-0.84773433,0.0,-0.15379354,-0.29779464,-0.047467384,0.0,-3.1260037,-0.16282713,-0.62784135,0.4027488,0.46951824,0.07591381,-0.0,0.49553216,-0.015737502,-0.9166128,0.4791325,0.0022970475,0.21650219,0.48571125,0.3140504,-0.0063200407,0.0,-0.9378285,0.33034354,-0.3624743,0.35105485,1.204529,-3.4715123,11.776622,-1.0595695,0.15814829,5.1440105,-0.53644055,3.0343676,1.4108952,0.22417268,3.155296,-0.0,2.7484767,2.6036887,1.575306,1.0095592,3.872572,-0.34487945,0.98743206,-2.135882,0.9375606,-1.3933358,-0.45014653,0.9023173,2.5542016,2.9931035,-0.0,-0.018490868,-0.47078612,0.83257765
