,oz3_tanh_exp_ln,oz34_relu_sigmoid_ln,oz2_adde_degree_ln,oz5_adde_degree_ln,oz5_adde_sigmoid_ln,oz4_relu_sigmoid_negative,(oz30_sin+oz10)_negative,oz1_recip_adde_negative,(oz46_radian*oz23)_negative,(oz44_recip*oz41)_negative,oz2_adde_ln_negative,oz34_relu_sigmoid_negative,(oz2_adde+oz3)_negative,((oz13_relu+oz27)+oz24_negative),(oz2_adde_degree+oz48),(oz1_sin_exp+(oz16_tanh*oz15)),(oz28_sin_sigmoid+oz25),((oz1_recip*oz43)+oz13_adde),(oz44_recip_degree+oz5_adde),((oz2_adde+oz1_recip)+oz29_negative),(oz1_sin_exp+(oz50_recip+oz4)),(oz5_adde_ln+(oz22_tanh+oz4_relu)),(oz5_radian_exp+oz38_negative),(oz1_relu_degree+(oz44_recip+oz4_relu)),((oz4_relu*oz16_zscore)+oz46_tanh),(oz37_relu_tanh+oz29_negative),(oz5_adde_ln+(oz12_adde+oz1_tanh)),(oz34_relu_sigmoid+oz25),((oz38_negative+oz10)+oz19_sin),(oz12_adde_sigmoid+(oz11_adde+oz15)),((oz28_sin*oz38_negative)+oz5),((oz28_sin*oz38_negative)+(oz44_recip+oz46_tanh)),(oz4_relu_sigmoid+(oz40_relu+oz2)),(oz44_recip_adde+(oz30_negative*oz37)),((oz30_sin+oz10)+oz43),(oz12_adde_sigmoid+(oz50_recip+oz4)),((oz28_sin*oz41)+oz1),(oz6_adde_adde+(oz22_tanh+oz4_relu)),(oz12_adde_sigmoid+oz12_adde),((oz2_adde+oz3)+oz37),((oz28_sin*oz23_zscore)+(oz1_relu+oz40_relu)),(oz1_relu_degree+oz16_zscore),(oz44_recip_adde+(oz22_tanh+oz4_relu)),(oz34_relu_sigmoid+(oz12_adde+oz1_tanh)),((oz23_zscore*oz46)+oz31_recip),(oz3_tanh_exp+(oz46_radian*oz23)),((oz40_relu+oz2)+oz42),(oz5_adde_sigmoid+oz45),((oz2_recip*oz6)+oz30_negative),(oz7_recip_degree+oz46_radian),(oz1_sin_exp+oz37_relu),(oz37_relu_tanh+oz35),((oz28_sin*oz23_zscore)+oz20),((oz3_tanh+oz2_zscore)+oz10),(oz2_adde_sigmoid+oz30_sin),((oz11_adde+oz15)+oz32),(oz2_adde_ln+oz38_negative),((oz46_tanh*oz9)+oz50_recip),((oz37_relu*oz46)+oz46_tanh),((oz4_radian*oz32)+oz4_relu),(oz4_relu_sigmoid+(oz2_adde+oz3)),((oz6_zscore*oz16_zscore)+(oz12_adde+oz4)),(oz7_recip_degree+(oz44_recip*oz41)),(oz3_tanh_exp+oz34),((oz7_recip+oz13_relu)+oz13_adde),(oz34_relu_sigmoid+oz2_sin),oz5_radian_exp_mmnorm,oz1_relu_degree_mmnorm,oz5_radian_tanh_mmnorm,oz12_adde_sigmoid_mmnorm,oz30_sin_exp_mmnorm,(oz5_adde*oz2_sin)_mmnorm,(oz44_recip+oz46_tanh)_mmnorm,(oz11_adde+oz20)_mmnorm,oz4_relu_sigmoid_mmnorm,((oz1_recip*oz43)-oz34),(oz5_adde_degree-(oz6_adde*oz1)),(oz1_relu_degree-oz2_sin),(oz28_sin_sigmoid-oz1),((oz46_radian*oz23)-(oz50_recip+oz4)),(oz3_tanh_exp-(oz16_tanh*oz12_negative)),(oz5_radian_tanh-oz20),((oz22_tanh+oz4_relu)-oz16),(oz5_adde_sigmoid-oz1),((oz1_relu+oz40_relu)-oz46_tanh),(oz1_sin_exp-(oz2_adde+oz8)),((oz28_sin*oz17)-oz21),(oz2_sin_tanh-oz35),((oz1_relu+oz40_relu)-oz16),((oz37_relu*oz23)-oz17),(oz5_radian_adde-(oz2_adde+oz8)),(oz1_sin_exp-(oz16_tanh*oz15)),((oz2_recip*oz6)-oz34),((oz28_sin*oz17)-oz11_adde),((oz44_recip+oz4_relu)-(oz11_adde+oz15)),((oz1_recip*oz43)-oz44_recip),((oz3_tanh+oz11)-oz25),(oz5_adde_degree-oz35),((oz40_relu+oz5)-oz25_zscore),((oz2_adde+oz3)-oz20),((oz22_tanh+oz4_relu)-oz4),(oz7_recip_degree-oz24),((oz37_relu*oz2)-(oz31_recip*oz29_negative)),((oz5_radian+oz24)-oz14),(oz44_recip_adde-(oz23_zscore*oz43)),(oz30_negative_degree-(oz4_relu*oz16_zscore)),(oz7_recip_degree-oz13),((oz44_recip+oz46_tanh)-oz29),((oz44_recip*oz41)-oz28),((oz3_tanh+oz2_zscore)-oz38_negative),((oz16_tanh*oz15)-(oz13_adde+oz26)),((oz28_sin*oz17)-oz29),(oz30_negative_degree-oz2),((oz4_relu*oz16_zscore)-oz3),((oz44_recip*oz41)-oz13_relu),(oz3_tanh_exp-oz1_tanh),((oz5_adde*oz47)-(oz12_adde+oz4)),((oz40_relu+oz5)-oz19_sin),(oz2_adde_ln-oz2_adde_sigmoid),((oz3_tanh+oz2_zscore)-oz7),((oz11_adde+oz20)-(oz4_radian+oz50)),(oz5_adde_ln-oz49),((oz40_relu+oz5)-oz46),(oz28_sin_sigmoid-(oz28_sin*oz41)),((oz7_recip+oz13_relu)-oz16),((oz28_sin*oz23_zscore)-oz16_zscore),(oz2_adde_ln-oz5_radian_tanh),oz2_sin_tanh_adde,(oz37_relu*oz23)_adde,oz1_relu_degree_adde,(oz40_relu+oz2)_adde,oz5_adde_ln_adde,oz5_adde_ln_sigmoid,oz34_relu_sigmoid_sigmoid,oz1_sin_exp_sigmoid,oz6_adde_adde_sigmoid,oz1_relu_degree_sigmoid,oz2_negative_adde_sigmoid,oz5_adde_sigmoid_tanh,oz5_radian_adde_tanh,(oz46_radian*oz23)_tanh,oz2_negative_adde_tanh,(oz5_adde*oz2_sin)_tanh,(oz12_adde+oz1_tanh)_tanh,(oz23_zscore*oz46)_tanh,oz1_sin_exp_tanh,oz51
0,-0.9075888,-0.6931472,4.2194204,4.568279,-0.1705696,-0.75696373,0.4419644,-2.1716485,0.012809148,-4.129911,-0.17119351,-0.5,0.32695282,0.7761008,68.659966,1.008175,1.1392107,4.2500925,-167.3127,1.9391313,2.9419596,0.7342595,-0.528924,-1.8134114,-1.8151937,1.5796381,4.0438595,1.3397024,-3.6683836,3.5777671,0.24764168,-2.3607712,-0.77459764,-0.46193564,-1.8901196,3.550366,-0.63971364,5.0753894,5.4622955,-0.038626224,-0.7277535,-0.98593915,-0.017026782,4.0238075,-1.4108461,0.3906868,-1.7858454,1.6792109,-0.4244559,-9244.985,0.6686424,1.226279,-0.8255676,-3.600101,1.4836068,2.510168,-1.3398085,0.6652046,-0.9423574,1.1345407,0.4300109,6.177537,-9240.841,-0.56709075,-157.1565,-0.49923038,0.06878948,0.0,0.07192774,0.997931,0.7153365,0.08945179,0.055082746,0.5740048,0.75353193,1.7621967,100.29827,0.9992304,2.1288881,-2.5744529,-0.9221036,0.079731554,1.1991602,2.6725643,0.69506365,-0.3535989,2.59979,-1.7069559,0.9849527,1.6373931,1.9662825,-0.24754333,1.3462697,-2.2388496,-4.4024563,3.741126,-1.0451486,95.4324,-1.8767099,-0.2291387,-0.9218972,-9245.824,0.43682513,1.1678991,1.0091728,-44.724453,-9245.711,-2.3455353,5.145214,-0.9296819,-2.9572453,2.480619,-44.31302,0.39354312,3.3897102,1.3532614,-4.218744,-0.038202345,-0.59496045,-2.4344864,2.6012924,0.60392374,-0.17848039,-0.8901578,-159.63002,0.25818563,0.18927605,1.957011,2.9649987,2.7182817,1.1867204,3.2383337,0.6271599,0.62245935,0.59394926,0.99231815,0.5,0.9859342,0.687492,0.99101096,-0.012808447,0.999593,-0.93296796,0.9982625,-0.625899,0.36298174,0.249989
1,0.21139063,-0.2987739,5.0535016,5.067803,-0.060658187,-0.5,0.09029409,2.070889,0.022683643,1.016203,-1.0052748,-0.7417271,-2.9472845,1.3760109,155.65837,1.3577287,0.24080211,6.824889,53.303894,-2.2374833,8.184099,1.5560834,2.795147,0.88194764,0.74797064,0.20560901,4.1231213,0.2551763,1.2828132,3.215631,1.8142756,3.3904564,0.51437616,3.7672925,-1.187541,8.336064,-1.3394076,7.316446,4.2741156,3.3550565,-1.3183117,0.84407526,4.1367364,3.845272,-2.0430923,1.2127112,1.2421553,-0.51634926,93.854454,65.59341,1.2205555,0.59232444,-0.9178538,0.5338187,0.5405947,3.892261,2.7994833,8.607586,1.1428297,-0.022324398,3.4472845,3.6651325,64.5603,2.2903595,2.7145123,0.75610274,0.26560974,0.0,0.2751606,0.9100473,0.12915173,0.27730837,0.057022866,0.3485986,0.0,4.199938,159.6731,-0.01437565,0.93615735,-7.393999,1.6417755,-0.39952,-0.30672348,1.1499493,-0.74797064,-2.4941428,0.53984404,-0.19137044,-0.8432308,-2.134581,-0.58770657,0.26783824,92.38979,0.09923661,-1.3689345,4.3729553,-0.5620867,158.61925,0.54077566,2.5468266,1.3157873,66.90995,-0.12843835,-1.5970238,2.126051,23.473927,66.7248,1.448948,-2.3929625,-1.5684276,0.61952007,1.37652,23.45955,-0.21462649,-1.016203,1.4412167,-5.066498,0.8731707,0.066348374,-0.647943,1.7496223,2.5313282,-0.914595,1.8579562,0.30129522,-2.162387,1.0043368,2.7326565,2.170978,2.7182817,2.732658,3.7378578,0.73489004,0.6773734,0.69270235,0.998865,0.5,0.93725675,0.7357478,0.9913451,-0.022679754,0.9910771,0.039828505,0.99597794,-0.8619749,0.67112297,0.50881726
2,0.40027687,-0.6931472,4.935797,5.0924726,-0.05671342,-0.6762038,-2.1022835,-8.267924,0.00019969452,-1.4759077,-0.88757014,-0.5,-2.8531983,1.8839215,139.15071,0.9930707,-0.46000576,-2.5560465,-129.33145,8.33694,2.6496181,2.5965693,0.8340826,8.753759,-0.24449022,1.0637026,2.4123564,-0.36817145,1.7136497,3.9115586,0.18541759,-2.292657,0.38714173,-1.0907195,1.2928009,2.2200496,0.41790944,6.3359957,1.9565578,3.7316146,0.092070475,10.057739,1.9637567,1.868111,-0.77930933,1.4920381,-0.9620501,-0.5364005,0.5485866,-54.944954,2.074698,2.137628,-0.5472599,1.2228916,1.9093456,4.8319216,0.71950424,0.7970011,-0.090672635,0.7580627,3.529402,2.100387,-53.468204,0.5925823,0.97733635,0.21494669,0.27823734,0.07076487,0.28807196,0.18407011,0.9888567,0.1845348,0.055557054,0.35564038,0.5167079,-3.592683,162.41968,10.609282,0.22797391,-1.453536,1.8897935,0.46128488,1.818546,0.764673,0.22844504,-2.3124251,-1.0631087,-1.7095785,0.4464139,1.1797973,-0.78827906,1.3994929,3.1583111,-2.002555,-4.7153144,-2.1854897,0.91374975,161.35983,0.99201304,3.312337,0.81594396,-53.897133,0.021035403,-2.5524552,0.60341763,-97.78349,-54.16212,-1.9970247,1.8565896,0.27899125,-1.8023617,0.71910584,-97.69067,-0.62021565,1.4759077,1.3139713,-3.8746698,-0.64677733,-0.03145832,1.1537263,0.4968071,0.5254383,0.17126288,0.17044802,-0.6927336,0.17836742,0.8854239,2.4407063,2.926407,13.04251,2.4292197,3.762527,0.7396683,0.62245935,0.7678627,0.9917041,0.9999672,0.9529048,0.73744935,0.9913659,-0.00019969452,0.99512666,-0.6695399,0.87826097,-0.011452612,0.83251697,1.0932935
3,-0.81867814,-0.46639597,4.606928,4.3727283,-0.22373505,-0.5,1.2160449,-0.78606856,-0.022947628,2.4121778,-0.5587009,-0.62725884,-0.5956042,0.110289335,100.22063,0.9590366,-0.15804434,0.91858196,154.85783,-1.4533188,-1.9874535,1.0336812,2.5153077,2.6786354,-0.81460786,-1.2695054,4.345051,0.03303635,0.4087394,2.9682045,-1.7298133,1.4691553,-0.46988195,4.3754377,0.16412055,-1.6082065,-0.28638762,5.1717105,5.4853225,-0.08862162,0.2961939,1.2805904,6.106097,4.647808,-0.9990138,0.46396187,0.43969125,2.291586,2.497178,-83.98019,0.6097265,1.479446,-1.1270719,-2.0086088,-0.14521664,1.309374,2.0970383,-0.46468413,-0.81460786,0.012132828,1.0956042,2.2099898,-86.37246,0.96148926,2.9870462,-0.19756013,0.015485764,0.0,0.016233891,0.998852,0.00047458708,0.14838685,0.05710898,0.08519442,0.0,-3.1872487,80.16229,0.82481897,0.9537194,2.6201274,1.9635746,1.3999708,-0.5701292,1.3170681,0.81460786,-0.19464076,0.039238274,-2.1571302,-1.2793092,-1.7103105,1.8906152,0.26041636,0.48380482,-2.0103176,0.6994041,-5.3454094,-1.3714354,77.78013,-0.74012357,2.0188699,1.746953,-83.58418,-2.9390736,-0.42266783,6.989501,85.536766,-84.827354,0.5945221,-2.1525843,-3.327869,-3.2659972,-1.708521,86.506645,1.1527956,-3.2792518,0.9168143,-3.3451326,-0.42442054,-0.29304993,-1.1071161,0.8074182,-0.8501543,-0.1943655,0.20502453,-1.8776186,-0.9843965,0.58199584,2.0405974,2.7182817,2.7182817,1.7483997,3.042783,0.58042085,0.6518676,0.6478784,0.98859835,0.5,0.97559273,0.6637722,0.99091715,0.022943601,0.998749,-0.8147524,0.99935627,0.8658155,0.5439346,0.07901887
4,-0.22132933,-0.6931472,4.753299,4.946341,-0.082377695,-0.71032506,1.5072833,-0.82403564,-0.0017546486,-1.138851,-0.7050723,-0.5,-1.7989396,0.24703789,114.427025,0.40794158,0.789894,5.724401,-55.770554,0.9404462,0.73893267,2.5937464,0.89669424,-0.11926377,-0.8939401,1.267726,2.197136,0.62710565,-2.4886987,3.1730995,-0.33002245,-1.1728625,0.016036332,1.7600659,-3.110011,0.990705,-1.2851985,6.355317,2.6388502,2.292486,-0.75417674,-0.8963741,3.397687,1.7990217,0.82104087,0.80320734,-1.4786661,1.4659281,1.2364962,-173.44113,1.0978171,0.5951147,-1.7548667,-2.3063273,0.76602405,3.2271304,0.6063517,-0.8144061,-0.13442792,0.91121054,2.5092647,3.376842,-172.3007,-0.70766026,-0.33865118,-0.139839,0.20796776,0.0,0.21603495,0.511544,0.22186214,0.10146506,0.056016456,0.2227562,0.6167667,4.5450735,141.68427,0.639839,1.1907029,-0.13290727,1.4694645,0.99609435,2.5911095,1.4488386,0.08992537,-0.070411265,-0.90669286,-0.702878,0.8954773,-0.75053716,2.0390038,0.80059993,2.6280694,-1.906797,-2.4363203,4.052188,-1.0245969,140.52127,-0.3905455,2.7996297,0.79866886,-174.8732,-0.9266965,0.49967325,-0.086698055,7.5385427,-173.40971,-0.29545325,0.3968767,-0.8175928,-4.1323223,0.946022,7.428817,-0.57896125,1.138851,1.285238,-6.088487,0.7366514,-0.17822099,-0.5859633,2.337592,0.7028662,-0.17314357,1.4200723,-2.1316142,0.14219737,0.7096679,2.1534917,2.1680017,2.7182817,2.023993,3.616396,0.7105618,0.62245935,0.6466328,0.9906194,0.5,0.9680951,0.72633433,0.9912492,0.0017546469,0.9978301,-0.91715056,0.8614711,0.1002963,0.54008156,1.0227435
5,-0.2037202,-0.4763571,4.854193,4.995912,-0.07305943,-0.54860103,-2.0440078,-1.0348895,-0.033312414,0.3323833,-0.80596644,-0.62104166,-2.0322485,1.7675881,127.44377,0.27847114,0.3330312,0.94285786,-42.65643,0.9472866,-0.038701892,0.26873428,0.8044686,-0.5945002,0.9293015,0.3918197,3.7075062,0.22355309,2.4352856,3.6228945,-0.3311385,-0.10141209,0.06917849,2.4891796,2.3057022,0.3540992,-0.17419747,4.5045033,4.2567897,0.6201863,1.3818247,0.24923779,1.249811,3.3808627,5.6569376,0.849003,-1.2231885,1.888268,0.13106748,-58.112022,0.57137346,0.26443905,0.020210624,0.9738431,1.2902272,3.9336436,0.61285025,0.6860074,0.88069516,0.19935931,2.5808496,3.4244874,-58.46847,1.3096623,0.36872613,0.15977475,0.2306118,0.0,0.23930113,0.90794253,0.4697079,0.14304389,0.05645687,0.4469856,0.14251983,-0.9345063,149.27206,0.4612669,1.3245584,0.6433878,0.95580924,1.359196,-0.9279391,1.5235841,-0.88069516,-0.8313174,-1.5857055,-0.69555527,-0.24898843,0.91815513,1.3131726,0.8642758,0.033974797,-4.7749395,-3.25322,0.3489855,1.3347856,147.54323,0.25933546,3.3938627,-0.8739705,-56.45533,-1.4678998,-0.71802044,1.5661527,-22.788103,-56.8012,0.48299488,-1.829151,-0.49050665,-0.6455934,-0.52382076,-22.260075,0.25521708,-0.3323833,1.3484846,0.24602032,-1.1094869,-0.097718775,0.30192298,3.7363703,0.6598984,-1.5174087,0.31067863,-1.2636546,1.132587,0.8083846,2.2871656,2.7182817,2.7182817,2.2388592,3.6659667,0.72064936,0.6504554,0.63908005,0.99442273,0.5,0.9607478,0.73038197,0.99128705,0.033300094,0.99666715,-0.8305616,0.99201745,0.9571335,0.51636726,0.92465764
6,0.18312415,-0.6931472,4.2572145,4.834073,-0.10565708,-0.7572515,2.2629666,-1.7394624,-0.012781534,1.3173673,-0.20898753,-0.5,-1.4176431,-1.67782,70.5715,0.15306282,0.6778489,3.8836157,-64.58142,0.9419663,2.3518171,1.2715647,2.6138148,-0.027786136,-0.18714057,1.0446155,2.8907065,0.57562685,0.94108933,3.4970922,0.1490578,-0.9084412,-0.7286006,1.8093805,-3.3951879,2.872284,-0.5528487,4.446638,3.82201,1.7902381,-0.6864082,0.20121963,2.0385447,2.60486,-0.04820484,1.213745,-2.1570961,-0.0072215796,1.6816905,-83.59512,0.7987447,1.5124704,-0.102189004,-2.931756,0.1388169,3.5784912,1.8319066,0.28359324,-0.5810918,1.1580818,2.1748946,3.715837,-84.90476,0.3268478,1.3735942,-0.4963944,0.16080856,0.0,0.16741881,0.84357643,0.06885138,0.03425972,0.055841602,0.7570602,0.75437593,1.9823558,126.99155,0.9963944,1.6238611,-1.912886,1.2321272,-0.59336483,0.2847001,1.9213722,0.416062,0.26077312,1.4769158,-1.9162867,-0.20101832,0.054567397,2.5437593,0.6992365,1.8672453,-4.2053695,-2.5782619,2.2736957,1.316458,124.5658,-0.5997212,0.83342385,-0.651951,-84.17345,-0.015831828,0.9744129,-0.3210734,39.22271,-83.644485,-0.8931616,-1.7450155,-2.927135,-1.3357639,0.41022873,40.93748,0.04370801,-1.3744612,1.9714968,-7.807885,-1.4697287,-0.565256,-0.6187565,3.2225666,1.8405966,-0.08109847,0.1334317,-1.6027998,-0.88762784,0.21813312,1.9582059,2.1022298,2.7182817,1.2324296,3.504128,0.68693876,0.62245935,0.6049539,0.98131037,0.5,0.98528606,0.71616787,0.9911696,0.012780839,0.99955404,-0.97508025,0.9707336,0.6249347,0.40209848,-0.2836693
7,-0.38392994,-0.19116378,4.8009124,4.946836,-0.08228164,-0.6465385,1.3807913,3.2938685,-0.018889893,-0.20609026,-0.7526856,-0.8259973,-1.7180321,1.22052,123.18908,0.8423706,-1.2673557,-1.6520662,-32.299694,-3.3406982,0.5445056,2.0806842,1.7097929,-0.0027464628,-0.7440888,0.548759,3.0751915,-0.9713493,0.32092834,2.9507287,-0.17629756,-1.2691162,0.9943692,1.8076527,-0.5861985,0.60933775,-0.20713565,7.0849166,3.253643,0.775579,0.80914724,0.006992351,3.2937522,3.0025797,1.7987454,0.70006907,1.6963594,-0.0061615705,-0.46029755,5394.143,0.8474157,-0.7928579,1.146248,-2.0438838,0.57606685,1.5130513,1.4670424,-0.35163462,-0.7483112,0.59832036,2.3645706,2.9485168,5394.366,2.2386994,97.677864,0.26500124,0.20818806,0.0,0.2162616,0.7175846,0.15334979,0.12252249,0.055924952,0.6846575,0.4297161,-6.3347316,141.2587,0.56099606,0.6963207,0.3218,0.67854655,-1.2850944,1.1750897,1.0873424,1.6917305,-2.7571356,1.6226759,0.28414178,0.9364339,0.8047591,-0.8908441,0.85246074,-2.3404064,-2.8573804,-2.0412273,-4.1706066,1.4558578,141.52187,2.4804688,0.43751216,0.57821697,5395.4517,-0.3925548,-1.654309,2.9999783,18.478727,5393.7534,-0.80615675,0.08569213,-1.6944718,-4.700869,0.4521014,19.078539,0.4088833,-0.20077284,0.8459919,-5.679137,0.010981739,-0.14040375,-0.9907367,5.133521,-0.045006454,1.6504283,0.57079667,94.54573,-0.14126438,0.75726,2.2095656,2.7182817,2.7182817,3.0661125,3.616891,0.7106636,0.69550794,0.7000247,0.99727577,0.5,0.96490157,0.72637606,0.99124956,0.018887646,0.9973572,-0.8804824,0.97459483,0.7944548,0.6897169,1.3654089
8,0.98711634,-0.6931472,5.465701,5.8622427,-0.0021633047,-0.73708874,0.2650571,-3.3118827,-0.00511597,-1.8094939,-1.4174742,-0.5,-6.645926,1.8985441,236.20755,3.0223496,1.7506701,3.476765,-154.12257,3.439139,-1.2245822,3.7481608,0.58679104,94.75624,-1.1520033,-0.3635111,7.2573524,1.5354791,-0.7650331,4.42319,2.979723,-3.491322,3.0842662,1.2588134,-0.70092463,-2.9362073,1.0889796,5.8597937,5.4989963,8.219766,1.5968953,95.65445,1.8554035,5.9433365,242.33998,2.688601,3.7992525,-0.49725932,-0.22291923,-31.840584,4.2745843,0.9171156,0.62582886,2.8830647,0.23292714,4.8123736,0.9428177,-5.048483,-0.67147166,1.0556908,7.3830147,6.85344,-30.026497,1.6468462,4.1970677,1.486843,0.8970585,0.6615887,0.90156806,0.9993894,0.044214696,0.9339464,0.05529987,0.91634434,0.6952498,0.7779075,349.47766,95.53553,-0.96944225,3.930443,1.4295928,-1.592779,2.8012002,-0.6867942,2.8806765,-0.98386,0.57667094,0.75653166,3.490464,-1.8797153,-0.90668964,2.3791401,-0.036147594,-3.7768261,-5.2002015,2.5382917,1.1269431,351.51215,3.3190126,4.9935837,0.9032532,-32.131813,312.31348,0.28571045,-0.56468534,49.58854,-32.853207,-4.3354363,0.63954425,2.8715856,-4.4955406,-1.164384,47.2854,-3.4139776,0.79227936,1.7500248,-2.167122,5.132041,0.4333542,4.196646,5.7297044,3.2222185,4.618709,1.3108447,1.328627,-0.15858948,1.3579111,3.4742947,0.9653803,99.240654,5.0654593,4.5322976,0.85984653,0.62245935,0.93707055,0.98065233,1.0,0.78749305,0.7606851,0.99230003,0.0051159253,0.86424494,0.999989,0.99996257,0.28527683,0.9910208,2.8195395
9,-0.85635805,-0.6931472,4.828396,4.5542684,-0.17427593,-0.5919745,-0.22417268,-1.7409697,0.0063200407,0.9166128,-0.78016907,-0.5,-0.9023173,-1.3009331,125.169075,0.3783324,1.8757048,3.6129653,129.51738,1.3674362,1.435359,0.055895,1.2803003,2.6036887,1.4598721,0.16290712,1.9169368,1.7019975,1.1390854,4.7711997,-0.8430673,3.3717983,0.055533946,5.263887,-0.113839656,1.9081868,-1.3210092,5.3232164,3.0806956,0.060933053,-0.16282713,1.4406946,4.49969,1.9108952,-1.306531,0.418386,0.32815093,0.57916605,-1.0010958,642.4446,0.4257998,0.4315011,1.0554888,-1.5338109,1.2632546,4.2262383,1.0787923,1.1069436,0.92374104,0.3744308,1.4942918,3.039913,641.49976,-0.8909057,15.059244,-0.011079788,0.064603806,0.0,0.06756486,0.6676543,0.45614624,0.18040514,0.057583947,0.8544581,0.26971018,1.6459553,98.163216,0.5110798,1.6969218,-1.0158792,-0.05442646,-1.2368069,-1.8893996,1.8632796,-0.92374104,-2.6085677,1.9563752,-0.90228724,-1.4392531,-0.83644253,-0.33457875,0.47326717,0.68777037,-3.319273,-1.2688832,-1.9012115,-0.8509427,94.605705,-2.2627707,-0.31599867,-0.8222803,641.4603,0.15379354,0.036890626,4.873923,-21.922035,641.85205,3.3182032,-1.7276485,-1.6919591,-2.7959442,0.7693287,-20.849464,1.815655,-1.480953,1.1958787,-2.1514528,-2.0405066,-0.118437886,-1.4825237,3.5687046,0.603856,-2.6735153,0.97150195,10.337369,-1.6035217,0.7986599,2.2474957,2.7182817,2.7182817,2.1818411,3.2243233,0.62387806,0.62245935,0.60487026,0.9969003,0.5,0.96284246,0.68584347,0.9910037,-0.0063199564,0.9970258,-0.689884,0.8876841,-0.34739158,0.40180513,0.83257765
