,(oz2_sin+oz1),(oz2_radian+oz4),(oz37_mmnorm+oz4),(oz2_negative+oz5),(oz2_negative*oz4),(oz1_zscore*oz2_negative)
0,0.51012224,0.6102345,1.5897282,-0.2032373,-0.08126734,-0.05040243
1,-1.6179135,-0.35285264,0.41446295,0.83572316,-0.36512685,-0.798407
2,-1.8297169,1.5465527,1.6615793999999997,0.60020685,1.2570426,-0.8933652
3,2.1230435,-0.23359159,0.35260424,-0.7227182,0.33336609999999994,-1.5086704
4,-0.78004915,0.7647210999999999,0.92162025,0.38805333,0.39738923,-0.14836258
5,0.38308358,-0.49284428,-0.18051103,-0.58454895,0.07644548,-0.03541092
6,0.19307205,1.4496537,1.6803839,0.41466781,-0.071562715,-0.0071014483
7,0.7945671999999999,-1.1466048,-0.49492836,-1.2435439,0.52220345,-0.16179155
8,0.4230867,0.5361345999999999,1.2535837,0.38184234,-0.06612269999999999,-0.037114937
9,0.68205804,-1.3759943,-0.7221229,-1.6842542,1.1561767,0.04731033
10,1.0980574,-0.3593986,0.19838786,-1.3554543,0.35365897,-0.27293473
11,-2.1699271,0.5008840999999999,0.88062906,0.15677941,0.6282491,-1.4892541
12,2.6078024,-0.80792594,-0.7186544,-1.4400451,1.3551886,-2.6089685
13,-2.6425426,-0.42289057,-0.14792109,0.6445512,-0.5862634,-2.4326434
14,1.166845,0.48942053,0.93831956,1.175772,-0.18803991,-0.3067887
15,0.0702559,0.014341468,0.90026164,-0.34658936,-0.00073214114,-0.0008531882
16,-0.340857,0.99677956,1.8385909,0.6923789,0.48379496,0.058785073
17,-0.5849589,-1.519492,-1.039161,-0.04040855,-0.67816836,-0.06788053
18,2.2839215,0.13305457,0.16715114,-0.21111447,-0.12546276,-1.534843
19,0.877499,1.6860558999999995,1.8815144,0.6902562,-0.600037,-0.18864171
20,-1.7653055,0.075348124,0.382165,0.1003477,0.042969725999999986,-0.6516844
21,0.45258525,0.66666627,0.92030066,0.08186668,-0.39672646,0.07011459
22,-1.1377932,-1.5486888,-0.6256147,0.026132107,-1.2841462,-0.33089772
23,-1.3342456,-1.7018802,-0.80569935,-0.5773235999999999,-0.52106905,-0.31709996
24,2.9735923,1.5471927,1.5654,2.2292554,-2.2664917,-2.946891
25,0.84082764,0.98458326,0.98326933,0.050013185,-0.7914514,-0.09194001
26,1.6263021999999998,0.49400902,0.88289183,-0.18729842,-0.6540307,-0.8946181999999999
27,-3.2188425,-1.0668857,-0.42454094,0.6261678,-1.6780858,-3.588135
28,-2.2444525,0.98459953,1.5541148,1.0703293,1.5101169,-1.8647329
29,-0.2529819,-1.0868431,-0.65355784,-0.95752805,0.09140822,0.02830858
30,-1.0292213,-0.55781597,-0.048239052,0.01271081,-0.29274678,-0.27793070000000003
31,-1.7673544999999995,0.7417819999999999,0.8106194999999999,0.19750452,0.62303215,-0.8519895000000001
32,1.4977677,-0.94214606,-0.9055569,-0.6718529999999999,0.8062691999999999,-0.6334444
33,0.30154404,-1.322336,-0.8616466,-0.07881608,-0.16493024,0.053266812
34,-0.7161524,1.09923,1.8645146,0.526551,0.30785018,-0.123002835
35,-1.4733176,-0.43077776,0.100447595,0.6768596,-0.36081728,-0.6168507
36,-2.1620166000000003,-0.114400595,0.25728312,1.0031319,-0.13542956,-1.8031162
37,0.8348193000000002,-0.8508773999999999,-0.68403745,-0.52743304,0.30437827,-0.17307377
38,-1.1007264,0.293171,1.0490508,0.32357702,0.04927411,-0.15569593
39,-2.4715803,0.21140526,0.76338655,0.42718732,0.34568277,-2.157674
40,-0.34639344,-0.22456492,0.55492604,-0.4658871,0.021390453,0.041702997
41,0.2865594,1.4772626,2.242962,0.97373503,-0.14985648,-0.018815998
42,-0.32788253,0.4600848,1.0311525,0.7245657,0.04196879,-0.021564778
43,0.60865,-1.7165076,-0.83908856,-1.4354198,1.1403337,0.0028999788
44,2.8775067,-1.4365653,-0.7033958,-1.9706677,2.2158415,-2.8474642999999995
45,-0.21437408,-0.812327,-0.6787119,-0.28043485,-0.36683655,0.10313691
46,1.1490405,-0.9748128,-0.27017640000000004,-0.8764084000000001,0.6541714,-0.35392708
47,-2.9523358,1.5354811000000002,1.7433825,0.98587006,2.7717967,-3.491388
48,-2.045311,1.4297757,2.2252893,0.30188185,1.5362684,-1.2444441000000002
49,1.8693166,-0.806606,0.11235654,-1.4843110000000002,1.2198201000000002,-1.2829561
50,1.0350268,0.33102703,0.82327586,-0.114846855,-0.14714792,-0.27120265
51,-0.27361396,-1.0236905,-0.19494915,-0.44345754,-0.10584964,-0.017640315
52,-1.1108816,1.3110855,1.8211201,-0.33736962,0.36504683,-0.23231082
53,-1.941187,0.53360945,1.1103165000000002,0.10512102,0.5268313,-1.0761222
54,-0.55421174,-0.70576155,0.18005157,0.0039152503,-0.23866834,-0.07497832
55,1.5821120000000002,-0.50075626,0.12234318,-1.0197669,0.6230666,-0.7793033
56,0.5727791999999999,0.53379637,0.9052446,-0.37934336,-0.33259574,0.013659796
57,-3.083523,1.2440453000000002,1.9510127,0.6052941999999999,2.177741,-3.5800636
58,-1.0054584,-0.38922644,0.5811385,0.028065622,-0.07421560599999999,-0.15669708
59,-2.459302,0.78487563,0.91721976,0.25746030000000003,0.7850228,-1.5958133999999995
60,0.54855675,-0.19462186,0.7351945,-0.011237621,0.016898545,-0.03986991
61,-0.96740144,-0.65928096,-0.07255316,-0.07984537,-0.44300988,-0.22952926
62,0.1979343,0.59634906,1.4325225,0.4660173,0.017784825,0.0067889374
63,-2.1102746,1.3393556,1.6235104,0.4284134,1.6794121,-1.4401659
64,-2.1512628,-0.36587387,0.015719593,-0.45038372,-0.31421550000000004,-1.2294981000000005
65,1.6727602,1.2769692,2.2301888,0.97847104,-1.5418644,-0.89806265
66,-0.8469002,1.6428574,2.6018107,0.20738441,0.5444591,-0.17268209
67,1.7299601999999998,0.589349,0.6386559,0.30623585,-0.30788730000000003,-0.64985543
68,1.0154516,-0.7059327,0.124845445,-0.89234126,0.059603337,-0.07850692
69,1.5609934,-0.3811979,-0.19570756,-0.8508319,0.36705536,-0.7053053
70,-0.67879486,-0.8583074,-0.7700204,-0.16040891,-0.39252055,-0.107788086
71,2.149237,1.3379353,1.7330256999999998,1.6312673,-1.922619,-1.6926715
72,2.9889512000000003,-0.9964494,-0.5374653,-1.8376429,1.6875976,-3.2804186
73,2.0507228,-0.17596315,0.6008673000000001,0.060534418,0.15783606,-1.0892911
74,0.8000507,1.1229314,1.8623991,-0.24062848,-0.96791875,-0.029078692000000007
75,-2.0336843,-0.6941684,0.16905479999999998,0.89484626,-1.1554204,-1.8252382
76,2.6983217999999995,-1.2579919,-0.6658225,-1.7554888,2.0100665,-2.6573796
77,1.4317521999999998,0.30429047,0.5326114000000001,-0.03287363,-0.26411632,-0.5852411999999999
78,2.135224,-0.3865871,-0.32784727,-0.4982057,0.40237173,-1.2914137
79,0.78088635,-1.2092117,-0.8309287000000001,-0.6878255,0.12745856,-0.07116473
80,2.313838,0.093706965,0.10330149,-0.44787574,-0.10230483,-2.0059447
81,-0.42026383,-1.5015817,-1.0440578,-0.55175805,-0.143988,-0.031158604
82,-0.040739,0.6493268,1.1461911,0.4658252000000001,0.3235148,0.21224615
83,-0.16851838,0.2910791,1.0728252,0.095057234,-0.039298333,0.04143098
84,2.2439797,-0.2105019,0.4910099,-0.1396352,0.27450308,-1.5639005
85,-0.09080748,-1.651996,-1.3592086,-1.1777921,-0.19635895,0.0033248204
86,-0.076149106,-1.4168882,-1.1315687,-0.1604492,-0.5520470999999999,0.11963917
87,-1.8893846,1.0161569,1.9941756,0.8732641999999999,1.5699553,-1.343274
88,-0.92336357,0.8847183000000001,1.3494521000000002,-0.4616207000000001,0.07777801,-0.07337975
89,-2.4214597,-0.08549139,0.34456277,0.18976867,-0.07181681,-1.6601249
90,2.4744406000000003,0.8441456,1.3247627,0.7366836999999999,-1.1421278,-2.0770507
91,-2.8021855,1.6547313999999995,1.6832314,0.62158835,2.562366,-2.7495933
92,2.287802,0.12740251,0.6064233,0.33231103,-0.1254299,-1.602998
