,oz6_radian,oz4_radian,oz12_radian,oz1_radian,oz2_radian,oz17_radian,oz41_radian,(oz21+oz37),(oz9+oz18),(oz14+oz34),(oz11+oz26),(oz25+oz30),(oz18+oz24),(oz27+oz35),(oz8+oz25),(oz11+oz40),(oz3+oz39),(oz33+oz35),(oz35+oz49),(oz12+oz30),(oz7+oz18),(oz14+oz29),(oz10+oz12),(oz34+oz49),(oz29+oz30),(oz17+oz26),(oz16+oz34),(oz25+oz44),(oz30+oz33),(oz14+oz22),(oz3+oz31),(oz11+oz14),(oz30+oz46),(oz2+oz20),(oz10+oz15),(oz4+oz36),(oz18+oz43),(oz12+oz40),(oz25+oz28),(oz11+oz13),(oz36+oz45),(oz1+oz2),oz18_zscore,oz46_zscore,oz50_zscore,oz4_zscore,oz47_zscore,oz2_zscore,oz38_zscore,oz29_recip,oz16_recip,oz2_recip,oz15_recip,oz3_recip,oz17_recip,oz10_recip,oz24_mmnorm,oz16_mmnorm,oz2_mmnorm,oz31_mmnorm,oz35_mmnorm,oz1_mmnorm,oz19_mmnorm,oz1_negative,oz4_negative,oz40_negative,oz31_negative,oz20_negative,oz25_negative,oz21_negative,oz14_degree,oz3_degree,oz34_degree,oz30_degree,oz8_degree,oz1_degree,oz44_degree,oz15_sin,oz8_sin,oz23_sin,oz45_sin,oz28_sin,oz44_sin,oz2_sin,oz28_tanh,oz2_tanh,oz36_tanh,oz45_tanh,oz9_tanh,oz8_tanh,oz23_tanh,oz51
0,0.008016857,0.010609879,-0.016681943,0.006577011,0.002333245,0.00915957,-0.011948314,1.7704984,-0.87732005,-1.9416051,0.55957144,2.2287092,-0.7281037,0.119351774,0.8307763,2.0098574,1.6663924,-1.8760009,1.3046693,0.635748,0.06896889,0.7483592,-0.7685441,-0.13281584,2.6487193,0.43910217,-2.5357456,0.40229833,-0.08913493,-1.0216124,0.30830646,0.33646697,0.99466014,1.29485,-0.5350919,1.1651222,-1.2663983,0.40877855,0.60800225,0.3438413,-0.9998475,0.5105201,-0.77225417,-0.5971915,-1.498223,0.60820544,0.21363406,0.13375199,-0.9768261,0.94592506,-1.1074841,7.480265,-1.3843651,-18.049137,1.9054707,5.340143,0.52469796,0.23927066,0.5569362,0.60737836,0.44349134,0.593467,0.49199593,-0.376835,-0.6079013,-1.3645835,-0.36371076,-1.1611649,-0.6371563,-0.10495272,-17.693338,-3.174433,-93.55244,91.18926,11.093605,21.591053,-13.456371,-0.6611517,0.19241245,0.4597576,-0.99990577,-0.029149951,-0.23270488,0.13328725,-0.029145824,0.13289435,0.5059125,-0.91494423,-0.10506298,0.19123618,0.44441754,0.10913311
1,0.018331422,-0.005825194,-0.02840009,-0.012731328,-0.019093612,-0.018893026,-0.028000014,2.3314393,2.7034593,0.899993,-0.8289726,-1.7174354,2.7557716,0.64149237,-0.555596,-0.3920678,0.113616124,2.0969348,2.2315683,-1.6222851,0.15572554,-1.1122338,-2.791646,1.4863572,-1.0759134,-0.27732432,0.34094554,-1.557708,0.42525047,0.10526194,-1.3851401,-1.6655391,-0.7078196,-2.638417,-2.6389446,-1.0458893,1.9419687,-0.3851341,-2.4437008,-3.3001742,0.27315658,-1.8234348,1.0420512,-0.71309626,0.5939157,-0.33392605,-1.271441,-1.0945308,-0.30715176,-0.92521185,-1.6936302,-0.91409063,-0.67819417,32.00402,-0.92379546,-0.85878134,0.99517405,0.3313312,0.2012173,0.095936626,0.9875571,0.35328183,0.9253423,0.72945136,0.33375904,-1.2420712,1.4163861,1.5444336,1.7223555,-1.4900556,-1.7990983,1.7902682,53.3649,0.2818997,66.85039,-41.794483,9.433601,-0.99536747,0.91948146,0.1512267,0.8334306,-0.6603955,0.16390452,-0.8884621,-0.61774194,-0.79832745,-0.6120109,0.7553454,0.9304766,0.82323056,0.15065357,0.12435395
2,0.030486427,0.0272378,0.02079041,-0.019347899,-0.014058297,-0.010121343,0.021270009,-2.7281065,0.80655974,0.54368764,0.59841645,-1.7652628,3.0073566,0.22386503,1.4193032,0.2558577,1.4952685,-0.5006776,-1.8796345,-0.5330516,0.7696033,-0.7188858,0.53327197,-1.4498606,-2.8174887,1.0402622,-0.28924227,-1.4190241,-1.9644971,2.052403,2.1029658,-0.6474074,-1.754854,0.6490648,-2.3522468,3.230123,2.8871634,2.4688163,0.35833424,-0.17508435,0.84097356,-1.914034,1.5481485,-0.030614857,0.42046285,1.561392,-0.32657516,-0.8058841,-1.2206321,-0.914717,-2.180638,-1.241494,-0.5902087,1.6168376,-1.7244048,-1.5199167,0.9235641,0.37017816,0.28481132,0.9293864,0.42456388,0.2709753,0.15171877,1.1085529,-1.560611,-1.2776136,-1.4844744,-1.4545459,0.041008465,1.2859687,21.44859,35.43694,9.702415,-98.792496,83.66969,-63.5154,-78.954475,-0.99238116,0.9939028,-0.9982757,-0.73694414,0.38881287,-0.9814753,-0.721164,0.37938645,-0.6670899,0.93148714,-0.67969036,-0.62963706,0.8977131,-0.9073045,0.89270824
3,0.027341692,-0.0044731647,0.0099970745,0.020233478,0.022701852,0.005655657,0.0056976844,0.07169619,0.9046818,-0.61229277,-0.53047854,2.2735977,1.1963476,1.669802,1.6525745,-1.3504605,2.2196252,0.30106795,1.2129226,1.6079612,-1.1453822,0.3620514,1.2502728,-0.47601533,1.8905289,0.7622807,1.4567622,1.1023552,-0.23371255,-0.0035087764,0.4682545,-1.4620205,0.6613411,2.9703932,0.30740932,-1.9234676,0.7518259,0.1910437,1.3403707,-0.68281907,-2.3464947,2.4600134,-0.4455111,-0.37401706,-1.3552799,-0.2564217,1.5727996,1.3013712,1.2997793,1.1691012,0.63461906,0.7688048,-2.702168,1.4821193,3.0859885,1.4760528,0.97472525,0.96947914,0.8950866,0.44356337,0.9565588,0.763346,0.5736376,-1.1592929,0.25629345,0.3817465,0.206455,-1.6696727,-1.2384266,0.278149,-28.264378,38.658005,-6.8174124,59.31093,23.728931,66.42259,-7.7963104,-0.3616837,0.40241012,-0.9999684,-0.62826455,0.10176763,-0.13565178,0.9637506,0.10159242,0.8619085,-0.9311771,-0.5910775,0.8740462,0.391989,-0.91840607,-0.32109922
4,-0.009216508,0.0135033615,0.0059159626,-0.0050388672,-0.008964559,-0.027152939,0.015928863,-1.7546924,-3.1767392,-1.0987413,-0.49768394,-0.014362782,0.059082508,-1.2184047,1.3237157,0.14414006,-1.6385049,-2.5903232,-0.06697607,0.4639284,-3.213222,0.6367557,-1.0955411,-0.07288754,0.35140356,-2.761219,0.14157403,-0.6309272,-0.9622038,0.49484807,-0.80542654,1.118107,-0.12036462,0.31189024,0.1955707,2.4252326,-0.5949856,-0.22468638,0.102128595,-0.35897595,2.8813825,-0.8023372,-1.6550637,-0.24545608,-0.4442345,0.77407277,-1.1856114,-0.5138884,-1.3581309,4.416281,0.60582703,-1.9469215,0.61347,-28.450953,-0.64277726,-0.6971066,0.99491405,0.9915406,0.36937523,0.2815706,0.06337321,0.44897184,0.16758558,0.28870583,-0.77368563,0.5636461,0.77027833,-0.82552165,0.13933149,0.47825214,23.509651,-2.0138438,-86.46289,7.160179,83.82642,-16.541624,-28.166359,0.99824375,0.99420065,-0.46312875,0.9424338,0.2391206,-0.47203323,-0.49134332,0.23687439,-0.47276977,0.9290696,0.84253156,-0.9091329,0.89824283,-0.44746175,1.2615901
5,-0.002293659,-0.0086487485,0.003977598,0.0040042517,0.002692485,0.008032033,-0.022050658,0.06160462,-2.4459064,1.2549424,-2.1027222,-0.28668183,0.10589421,-1.0767922,-0.5400622,1.0290511,-2.4175591,0.4063816,0.034569025,0.16134337,-2.4900231,2.1584463,1.3471757,0.46075755,0.6165371,-1.1360316,-1.5799484,-1.4651003,0.9864243,2.4553864,-0.034301817,0.96886396,1.6758615,-0.63947266,2.1322231,-0.7415762,-0.8243888,1.7634395,-1.6083856,0.4644658,-1.4892926,0.38369477,-1.3599732,1.7432896,0.3766942,-0.49578473,-0.28357473,0.15434521,-0.4371079,1.4639288,-0.73554397,6.4822245,0.9872186,-1.5326986,2.1729605,0.8934345,0.92502993,0.1047619,0.5629002,0.6804794,0.3123268,0.5614633,0.6211857,-0.22942673,0.49553677,-1.53554,-0.6181422,0.7937407,0.22012562,-0.7485445,84.53149,-37.382286,-12.628586,-3.8133905,-18.331017,13.145183,-71.33179,0.84839547,-0.31450638,-0.59003234,-0.94683564,-0.98338646,-0.947388,0.15365686,-0.88278747,0.15305577,-0.24119207,-0.8463809,-0.79563874,-0.3094496,-0.55880845,-0.2795504
6,0.0070973937,0.025286185,-0.028279915,0.002507992,0.0008621012,-0.009762191,0.025962375,-0.14267933,-1.0865163,2.4562175,0.4597776,1.1319839,-3.0471153,0.60000795,-0.7098148,-0.892926,0.7136508,0.5143414,0.63610107,-1.503734,-1.1362127,2.3698814,-0.9771612,0.79341406,1.6620196,0.62090445,0.5731456,0.47563028,-0.8435296,-0.3457749,-0.1045751,0.10398841,-0.5914638,1.5663186,0.34001166,0.6744617,-0.5451711,-1.7927866,2.3705497,-2.4514313,-1.4756632,0.19309212,-1.3262588,-0.708404,0.06994315,1.4495165,-0.55967015,0.049419478,1.395993,0.64706755,-0.9446222,20.245062,-3.2987301,1.4556613,-1.7878457,1.5548264,0.027520388,0.19340923,0.53251296,0.2754596,0.9288037,0.5428506,0.1827338,-0.14369737,-1.4487916,0.17246675,0.7915481,-1.5169239,-1.015398,-0.83861524,47.237366,39.36065,93.49352,6.679879,-98.847404,8.233253,-30.926413,-0.29852515,-0.9881014,-0.9233908,-0.64523685,0.9768387,-0.51393676,0.049374677,0.8752638,0.049354628,-0.6494401,-0.6052133,0.2346258,-0.93848765,-0.8264469,0.72172505
7,0.02499816,-0.020149814,0.0076821777,0.006239788,0.007894479,-0.03045467,0.026395457,-0.40219688,-1.5735825,-2.2950299,0.2744851,-0.262807,1.1689187,2.1881187,-0.178015,-0.3678335,-0.5661304,-0.59573394,-0.7301083,-1.1227622,-1.1412399,-1.3627052,-1.2983117,-2.2661445,-1.271146,-0.447564,0.72614175,1.3915012,-3.0541363,-2.2542157,-0.5306337,-2.6773527,-0.87570417,-0.17091152,-0.05781722,-1.5634115,-0.30237228,1.0951978,2.700991,-2.4764948,-0.21984154,0.8098338,-0.47014195,0.68755823,-0.5999307,-1.155077,-0.77387136,0.45254663,-1.1715775,3.4273276,0.7316927,2.2108226,0.5950076,-1.1052768,-0.57309085,-0.5752191,0.9739337,0.907893,0.6492613,0.61036825,0.7605274,0.58927214,0.7904904,-0.35751352,1.1544993,-0.65504146,-0.37411705,0.6232318,-1.3001115,0.93081796,-94.794586,-51.838398,-36.700935,-89.54863,-84.69041,20.484015,5.2362447,0.99397206,-0.99570924,0.41875756,0.18794619,0.9855988,0.09126256,0.43705368,0.88554156,0.42380443,-0.3875486,0.18684945,-0.8018155,-0.9011164,0.40705538,-1.2787853
8,0.011540216,0.009319593,-0.030048028,0.0052285083,0.002161267,0.003785259,0.0006446449,1.5695918,-0.3656528,-0.36200166,0.4404037,0.6197934,-1.1967609,-0.6330216,0.05420029,-0.8609314,1.3842443,0.4468186,-2.143819,-0.51055014,-2.6648128,1.8444898,-0.23268366,-2.697723,1.7118425,1.9190608,-1.2617788,1.1226245,2.8097138,2.4380322,0.25777587,0.081944466,2.421844,-0.1428498,3.2153914,-1.0676895,0.48973072,-1.3207788,0.26261467,-0.544112,-1.1745851,0.42340294,-1.1961595,1.2113749,0.21001954,0.53424054,-0.9297891,0.12389343,0.3154568,1.9969345,2.2525313,8.075491,0.57922333,1.4017581,4.610858,0.67161804,0.5120343,0.63605684,0.55408114,0.3719772,0.16548613,0.57669234,0.48466778,-0.29957145,-0.53397334,-0.4008464,0.455614,0.26668128,0.59128165,-0.82915056,76.98961,40.874226,-97.730774,69.38949,36.98339,17.164179,98.199585,0.98791045,0.6015835,-0.48774385,0.4142128,0.7538462,0.98977727,0.12351524,0.6930995,0.12320238,-0.92191845,0.40287626,0.6804269,0.56862056,-0.46955824,-0.064881235
9,-0.0045468793,-0.024268914,0.020053731,-0.0009925785,0.014512044,0.00936666,-0.028483188,1.00488,0.26965642,2.6276524,-1.747822,-0.54010665,1.2879536,-1.7951955,1.3654804,-0.26672852,0.24330723,-0.9751729,0.30173233,-0.42132235,-0.8112085,0.81634104,1.4349037,1.878597,-1.9534084,0.12329584,1.1524973,1.9538642,-2.3968444,1.3469012,-0.38394564,-0.13501489,-2.6002936,-0.39028782,-0.8099872,-0.28708673,0.98376435,2.2167134,0.29960215,-0.6164591,2.4160874,0.7746083,0.12146305,-1.0304924,-1.7022756,-1.3912022,-0.6462137,0.83189493,-0.37723902,-2.61034,-3.6268384,1.2026763,-0.9124947,-0.9049982,1.8633422,3.4976094,0.84092164,0.42404735,0.7591231,0.7100399,0.45705518,0.49930546,0.35810524,0.056870557,1.3905064,-1.0677192,-0.721029,1.2217667,-1.0302099,-0.445168,68.722435,-63.31038,81.83095,-89.9725,19.209583,-3.2584426,52.92149,-0.8893386,0.3290246,-0.9989386,0.96686935,-0.6673224,0.7978102,0.7389286,-0.62343705,0.68126935,0.801724,0.86494887,0.14717743,0.32324857,-0.90951645,-1.1467518
