,oz2_relu,oz14_relu,oz22_relu,oz1_relu,oz24_relu,oz7_rbfFeature,oz5_rbfFeature,oz20_rbfFeature,oz19_rbfFeature,oz17_rbfFeature,oz25_degree,oz6_degree,oz1_degree,oz21_degree,oz2_degree,oz13_zscore,oz24_zscore,oz3_zscore,oz9_zscore,oz1_zscore,oz7_tanh,oz13_tanh,oz1_tanh,oz17_tanh,oz2_tanh,oz20_square,oz16_square,oz1_square,oz17_square,oz9_square,oz3_radian,oz1_radian,oz15_radian,oz20_radian,oz12_radian,oz9_sin,oz1_sin,oz4_sin,oz5_sin,oz19_sin,oz26
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28063014,-0.03666672,0.15976618,-0.2314947,-0.037334956,98.67355,-58.025425,-92.80406,94.35648,-56.238106,-0.23933882,-0.26476488,-1.6097728,0.8614896,-1.620547,-0.87610525,-0.23475803,-0.924586,0.6823752,-0.75373185,0.35138422,1.5986345,2.6235466,0.69479823,0.7414221,-0.028081782,-0.028269736,0.0029036792,0.010345905,-0.022680048,0.7585329,-0.99880266,-0.83455807,-0.21913561,-0.9809862,0.03812176
1,-0.0,-0.0,1.3747767,-0.0,0.49784258,-0.17566165,-0.18903281,0.12514171,0.27668777,0.28021038,42.681038,-35.228283,-66.22209,-17.936546,-75.15945,0.4455777,0.4980917,-0.5987766,-0.41979554,-1.1563718,0.85483384,0.41807324,-0.8196643,-0.6346671,-0.8647251,2.6323946,1.7000996,1.3358587,0.5612898,0.17605206,-0.010445396,-0.020172402,-0.026723327,-0.028317366,0.0142944595,-0.407382,-0.9151152,-0.7211513,0.05776505,-0.7403058,-0.45747167
2,-0.0,1.5526812,-0.0,-0.0,-0.0,0.114527896,-0.2482622,0.26923212,0.22254783,-0.008885362,-51.987923,55.126305,-18.474115,65.174545,-63.492355,0.9877042,-0.21897611,1.5073338,0.7564563,-0.3225955,-0.32154778,0.7561703,-0.31170624,0.85001767,-0.8034077,0.023543678,0.748394,0.103963785,1.5780797,0.57165396,0.026294779,-0.0056275376,-0.02957437,-0.0026780243,-0.017418485,0.68607336,-0.3168762,0.99998635,-0.6844785,0.9999992,1.4232013
3,1.3305346,-0.0,1.2905861,1.6122364,-0.0,-0.26907158,-0.045546822,0.01814855,0.20593579,0.16687882,-58.57589,-7.5557966,92.37434,92.67095,76.23401,0.57682264,-0.036500625,0.8285241,0.06075699,1.6130431,-0.8179904,0.52014184,0.9234898,-0.7521174,0.86937994,2.4285393,0.026011938,2.599306,0.95611745,0.00368772,0.014453242,0.028138833,0.022482717,0.027198812,0.029759184,0.060689285,0.99914145,0.98965144,0.9811536,0.9997947,1.4611992
4,-0.0,0.667684,1.0760446,-0.0,1.4418074,-0.19548035,0.0043803854,-0.11706755,0.16011822,0.0047928994,-9.748882,84.986565,-131.94603,-4.0729737,-93.67089,0.45307693,1.4425288,-1.2988596,-1.3289521,-2.304045,0.36037213,0.42423916,-0.98021007,0.23383908,-0.9267514,0.21208563,2.917728,5.3033147,0.05676153,1.7643477,-0.022658039,-0.04019306,0.021872032,-0.008037723,0.006697038,-0.97073853,-0.7437748,0.507743,0.9984314,-0.96311516,0.5364494
5,-0.0,-0.0,1.206906,-0.0,-0.0,0.12108223,-0.19525659,0.076907046,0.015612534,-0.23025303,81.62672,74.32941,-78.452614,69.58789,-86.08284,0.2224859,-1.331484,-0.253833,-0.3442502,-1.3699416,-0.7550487,0.2187802,-0.87852263,0.8695296,-0.90558624,0.45376733,0.006376895,1.8748634,1.7719548,0.118389696,-0.004428006,-0.023898033,0.011778103,-0.011756931,-0.01586523,-0.33732888,-0.9797595,0.09526601,0.9983673,-0.25083914,0.09617613
6,0.9693905,-0.0,-0.0,1.1030114,-0.0,0.25329778,-0.2805781,0.19863565,-0.019726198,0.12084723,-42.44884,41.99711,63.19789,-94.773994,55.54198,-0.8489646,-0.18044035,0.4659909,0.6167626,1.1035633,-0.04532795,-0.69030595,0.8015781,0.8581165,0.74843633,1.1521842,1.4411994,1.216634,1.6541977,0.3800157,0.008129008,0.01925118,0.00181371,-0.018734338,0.00781637,0.5781456,0.89256924,-0.34151268,0.46603775,0.45419252,-1.6586562
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20637147,0.1290318,0.26898205,0.24946566,0.12358806,47.134617,-32.31512,-116.91207,-74.56833,-94.08044,-0.16470826,-0.049872346,-1.3530397,0.21762876,-2.0415215,0.74451524,-0.16315462,-0.96678,0.7862836,-0.9277535,0.8866626,2.0886421,4.163643,1.1270398,0.047314916,-0.023603188,-0.035613455,-0.018669948,0.016434502,-0.0036025345,0.21580866,-0.8917022,0.96182764,0.18898681,0.990018,0.64936453
8,1.1277574,-0.0,0.10123107,0.66765535,-0.0,-0.28223133,-0.14671642,-0.13549395,0.23570482,0.18831842,-68.816505,-93.58006,38.25383,-19.66472,64.61574,1.2812747,-0.489353,-0.24748036,-0.34040645,0.66798943,0.7692256,0.8566537,0.5834355,-0.45681852,0.81025034,2.2620037,0.14084016,0.44576368,0.24332853,0.115760684,-0.004317187,0.011652784,0.01271292,-0.02624968,0.02582161,-0.33370978,0.61914647,0.6803292,0.1383512,-0.29005072,-1.3680056
9,1.6307168,-0.0,-0.0,1.3665249,0.3824847,-0.281692,-0.06160255,0.16716383,0.24515165,-0.24998568,37.07241,-84.62635,78.296104,88.68574,93.43318,0.60597557,0.3826761,0.21214874,-1.521448,1.3672087,0.061542217,0.5410737,0.8778978,0.8272785,0.9261636,0.7726406,0.00042723937,1.8673904,1.3911055,2.3124893,0.0037008424,0.023850359,-0.011059057,0.01534144,-0.018558599,-0.9987448,0.97920907,-0.9178922,-0.9997339,-0.14732943,-0.09975834
