,(oz1_negative+oz4),((oz2_mmnorm+oz2)*oz1_mmnorm_adde),(oz2_sin_exp+oz1),(oz1_negative+oz4)_negative,oz4_negative_zscore_radian
0,-1.8831131,0.5833299,1.0715793,1.8831131,0.02786973
1,0.892161,-4.218981,-0.25227767,-0.892161,-0.0047067325
2,0.44492579,6.551203,2.9609938,-0.44492579,-0.016087344
3,-0.9867226,6.844663,3.3905902,0.9867226,0.0018321236
4,1.5192448,-0.5472859,0.026204824,-1.5192448,-0.016391147
5,0.7330173,-0.018500494,0.3728831,-0.7330173,-0.007361493
6,2.5977407,-1.9689378,-0.7300997,-2.5977407,-0.024673041
7,-0.9487772,9.940442,4.8810024,0.9487772,-0.02150682
8,0.09264606,-3.9270437,-0.44891515,-0.09264606,0.012752595
9,-1.3847475,1.5445892,1.4661303,1.3847475,0.015631104
10,-1.7671447,8.366169,4.1326766,1.7671447,0.005771735
11,2.550222,-4.7173896,-0.8102014,-2.550222,-0.023960311
12,-2.642654,5.6153846,3.267949,2.642654,0.026543157
13,1.1945125,2.3879113,1.1617916,-1.1945125,-0.01996685
14,0.037027,5.8389153,3.0272713,-0.037027,-0.0141360415
15,2.9445455,-4.368544,-0.9152667,-2.9445455,-0.029024485
16,0.62318754,-3.480867,-0.11824483,-0.62318754,-0.0020735036
17,1.3947209,-3.4769375,-1.3282527,-1.3947209,0.0054313
18,0.7086277,8.605835,3.76618,-0.7086277,-0.030704383
19,1.5343834,-2.109775,-1.2530254,-1.5343834,0.0027570534
20,-0.6043371,5.6471343,3.212277,0.6043371,-0.007769431
21,1.4047537,-3.9682443,-0.9830842,-1.4047537,-0.0008919147
22,-0.17859155,4.593041,2.3973026,0.17859155,-0.0058913752
23,-0.92996216,7.444545,4.08306,0.92996216,-0.010213042
24,0.2540183,0.45927402,0.43945363,-0.2540183,0.0012584403
25,-0.5778763,-2.5057495,0.12579575,0.5778763,0.015416592
26,-2.4269013,6.509975,3.2997663,2.4269013,0.02720747
27,0.037029147,6.4677114,3.642243,-0.037029147,-0.022816686
28,-1.1382103,-3.7563152,-0.10734847,1.1382103,0.028384048
29,-1.4968045,1.7273997,1.8851187,1.4968045,0.010819256
30,-0.59168303,-3.70114,-0.24817443,0.59168303,0.0213021
31,-0.2844355,4.1709814,1.9204684,0.2844355,0.0024615147
32,2.032809,-1.5488735,-0.5918052,-2.032809,-0.016593406
33,-1.7132509,5.972091,2.66682,1.7132509,0.024409791
34,2.0774589,-3.6510997,-0.78931975,-2.0774589,-0.015918246
35,1.2853758,2.519024,0.9956325,-1.2853758,-0.017768748
36,-0.5057887,-2.1511745,-0.70758545,0.5057887,0.028935596
37,-1.1279807,2.2548637,0.65217966,1.1279807,0.02927703
38,0.40685302,-0.62300587,-0.37381834,-0.40685302,0.009815408
39,-2.83058,7.9044695,4.654865,2.83058,0.013574053
40,-1.6352316,-0.59196,0.65219116,1.6352316,0.027743569
41,0.9791702,-0.07072311,-0.22335637,-0.9791702,-0.00139568
42,1.6655769,-4.435734,-0.14690623,-1.6655769,-0.020088041
43,-0.06575346,2.4719713,1.9027336,0.06575346,-0.0111297285
44,0.91242665,-2.17633,-0.9865375,-0.91242665,0.008945329
45,0.812305,-3.46332,-0.7214316,-0.812305,0.0050875223
46,-0.41342092,3.3106608,1.7212974,0.41342092,0.0029667104
47,0.7667957,7.584706,3.591498,-0.7667957,-0.030037245
48,1.123747,-3.2484832,-1.2706318,-1.123747,0.00927298
49,-0.12324369,8.237582,4.165886,0.12324369,-0.023757674
50,-0.63489354,6.8832664,3.6719842,0.63489354,-0.0096460935
51,-0.7714695,-1.0677588,-0.23404747,0.7714695,0.027047638
52,1.3998115,0.78124905,0.23550344,-1.3998115,-0.014060848
53,-0.90026903,5.4844694,2.7173955,0.90026903,0.0062312647
54,-2.1216388,1.146877,1.5893648,2.1216388,0.024785208
