,oz13_mmnorm,oz2_mmnorm,oz42_mmnorm,oz1_mmnorm,oz11_mmnorm,oz35_mmnorm,oz1_negative,oz49_negative,oz22_negative,oz50_negative,oz37_negative,oz4_negative,oz6_adde,oz36_adde,oz23_adde,oz19_adde,oz2_adde,oz31_adde,oz47_sin,oz49_sin,oz42_sin,oz46_sin,oz25_sin,oz2_sin,(oz2-oz28),(oz27-oz34),(oz12-oz30),(oz9-oz13),(oz17-oz44),(oz47-oz48),(oz28-oz37),(oz29-oz38),(oz7-oz23),(oz9-oz24),(oz2-oz25),(oz1-oz10),(oz23-oz34),(oz21-oz38),(oz23-oz32),(oz5-oz36),oz10_abs,oz34_abs,oz6_abs,oz5_abs,oz2_abs,oz1_abs,oz3_abs,(oz40+oz46),(oz20+oz41),(oz16+oz36),(oz1+oz37),(oz24+oz45),(oz5+oz21),(oz13+oz28),(oz2+oz42),(oz13+oz33),(oz30+oz32),(oz4+oz40),(oz20+oz39),(oz4+oz14),(oz24+oz32),(oz39+oz42),(oz9+oz18),(oz2+oz10),(oz31+oz50),oz5_square,oz2_square,oz36_square,oz7_square,oz42_square,oz35_square,oz51
0,0.91712373,0.42459178,0.7306105,0.55214864,0.7732077,0.8463912,-0.28789297,1.2928622,-1.6802789,0.0014054192,0.361484,1.5952202,2.1046112,2.9735897,3.156017,1.9172924,2.472055,1.3120239,-0.056205902,-0.9616243,0.7675999,0.55186206,-0.84567446,-0.24374641,-0.3058813,-0.75873005,0.8262422,-1.2398348,1.0700344,-0.66987115,0.42113838,-1.154861,0.74871314,-0.12381098,0.76160073,0.3545089,0.7700019,1.2160923,-0.53876674,-0.99493545,0.06661595,0.33226657,0.61367065,0.7396275,0.2462269,0.28789297,1.3952402,0.8796789,0.24027109,1.716932,-0.07359102,-0.5465462,0.044401288,1.5117174,0.628861,2.821326,0.07854563,-1.3001368,3.049134,-0.1869402,1.3125415,2.3825946,0.6356596,-0.31284285,-1.4076633,0.5470488,0.06062769,0.065182164,1.4076599,0.76577884,1.3785475,0.4677939
1,0.53235227,0.07102498,0.42117348,0.33657983,0.093607634,0.77099776,0.6227549,1.7636119,0.51815695,0.5575966,-1.4497888,-0.2694061,1.259272,2.9456615,3.6642807,3.8834195,1.2661856,3.7031932,0.58571947,-0.9814686,-0.20161045,0.36117843,0.43199652,-0.9929634,-1.9739977,2.57487,-1.9013126,-1.5238343,-1.9062359,0.47833097,-0.9278872,2.3900657,-2.0983691,-1.1147366,-1.8988014,0.38795608,2.414254,3.0669475,0.44906604,0.054239377,1.010711,1.468255,1.4590098,0.28161913,1.4520961,0.6227549,1.3867288,0.65607285,0.5225472,1.0554539,0.82703394,1.5052843,1.7167053,0.65111053,-1.655098,-0.36914116,1.1663593,0.55594766,1.369709,1.6645833,0.21704412,0.5069547,-2.372023,-2.4628072,0.42731482,0.07930934,2.1085832,0.051701553,1.3279568,0.041209754,0.83242154,0.36647832
2,0.08821155,0.8322261,0.8556302,0.5966511,0.9715469,0.53245753,-0.4758889,-0.7212112,0.6309419,-0.40867317,0.006286626,-0.9208147,2.163151,3.837882,1.8858905,3.3662128,3.8623257,2.7581127,-0.503227,0.6602948,0.9663552,-0.20938301,-0.9831551,0.91031486,-0.5374018,-0.46834987,-0.7133928,0.8412314,-0.4097299,-1.2680674,1.6877325,1.9015656,-0.6428502,-0.35218108,2.5310338,-0.87177724,-1.1268823,1.2929629,-1.7037375,-1.845283,1.3476661,0.2944911,0.55513066,0.7256827,1.144044,0.4758889,1.0676069,-0.99478894,-1.0920337,-0.03906727,0.4696023,-0.7305603,-0.27696213,0.2836877,2.4547052,-0.38787794,-0.0689947,0.13696969,0.47347778,1.7963998,0.6670006,2.3289895,0.7820975,2.4917102,0.44850415,0.5266153,1.3088368,1.2535049,2.1763372,1.7178324,0.0070944,-1.233014
3,0.6386059,0.8391083,0.9456349,0.6927514,0.6329352,0.73118436,-0.88185465,-0.7756955,0.8404414,-1.3497742,-0.51422817,0.10486793,3.1155128,3.0795891,3.5340414,1.9482722,3.885798,4.1021605,0.051261302,0.7002128,0.9985722,-0.58690137,0.46254954,0.91977876,0.5313646,1.1006134,1.031532,-1.8663127,2.9826274,-1.3917198,0.121923566,0.9838589,0.3869815,-1.8868303,0.68664765,1.9864734,1.1356032,0.49171346,-0.14230686,-1.0716572,1.1046188,0.31984365,0.39723122,0.7103498,1.1675164,0.88185465,0.062059306,-2.2909374,-1.1753621,0.99122196,1.3960829,1.2103984,-0.43154293,1.1306634,2.791757,1.4175993,0.24630105,-1.7685789,1.8016322,-0.33881116,1.4730958,3.0719213,-0.6502961,0.06289756,2.733653,0.5045968,1.3630944,0.13054298,1.446586,2.6381576,0.59930944,-1.6637785
4,0.48114046,0.3436637,0.84549016,0.34645438,0.2870112,0.4828995,0.58104086,-1.6667558,-0.8409455,-0.837169,-0.95858085,-0.93820393,1.6703856,1.6176441,3.6038566,1.8970764,2.1960428,2.4510345,-0.59375346,0.9953994,0.9566673,0.9999956,0.0915853,-0.49882185,1.1563106,-0.37419787,2.629209,-0.9527571,-0.13004053,-2.2273517,-2.6371303,0.1539272,-1.5892454,-0.47062814,-0.61395276,-1.1648964,0.53746665,0.9981255,1.538597,2.7250004,0.5838555,0.34810826,1.0478961,1.6243627,0.5222389,0.58104086,0.16373506,0.33238232,0.77268946,-1.3394196,0.37754,0.42406112,1.6383474,-1.725408,0.7530939,-0.53936833,-2.2674475,-0.30317807,-0.07291788,1.7010179,-1.1820096,1.5721833,-1.3242112,0.0616166,0.5699217,2.638554,0.27273348,1.2114033,0.49515218,1.6264738,0.007712892,1.5745184
5,0.5384788,0.38281083,0.7279284,0.41022304,0.037882563,0.76945066,0.31165686,-0.1064241,1.0710958,-0.3020245,0.47056487,-0.4213605,3.365052,2.216981,1.9054334,3.2607985,2.3295574,1.232768,-0.63724864,0.10622332,0.7615772,0.74699706,0.74848735,-0.37900826,-0.4540129,-0.7289328,-0.52486247,0.83838904,-1.1268427,-1.1120421,0.5358534,0.9862311,-0.75856143,-0.5935454,-1.2345024,-2.0479558,-2.467367,0.76167953,-0.5614996,-0.34308344,1.7362988,1.6545186,0.64677024,0.8443842,0.38872436,0.31165686,0.077933304,0.9810696,-0.24696946,-1.1341031,-0.78222173,1.4937288,0.53289735,0.21556075,0.47701898,1.5210294,-0.8047112,0.5588964,0.4283887,0.2173968,1.3308579,2.4094791,0.07812333,1.3475745,-1.1834892,0.7129847,0.15110663,0.25130245,2.4693284,0.74951154,0.82264954,1.0193077
6,0.17831868,0.23135708,0.87882054,0.20336813,0.14580078,0.8528792,1.1854938,0.72126406,0.2090288,-1.0714779,0.7018418,-1.4122467,3.066609,2.348116,1.6418881,2.6542928,1.8130116,2.1192782,0.05030256,-0.66033447,0.98396176,0.39921737,-0.7932249,-0.78659195,-1.3629587,-1.1947573,-0.9510307,1.5043162,0.50770646,-0.76761585,1.1595304,-0.2932939,0.63742024,0.017153144,0.0108168125,-1.7630873,-1.5107812,-0.081108525,-0.8288677,-0.14719677,0.5775935,0.43438753,0.34832725,0.5173626,0.90527004,1.1854938,1.1308306,-1.0472388,-2.8239367,-1.4747368,-1.8873355,-1.0298256,-0.35001814,-0.63027894,0.48618704,-0.5271797,-0.14085388,-0.04565525,-0.21396673,3.0773365,0.15166967,2.7181144,-0.017879903,-0.32767653,0.47247434,0.26766405,0.81951386,0.13702273,0.19269761,1.9361528,1.431948,0.99101305
7,0.90356266,0.9902838,0.06264093,1.0,0.43839124,0.08117138,-2.1797943,-1.0831482,1.4240015,1.027617,1.603926,-1.2310171,2.0818691,1.7050133,4.134595,4.331643,4.401395,1.3669755,0.7558178,0.8834373,-0.99296886,-0.33247513,0.81609553,0.99369913,0.547794,3.5091605,-0.54693234,0.0643301,0.78676254,0.5609748,2.739245,-1.9628763,-1.7575005,1.8856277,0.72849053,3.380557,3.145742,0.18977141,1.1435453,-0.40951908,1.2007629,1.7294286,0.6364125,1.4227875,1.6831129,2.1797943,1.5149451,-1.6025248,-1.1321595,-1.4445088,0.57586837,-1.9064231,-0.24346709,2.5407586,0.23097062,2.163546,1.5741072,-0.032580853,1.0862067,1.7567775,-0.1430901,-0.19022834,-0.0024758577,0.48235,-2.3789232,2.0243244,2.8328688,1.026713,0.11640883,2.108717,2.197829,0.70007247
8,0.86619824,0.088107996,0.7719053,0.289276,0.82805496,0.1903763,0.8225849,0.2014756,1.2056535,-0.5436711,0.85682636,0.72993886,1.6234858,3.5753994,2.7427936,1.3716558,1.3244487,3.439267,-0.9455646,-0.20011531,0.85156345,0.86325055,-0.6233392,-0.9843828,-2.313059,-3.0351887,2.3391113,0.2665193,1.5063145,-1.1143122,1.7760525,-0.48668855,0.13780585,0.9962971,-0.7208273,-1.4471499,-1.247837,1.3814797,-0.99532,-1.0005579,0.62456495,1.2723489,1.094796,0.14344023,1.393833,0.8225849,1.0359921,1.501068,0.571611,0.859269,-1.6794113,-0.59717405,0.5978625,2.196206,-0.37487268,2.7939548,-0.38969243,-0.2705451,0.49327812,-0.25966915,1.567034,0.9182229,1.1686906,-0.7692681,1.2646563,0.0205751,1.9427706,0.7346507,0.026347052,1.0382802,1.2174466,0.032682303
9,0.34611323,0.48968825,0.026496386,0.60000265,0.71699387,0.025429115,-0.4900473,0.86899143,-0.8356238,-0.39421612,-1.021453,0.8947002,2.673738,1.1567814,1.1924808,2.155396,2.6940718,2.243685,0.90660036,-0.7636782,-0.99997354,-0.40246877,-0.3516642,-0.02420767,1.4032345,2.4833894,-0.053364635,0.6526957,0.48112798,-0.16658843,-2.4488976,-1.1501307,0.3467971,-0.30200458,0.3351382,0.0861564,0.20038474,-0.4020406,-1.3416255,3.0346603,0.4038909,1.7261857,0.044543806,1.47316,0.024210036,0.4900473,1.4464617,-0.6766785,0.048603505,-2.3123348,1.5115004,-0.18320662,2.8091903,-1.9385302,-1.6022811,1.0284457,-1.599486,-1.1571666,0.42264086,-0.08338779,0.2594392,-0.7652415,0.3316591,0.37968087,-0.08038059,2.1702006,0.0005861258,2.4382832,1.39005,2.4903085,2.8090727,0.4564308
