,oz42_sin_exp,oz2_sin_exp,oz2_adde_ln,oz10_abs_ln,oz6_adde_ln,oz3_abs_ln,oz1_mmnorm_relu,oz47_sin_relu,oz36_adde_relu,oz3_abs_relu,oz2_adde_relu,(oz2+oz10)_relu,(oz23-oz32)_relu,(oz2-oz28)_relu,(oz27-oz34)_mmnorm,oz6_adde_mmnorm,oz2_mmnorm_mmnorm,(oz5+oz21)_mmnorm,oz42_sin_mmnorm,oz2_adde_mmnorm,(oz2-oz25)_mmnorm,oz1_negative_mmnorm,((oz2+oz10)+(oz31+oz50)),(oz6_adde+oz4),((oz40+oz46)+oz37),(oz34_abs+oz14),((oz24+oz32)+oz1),(oz19_adde+(oz23-oz32)),((oz28-oz37)+oz23),(oz49_negative+oz50_negative),(oz2_mmnorm+oz29),(oz23_adde+oz5),((oz27-oz34)+oz37),(oz1_abs+oz15),((oz20+oz41)+oz17),(oz1_negative+(oz39+oz42)),(oz31_adde+oz19),(oz1_negative+oz4),((oz47-oz48)+oz7_square),(oz13_mmnorm+oz17),(oz2_abs+oz2),(oz46_sin+(oz24+oz45)),((oz16+oz36)+oz16),(oz47_sin+oz47),(oz4_negative+(oz4+oz14)),(oz11_mmnorm+oz47_sin),(oz34_abs+oz39),(oz6_abs+(oz4+oz14)),((oz1+oz37)+oz48),((oz20+oz41)+(oz4+oz40)),(oz1_mmnorm+oz41),((oz9-oz13)+oz26),(oz3_abs+oz22),(oz2_sin+oz23),(oz2_mmnorm+oz2),(oz23_adde+oz49),((oz40+oz46)+oz41),(oz1_negative+(oz1-oz10)),(oz47_sin+oz41),(oz36_adde+oz24),(oz2_square+oz17),oz2_mmnorm_zscore,oz4_negative_zscore,(oz31+oz50)_zscore,oz42_sin_zscore,(oz2+oz10)_zscore,(oz13+oz33)_zscore,(oz39+oz42)_zscore,oz19_adde_zscore,(oz20+oz41)_adde,oz6_adde_adde,oz50_negative_adde,oz1_abs_adde,oz1_mmnorm_adde,oz49_sin_adde,oz2_abs_adde,oz42_sin_adde,oz2_adde_tanh,(oz39+oz42)_tanh,oz31_adde_tanh,(oz30+oz32)_tanh,oz6_abs_tanh,oz2_abs_tanh,oz3_abs_tanh,oz25_sin_tanh,oz51
0,2.1545887,0.78368634,0.9050498,-2.7088113,0.74413073,0.33306658,0.55214864,-0.0,2.9735897,1.3952402,2.472055,-0.0,-0.0,-0.0,0.37784117,0.31339255,0.42459178,0.5261754,0.88380164,0.42459184,0.6263538,0.4478514,-1.7205062,0.50939095,0.5181949,1.7405466,1.6004344,1.3785256,0.8588737,1.2942677,-1.1623328,2.4163895,-1.120214,0.40376776,0.9219714,2.0947015,0.5110344,-1.8831131,0.73778874,1.598824,0.0,0.0053158402,3.178556,-0.112441435,1.40828,0.7170018,1.8397733,0.42673045,0.54004455,-1.0598657,-0.74920756,-2.7614179,3.075519,0.19398893,0.17836487,1.8631549,-0.4216773,0.06661594,-1.3575621,3.309629,0.742328,-0.24647355,1.5968179,-0.9871968,1.0594482,-0.22407845,1.9504027,1.7230629,-0.80179155,2.9585528,4.822893,2.7196872,3.0061748,3.2704303,1.7566574,2.9645085,3.4858816,0.98585033,0.9831014,0.8647866,0.0783845,0.5467058,0.24136864,0.8843185,-0.6888029,0.4677939
1,0.8174133,0.3704772,0.23600894,0.010653999,0.23053376,0.32694757,0.33657983,0.58571947,2.9456615,1.3867288,1.2661856,-0.0,0.44906604,-0.0,0.86380225,0.05498034,0.07102498,0.7882965,0.3991953,0.07102498,0.21377134,0.66342014,-2.0354924,1.528678,2.1058617,2.8634324,-0.40571076,4.3324857,0.018111765,2.3212085,0.8292295,3.9458997,4.024659,-0.17382461,-1.108077,1.1297096,4.868331,0.892161,1.8062878,-1.0982721,0.0,1.8664627,1.883528,1.2114869,1.3951772,0.67932713,2.1782117,3.123593,0.97447044,1.0784948,0.1993746,-2.2397242,0.8685718,-0.046964407,-1.3810711,1.9006687,0.5188676,1.010711,0.44851422,2.6657727,0.47795892,-1.4535503,-0.2696759,0.29967663,-0.25850162,-1.7640231,-0.2551899,0.36662337,1.1663046,3.240829,3.9775538,3.2758784,3.3410366,3.0548615,1.7368131,4.1703777,2.5166712,0.8527605,0.46756908,0.99878603,0.8231015,0.8974601,0.8961066,0.8824491,0.40698847,0.36647832
2,2.6283472,2.4851048,1.3512695,0.29837433,0.771566,0.06541963,0.5966511,-0.0,3.837882,1.0676069,3.8623257,2.4917102,-0.0,-0.0,0.42017183,0.33128765,0.8322261,0.47580403,0.98317957,0.8322261,0.90076226,0.40334892,2.9402144,3.0839658,-1.0010756,1.1700764,1.1428895,1.6624753,0.85534126,-1.1298844,1.8895493,1.1602077,-0.4746365,1.6781678,-2.1891174,1.8531005,3.4060438,0.44492579,0.9082699,-1.0088723,2.288088,-0.9399433,-1.1977348,-1.030556,0.87558514,0.4683199,1.3128197,2.3515306,1.2103407,-0.95506406,0.0494681,-0.3900476,0.436665,0.077923656,1.9762702,2.6071017,-1.5419719,-1.3476661,-1.05041,3.6335363,0.21175301,1.1451898,-0.9217369,0.31453675,1.3297194,1.7847253,-0.26814276,1.6842963,0.64858,1.626248,4.8814325,2.3096085,3.1941707,3.3149328,3.3785765,3.8623257,3.684637,0.9991168,0.981207,0.9919902,-0.06888543,0.50435567,0.81577134,0.7885579,-0.75442845,-1.233014
3,2.7144034,2.5087354,1.3573284,0.09950028,1.1363938,-2.7796648,0.6927514,0.051261302,3.0795891,0.062059306,3.885798,0.06289756,-0.0,0.5313646,0.64889,0.62241566,0.8391083,0.45157465,0.9992881,0.8391083,0.6147298,0.30724862,2.7965508,3.010645,-1.7767093,0.085900426,2.3549504,1.8059654,0.9376831,-2.1254697,1.6100606,2.8236916,1.6148415,1.105644,0.25818038,2.1900668,3.332151,-0.9867226,0.054866195,2.0721483,2.3350327,0.62349707,1.6211367,0.10254508,-0.23394322,0.68419653,1.7675245,0.058420062,2.8390865,-2.943941,-0.83656204,-2.442879,-0.7783821,1.7355382,2.0066247,4.3097367,-3.820251,1.1046188,-1.4780521,3.5946186,2.796637,1.1686856,0.10497295,1.9171157,1.3735286,0.045051336,0.9799965,2.2215755,-0.7707807,1.5429196,5.8337946,1.3685075,3.6001363,3.4110332,3.4184945,3.885798,3.7168539,0.99915725,0.99571586,0.9994532,0.24143846,0.3775774,0.82347435,0.06197976,0.43215987,-1.6637785
4,2.603007,0.6072457,0.786657,-0.53810173,0.5130545,-1.8095057,0.34645438,-0.0,1.6176441,0.16373506,2.1960428,0.0616166,1.538597,1.1563106,0.433897,0.1806539,0.3436637,0.77601445,0.9783356,0.3436637,0.4130292,0.6535456,0.6315383,2.6085896,1.2909632,1.1109222,-1.7630504,3.4356732,-1.7515553,-2.5039248,-0.4865499,5.228219,0.584383,0.6499011,-0.06394762,2.153224,1.6298292,1.5192448,-1.7321994,-0.35549662,0.0,1.4240568,-1.5782015,-1.2294691,0.7628139,-0.30674225,0.64495873,2.748914,1.9691759,0.4695114,1.4889122,-2.5962348,1.0046805,0.38675308,-0.17857522,5.2706122,1.4748402,-0.5838555,0.5487044,1.0886565,-0.56390357,-0.522762,-0.93914354,0.39968708,1.3165456,0.044133827,-0.37286916,1.1369834,-0.8220278,3.490971,4.388667,1.8811128,3.2993226,3.0647361,3.7136812,3.2405207,3.6749492,0.97555274,0.91737235,0.98524725,-0.9787717,0.7809871,0.47942612,0.16228738,0.09133008,1.5745184
5,2.1416514,0.68454,0.8456783,0.5517557,1.2134434,-2.5519018,0.41022304,-0.0,2.216981,0.077933304,2.3295574,1.3475745,-0.0,-0.0,0.38218492,0.69869745,0.38281083,0.60274345,0.8807903,0.38281083,0.31679267,0.589777,0.16408527,3.7864125,0.5105047,1.4505548,1.019201,2.6992989,-0.27699488,-0.4084486,1.9846439,1.0610492,-1.1994977,-0.0469611,-1.9108665,2.721136,1.7752848,0.7330173,1.3572863,-1.1254182,0.0,2.2407258,-1.7669053,-1.3281715,-0.2039637,-0.59936607,3.1982546,0.86416703,-0.36110255,0.31192696,1.2786007,-0.5477811,-0.9931625,-1.1918565,-0.005913526,2.0118575,1.8494473,-1.7362989,0.23112905,3.7991877,-1.5127904,-0.38911366,-0.4217825,-0.82998306,1.0512586,0.96522075,1.0514984,1.7425054,0.54306,2.4713123,6.083334,2.4162571,3.0299387,3.1285048,2.824505,3.107006,3.4798589,0.9812282,0.983979,0.84338033,-0.66666234,0.5694916,0.37025997,0.0777759,0.6342457,1.0193077
6,2.675033,0.45539415,0.59498936,-0.5488849,1.1205723,0.12295245,0.20336813,0.05030256,2.348116,1.1308306,1.8130116,-0.0,-0.0,-0.0,0.31427857,0.6074662,0.23135708,0.46435305,0.9919829,0.23135707,0.5099202,0.7966319,0.1447978,4.4788556,-1.7490807,2.0994773,-1.0338242,1.8254251,0.0831368,-0.35021383,0.18651617,1.1245255,-1.896599,1.3777695,-2.3011916,3.9036083,2.0552893,2.5977407,-0.57491827,0.70106375,0.0,-0.6306082,-2.5793078,0.100626364,1.6650898,0.19610335,1.761045,3.4256637,-1.0693959,-2.869592,-1.0799444,1.3974935,0.92180187,-1.8629856,-0.67391294,0.9206241,-2.3305514,-0.57759345,-1.23301,2.7473116,1.3422589,-0.9061767,-1.4136611,0.33134708,1.3536612,-0.2347033,-0.3644431,1.9657066,-0.064053014,-0.105654955,5.7848907,1.6468039,3.9037757,2.92165,2.0579472,3.6235518,3.7022436,0.948137,0.99132603,0.9715536,-0.13992971,0.33489123,0.7188543,0.8113034,-0.66023207,0.99101305
7,0.37047517,2.701208,1.4819216,0.18295708,0.7332661,0.41537923,1.0,0.7558178,1.7050133,1.5149451,4.401395,0.48235,1.1435453,0.547794,1.0,0.30644053,0.9902838,0.48105413,0.0035151625,0.99028385,0.621219,0.0,-1.8965732,3.3128862,-3.2064507,2.255189,2.0367043,5.4751883,4.155558,-0.055531263,0.016956508,2.7118073,1.9052346,1.0662954,-1.4384127,-2.3700228,2.9803371,-0.9487772,0.6773836,0.5973094,3.3662257,-2.2388983,-1.8757491,1.6127199,0.5257604,1.194209,2.9913425,2.39319,0.8717957,-1.1647403,0.04354775,-1.2446835,0.090943694,2.4100122,2.6733966,5.217743,-2.5589771,1.2007627,-0.20063448,1.2891552,2.5266156,1.6847986,-1.23225,-1.668343,-1.3346052,0.34549052,1.4956747,-0.13757078,1.6149771,1.5861223,4.800151,3.7458987,4.898076,3.7182817,3.601719,4.401395,1.725313,0.9996994,-0.1879665,0.8780011,0.9176766,0.5624519,0.9332643,0.9078127,0.6729392,0.70007247
8,2.3433077,0.37366977,0.2809963,-0.47069997,0.48457557,0.03535956,0.289276,-0.0,3.5753994,1.0359921,1.3244487,-0.0,-0.0,-0.0,0.04598663,0.16631708,0.088107996,0.61292624,0.9257835,0.088107996,0.39645478,0.710724,0.4953882,0.89354694,0.64424163,1.7426186,0.7444491,0.3763358,1.8005644,-0.34219545,-1.0387577,2.5993533,-3.892015,2.183709,1.7493432,1.7408078,2.0926409,0.09264606,-1.0879651,2.0439305,0.0,0.2660765,0.8614204,-2.1848898,0.4702697,-0.11750966,1.1716114,0.83512676,-1.8044243,0.3010659,0.26687145,-0.81712437,-0.1696614,-0.95987093,-1.3057251,2.541318,1.4786634,-0.62456495,-0.9679692,4.1226015,3.120503,-1.395229,0.7306699,0.88690567,1.1736234,-0.551,1.9314809,0.6640474,-1.3479745,3.2898927,4.3417673,2.1746106,3.5408666,3.0075579,2.5181665,4.112115,3.5698452,0.867886,0.7250557,0.9979428,-0.37109506,0.7986219,0.8840113,0.77630043,-0.5534487,0.032682303
9,0.36788917,0.976083,0.9910537,-0.9066105,0.9834775,0.36912036,0.60000265,0.90660036,1.1567814,1.4464617,2.6940718,0.37968087,-0.0,1.4032345,0.8504665,0.48736927,0.48968825,0.95953536,1.281503e-05,0.48968825,0.5602168,0.39999735,0.29930028,1.7790377,0.34477454,2.537498,0.7494865,0.81377053,-3.9746985,0.4747753,1.0776285,2.6656408,3.5048423,1.278124,-0.94461894,-1.2552888,1.6807992,-1.3847475,1.2234616,-0.64710927,0.0,-0.58567536,-3.0631692,2.041757,0.81131244,1.6235943,2.5390153,-0.038843986,2.8132455,-1.1085631,1.0387949,1.2362034,2.2820854,-1.5500087,0.4654782,0.32348937,-0.23788622,-0.4038909,1.3453926,1.6003962,-0.9926363,-0.02423425,0.89559627,-0.056371048,-1.3441303,0.2719522,0.71097183,-0.55341315,-0.5634495,2.7668853,5.3920197,2.3240657,3.208329,3.3182845,1.9546036,2.7424917,1.7183082,0.9909007,-0.6441539,0.97774994,-0.92159116,0.04451437,0.024205307,0.89499104,-0.3378506,0.4564308
