,capital_run_length_average_relu,word_freq_email_relu,char_freq_%28_relu,char_freq_%21_relu,word_freq_you_relu,word_freq_hp_sin,word_freq_make_sin,char_freq_%28_sin,char_freq_%21_sin,word_freq_your_sin,word_freq_hp_mmnorm,capital_run_length_longest_mmnorm,word_freq_free_mmnorm,char_freq_%28_mmnorm,word_freq_re_mmnorm,capital_run_length_longest_ln,capital_run_length_average_ln,char_freq_%21_tanh,word_freq_you_tanh,word_freq_business_tanh,word_freq_all_tanh,word_freq_our_tanh,char_freq_%21_square,word_freq_free_square,word_freq_our_square,word_freq_re_square,capital_run_length_total_square,capital_run_length_total_recip,word_freq_hp_recip,word_freq_will_recip,word_freq_your_recip,capital_run_length_average_recip,word_freq_hp_degree,word_freq_business_degree,capital_run_length_longest_degree,char_freq_%21_degree,char_freq_%21_negative,word_freq_all_negative,char_freq_%24_negative,word_freq_business_negative,word_freq_our_negative,class
0,3.756,1.29,0.0,0.778,1.93,0.0,0.0,0.0,0.7018562,0.8191916,0.0,0.0060072085,0.016,0.0,0.0,4.1108737,1.3233546,0.65155727,0.9587334,0.0,0.56489956,0.30950692,0.605284,0.1024,0.1024,0.0,77284.0,0.0035971224,0.0,0.64,0.96,0.2662407,0.0,0.0,3495.0425,44.576115,-0.778,-0.64,-0.0,-0.0,-0.32,1
1,5.114,0.28,0.132,0.372,3.47,0.0,0.2084599,0.13161701,0.36347938,0.99981564,0.0,0.010012015,0.007,0.013535685,0.0,4.6151204,1.6319818,0.35573986,0.99806535,0.06988589,0.46211717,0.13909245,0.138384,0.0196,0.0196,0.0,1056784.0,0.00097276265,0.0,0.79,1.59,0.19554165,0.0,4.0107045,5786.8735,21.31403,-0.372,-0.5,-0.18,-0.07,-0.14,1
2,9.821,1.03,0.143,0.276,1.36,0.0,0.059964005,0.14251313,0.27250922,0.48817724,0.0,0.04845815,0.003,0.014663659,0.0028011205,6.184149,2.284523,0.26919895,0.8763931,0.059928104,0.6106768,0.8425793,0.076176,0.0036,1.5129,0.0036,5103081.0,0.00044267374,0.0,0.45,0.51,0.10182262,0.0,3.4377468,27788.453,15.813635,-0.276,-0.71,-0.184,-0.06,-1.23,1
3,3.537,0.0,0.137,0.137,3.18,0.0,0.0,0.13657184,0.13657184,0.30505863,0.0,0.0039046856,0.0155,0.0140484,0.0,3.6888795,1.263279,0.13614927,0.9965472,0.0,0.0,0.55805224,0.018769,0.0961,0.3969,0.0,36481.0,0.005235602,0.0,0.31,0.31,0.28272548,0.0,0.0,2291.8313,7.8495216,-0.137,-0.0,-0.0,-0.0,-0.63,1
4,3.537,0.0,0.135,0.135,3.18,0.0,0.0,0.13459031,0.13459031,0.30505863,0.0,0.0039046856,0.0155,0.013843314,0.0,3.6888795,1.263279,0.1341858,0.9965472,0.0,0.0,0.55805224,0.018225,0.0961,0.3969,0.0,36481.0,0.005235602,0.0,0.31,0.31,0.28272548,0.0,0.0,2291.8313,7.73493,-0.135,-0.0,-0.0,-0.0,-0.63,1
5,3.0,0.0,0.223,0.0,0.0,0.0,0.0,0.22115633,0.0,0.0,0.0,0.001401682,0.0,0.022867104,0.0,2.7080503,1.0986123,0.0,0.0,0.0,0.0,0.951746,0.0,0.0,3.4225,0.0,2916.0,0.018518519,0.0,0.0,0.0,0.33333334,0.0,0.0,859.4367,0.0,-0.0,-0.0,-0.0,-0.0,-1.85,1
6,1.671,0.32,0.054,0.164,3.85,0.0,0.0,0.05397376,0.16326582,0.59719545,0.0,0.00030036044,0.048,0.0055373255,0.0,1.3862944,0.51342225,0.16254534,0.9990948,0.0,0.0,0.95791733,0.026896,0.9216,3.6864,0.0,12544.0,0.008928572,0.0,1.28,0.64,0.59844404,0.0,0.0,229.18312,9.396508,-0.164,-0.0,-0.054,-0.0,-1.92,1
7,2.45,0.0,0.206,0.0,0.0,0.0,0.0,0.20454612,0.0,0.0,0.0,0.0010012015,0.0,0.021123871,0.0,2.3978953,0.896088,0.0,0.0,0.0,0.0,0.9544921,0.0,0.0,3.5344,0.0,2401.0,0.020408163,0.0,0.0,0.0,0.40816328,0.0,0.0,630.2536,0.0,-0.0,-0.0,-0.0,-0.0,-1.88,1
8,9.744,0.15,0.271,0.181,1.23,0.0,0.14943813,0.26769507,0.18001333,0.9092974,0.0,0.044453345,0.0,0.027789172,0.0,6.0980744,2.2766516,0.17904899,0.8425793,0.0,0.4300842,0.5441271,0.032761,0.0,0.3721,0.0,1580049.0,0.00079554494,0.0,0.92,2.0,0.102627255,0.0,0.0,25496.621,10.370536,-0.181,-0.46,-0.203,-0.0,-0.61,1
9,1.729,0.12,0.03,0.244,1.67,0.0,0.059964005,0.029995501,0.24158606,0.6518338,0.0,0.004205046,0.0,0.003076292,0.0,3.7612002,0.5475432,0.23927034,0.9315517,0.0,0.64692944,0.18774621,0.059536,0.0,0.0361,0.0,561001.0,0.0013351135,0.0,0.64,0.71,0.578369,0.0,0.0,2463.7185,13.98017,-0.244,-0.77,-0.081,-0.0,-0.19,1
10,1.312,0.96,0.0,0.462,3.84,0.0,0.0,0.0,0.44573933,0.8191916,0.0,0.0005006007,0.0,0.0,0.0,1.7917595,0.27155268,0.43171287,0.9990765,0.0,0.0,0.0,0.213444,0.0,0.0,0.0,441.0,0.04761905,0.0,0.0,0.96,0.7621951,0.0,0.0,343.7747,26.47065,-0.462,-0.0,-0.0,-0.0,-0.0,1
11,1.243,0.0,0.044,0.663,1.16,0.0,0.0,0.043985803,0.61548406,0.6961352,0.0,0.0010012015,0.0,0.004511895,0.0,2.3978953,0.2175278,0.5803564,0.82103986,0.0,0.24491866,0.36270747,0.439569,0.0,0.1444,0.0,33856.0,0.0054347827,0.0,0.12,0.77,0.8045052,0.0,0.0,630.2536,37.987103,-0.663,-0.25,-0.0,-0.0,-0.38,1
12,3.728,1.39,0.056,0.786,2.09,0.0,0.0,0.055970736,0.7075322,0.8624042,0.0,0.0060072085,0.017,0.0057424116,0.0,4.1108737,1.315872,0.65613705,0.969864,0.0,0.3274774,0.3274774,0.617796,0.1156,0.1156,0.0,68121.0,0.0038314175,0.0,0.69,1.04,0.26824033,0.0,0.0,3495.0425,45.03448,-0.786,-0.34,-0.0,-0.0,-0.34,1
13,2.083,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.7833269,0.0,0.0006007209,0.0,0.0,0.0,1.9459101,0.7338092,0.0,0.9913585,0.0,0.0,0.71629786,0.0,0.0,0.81,0.0,625.0,0.04,0.0,0.0,0.9,0.48007682,0.0,0.0,401.07047,0.0,-0.0,-0.0,-0.0,-0.0,-0.9,1
