,char_freq_%21_sin_abs,word_freq_your_sin_abs,char_freq_%21_negative_abs,char_freq_%24_negative_exp,char_freq_%21_negative_exp,word_freq_make_sin_exp,(char_freq_%28_relu+word_freq_address),(char_freq_%28_relu+char_freq_%28_sin),(word_freq_you_tanh+capital_run_length_longest),(char_freq_%28_mmnorm+word_freq_business_tanh),(word_freq_all_negative+word_freq_edu),(word_freq_your_sin+word_freq_business),(char_freq_%21_degree+word_freq_report),(word_freq_re_mmnorm+word_freq_labs),(word_freq_hp_mmnorm+capital_run_length_total_recip),(capital_run_length_total_recip+word_freq_lab),(word_freq_your_sin+capital_run_length_average_ln),(char_freq_%21_relu+char_freq_%24_negative),(word_freq_free_square+word_freq_labs),(word_freq_re_mmnorm+word_freq_857),(word_freq_hp_degree+char_freq_%24),(word_freq_free_mmnorm+word_freq_857),(capital_run_length_average_relu+word_freq_email),(capital_run_length_longest_ln+capital_run_length_average),(word_freq_email_relu+word_freq_3d),(capital_run_length_longest_degree+word_freq_order),(char_freq_%21_square+word_freq_remove),(word_freq_free_square+word_freq_re),(char_freq_%28_sin+word_freq_all_negative),(capital_run_length_total_square+char_freq_%21_degree),(char_freq_%28_relu+word_freq_receive),(word_freq_all_negative+word_freq_your),(char_freq_%21_relu+capital_run_length_longest),(word_freq_our_tanh+word_freq_receive),(word_freq_re_square+word_freq_parts),(capital_run_length_longest_ln+word_freq_hp),(word_freq_free_mmnorm+capital_run_length_average_recip),(word_freq_your_sin+word_freq_george),(capital_run_length_average_recip+word_freq_email),(word_freq_will_recip+word_freq_all),(word_freq_hp_sin+char_freq_%24_negative),(word_freq_make_sin+word_freq_will),(word_freq_all_tanh+word_freq_our_negative),(word_freq_you_tanh+capital_run_length_total_square),(word_freq_our_negative+word_freq_1999),(word_freq_make_sin-word_freq_1999),(word_freq_your_recip-word_freq_original),(word_freq_make_sin-word_freq_labs),(word_freq_all_tanh-word_freq_pm),(capital_run_length_longest_mmnorm-word_freq_people),(word_freq_business_negative-char_freq_%21),(char_freq_%28_mmnorm-capital_run_length_longest),(word_freq_free_square-word_freq_money),(word_freq_business_tanh-word_freq_3d),(word_freq_free_square-word_freq_remove),(word_freq_make_sin-word_freq_telnet),(word_freq_re_mmnorm-char_freq_%23),(word_freq_re_mmnorm-char_freq_%5B),(word_freq_business_tanh-word_freq_telnet),(capital_run_length_average_recip-word_freq_remove),(char_freq_%24_negative-word_freq_conference),(word_freq_business_tanh-word_freq_business_degree),(word_freq_all_tanh-capital_run_length_total_recip),(char_freq_%28_sin-word_freq_business_tanh),(word_freq_hp_sin-word_freq_data),(word_freq_hp_sin-char_freq_%23),(word_freq_our_tanh-word_freq_our_square),(word_freq_re_mmnorm-word_freq_our),(char_freq_%21_degree-word_freq_will),(word_freq_hp_mmnorm-word_freq_meeting),(word_freq_you_relu-word_freq_table),(capital_run_length_longest_degree-word_freq_3d),(capital_run_length_average_relu-char_freq_%21_degree),(word_freq_your_recip-word_freq_business_degree),(char_freq_%28_mmnorm-capital_run_length_average_recip),(word_freq_you_relu-word_freq_people),(char_freq_%21_square-word_freq_85),(word_freq_free_mmnorm-capital_run_length_longest_ln),(word_freq_you_tanh-word_freq_lab),(capital_run_length_total_recip-word_freq_labs),(word_freq_all_tanh-word_freq_mail),(word_freq_email_relu-word_freq_addresses),(char_freq_%21_negative-word_freq_money),(word_freq_our_tanh-char_freq_%21_square),(capital_run_length_longest_ln*word_freq_business),(capital_run_length_longest_mmnorm*capital_run_length_average_ln),(word_freq_hp_sin*word_freq_hp_degree),(word_freq_our_negative*word_freq_will),(capital_run_length_longest_ln*word_freq_will_recip),(char_freq_%28_relu*capital_run_length_total_recip),(capital_run_length_average_ln*word_freq_free),(capital_run_length_average_relu*word_freq_make_sin),(char_freq_%21_square*word_freq_free),(word_freq_make_sin*word_freq_make),(char_freq_%21_degree*char_freq_%24_negative),(char_freq_%21_tanh*word_freq_our_negative),(char_freq_%21_negative*char_freq_%28),(char_freq_%21_square*capital_run_length_average),(capital_run_length_average_relu*word_freq_you_tanh),(capital_run_length_longest_mmnorm*word_freq_re_square),(char_freq_%28_relu*capital_run_length_longest),(capital_run_length_average_relu*char_freq_%28_mmnorm),char_freq_%24_negative_adde,word_freq_hp_mmnorm_adde,word_freq_our_square_adde,word_freq_all_tanh_adde,char_freq_%21_square_adde,capital_run_length_average_relu_adde,word_freq_will_recip_adde,word_freq_free_square_radian,capital_run_length_average_recip_radian,word_freq_all_tanh_radian,word_freq_your_sin_radian,word_freq_hp_sin_radian,word_freq_our_negative_radian,char_freq_%21_negative_radian,word_freq_your_sin_negative,char_freq_%21_relu_negative,capital_run_length_average_relu_negative,char_freq_%21_degree_negative,word_freq_business_tanh_negative,capital_run_length_total_recip_negative,word_freq_hp_recip_negative,class
0,0.7018562,0.8191916,0.778,1.0,0.45932373,1.0,0.64,0.0,61.958733,0.0,-0.64,0.8191916,44.576115,0.0,0.0035971224,0.0035971224,2.1425462,0.778,0.1024,0.0,0.0,0.016,5.046,7.8668737,1.29,3495.0425,0.605284,0.1024,-0.64,77328.58,0.0,0.32000002,61.778,0.30950692,0.0,4.1108737,0.2822407,0.8191916,1.5562407,1.28,0.0,0.64,0.24489957,77284.96,-0.32,0.0,0.96,0.0,0.56489956,0.0060072085,-0.778,-61.0,0.1024,0.0,0.1024,0.0,0.0,0.0,0.0,0.2662407,-0.0,0.0,0.5613024,0.0,0.0,0.0,0.20710692,-0.32,43.936115,0.0,1.93,3495.0425,-40.820114,0.96,-0.2662407,1.93,0.605284,-4.094874,0.9587334,0.0035971224,0.56489956,1.29,-0.778,-0.29577705,0.0,0.007949667,0.0,-0.2048,2.630959,0.0,0.42347348,0.0,0.19369087,0.0,-0.0,-0.20849831,-0.0,2.2734466,3.6010027,0.0,0.0,0.0,2.7182817,2.7182817,2.8206818,3.2831812,3.3235657,6.474282,3.3582816,0.0017872171,0.0046467767,0.009859357,0.01429759,0.0,-0.0055850535,-0.013578662,-0.8191916,-0.778,-3.756,-44.576115,-0.0,-0.0035971224,-0.0,1
1,0.36347938,0.99981564,0.372,0.8352702,0.6893543,1.2317796,0.412,0.263617,101.99806,0.08342157,-0.5,1.0698156,21.524029,0.0,0.00097276265,0.00097276265,2.6317976,0.192,0.0196,0.0,0.18,0.007,5.394,9.72912,0.28,5786.8735,0.348384,0.0196,-0.368383,1056805.4,0.342,1.09,101.372,0.34909245,0.0,4.6151204,0.20254165,0.99981564,0.47554165,1.29,-0.18,0.9984599,0.32211715,1056785.0,-0.07,0.1384599,1.59,0.2084599,0.46211717,-0.639988,-0.442,-100.986465,-0.4104,0.06988589,-0.1904,0.2084599,-0.048,0.0,0.06988589,-0.01445835,-0.18,-3.9408185,0.46114442,0.061731122,0.0,-0.048,0.11949244,-0.14,20.524029,0.0,3.47,5786.8735,-16.20003,-2.4207044,-0.18200597,2.82,0.138384,-4.6081204,0.99806535,0.00097276265,-0.47788283,0.14,-0.802,0.0007084459,0.32305843,0.016339427,0.0,-0.1106,3.6459453,0.00012840467,0.22847746,1.0660639,0.01937376,0.04377658,-3.8365254,-0.04980358,-0.049104,0.7076958,5.104106,0.0,13.332,0.06922149,2.5382817,2.7182817,2.7378817,3.180399,2.8566658,7.8322816,3.5082817,0.00034208453,0.0034128455,0.008065466,0.017450076,0.0,-0.002443461,-0.006492625,-0.99981564,-0.372,-5.114,-21.31403,-0.06988589,-0.00097276265,-0.0,1
2,0.27250922,0.48817724,0.276,0.83193576,0.75881296,1.0617982,0.143,0.28551313,485.8764,0.07459176,-0.65,0.54817724,15.813635,0.0028011205,0.00044267374,0.00044267374,2.7727003,0.09199999,0.0036,0.0028011205,0.184,0.003,10.851,16.005148,1.03,27789.094,0.26617602,0.063599996,-0.5674869,5103097.0,0.523,-0.19999997,485.276,1.2225794,0.0036,6.184149,0.10482262,0.48817724,1.1318226,1.16,-0.184,0.509964,-0.6193232,5103082.0,-1.23,0.059964005,0.39,0.059964005,0.6106768,-0.071541846,-0.336,-484.98535,-0.0564,0.059928104,-0.1864,0.059964005,-0.0071988795,0.0028011205,0.059928104,-0.088177375,-0.184,-3.3778186,0.61023414,0.08258502,0.0,-0.01,-0.6703207,-1.2271988,15.363635,0.0,1.36,27788.453,-5.992635,-2.9277468,-0.08715896,1.24,0.076176,-6.181149,0.8763931,0.00044267374,0.36067683,-0.72,-0.336,0.7664033,0.37104893,0.11070376,0.0,-0.5535,2.782867,6.3302345e-05,0.13707139,0.5889065,0.00457056,0.0035978402,-2.9097087,-0.3311147,-0.039467998,0.74812454,8.607057,0.00017444935,69.355,0.1440118,2.5342817,2.7182817,4.2311816,3.3289585,2.7944577,12.539282,3.1682818,6.283185e-05,0.00177714,0.010658321,0.0085203005,0.0,-0.02146755,-0.0048171086,-0.48817724,-0.276,-9.821,-15.813635,-0.059928104,-0.00044267374,-0.0,1
3,0.13657184,0.30505863,0.137,1.0,0.87197024,1.0,0.137,0.27357185,40.996548,0.0140484,0.0,0.30505863,7.8495216,0.0,0.005235602,0.005235602,1.5683376,0.137,0.0961,0.0,0.0,0.0155,3.537,7.2258797,0.0,2292.1414,0.328769,0.0961,0.13657184,36488.848,0.447,0.31,40.137,0.86805224,0.0,3.6888795,0.2982255,0.30505863,0.28272548,0.31,0.0,0.31,-0.63,36481.996,-0.63,0.0,0.31,0.0,0.0,-0.3060953,-0.137,-39.98595,0.0961,0.0,-0.2139,0.0,0.0,0.0,0.0,-0.027274517,-0.0,0.0,-0.005235602,0.13657184,0.0,0.0,0.16115224,-0.63,7.5395217,0.0,3.18,2291.8313,-4.312522,0.31,-0.2686771,2.8700001,0.018769,-3.6733794,0.9965472,0.005235602,-0.63,0.0,-0.137,0.5392832,0.0,0.004932707,0.0,-0.1953,1.1435527,0.00071727746,0.39161646,0.0,0.00581839,0.0,-0.0,-0.08577404,-0.018769,0.066385955,3.5247874,0.0,5.4799995,0.049689192,2.7182817,2.7182817,3.1151817,2.7182817,2.7370508,6.2552814,3.0282817,0.0016772614,0.0049344907,0.0,0.0053242776,0.0,-0.010995574,-0.0023911009,-0.30505863,-0.137,-3.537,-7.8495216,-0.0,-0.005235602,-0.0,1
4,0.13459031,0.30505863,0.135,1.0,0.8737158,1.0,0.135,0.26959032,40.996548,0.013843314,0.0,0.30505863,7.73493,0.0,0.005235602,0.005235602,1.5683376,0.135,0.0961,0.0,0.0,0.0155,3.537,7.2258797,0.0,2292.1414,0.328225,0.0961,0.13459031,36488.734,0.445,0.31,40.135,0.86805224,0.0,3.6888795,0.2982255,0.30505863,0.28272548,0.31,0.0,0.31,-0.63,36481.996,-0.63,0.0,0.31,0.0,0.0,-0.3060953,-0.135,-39.986156,0.0961,0.0,-0.2139,0.0,0.0,0.0,0.0,-0.027274517,-0.0,0.0,-0.005235602,0.13459031,0.0,0.0,0.16115224,-0.63,7.42493,0.0,3.18,2291.8313,-4.1979303,0.31,-0.26888216,2.8700001,0.018225,-3.6733794,0.9965472,0.005235602,-0.63,0.0,-0.135,0.5398272,0.0,0.004932707,0.0,-0.1953,1.1435527,0.0007068063,0.39161646,0.0,0.0056497497,0.0,-0.0,-0.08453706,-0.018225001,0.06446182,3.5247874,0.0,5.4,0.0489638,2.7182817,2.7182817,3.1151817,2.7182817,2.7365067,6.2552814,3.0282817,0.0016772614,0.0049344907,0.0,0.0053242776,0.0,-0.010995574,-0.0023561947,-0.30505863,-0.135,-3.537,-7.73493,-0.0,-0.005235602,-0.0,1
5,0.0,0.0,0.0,1.0,1.0,1.0,0.223,0.44415635,15.0,0.022867104,0.0,0.0,0.0,0.0,0.018518519,0.018518519,1.0986123,0.0,0.0,0.0,0.0,0.0,3.0,5.7080503,0.0,859.4367,0.0,0.0,0.22115633,2916.0,0.223,0.0,15.0,0.951746,0.0,2.7080503,0.33333334,0.0,0.33333334,0.0,0.0,0.0,-1.85,2916.0,-1.85,0.0,0.0,0.0,0.0,0.001401682,-0.0,-14.977133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,-0.0,0.0,-0.018518519,0.22115633,0.0,0.0,-2.470754,-1.85,0.0,0.0,0.0,859.4367,3.0,0.0,-0.31046623,0.0,0.0,-2.7080503,0.0,0.018518519,0.0,0.0,-0.0,0.951746,0.0,0.0015399051,0.0,-0.0,0.0,0.0041296296,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.345,0.06860131,2.7182817,2.7182817,6.1407814,2.7182817,2.7182817,5.7182817,2.7182817,0.0,0.0058177644,0.0,0.0,0.0,-0.032288592,-0.0,-0.0,-0.0,-3.0,-0.0,-0.0,-0.018518519,-0.0,1
6,0.16326582,0.59719545,0.164,0.9474321,0.848742,1.0,0.054,0.10797376,4.999095,0.0055373255,0.0,0.59719545,9.396508,0.0,0.008928572,0.008928572,1.1106176,0.11,0.9216,0.0,0.054,0.048,1.991,3.0572944,0.32,229.18312,0.026896,0.9216,0.05397376,12553.396,1.014,0.64,4.164,1.9179174,0.0,1.3862944,0.646444,0.59719545,0.91844404,1.28,-0.054,1.28,-1.92,12544.999,-1.92,0.0,0.64,0.0,0.0,0.00030036044,-0.164,-3.9944627,0.9216,0.0,0.9216,0.0,0.0,0.0,0.0,0.59844404,-0.054,0.0,-0.008928572,0.05397376,0.0,0.0,-2.7284827,-1.92,8.1165085,0.0,3.85,229.18312,-7.725508,0.64,-0.5929067,3.85,0.026896,-1.3382944,0.9990948,0.008928572,-0.64,0.32,-0.164,0.93102133,0.0,0.00015421172,0.0,-2.4575999,1.7744567,0.0004821429,0.49288535,0.0,0.02582016,0.0,-0.5074115,-0.31208703,-0.008856,0.044943217,1.6694874,0.0,0.216,0.009252871,2.6642818,2.7182817,6.4046817,2.7182817,2.7451777,4.3892817,3.9982817,0.016084954,0.010444819,0.0,0.010423027,0.0,-0.03351032,-0.00286234,-0.59719545,-0.164,-1.671,-9.396508,-0.0,-0.008928572,-0.0,1
7,0.0,0.0,0.0,1.0,1.0,1.0,0.206,0.41054612,11.0,0.021123871,0.0,0.0,0.0,0.0,0.020408163,0.020408163,0.896088,0.0,0.0,0.0,0.0,0.0,2.45,4.847895,0.0,630.2536,0.0,0.0,0.20454612,2401.0,0.206,0.0,11.0,0.9544921,0.0,2.3978953,0.40816328,0.0,0.40816328,0.0,0.0,0.0,-1.88,2401.0,-1.88,0.0,0.0,0.0,0.0,0.0010012015,-0.0,-10.978876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40816328,-0.0,0.0,-0.020408163,0.20454612,0.0,0.0,-2.579908,-1.88,0.0,0.0,0.0,630.2536,2.45,0.0,-0.38703942,0.0,0.0,-2.3978953,0.0,0.020408163,0.0,0.0,-0.0,0.9544921,0.0,0.00089716463,0.0,-0.0,0.0,0.0042040814,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.266,0.051753484,2.7182817,2.7182817,6.2526817,2.7182817,2.7182817,5.1682816,2.7182817,0.0,0.007123793,0.0,0.0,0.0,-0.03281219,-0.0,-0.0,-0.0,-2.45,-0.0,-0.0,-0.020408163,-0.0,1
8,0.18001333,0.9092974,0.181,0.8162782,0.8344354,1.1611816,0.271,0.5386951,445.8426,0.027789172,-0.46,0.9092974,10.370536,0.0,0.00079554494,0.00079554494,3.185949,-0.022,0.0,0.0,0.203,0.0,9.894,15.842074,0.15,25497.541,0.332761,0.0,-0.19230494,1580059.4,1.031,1.54,445.181,1.3041271,0.0,6.0980744,0.102627255,0.9092974,0.25262725,1.38,-0.203,1.0694381,-0.17991582,1580049.9,-0.61,0.14943813,1.7,0.14943813,0.4300842,0.044453345,-0.181,-444.9722,-0.15,0.0,-0.3,0.14943813,-0.022,0.0,0.0,-0.19737275,-0.203,0.0,0.42928866,0.26769507,-0.15,-0.022,0.17202711,-0.61,9.450536,0.0,1.23,25496.621,-0.6265354,2.0,-0.07483809,1.23,0.032761,-6.0980744,0.8425793,0.00079554494,-0.3299158,0.15,-0.331,0.5113661,0.0,0.10120478,0.0,-0.5612,5.6102285,0.00021559268,0.0,1.4561251,0.0,0.02241572,-2.1052186,-0.10921989,-0.049050998,0.3192232,8.2100935,0.0,120.595,0.2707777,2.5152817,2.7182817,3.0903816,3.148366,2.7510428,12.462282,3.6382818,0.0,0.0017911835,0.0075063854,0.015870234,0.0,-0.010646509,-0.0031590457,-0.9092974,-0.181,-9.744,-10.370536,-0.0,-0.00079554494,-0.0,1
9,0.24158606,0.6518338,0.244,0.9221937,0.7834876,1.0617982,0.15,0.059995502,43.931553,0.003076292,-0.77,0.6518338,13.98017,0.0,0.0013351135,0.0013351135,1.1993771,0.163,0.0,0.0,0.081,0.0,1.849,5.4902,0.12,2463.7786,0.439536,0.0,-0.7400045,561015.0,0.03,-0.05999998,43.244,0.18774621,0.0,3.7612002,0.578369,0.6518338,0.698369,1.41,-0.081,0.699964,0.45692945,561001.94,-0.19,0.059964005,0.71,0.059964005,0.64692944,-0.24579495,-0.244,-42.996925,0.0,0.0,-0.38,0.059964005,0.0,0.0,0.0,0.19836903,-0.081,0.0,0.64559436,0.029995501,0.0,0.0,0.15164621,-0.19,13.34017,0.0,1.67,2463.7185,-12.25117,0.71,-0.5752927,1.42,0.059536,-3.7612002,0.9315517,0.0013351135,0.64692944,-2.6822091e-09,-0.244,0.12821022,0.0,0.0023024445,0.0,-0.1216,2.4071681,4.0053405e-05,0.0,0.103677765,0.0,0.0035978402,-1.1323938,-0.045461364,-0.00732,0.10293774,1.6106528,0.0,1.29,0.005318909,2.6372817,2.7182817,2.7543817,3.3652112,2.7778177,4.447282,3.3582816,0.0,0.010094443,0.0112910485,0.011376645,0.0,-0.0033161256,-0.0042586033,-0.6518338,-0.244,-1.729,-13.98017,-0.0,-0.0013351135,-0.0,1
