,((F7S+F10S)_square*((F17R*F20S)/(F7S+F10S))),((F3S*F16S)_square*(F12S*F20S))
0,540020.0,109439660000.0
1,629114.0,190008800000.0
2,458700.0,48959650000.0
3,606484.0,123840545000.0
4,582400.0,80311870000.0
5,635481.0,163936620000.0
6,604044.0,126043490000.0
7,437030.0,76220350000.0
8,639900.0,147406620000.0
9,466320.03,75727750000.0
10,621224.0,87480860000.0
11,626775.0,129369000000.0
12,500499.97,124738085000.0
13,605948.0,85025900000.0
14,518134.0,102944720000.0
15,421080.0,46903583000.0
16,297352.0,26792165000.0
17,679849.0,103836140000.0
18,541561.0,109788210000.0
19,585466.0,172887870000.0
20,538200.0,89060120000.0
21,673920.0,114050400000.0
22,525280.0,73285630000.0
23,139080.0,88694920000.0
24,291276.0,26647920000.0
25,579215.0,95651960000.0
26,530334.0,111545030000.0
27,577138.0,122067170000.0
28,537372.0,141446770000.0
29,380016.0,75689620000.0
30,436020.0,72749490000.0
31,364425.0,45994760000.0
32,551152.0,74768690000.0
33,445788.0,69373450000.0
34,595725.0,132492255000.0
35,475800.0,112363200000.0
36,625936.0,135001130000.0
37,377496.0,38734676000.0
38,561600.0,161112130000.0
39,570304.0,103692485000.0
40,589016.0,100708100000.0
41,749133.0,174249970000.0
42,592950.0,103970240000.0
43,620865.0,161280360000.0
44,718200.0,170377560000.0
45,565810.0,131497550000.0
46,659192.0,127157854000.0
47,599027.0,110760920000.0
48,689850.0,169361280000.0
49,687420.0,176620100000.0
50,683019.94,156515930000.0
51,672750.0,172678530000.0
52,678546.0,108912530000.0
53,673400.0,147350910000.0
54,603216.0,142239090000.0
55,607316.0,189572240000.0
56,572180.0,137238160000.0
57,632346.0,116758890000.0
58,616308.0,146451630000.0
59,697320.0,144224400000.0
60,716100.0,140494440000.0
61,615846.0,136585710000.0
62,622224.0,109732995000.0
63,616280.0,151162320000.0
64,623152.0,148383170000.0
65,641592.0,187393590000.0
66,619972.0,126693286000.0
67,659880.0,155161970000.0
68,625968.0,146517520000.0
69,632940.06,153395090000.0
70,549120.06,94420160000.0
71,715715.0,184568890000.0
72,696320.0,139383650000.0
73,613440.0,128808665000.0
74,722357.94,169840130000.0
75,658880.0,144953950000.0
76,476000.0,107784770000.0
77,609600.0,164380340000.0
78,666225.0,153790730000.0
79,618930.0,134894000000.0
80,708246.0,135806770000.0
81,604032.0,78330070000.0
82,514188.0,111729980000.0
83,553392.0,90275630000.0
84,532170.0,80858350000.0
85,590436.0,117407630000.0
86,431145.0,69229460000.0
87,419432.0,46758290000.0
88,107616.0,30883064000.0
89,621595.0,137565900000.0
90,418900.0,59899064000.0
91,320264.0,39200735000.0
92,590940.0,116657880000.0
93,144088.0,7947943000.0
