,employment_kterm_ln,personal_status_kterm_ln,credit_history_kterm_ln,residence_since_ln,property_magnitude_car_tanh,checking_status_'no checking'_tanh,credit_history_'critical/other existing credit'_tanh,foreign_worker_yes_tanh,checking_status_'<0'_tanh,installment_commitment_sigmoid,foreign_worker_yes_sigmoid,checking_status_'no checking'_sigmoid,duration_sigmoid,(foreign_worker_kterm-housing_own),(foreign_worker_yes-purpose),(purpose_kterm-other_payment_plans_kterm),(savings_status_kterm-foreign_worker_yes),(checking_status_kterm-property_magnitude_car),(employment_'>=7'-other_payment_plans_none),(duration-savings_status_kterm),(credit_history_kterm-personal_status_'male single'),(credit_history_'existing paid'-employment_'>=7'),(savings_status_kterm-personal_status_'male single'),(other_payment_plans_none-housing_own),(purpose_kterm-housing_own),(checking_status_'<0'-job_skilled),property_magnitude_kterm_radian,checking_status_'no checking'_radian,checking_status_kterm_radian,credit_history_'critical/other existing credit'_radian,other_parties_none_radian,foreign_worker_yes_radian,job_skilled_degree,installment_commitment_degree,checking_status_kterm_degree,property_magnitude_'real estate'_degree,credit_history_'critical/other existing credit'_degree,checking_status_'<0'_degree,(other_payment_plans_kterm+checking_status_'<0'),(duration+credit_history_'critical/other existing credit'),(checking_status_'no checking'+credit_history_'existing paid'),(housing_kterm+credit_history_'existing paid'),(savings_status_'<100'+housing_own),(checking_status_'<0'+property_magnitude_car),(foreign_worker_yes+purpose),(residence_since+credit_history_'existing paid'),(credit_amount+job_skilled),(purpose_kterm+property_magnitude_'real estate'),(job_skilled+own_telephone_yes),(credit_amount+num_dependents),(checking_status_kterm*other_parties_kterm),(checking_status_kterm*property_magnitude_car),(other_parties_kterm*property_magnitude_car),(own_telephone_kterm*other_payment_plans_none),(existing_credits*foreign_worker_kterm),(housing_kterm*property_magnitude_car),(duration*residence_since),(credit_amount*property_magnitude_car),(existing_credits*purpose),(other_payment_plans_kterm*checking_status_'no checking'),(other_parties_none*housing_own),(property_magnitude_kterm*other_parties_none),(existing_credits*own_telephone_kterm),(age/purpose_kterm),(other_parties_kterm/own_telephone_kterm),(num_dependents/checking_status_kterm),(duration/savings_status_kterm),(duration/foreign_worker_kterm),(existing_credits/num_dependents),(residence_since/foreign_worker_kterm),(residence_since/checking_status_kterm),(credit_amount/other_payment_plans_kterm),class
0,5.5333896,6.3062754,5.6801724,1.3862944,0.0,0.0,0.7615942,0.7615942,0.7615942,0.98201376,0.7310586,0.5,0.9975274,962.0,-6.0,-534.0,182.0,274.0,0.0,-177.0,292.0,-1.0,182.0,0.0,279.0,0.0,4.9218283,0.0,4.7822022,0.017453292,0.017453292,0.017453292,57.295776,229.1831,15699.043,57.295776,57.295776,57.295776,815.0,7.0,0.0,713.0,1.0,1.0,8.0,4.0,1170.0,281.0,2.0,1170.0,248518.0,0.0,0.0,404.0,1926.0,0.0,24.0,0.0,14.0,0.0,1.0,282.0,808.0,0.23928571,2.2450495,0.003649635,0.032786883,0.0062305294,2.0,0.0041536866,0.01459854,1.4361179,1.0
1,5.826,5.7365723,6.272877,0.6931472,0.0,0.0,0.0,0.7615942,0.0,0.880797,0.7310586,0.5,1.0,962.0,-6.0,-534.0,602.0,269.0,-1.0,-555.0,530.0,1.0,603.0,0.0,279.0,-1.0,4.9218283,0.0,4.694936,0.0,0.017453292,0.017453292,57.295776,114.59155,15412.563,57.295776,0.0,0.0,814.0,48.0,1.0,714.0,2.0,0.0,8.0,3.0,5952.0,281.0,1.0,5952.0,243983.0,0.0,0.0,596.0,963.0,0.0,96.0,0.0,7.0,0.0,1.0,282.0,596.0,0.07857143,1.5218121,0.003717472,0.07960199,0.049844235,1.0,0.0020768433,0.007434944,7.310811,0.0
2,5.159055,6.3062754,5.6801724,1.0986123,0.0,0.7615942,0.7615942,0.7615942,0.0,0.880797,0.7310586,0.7310586,0.9999938,962.0,-3.0,-764.0,602.0,394.0,-1.0,-591.0,292.0,0.0,602.0,0.0,49.0,0.0,4.9218283,0.017453292,6.8765974,0.017453292,0.017453292,0.017453292,0.0,114.59155,22574.535,57.295776,57.295776,0.0,814.0,13.0,1.0,713.0,2.0,0.0,5.0,3.0,2096.0,51.0,0.0,2098.0,357358.0,0.0,0.0,596.0,963.0,0.0,36.0,0.0,4.0,814.0,1.0,282.0,596.0,0.98,1.5218121,0.005076142,0.019900497,0.012461059,0.5,0.0031152647,0.007614213,2.5749385,1.0
3,5.159055,6.3062754,6.272877,1.3862944,0.0,0.0,0.0,0.7615942,0.7615942,0.880797,0.7310586,0.5,1.0,963.0,-4.0,-633.0,602.0,274.0,-1.0,-561.0,529.0,1.0,602.0,1.0,181.0,0.0,4.049164,0.0,4.7822022,0.0,0.0,0.017453292,57.295776,114.59155,15699.043,0.0,0.0,57.295776,815.0,42.0,1.0,109.0,1.0,1.0,6.0,5.0,7883.0,181.0,1.0,7884.0,14248.0,0.0,0.0,596.0,963.0,0.0,168.0,0.0,5.0,0.0,0.0,0.0,596.0,0.24861878,0.087248325,0.00729927,0.06965174,0.043613706,0.5,0.0041536866,0.01459854,9.683046,1.0
4,5.826,6.3062754,4.477337,1.3862944,0.0,0.0,0.0,0.7615942,0.7615942,0.95257413,0.7310586,0.5,1.0,963.0,0.0,-580.0,602.0,274.0,-1.0,-579.0,87.0,0.0,602.0,1.0,234.0,0.0,2.687807,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,171.88733,15699.043,0.0,0.0,57.295776,815.0,24.0,0.0,108.0,1.0,1.0,2.0,4.0,4871.0,234.0,1.0,4872.0,248518.0,0.0,0.0,596.0,1926.0,0.0,96.0,0.0,2.0,0.0,0.0,154.0,1192.0,0.22649573,1.5218121,0.00729927,0.039800994,0.024922118,1.0,0.0041536866,0.01459854,5.982801,0.0
5,5.826,6.3062754,6.272877,1.3862944,0.0,0.7615942,0.0,0.7615942,0.0,0.880797,0.7310586,0.7310586,1.0,963.0,-3.0,-764.0,182.0,394.0,-1.0,-147.0,529.0,1.0,182.0,1.0,50.0,0.0,2.687807,0.017453292,6.8765974,0.0,0.017453292,0.017453292,0.0,114.59155,22574.535,0.0,0.0,0.0,814.0,36.0,2.0,109.0,0.0,0.0,5.0,5.0,9055.0,50.0,1.0,9057.0,357358.0,0.0,0.0,404.0,963.0,0.0,144.0,0.0,4.0,814.0,0.0,154.0,404.0,0.7,2.2450495,0.005076142,0.19672132,0.037383176,0.5,0.0041536866,0.010152284,11.124079,1.0
6,5.5333896,6.3062754,6.272877,1.3862944,0.0,0.7615942,0.0,0.7615942,0.0,0.95257413,0.7310586,0.7310586,1.0,962.0,-4.0,-633.0,62.0,394.0,0.0,-39.0,529.0,0.0,62.0,0.0,180.0,-1.0,4.049164,0.017453292,6.8765974,0.0,0.017453292,0.017453292,57.295776,171.88733,22574.535,0.0,0.0,0.0,814.0,24.0,2.0,714.0,1.0,0.0,6.0,5.0,2836.0,181.0,1.0,2836.0,357358.0,0.0,0.0,596.0,963.0,0.0,96.0,0.0,5.0,814.0,1.0,232.0,596.0,0.29281768,1.5218121,0.002538071,0.3809524,0.024922118,1.0,0.0041536866,0.010152284,3.482801,1.0
7,5.826,6.3062754,6.272877,0.6931472,0.7615942,0.0,0.0,0.7615942,0.0,0.880797,0.7310586,0.5,1.0,963.0,-1.0,-711.0,602.0,268.0,-1.0,-567.0,529.0,1.0,602.0,1.0,103.0,0.0,5.794493,0.0,4.694936,0.0,0.017453292,0.017453292,0.0,114.59155,15412.563,0.0,0.0,0.0,814.0,36.0,1.0,180.0,1.0,1.0,3.0,3.0,6948.0,103.0,1.0,6949.0,243983.0,269.0,907.0,404.0,963.0,179.0,72.0,6948.0,2.0,0.0,0.0,332.0,404.0,0.3398058,2.2450495,0.003717472,0.05970149,0.037383176,1.0,0.0020768433,0.007434944,8.535626,1.0
8,5.159055,3.912023,6.272877,1.3862944,0.0,0.7615942,0.0,0.7615942,0.0,0.880797,0.7310586,0.7310586,0.9999938,962.0,-6.0,-534.0,47.0,394.0,-1.0,-36.0,530.0,1.0,48.0,0.0,279.0,0.0,4.9218283,0.017453292,6.8765974,0.0,0.017453292,0.017453292,0.0,114.59155,22574.535,57.295776,0.0,0.0,814.0,12.0,2.0,714.0,1.0,0.0,8.0,5.0,3059.0,281.0,0.0,3060.0,357358.0,0.0,0.0,596.0,963.0,0.0,48.0,0.0,7.0,814.0,1.0,282.0,596.0,0.21785714,1.5218121,0.002538071,0.25,0.012461059,1.0,0.0041536866,0.010152284,3.7579854,1.0
9,4.1271343,4.5217886,5.6801724,0.6931472,0.7615942,0.0,0.7615942,0.7615942,0.0,0.98201376,0.7310586,0.5,1.0,962.0,0.0,-580.0,602.0,268.0,-1.0,-573.0,293.0,0.0,603.0,0.0,233.0,0.0,5.794493,0.0,4.694936,0.017453292,0.017453292,0.017453292,0.0,229.1831,15412.563,0.0,57.295776,0.0,814.0,31.0,0.0,713.0,2.0,1.0,2.0,2.0,5234.0,234.0,0.0,5235.0,243983.0,269.0,907.0,596.0,1926.0,713.0,60.0,5234.0,2.0,0.0,1.0,332.0,1192.0,0.11965812,1.5218121,0.003717472,0.049751244,0.031152649,2.0,0.0020768433,0.007434944,6.4299755,0.0
