,16_sin,id_sin,14_sin,15_sin,6_rbfFeature,5_rbfFeature,13_rbfFeature,14_rbfFeature,16_exp,17_square,7_square,3_square,4_square,11_square,16_degree,8_degree,17_degree,2_degree,4_relu,10_relu,2_relu,3_relu,6_tanh,10_tanh,14_tanh,2_tanh,9_recip,14_recip,4_recip,8_recip,8_zscore,6_zscore,2_zscore,9_zscore,Class
0,0.46789107,0.841471,0.0039229896,0.0039229896,-0.27561027,-0.27722362,-0.2970954,0.22487351,1.6272687,0.010005,196.0,484.0,484.0,0.595615,27.897486,2858.8162,5.73101,1260.5071,22.0,5.27092,22.0,22.0,1.0,0.9999472,0.00392298,1.0,17.775993,0.003923,0.045454547,0.020041784,-0.24291734,-0.55111605,-0.6414863,-0.24600302,0.0
1,0.4976679,0.9092974,0.00390299,0.00390299,0.3136376,0.16173033,-0.1470489,0.31152034,1.6835555,0.0208554,169.0,576.0,484.0,0.054842614,29.845829,3306.5354,8.274312,1375.0986,22.0,3.325423,24.0,24.0,1.0,0.9974175,0.0039029801,1.0,23.799994,0.003903,0.045454547,0.017328039,-0.10924998,-0.6536762,-0.5633911,0.0329723,0.0
2,0.5063131,0.14112,0.041804813,0.0077439225,-0.11690449,-0.18627177,-0.16334246,0.3143082,1.7004688,0.016524587,1089.0,3600.0,3481.0,23.544641,30.418556,3198.9058,7.3652573,3552.3381,59.0,12.687485,62.0,60.0,1.0,1.0,0.04179264,1.0,27.993933,0.041817,0.016949153,0.017911056,-0.14138302,0.9360062,0.92041695,0.2271963,1.0
3,0.46468958,-0.7568025,0.0076529253,0.0015309994,-0.2754977,0.309315,-0.31307915,-0.20777795,1.6213902,0.013176744,961.0,2809.0,2809.0,9.482877,27.690132,2318.6013,6.576982,3151.2676,53.0,9.118901,55.0,53.0,1.0,1.0,0.0076528504,1.0,18.445953,0.007653,0.018867925,0.024711354,-0.4041994,0.7308859,0.6470839,-0.21497674,0.0
4,0.45816976,-0.9589243,0.0,0.0,0.24314314,-0.23276797,-0.20982032,-0.24407883,1.6095184,0.015270039,729.0,1936.0,1936.0,0.0,27.269066,1032.8282,7.0801535,2521.0142,44.0,0.410381,44.0,44.0,1.0,0.38879612,0.0,1.0,8.570709,0.0,0.022727273,0.05547464,-0.78806907,0.5257656,0.2175605,-0.67230564,1.0
5,0.48190802,-0.2794155,0.0,0.0,-0.28532895,-0.052284602,0.14339764,-0.20211622,1.6533953,0.016063282,841.0,1849.0,1681.0,0.10479723,28.810091,1624.7019,7.2617245,2521.0142,41.0,2.305771,44.0,43.0,1.0,0.98032254,0.0,1.0,6.935636,0.0,0.024390243,0.03526541,-0.6113642,0.42320547,0.2175605,-0.7480269,1.0
6,0.5156302,0.6569866,0.0,0.0,0.31106463,0.21338215,-0.10455532,-0.31554836,1.7190003,0.019481182,256.0,841.0,841.0,0.0,31.039585,885.1279,7.9970584,1661.5775,29.0,1.633493,29.0,29.0,1.0,0.9265574,0.0,1.0,9.113819,0.0,0.03448276,0.064731635,-0.83216524,-0.1921555,-0.3681532,-0.64715385,1.0
7,0.5449404,0.98935825,0.0,0.0,0.24097413,-0.25850043,-0.14982659,-0.011354816,1.7794743,0.0050510867,1.0,36.0,36.0,0.022614745,33.020588,1184.8566,4.072068,343.77466,6.0,1.22366,6.0,6.0,0.9640276,0.8407305,0.0,0.9999877,9.497786,0.0,0.16666667,0.04835672,-0.7426808,-1.3715973,-1.2662475,-0.6293721,0.0
8,0.47948962,0.41211846,0.0,0.0,0.30236587,-0.012387535,0.1770777,0.27545166,1.6488416,0.013640605,100.0,441.0,324.0,0.24638517,28.652071,3821.166,6.6917458,1260.5071,18.0,6.151117,22.0,21.0,1.0,0.99999094,0.0,1.0,23.545544,0.0,0.055555556,0.014994318,0.044393837,-0.8075164,-0.6414863,0.021188563,1.0
9,0.53199846,-0.54402107,0.0,0.0,0.3002793,0.055960402,0.0044316505,0.18099536,1.7523521,0.011910231,2209.0,5625.0,5329.0,0.009956049,32.14058,1268.6307,6.2529173,4526.366,73.0,0.874633,79.0,75.0,1.0,0.7037204,0.0,1.0,10.054384,0.0,0.01369863,0.04516348,-0.71766984,1.8077675,1.5842259,-0.6035957,1.0
