,14_tanh_exp,6_rbfFeature_exp,id_sin_exp,6_tanh_sigmoid,2_tanh_sigmoid,5_rbfFeature_sigmoid,4_recip_sigmoid,14_tanh_sigmoid,17_square_sigmoid,(11_square/3_relu),(5_rbfFeature/3),(id_sin/16_degree),(15_sin/17_degree),(7_square/2_tanh),(9_zscore/3),(4_recip/3),(15_sin/16),(4_square/7),(16_sin/16_exp),(9_recip/16),(2_relu/8_recip),(10_tanh/4),(16_exp/8_recip),(2_tanh/4),(13_rbfFeature/2),(14_sin/3_relu),(5_rbfFeature/3_square),(9_recip/6),(8_zscore/6),(2_degree/4),(2_tanh/2_zscore),(14_rbfFeature/4_square),(8_degree/17),(2_degree/7),(10_relu/2),(5_rbfFeature/2_tanh),(14_tanh/3),(5_rbfFeature*16_degree),(4_relu*6_zscore),(17_degree*3),(17_square*2_tanh),(11_square*2_degree),(5_rbfFeature*5),(5_rbfFeature*2_degree),(8_recip*10),(2_zscore*9),(14_sin*2),(16_sin*4_relu),(17_square*id),(3_relu*2),(16_degree*2_tanh),(2_relu*10_tanh),(17_degree*2_tanh),(6_rbfFeature*10_relu),(3_relu*14),(14_tanh*id),(13_rbfFeature*9_recip),(14_sin*4_square),(14_sin*8_degree),(3_relu*12),(16_sin*8_zscore),(9_zscore*16),(14_rbfFeature*10_relu),(16_exp*2_zscore),(11_square*3),(13_rbfFeature*16_exp),(2_degree*4_recip),(14_sin*11),(id_sin*11_square),(6_tanh*6),(3_relu*9),(14_sin*8_recip),(6_tanh-11),(14_sin-9),(4_relu-2_relu),(id_sin-16_exp),(2_tanh-6),(4_square-3),(7_square-8),(3_relu-13),(16_exp-14),(6_rbfFeature-17_degree),(7_square-6_zscore),(5_rbfFeature-14),(14_sin-7),(10_tanh-10),(7_square-5),(14_tanh-6),(16_exp-18),(17_square-4_recip),(9_recip-8),(17_square-6),(17_square-4_relu),(3_square-5),(2_degree-15),(7_square-12),(5_rbfFeature-11),(14_sin-16),(2_tanh-7),(9_zscore-13),(4_relu-8_recip),(15_sin-11_square),(id_sin-10_relu),(9_zscore-1),(14_tanh-7),(2_degree-7),(5_rbfFeature-13),(16_sin+2),(17_square+8_recip),(3_relu+10),(5_rbfFeature+14_tanh),(2_zscore+7),(7_square+2_relu),(4_square+12),(17_square+17),(16_sin+4_relu),(8_recip+18),(6_tanh+14_recip),(8_degree+9),(6_tanh+9_recip),(14_recip+13),(2_degree+0),(10_relu+0),(14_recip+17),id_sin_zscore,3_square_zscore,10_relu_zscore,7_square_zscore,2_zscore_zscore,4_square_zscore,8_recip_radian,2_degree_radian,3_square_radian,4_square_radian,11_square_radian,6_rbfFeature_radian,Class
0,1.0039307,0.7591087,2.319777,0.7310586,0.7310586,0.43113458,0.5113617,0.50098073,0.50250125,0.027073411,-0.012601074,0.03016297,0.00068451976,196.0,-0.011181955,0.0020661158,0.008057024,34.57143,0.28753155,36.508286,1097.7067,0.045452144,81.1938,0.045454547,-0.013504336,0.00017831771,-0.0005727761,0.9875552,-0.013495408,57.295776,-1.5588797,0.00046461468,28581.018,90.03622,0.23958726,-0.27722362,0.00017831726,-7.733842,-12.124553,126.08222,0.010005,750.777,-5.2672486,-349.44232,0.10563864,-11.403056,0.08630577,10.293604,0.010005,484.0,27.897486,21.998838,5.73101,-1.4527196,0.086306,0.00392298,-5.2811656,1.8987269,11.215106,0.409904,-0.11365885,-0.11977961,1.1852902,-1.0438706,13.103531,-0.48345402,57.295776,0.0030276105,0.5011928,18.0,391.07184,7.8623714e-05,0.228239,-17.77207,0.0,-0.78579766,-17.0,462.0,146.10425,21.993135,1.6233456,-6.0066204,196.55112,-0.28114662,-13.996077,-4.2709727,177.0,-17.996077,0.6272687,-0.035449546,-32.119762,-17.989994,-21.989994,465.0,1260.5032,195.98137,-1.0489846,-0.48298,-13.0,-0.252867,21.979958,-0.59169203,-4.4294486,-1.246003,-13.996077,1246.5071,-0.28408763,22.467892,0.030046783,27.27092,-0.27330065,13.358514,218.0,484.01865,0.110029995,22.467892,1.0200418,1.003923,2876.592,18.775993,0.010787,1261.5071,6.27092,0.103948,1.1884373,-0.6465153,-0.2969662,-0.56636685,-0.6414863,-0.6462322,0.00034979513,21.999998,8.447393,8.447393,0.010395443,-0.0048103067,0.0
1,1.0039107,1.3683938,2.4825778,0.7310586,0.7310586,0.54034466,0.5113617,0.5009757,0.5052137,0.002285109,0.006738764,0.030466482,0.00047169963,169.0,0.0013738457,0.0018939395,0.0074926666,37.23077,0.2956053,45.689438,1385.0385,0.04533716,97.157875,0.045454547,-0.0061270376,0.00016262458,0.00028078182,1.4874996,-0.0068281237,62.504482,-1.774966,0.0006436371,22896.227,105.77682,0.1385593,0.16173033,0.00016262417,4.826976,-14.380877,198.5835,0.0208554,75.414,2.911146,222.39516,0.05762306,-13.408704,0.093671754,10.948694,0.0417108,576.0,29.845829,23.93802,8.274312,1.0429777,0.093672,0.0078059603,-3.499763,1.8890471,12.905375,0.093672,-0.05437021,0.017175535,1.035937,-0.94850016,1.3162227,-0.24756499,62.504486,0.0009140217,0.049868245,16.0,571.1998,6.763116e-05,0.765815,-23.796091,-2.0,-0.7742581,-15.0,460.0,111.29007,23.996098,1.6796525,-7.9606743,169.65367,0.15782733,-12.996097,-2.3280056,151.0,-15.996097,1.6835555,-0.024599146,-33.909943,-15.979145,-21.979145,558.0,1375.0947,168.9961,-0.07245466,-0.517005,-12.0,0.029069299,21.982672,-0.050939623,-2.4161255,-0.9670277,-12.996097,1362.0986,0.15782733,24.497667,0.03818344,27.325422,0.16563332,12.436609,193.0,484.0039,0.16526939,22.497667,0.017328039,1.003903,3330.3354,24.799994,0.007806,1376.0986,4.3254232,0.148317,1.2843324,-0.6057452,-0.46522444,-0.59827614,-0.5633911,-0.6462322,0.00030243132,23.999998,10.053097,8.447393,0.0009571842,0.005474009,0.0
2,1.0426782,0.8896702,1.1515628,0.7310586,0.7310586,0.45356625,0.5042372,0.51044667,0.504131,0.3924107,-0.0031045296,0.0046392735,0.0010514123,1089.0,0.003786605,0.00028248588,0.014586295,105.48485,0.29774913,52.728806,3461.549,0.016949153,94.93961,0.016949153,-0.0026345558,0.00069674687,-5.1742158e-05,0.59561557,-0.0030081493,60.20912,1.0864642,9.02925e-05,24884.914,107.64661,0.20463686,-0.18627177,0.00069654395,-5.666118,55.224365,441.91544,0.016524587,83638.53,-10.058676,-661.7003,0.22724625,25.76609,2.5918984,29.872473,0.04957376,3720.0,30.418556,62.0,7.3652573,-1.4832239,2.5090199,0.12537792,-4.572598,145.52255,133.72966,83.63334,-0.071584076,0.12061942,3.9877803,1.5651402,1412.6785,-0.27775875,60.20912,0.20284875,3.32262,47.0,1679.636,0.00074876833,-3.852282,-27.952127,-3.0,-1.5593488,-46.0,3421.0,1033.1686,59.626747,1.6586518,-7.4821615,1088.064,-0.22808877,-32.958195,-11.687485,1035.0,-46.958206,1.7004688,-0.00042456575,-27.837507,-46.983475,-58.983475,3546.0,3552.3303,1087.6061,-5.0385537,-0.48909917,-32.0,-0.1460557,58.98209,-23.536898,-12.546365,-0.77280366,-32.958206,3519.3381,-0.55952376,62.506313,0.034435645,72.687485,-0.14447913,33.920418,1151.0,3482.3938,0.14507258,59.506313,0.017911056,1.041817,3226.8997,28.993933,0.415069,3553.3381,13.687485,0.17036499,0.19825964,0.73435056,0.34446293,0.48900205,0.92041695,0.87816614,0.0003126069,61.999996,62.831852,60.75491,0.4109315,-0.0020403683,1.0
3,1.0076823,0.75919414,0.4691642,0.7310586,0.7310586,0.5767181,0.5047169,0.5019132,0.50329417,0.1789222,0.005836132,-0.027331127,0.00023278146,961.0,-0.004056165,0.00035599858,0.0031679084,90.6129,0.2865995,38.16794,2225.6975,0.018867925,65.61317,0.018867925,-0.0056923483,0.00014439481,0.000110115696,0.42897567,-0.009399986,59.45788,1.5453947,-7.396865e-05,20198.635,101.65379,0.1657982,0.309315,0.0001443934,8.564973,38.736954,348.58005,0.013176744,29883.082,15.46575,974.7343,0.2253404,11.936079,0.4209109,24.628548,0.052706975,2915.0,27.690132,55.0,6.576982,-2.5122364,0.40560898,0.030611401,-5.7750435,21.497066,17.744083,44.533833,-0.18782724,-0.10389482,-1.8947066,1.0491755,502.59247,-0.5076235,59.45788,0.023566632,-7.176665,43.0,977.6355,0.00018911414,-2.079428,-18.438301,-2.0,-2.3781927,-42.0,2756.0,920.5328,52.727566,1.6137372,-6.85248,960.2691,0.301662,-30.992348,-8.118901,911.0,-42.992348,1.6213902,-0.005691181,-22.021275,-42.986824,-52.986824,2759.0,3151.266,960.1597,-2.770113,-0.47563106,-30.0,-0.48741072,52.97529,-9.481346,-9.875704,-1.2149768,-30.992348,3120.2676,0.036881,55.46469,0.0378881,62.1189,0.31696784,31.647083,1016.0,2809.8403,0.12796675,53.46469,0.024711354,1.007653,2337.0474,19.445953,0.280087,3152.2676,10.118901,0.122443,-1.0712508,0.38381624,0.035830375,0.33772856,0.6470839,0.5363591,0.0004312945,54.999996,49.0263,49.0263,0.16550742,-0.004808342,0.0
4,1.0,1.2752512,0.38330498,0.7310586,0.7310586,0.4420693,0.5056816,0.5,0.50381744,0.0,-0.005290181,-0.03516528,0.0,729.0,-0.015279674,0.00051652896,0.0,71.703705,0.28466263,18.00815,793.1552,0.008836276,29.01359,0.022727273,-0.0047686435,0.0,-0.00012023139,0.21976177,-0.020206898,57.295776,4.5964227,-0.00012607378,8358.109,93.370895,0.009326841,-0.23276797,0.0,-6.347365,23.133686,311.52676,0.015270039,0.0,-9.543487,-586.81134,0.022765737,1.8646477,0.0,20.15947,0.0763502,1936.0,27.269066,17.107029,7.0801535,0.09978132,0.0,0.0,-1.798309,0.0,0.0,0.0,-0.3610694,-0.3199738,-0.100165315,0.35016763,0.0,-0.33770967,57.295776,0.0,-0.0,39.0,377.1112,0.0,1.0,-8.570709,0.0,-2.5684428,-38.0,1892.0,710.97375,44.0,1.6095184,-6.8370104,728.47424,-0.23276797,-27.0,-0.021584868,688.0,-39.0,1.6095184,-0.007457234,-9.455545,-38.98473,-43.98473,1895.0,2521.0142,729.0,-0.23276797,-0.475935,-26.0,-0.67230564,43.944527,0.0,-1.3693053,-1.6723056,-27.0,2494.0142,-0.23276797,44.458168,0.07074468,44.41038,-0.23276797,27.21756,773.0,1936.0,0.13884205,44.458168,0.05547464,1.0,1041.3989,9.570709,0.0,2522.0142,1.410381,0.123572,-1.3570168,-0.0030566417,-0.71733487,0.063545376,0.2175605,0.0923151,0.0009682151,43.999996,33.789574,33.789574,0.0,0.004243648,1.0
5,1.0,0.75176686,0.75622565,0.7310586,0.7310586,0.4869318,0.50609726,0.5,0.50401574,0.0024371448,-0.001215921,-0.009698529,0.0,841.0,-0.017395975,0.000567215,0.0,57.96552,0.2914657,13.793176,1247.6815,0.023910306,46.88434,0.024390243,0.0032590374,0.0,-2.8277233e-05,0.18744962,-0.016523356,61.48815,4.5964227,-0.00012023571,12819.07,86.931526,0.05240389,-0.052284602,0.0,-1.5063242,17.351423,312.25415,0.016063282,264.1953,-2.1436687,-131.81023,0.08131396,1.5089204,0.0,19.758228,0.0963797,1892.0,28.810091,43.134193,7.2617245,-0.65790325,0.0,0.0,0.99455386,0.0,0.0,0.0,-0.29462132,-0.37613112,-0.46603376,0.3597135,4.506281,0.23709299,61.488148,0.0,-0.029281968,37.0,298.23236,0.0,0.67627597,-6.935636,-3.0,-1.9328108,-36.0,1638.0,812.6436,43.0,1.6533953,-7.5470533,840.5768,-0.052284602,-29.0,-1.3254485,800.0,-37.0,1.6533953,-0.008326961,-21.420763,-36.983936,-40.983936,1808.0,2521.0142,841.0,-0.3760086,-0.502831,-28.0,-0.7480269,40.964733,-0.10479723,-2.5851865,-1.7480268,-29.0,2492.0142,-0.052284602,44.481907,0.05132869,45.30577,-0.052284602,29.21756,885.0,1681.0,0.1428043,41.481907,0.03526541,1.0,1631.6376,7.935636,0.0,2522.0142,3.305771,0.126741,-0.39630634,-0.041610986,-0.55341005,0.19590966,0.2175605,-0.03738846,0.00061549747,43.999996,32.271137,29.338985,0.0018290567,-0.00497993,1.0
6,1.0,1.3648775,1.9289708,0.7310586,0.7310586,0.5531441,0.50861984,0.5,0.5048701,0.0,0.0073580053,0.021166088,0.0,256.0,-0.02231565,0.0011890606,0.0,52.5625,0.29995933,16.823143,448.0035,0.031950258,26.5558,0.03448276,-0.003605356,0.0,0.0002537243,0.36455277,-0.03328661,57.295776,-2.7162604,-0.00037520615,6341.5933,103.848595,0.056327343,0.21338215,0.0,6.6232934,-5.5725093,231.91469,0.019481182,0.0,5.761318,354.551,0.10573867,-3.3552818,0.0,14.953276,0.13636827,841.0,31.039585,26.870165,7.9970584,0.5081219,0.0,0.0,-0.9528983,0.0,0.0,0.0,-0.42908952,-0.35059106,-0.515446,-0.6328555,0.0,-0.17973064,57.295776,0.0,0.0,25.0,264.30075,0.0,1.0,-9.113819,0.0,-1.0620137,-24.0,812.0,240.5516,29.0,1.7190003,-7.6859937,256.19217,0.21338215,-16.0,-0.7069355,229.0,-25.0,1.7190003,-0.015001576,-6.3345785,-24.980518,-28.980518,814.0,1661.5775,256.0,0.21338215,-0.541743,-15.0,-0.64715385,28.935268,0.0,-0.97650635,-0.64715385,-16.0,1645.5775,0.21338215,29.51563,0.08421282,30.633493,0.21338215,15.631846,285.0,841.0,0.15905619,29.51563,0.064731635,1.0,894.24176,10.113819,0.0,1662.5775,2.633493,0.139575,0.9276076,-0.48830956,-0.6115528,-0.4954574,-0.3681532,-0.46464726,0.0011297802,28.999998,14.678219,14.678219,0.0,0.005429102,1.0
7,1.0,1.2724881,2.6895077,0.7239275,0.7310562,0.43573236,0.5415705,0.5,0.5012627,0.0037691242,-0.043083403,0.02996186,0.0,1.0000123,-0.10489535,0.027777778,0.0,36.0,0.30623674,16.480112,124.077896,0.14012174,36.798904,0.16666462,-0.024971098,0.0,-0.0071805674,4.748893,-0.3713404,57.295776,-0.7897253,-0.00031541157,16671.45,343.77466,0.20394333,-0.25850362,0.0,-8.535836,-8.229584,24.43241,0.0050510247,7.7743764,-1.5510025,-88.8659,0.059172183,-12.026547,0.0,3.2696424,0.040408693,36.0,33.020184,5.044383,4.072018,0.2948704,0.0,0.0,-1.4230208,0.0,0.0,0.0,-0.40471676,-0.3627185,-0.013894434,-2.253255,0.13568847,-0.26661256,57.295776,0.0,0.022374084,1.9280552,56.986713,0.0,0.8136456,-9.497786,0.0,-0.790116,-1.0000123,30.0,-19.67965,6.0,1.7794743,-3.831094,2.3715973,-0.25850043,-1.0,-0.3829295,-5.0,-2.0,0.77947426,-0.16161558,-11.181864,-1.9949489,-5.994949,30.0,343.77466,1.0,-0.40888244,-0.576318,-1.2278557e-05,-0.6293721,5.9516435,-0.022614745,-0.23430175,-1.6293721,-1.0,342.77466,-0.25850043,6.5449405,0.053407807,7.22366,-0.25850043,-0.2662475,7.0,36.0,0.07612208,6.5449405,1.0483568,0.9640276,1194.3544,10.461813,0.0,344.77466,2.22366,0.071071,1.3975248,-0.845048,-0.6469976,-0.79682255,-1.2662475,-0.87410355,0.00084398396,5.9999995,0.62831855,0.62831855,0.00039470175,0.0042057917,0.0
8,1.0,1.3530562,1.5100132,0.7310586,0.7310586,0.49690318,0.5138853,0.5,0.5034101,0.011732628,-0.0005898826,0.014383549,0.0,100.0,0.0010089792,0.0026455026,0.0,32.4,0.29080394,47.084213,1467.2225,0.055555053,109.96443,0.055555556,0.008048986,0.0,-2.8089647e-05,1.8111956,0.0034149105,70.02817,-1.5588797,0.00085015944,32717.424,126.050705,0.2795962,-0.012387535,0.0,-0.35492852,-14.5352955,140.52666,0.013640605,310.57025,-0.18581302,-15.614575,0.0922318,-15.104143,0.0,8.630814,0.122765444,462.0,28.652071,21.999802,6.6917458,1.8598878,0.0,0.0,4.1693907,0.0,0.0,0.0,0.021286385,0.010595828,1.6943353,-1.0577093,5.1740885,0.29197308,70.028175,0.0,0.10153988,13.0,494.45642,0.0,0.503628,-23.545544,-4.0,-1.2367232,-12.0,303.0,33.308067,21.0,1.6488416,-6.38938,100.80752,-0.012387535,-10.0,-5.151126,85.0,-13.0,1.6488416,-0.04191495,-43.14639,-12.98636,-17.986359,426.0,1260.5071,100.0,-0.50875956,-0.500073,-9.0,0.021188563,17.985006,-0.24638517,-5.7389984,-0.97881144,-10.0,1250.5071,-0.012387535,22.47949,0.028634923,27.151117,-0.012387535,9.358514,122.0,324.0,0.1304336,18.47949,0.014994318,1.0,3844.7117,24.545544,0.0,1261.5071,7.151117,0.116793,0.5814056,-0.6655709,-0.22084147,-0.67982197,-0.6414863,-0.7276148,0.00026170022,21.999998,7.696902,5.6548667,0.0043002325,0.0052772798,1.0
9,1.0,1.3502358,0.5804097,0.7310586,0.7310586,0.51398647,0.50342464,0.5,0.50297755,0.00013274731,0.0007461387,-0.0169263,0.0,2209.0,-0.008047942,0.00018264841,0.0,113.38298,0.30359107,17.923565,1749.2009,0.009640005,38.8002,0.01369863,5.609684e-05,0.0,9.948516e-06,0.15709975,-0.011213591,62.005016,0.63122314,3.3964225e-05,11624.523,96.305664,0.011071304,0.055960402,0.0,1.7985997,131.96703,468.9688,0.011910231,45.064724,3.9731886,253.29727,0.03950147,15.928416,0.0,38.835888,0.11910231,5925.0,32.14058,55.59391,6.2529173,0.2626342,0.0,0.0,0.044557516,0.0,0.0,1.75395,-0.38179925,-0.3385924,0.15830451,2.7761216,0.7467037,0.0077658123,62.005016,0.0,-0.0054163,64.0,754.0788,0.0,0.90022,-10.054384,-6.0,-2.2963731,-63.0,5254.0,2186.8582,75.0,1.7523521,-5.952638,2207.1921,0.055960402,-47.0,-0.17091262,2138.0,-64.0,1.7523521,-0.0017883992,-12.0874,-63.98809,-72.98809,5554.0,4526.366,2208.9766,-0.0438196,-0.560959,-46.0,-0.6035957,72.954834,-0.009956049,-1.4186541,-1.6035957,-47.0,4479.366,0.055960402,79.532,0.05707371,75.87463,0.055960402,48.584225,2288.0,5329.0234,0.12104423,73.532,0.04516348,1.0,1278.6852,11.054384,0.0,4527.366,1.8746331,0.109134,-0.7704139,1.6317362,-0.67718357,1.8126451,1.5842259,1.8181354,0.0007882514,78.99999,98.17477,93.0086,0.00017376583,0.0052408623,1.0
