,(volatile acidity_sin-alcohol_cos),((volatile acidity_sin-alcohol_cos)/density),((volatile acidity_radian-total sulfur dioxide)/free sulfur dioxide),(total sulfur dioxide_radian_relu+(chlorides_ln*citric acid_cos)),((alcohol_recip*sulphates_recip)+(chlorides_tanh*volatile acidity_radian)),(volatile acidity_ln_abs+alcohol),((residual sugar_rbfFeature-chlorides_exp)*(volatile acidity_sin-density)),((pH_recip*total sulfur dioxide_radian)*(sulphates_recip-density))
0,1.6439105999999999,1.6475351999999999,-3.0897982,-1.9836102,0.19089635,9.756675,0.43545696,0.13320734
1,1.7011651,1.7066263,-2.6793857000000005,-1.1534171999999998,0.15156038,9.927833999999999,0.15294811,0.17313562
2,1.6193476,1.6242203000000002,-3.5991157999999994,-1.4415805,0.15820277,10.074437,0.44315879999999996,0.1565385
3,1.2067819,1.2092003,-3.5291242999999994,-1.1474195,0.17629828,11.072966000000001,0.92971134,0.24063605
4,1.6439105999999999,1.6475351999999999,-3.0897982,-1.9836102,0.19089635,9.756675,0.43545696,0.13320734
5,1.6128098999999998,1.6163659,-3.076037,-1.8921355,0.19083193,9.8155155,0.39585423,0.1567145
6,1.5643356000000002,1.5699875,-3.9326352999999994,-1.6390935000000002,0.23198877,9.910825,0.6083849,0.36743554
7,1.444258,1.4520993,-1.3992437,-2.366849,0.21350233,10.430783,0.38413858,0.12250383
8,1.545196,1.5501566,-1.9988753000000001,-2.3026133,0.18540987,10.044727,0.31369427,0.070834115
9,0.9549625,0.957068,-5.9994864,-0.69528174,0.119666174,11.193147999999999,0.70183295,0.13402253
10,1.5228674,1.5291369,-4.3326583,-1.1911185,0.20226711,9.744727000000001,0.5846779999999999,0.2960508
11,0.9549625,0.957068,-5.9994864,-0.69528174,0.119666174,11.193147999999999,0.70183295,0.13402253
12,1.4661498,1.4745548000000002,-3.686829,-1.3893746,0.195203,10.386132,0.53134656,0.26715162
13,1.5205891000000002,1.524553,-3.2210392999999997,-1.5747356000000001,0.07165085,9.594296,0.4352617999999999,-0.055330448
14,1.5558788000000001,1.55806,-2.7882535,0.821524,0.12540287,9.678036,0.63870364,0.1103298
15,1.5558788000000001,1.55806,-2.9017487,0.8430181999999999,0.11869912,9.678036,0.60137814,0.062473923
16,0.75189257,0.7542307,-2.9427173,-0.22383344,0.12743247,11.772965,0.97675484,0.18327351
17,1.5234115,1.5283021,-3.4993892,0.016643822,0.08744812,9.879819,0.56181645,-0.06774122
18,1.4674913,1.4713167,-4.831617,-1.9394159,0.22310562,9.527633,0.66867775,0.15013652
19,1.2894101,1.2934197,-3.2937891,0.038422227,0.10247809,10.339433999999999,0.68344915,-0.022818746
20,1.2179227,1.2218325,-2.068833,-1.2270128999999999,0.20101770000000002,10.914127,1.0288464,0.27492568
21,1.3425534,1.3449743,-3.0866606,-1.1426367,0.1591612,10.641608,0.6764677,0.19019414
22,1.414043,1.4188671,-3.6992497,-1.5492386999999999,0.11646635,10.34397,0.8211814000000001,0.020840107
23,1.4703188999999999,1.475039,-7.4434943,-1.2925977,0.2014393,10.11335,0.43108228,0.32830632
24,1.3517833000000001,1.3561229,-1.9044293999999997,-1.7428540000000001,0.16423133,10.61629,0.8791196,0.12018888400000001
25,1.3724138000000001,1.3786174999999998,-2.0902903000000004,-2.0920424,0.19255567,10.241609,0.8210177,0.09497375
26,1.3957815,1.4011056,-2.7482111000000002,-2.26135,0.17898339,10.391598,0.87661904,0.04089747
27,1.414043,1.4188671,-3.6992497,-1.5492386999999999,0.11646635,10.34397,0.8211814000000001,0.020840107
28,1.6515268,1.656164,-2.499115,-1.9148634999999998,0.19441284,9.74249,0.22896865,0.14452715
29,1.5316246,1.5371583999999998,-1.9985929,-2.2217832000000004,0.17387158,10.238505,0.5892093,0.057710726
30,1.4054652,1.4113930000000001,-4.8228364,-0.98202443,0.1843974,10.493043,0.44452906,0.36571813
31,1.0180109,1.0214839,-1.6812748,-1.6080232,0.16675882,10.978336,0.54814106,0.14143261
32,1.5395854,1.5448378,-7.532571300000001,-0.49879384,0.15555397,10.223121,0.39046642,0.3226179
33,1.5684551000000002,1.5695537,-2.074736,-1.1498504999999999,0.20535211,9.902527000000001,0.30103362,0.38788545
34,1.2894101,1.2949785,-3.8457242999999997,-1.3296986000000002,0.19820169,10.339433999999999,0.55775625,0.21235228
35,1.5858862,1.5881096000000001,-3.5977485000000002,-2.1392488,0.19035968,10.038506,0.55486155,0.07572918
36,0.7589722,0.7608744000000001,-4.996509,-2.1676043999999997,0.15521936,11.310825,0.36380208,0.051224392
37,1.3332853,1.3375655,-2.307182,-2.0886464,0.1416601,10.667583,0.42553320000000006,0.060475342
38,1.8348383999999998,1.8459139,-2.7114682,-1.4215239,0.2159442,9.922217,0.14144334,0.10321049
39,0.91050243,0.91251,-7.249346000000001,-0.9183488000000001,0.11532484,11.298508,0.8351742,0.09439810000000001
40,0.91050243,0.91251,-7.249346000000001,-0.9183488000000001,0.11532484,11.298508,0.8351742,0.09439810000000001
41,1.5650928,1.568858,-2.7052560000000003,-1.519016,0.21177149,9.794296000000001,0.61397946,0.23720673
42,0.9461628000000001,0.9492003000000001,-1.7489308999999997,-0.8362953000000002,0.1085595,11.21335,0.9490253000000001,0.008701397
43,1.2539432,1.2579687,-2.5542757999999997,-2.2077812999999997,0.08169971,10.715515,0.35828245,-0.019884769
44,1.6181581,1.6243305000000001,-2.1976612,-2.8031467999999995,0.20301336,9.900477,0.45812115,0.05113437
45,-0.36408633,-0.36650527,-8.123864999999999,-1.7515326,0.13680367,13.753927,0.63182205,0.23047487
46,1.7794427,1.7847971000000002,-5.1810765,0.01580441,0.15075049,9.267208,0.26773345,0.22826968
47,1.2831244,1.2871145,-3.0829115000000002,-1.246393,0.18205774,10.737874,1.0892285,0.14450148
48,1.3642618999999998,1.3700159,-2.398604,-2.4370835,0.19455948,10.11629,0.52719396,0.04953271
49,1.2799022,1.2858169,-7.9995494,-0.7519753,0.18780597,10.371182000000001,0.45196602,0.36777478
50,1.5879604999999999,1.5925790000000002,-5.747120400000001,-2.1147542,0.14773689,9.615515,0.2895877,0.045144635999999995
51,1.4965732,1.5031873,-1.8738655,-2.409711,0.16948712,10.053925999999999,0.3760202,0.04556092
52,1.4791186,1.4858046999999999,-2.3318790000000003,-2.441751,0.1668159,10.093147,0.7517307,0.040868502
