,alcohol_rbfFeature,residual sugar_rbfFeature,sulphates_rbfFeature,pH_rbfFeature,alcohol_sin,total sulfur dioxide_sin,volatile acidity_sin,chlorides_exp,volatile acidity_ln,alcohol_ln,chlorides_ln,chlorides_tanh,sulphates_tanh,total sulfur dioxide_tanh,residual sugar_tanh,citric acid_square,alcohol_square,free sulfur dioxide_square,alcohol_recip,sulphates_recip,fixed acidity_recip,pH_recip,total sulfur dioxide_radian,volatile acidity_radian,citric acid_radian,sulphates_radian,fixed acidity_cos,chlorides_cos,alcohol_cos,citric acid_cos,quality
0,-0.40696716,-0.15259497,-0.1043208,-0.28396928,0.024775807,0.5290827,0.64421767,1.0789626,-0.35667494,2.2407095,-2.577022,0.07585401,0.5079775,1.0,0.95623744,0.0,88.35999,121.0,0.10638298,1.7857143,0.13513513,0.28490028,0.5934119,0.012217305,0.0,0.009773844,0.43854725,0.9971134,-0.99969304,1.0,2.0
1,0.2806021,0.42638406,-0.10543542,0.4152256,-0.3664793,-0.85552,0.7707389,1.1029627,-0.12783337,2.2823825,-2.3227878,0.09768747,0.5915195,1.0,0.9890274,0.0,96.04,625.0,0.10204081,1.4705882,0.12820512,0.3125,1.1693705,0.015358897,0.0,0.011868239,0.05395523,0.9952018,-0.9304262,1.0,2.0
2,0.40198243,-0.3420958,-0.42635027,-0.41991726,-0.3664793,-0.5587891,0.68892145,1.0963649,-0.27443686,2.2823825,-2.3859668,0.091741316,0.57167,1.0,0.9800964,0.0016,96.04,225.0,0.10204081,1.5384616,0.12820512,0.30674848,0.94247776,0.013264502,0.0006981317,0.01134464,0.05395523,0.995771,-0.9304262,0.9992001,2.0
3,-0.2844763,-0.21043923,-0.042780433,0.31079164,-0.3664793,-0.30481064,0.27635565,1.0778842,-1.2729657,2.2823825,-2.5902672,0.07485969,0.5226654,1.0,0.95623744,0.3136,96.04,289.0,0.10204081,1.724138,0.08928572,0.3164557,1.0471976,0.004886922,0.009773844,0.010122909,0.20300467,0.9971888,-0.9304262,0.8472551,3.0
4,-0.40696716,-0.15259497,-0.1043208,-0.28396928,0.024775807,0.5290827,0.64421767,1.0789626,-0.35667494,2.2407095,-2.577022,0.07585401,0.5079775,1.0,0.95623744,0.0,88.35999,121.0,0.10638298,1.7857143,0.13513513,0.28490028,0.5934119,0.012217305,0.0,0.009773844,0.43854725,0.9971134,-0.99969304,1.0,2.0
5,-0.12850727,0.04884444,0.39587352,0.27801555,0.024775807,0.7451132,0.61311686,1.0778842,-0.41551542,2.2407095,-2.5902672,0.07485969,0.5079775,1.0,0.946806,0.0,88.35999,169.0,0.10638298,1.7857143,0.13513513,0.28490028,0.6981317,0.011519173,0.0,0.009773844,0.43854725,0.9971888,-0.99969304,1.0,2.0
6,0.12751086,-0.3376532,0.064593464,0.3603141,0.024775807,0.636738,0.5646425,1.0714362,-0.5108256,2.2407095,-2.6736488,0.0688907,0.4300842,1.0,0.9216685,0.0036,88.35999,225.0,0.10638298,2.173913,0.12658228,0.3030303,1.0297443,0.010471975,0.0010471975,0.008028515,-0.04600222,0.99762046,-0.99969304,0.99820054,2.0
7,0.16703652,0.08070511,-0.09807705,0.41513848,-0.54402107,0.8366556,0.6051864,1.067159,-0.43078297,2.3025851,-2.7333682,0.064908616,0.43819928,1.0,0.83365464,0.0,100.0,225.0,0.1,2.1276596,0.1369863,0.29498523,0.36651915,0.01134464,0.0,0.008203047,0.52607733,0.99788827,-0.8390715,1.0,4.0
8,-0.42172748,0.37673104,0.38035813,-0.21383719,-0.075151116,-0.75098723,0.54802394,1.0757306,-0.5447272,2.2512918,-2.6172957,0.072870605,0.5153593,1.0,0.9640276,0.0004,90.25,81.0,0.10526316,1.754386,0.12820512,0.29761904,0.31415927,0.010122909,0.00034906584,0.009948377,0.05395523,0.9973367,-0.9971722,0.9998,4.0
9,-0.17664878,-0.28032994,-0.40774417,-0.42568114,-0.8796958,0.9948268,0.47942555,1.0735812,-0.6931472,2.3513753,-2.6450753,0.070880935,0.66403675,1.0,0.9999899,0.1296,110.25,289.0,0.0952381,1.25,0.13333334,0.29850748,1.7802358,0.008726646,0.0062831854,0.013962634,0.3466353,0.9974806,-0.47553694,0.9358968,2.0
