,alcohol_rbfFeature_abs,alcohol_sin_abs,volatile acidity_ln_abs,alcohol_recip_exp,alcohol_cos_exp,sulphates_radian_exp,volatile acidity_sin_exp,volatile acidity_sin_ln,alcohol_square_ln,alcohol_recip_ln,sulphates_recip_ln,sulphates_rbfFeature_relu,total sulfur dioxide_radian_relu,chlorides_exp_relu,sulphates_recip_relu,alcohol_ln_relu,free sulfur dioxide_square_tanh,total sulfur dioxide_sin_tanh,volatile acidity_radian_tanh,fixed acidity_recip_tanh,alcohol_ln_tanh,sulphates_recip_tanh,pH_rbfFeature_square,volatile acidity_ln_square,residual sugar_tanh_square,alcohol_square_square,sulphates_radian_square,alcohol_recip_square,(citric acid_cos*total sulfur dioxide),(citric acid_radian*alcohol),(alcohol_cos*residual sugar),(pH_rbfFeature*chlorides_cos),(sulphates_rbfFeature*citric acid_square),(pH_recip*total sulfur dioxide_radian),(citric acid_radian*chlorides_cos),(fixed acidity_recip*alcohol),(citric acid_cos*volatile acidity),(pH_recip*chlorides_cos),(total sulfur dioxide_sin*volatile acidity),(chlorides_ln*sulphates),(total sulfur dioxide_radian*alcohol),(alcohol_rbfFeature*sulphates_tanh),(sulphates_recip*volatile acidity_radian),(alcohol_recip*sulphates_recip),(alcohol_recip*alcohol_cos),(sulphates_radian*citric acid),(chlorides_tanh*volatile acidity_radian),(chlorides_ln*citric acid_cos),(fixed acidity_recip*total sulfur dioxide),(volatile acidity_ln*total sulfur dioxide),(alcohol_sin*chlorides),(pH_rbfFeature*citric acid_cos),(sulphates_tanh*residual sugar_tanh),(volatile acidity_ln*alcohol_ln),(chlorides_cos*alcohol_cos),(volatile acidity_radian-alcohol),(volatile acidity_sin-alcohol_cos),(alcohol_sin-volatile acidity_radian),(total sulfur dioxide_sin-sulphates_radian),(fixed acidity_recip-sulphates),(total sulfur dioxide_tanh-fixed acidity_recip),(fixed acidity_cos-citric acid),(pH_recip-density),(alcohol_sin-total sulfur dioxide),(residual sugar_rbfFeature-chlorides_exp),(pH_rbfFeature-total sulfur dioxide),(total sulfur dioxide_tanh-pH),(sulphates_recip-density),(total sulfur dioxide_tanh-volatile acidity),(sulphates_rbfFeature-sulphates_recip),(chlorides_ln-alcohol_recip),(volatile acidity_ln-citric acid_radian),(citric acid_cos-alcohol),(volatile acidity_sin-density),(pH_rbfFeature-fixed acidity_recip),(volatile acidity_radian-total sulfur dioxide),(alcohol_sin-residual sugar),(pH_rbfFeature-residual sugar),(citric acid_square-alcohol_square),(alcohol_recip-free sulfur dioxide),(alcohol_square-pH),(alcohol_rbfFeature-sulphates_rbfFeature),quality
0,0.40696716,0.024775807,0.35667494,1.1122478,0.36799237,1.0098218,1.9044964,-0.43971863,4.4814196,-2.2407098,0.5798185,-0.0,0.5934119,1.0789626,1.7857143,2.2407095,1.0,0.48467964,0.0122166965,0.1343185,0.97761863,0.9453064,0.08063855,0.12721701,0.91439,7807.4883,9.552803e-05,0.011317339,34.0,0.0,-1.8994168,-0.28314957,-0.0,0.16906323,0.0,1.2702701,0.7,0.28407788,0.3703579,-1.4431324,5.578072,-0.20673016,0.021816615,0.18996961,-0.106350325,0.0,0.00092673156,-2.577022,4.5945945,-12.126948,0.0018829613,-0.28396928,0.4857471,-0.79920495,-0.99680734,-9.387782,1.6439106,0.012558502,0.51930887,-0.4248649,0.8648649,0.43854725,-0.7128997,-33.975224,-1.2315575,-34.28397,-2.51,0.7879143,0.3,-1.890035,-2.6834052,-0.35667494,-8.4,-0.35358232,-0.4191044,-33.98778,-1.8752241,-2.1839693,-88.35999,-10.893617,84.84999,-0.30264637,2.0
1,0.2806021,0.3664793,0.12783337,1.1074288,0.39438558,1.0119389,2.161363,-0.26040563,4.564765,-2.2823825,0.38566244,-0.0,1.1693705,1.1029627,1.4705882,2.2823825,1.0,-0.6939423,0.01535769,0.12750728,0.97938997,0.8996896,0.17241229,0.01634137,0.97817516,9223.682,0.0001408551,0.010412327,67.0,0.0,-2.419108,0.41323328,-0.0,0.3654283,0.0,1.2564102,0.88,0.3110006,-0.7528576,-1.5794957,11.459831,0.1659816,0.022586612,0.15006001,-0.094941445,0.0,0.0015003717,-2.3227878,8.589743,-8.564836,-0.035914972,0.4152256,0.58502895,-0.29176465,-0.92596185,-9.784641,1.7011651,-0.3818382,-0.86738825,-0.5517949,0.8717949,0.05395523,-0.6843,-67.36648,-0.67657864,-66.58478,-2.2,0.4737882,0.120000005,-1.5760236,-2.4248285,-0.12783337,-8.8,-0.2260611,0.28702047,-66.98464,-2.9664793,-2.1847744,-96.04,-24.897959,92.840004,0.38603753,2.0
2,0.40198243,0.3664793,0.27443686,1.1074288,0.39438558,1.0114093,1.9915664,-0.37262803,4.564765,-2.2823825,0.4307829,-0.0,0.94247776,1.0963649,1.5384616,2.2823825,1.0,-0.5070784,0.013263724,0.12750728,0.97938997,0.9118615,0.1763305,0.07531559,0.96058893,9223.682,0.00012870085,0.010412327,53.956806,0.0068416907,-2.13998,-0.41814142,-0.00068216043,0.28910363,0.0006951793,1.2564102,0.7593921,0.30545124,-0.4246797,-1.5508784,9.236282,0.2298013,0.020406928,0.15698586,-0.094941445,0.0004537856,0.0012169029,-2.3840582,6.9230766,-14.819591,-0.033716097,-0.41958135,0.5602917,-0.6263699,-0.9264914,-9.786736,1.6193476,-0.3797438,-0.5701337,-0.52179486,0.8717949,0.013955232,-0.69025147,-54.366478,-1.4384606,-54.419918,-2.26,0.5414616,0.24000001,-1.9648118,-2.4880075,-0.27513498,-8.8008,-0.30807853,-0.5481224,-53.986736,-2.6664793,-2.7199173,-96.0384,-14.897959,92.78,0.82833266,2.0
3,0.2844763,0.3664793,1.2729657,1.1074288,0.39438558,1.0101743,1.3183166,-1.2860667,4.564765,-2.2823825,0.5447272,-0.0,1.0471976,1.0778842,1.724138,2.2823825,1.0,-0.2957088,0.004886883,0.08904921,0.97938997,0.9383594,0.09659144,1.6204416,0.91439,9223.682,0.00010247329,0.010412327,50.835308,0.09578367,-1.7678097,0.30991796,-0.013415944,0.33139163,0.009746368,0.87500006,0.23723143,0.31556606,-0.08534698,-1.502355,10.262536,-0.14868592,0.008425728,0.17593244,-0.094941445,0.005668829,0.0003658335,-2.194617,5.357143,-76.37794,-0.02748595,0.26331982,0.49979222,-2.9053946,-0.92781055,-9.795114,1.2067819,-0.37136623,-0.31493354,-0.49071425,0.91071427,-0.35699534,-0.6815443,-60.366478,-1.2883234,-59.68921,-2.16,0.726138,0.72,-1.7669184,-2.692308,-1.2827395,-8.952745,-0.7216444,0.22150593,-59.995113,-2.2664793,-1.5892084,-95.7264,-16.897959,92.88,-0.24169588,3.0
4,0.40696716,0.024775807,0.35667494,1.1122478,0.36799237,1.0098218,1.9044964,-0.43971863,4.4814196,-2.2407098,0.5798185,-0.0,0.5934119,1.0789626,1.7857143,2.2407095,1.0,0.48467964,0.0122166965,0.1343185,0.97761863,0.9453064,0.08063855,0.12721701,0.91439,7807.4883,9.552803e-05,0.011317339,34.0,0.0,-1.8994168,-0.28314957,-0.0,0.16906323,0.0,1.2702701,0.7,0.28407788,0.3703579,-1.4431324,5.578072,-0.20673016,0.021816615,0.18996961,-0.106350325,0.0,0.00092673156,-2.577022,4.5945945,-12.126948,0.0018829613,-0.28396928,0.4857471,-0.79920495,-0.99680734,-9.387782,1.6439106,0.012558502,0.51930887,-0.4248649,0.8648649,0.43854725,-0.7128997,-33.975224,-1.2315575,-34.28397,-2.51,0.7879143,0.3,-1.890035,-2.6834052,-0.35667494,-8.4,-0.35358232,-0.4191044,-33.98778,-1.8752241,-2.1839693,-88.35999,-10.893617,84.84999,-0.30264637,2.0
5,0.12850727,0.024775807,0.41551542,1.1122478,0.36799237,1.0098218,1.8461767,-0.48919973,4.4814196,-2.2407098,0.5798185,0.39587352,0.6981317,1.0778842,1.7857143,2.2407095,1.0,0.6322245,0.011518664,0.1343185,0.97761863,0.9453064,0.07729265,0.17265306,0.89644164,7807.4883,9.552803e-05,0.011317339,40.0,0.0,-1.7994474,0.277234,0.0,0.19889791,0.0,1.2702701,0.66,0.28409937,0.49177474,-1.4505496,6.5624375,-0.0652788,0.020569952,0.18996961,-0.106350325,0.0,0.00086232176,-2.5902672,5.405405,-16.620617,0.0018581856,0.27801555,0.48095614,-0.93104935,-0.9968827,-9.38848,1.6128099,0.013256634,0.73533934,-0.4248649,0.8648649,0.43854725,-0.7128997,-39.975224,-1.0290397,-39.721985,-2.51,0.7879143,0.33999997,-1.3898407,-2.6966503,-0.41551542,-8.4,-0.38468313,0.14288042,-39.98848,-1.7752241,-1.5219843,-88.35999,-12.893617,84.84999,-0.5243808,2.0
6,0.12751086,0.024775807,0.5108256,1.1122478,0.36799237,1.0080608,1.7588187,-0.5715625,4.4814196,-2.2407098,0.7765288,0.064593464,1.0297443,1.0714362,2.173913,2.2407095,1.0,0.5626744,0.010471594,0.1259105,0.97761863,0.97446054,0.12982625,0.26094276,0.8494729,7807.4883,6.445705e-05,0.011317339,58.893833,0.009843656,-1.5995089,0.35945672,0.00023253646,0.31204373,0.0010447056,1.1898733,0.59892035,0.30230924,0.38204283,-1.2298785,9.679596,0.054840405,0.022765163,0.23126735,-0.106350325,0.00048171086,0.0007214217,-2.6688378,7.4683547,-30.138708,0.0017095306,0.35966572,0.39639506,-1.1446117,-0.9973142,-9.389527,1.5643356,0.014303831,0.6287095,-0.3334177,0.87341774,-0.10600222,-0.6933697,-58.975224,-1.4090893,-58.639687,-2.3,1.177513,0.39999998,-2.1093194,-2.780032,-0.51187277,-8.401799,-0.4317575,0.23373182,-58.98953,-1.5752242,-1.2396859,-88.35639,-14.893617,85.05999,0.0629174,2.0
7,0.16703652,0.54402107,0.43078297,1.105171,0.43211156,1.0082368,1.8315936,-0.5022188,4.6051702,-2.3025851,0.7550226,-0.0,0.36651915,1.067159,2.1276596,2.3025851,1.0,0.68403363,0.0113441525,0.13613583,0.980198,0.97201985,0.17233996,0.18557397,0.6949801,10000.0,6.7289984e-05,0.010000001,21.0,0.0,-1.0068859,0.41426182,-0.0,0.10811774,0.0,1.369863,0.65,0.2943623,0.5438261,-1.284683,3.6651917,0.073195286,0.02413753,0.21276596,-0.08390715,0.0,0.00073636486,-2.7333682,2.8767123,-9.046442,-0.03536137,0.41513848,0.36530685,-0.99191445,-0.83729964,-9.988655,1.444258,-0.5553657,0.8284526,-0.3330137,0.8630137,0.52607733,-0.69961476,-21.544022,-0.98645395,-20.584862,-2.39,1.1330595,0.35000002,-2.2257366,-2.833368,-0.43078297,-9.0,-0.3894136,0.27815217,-20.988655,-1.7440212,-0.78486156,-100.0,-14.9,96.61,0.26511356,4.0
8,0.42172748,0.075151116,0.5447272,1.1110029,0.3689212,1.009998,1.7298315,-0.6014363,4.5025835,-2.2512918,0.5621189,0.38035813,0.31415927,1.0757306,1.754386,2.2512918,1.0,-0.6357375,0.010122564,0.12750728,0.9780822,0.94187266,0.045726344,0.29672772,0.9293492,8145.0625,9.8970195e-05,0.011080333,17.9964,0.0033161256,-1.9943444,-0.21326767,0.00015214324,0.09349978,0.00034813618,1.2179487,0.579884,0.2968264,-0.4355726,-1.4918586,2.984513,-0.21734117,0.017759489,0.1846722,-0.10496549,0.00019896752,0.00073766254,-2.6167724,2.307692,-9.80509,-0.0054860315,-0.21379443,0.49682057,-1.2263398,-0.9945164,-9.489877,1.545196,-0.085274026,-0.7609356,-0.44179487,0.8717949,0.03395523,-0.69918096,-18.075151,-0.6989995,-18.213837,-2.36,0.75758594,0.42000002,-1.3740278,-2.722559,-0.54507625,-8.5002,-0.44877607,-0.34204233,-17.989878,-2.0751512,-2.2138371,-90.2496,-8.894737,86.89,-0.80208564,4.0
9,0.17664878,0.8796958,0.6931472,1.0999206,0.6215513,1.0140606,1.6151463,-0.73516667,4.7027507,-2.3513753,0.22314355,-0.0,1.7802358,1.0735812,1.25,2.3513753,1.0,0.75941294,0.0087264255,0.1325488,0.98202246,0.84828365,0.18120444,0.480453,0.99997985,12155.0625,0.00019495515,0.009070295,95.46147,0.065973446,-2.9007752,-0.42460868,-0.052843645,0.5314137,0.0062673553,1.4000001,0.4679484,0.29775542,0.4974134,-2.1160603,18.692476,-0.117301285,0.0109083075,0.11904762,-0.045289233,0.0050265486,0.00061855285,-2.4755175,13.6,-70.70101,-0.062458403,-0.39839363,0.6640301,-1.6298492,-0.47433886,-10.491273,0.9549625,-0.8884224,0.98086417,-0.6666667,0.8666667,-0.013364702,-0.69929254,-102.87969,-1.3539112,-102.42568,-2.35,0.2522,0.5,-1.6577442,-2.7403135,-0.69943035,-9.564103,-0.51837444,-0.5590145,-101.99127,-6.979696,-6.525681,-110.1204,-16.904762,106.9,0.23109539,2.0
