,fixed acidity_square,alcohol_square,volatile acidity_square,chlorides_exp,density_sin,volatile acidity_sin,fixed acidity_sin,density_sigmoid,chlorides_sigmoid,alcohol_sigmoid,alcohol_cos,chlorides_cos,density_cos,free sulfur dioxide_rbfFeature,sulphates_rbfFeature,pH_rbfFeature,residual sugar_tanh,volatile acidity_tanh,free sulfur dioxide_tanh,pH_zscore,alcohol_zscore,residual sugar_zscore,citric acid_zscore,alcohol_degree,residual sugar_degree,citric acid_degree,sulphates_degree,quality
0,49.0,77.44,0.0729,1.0460279,0.84201086,0.26673144,0.6569866,0.7312552,0.5112481,0.99984926,-0.81109303,0.9989877,0.53946054,0.29381225,0.11331293,-0.35516676,1.0,0.26362485,1.0,-1.2469213,-1.3931525,2.8213491,0.2132802,504.20285,1186.0226,20.62648,25.7831,6
1,39.69,90.25,0.09,1.0502204,0.83821404,0.29552022,0.0168139,0.7298773,0.51224756,0.99992514,-0.9971722,0.99879974,0.5453414,-0.42229593,-0.3729533,0.14579746,0.9216685,0.2913126,1.0,0.7400286,-0.8242757,-0.94476527,0.04800112,544.3099,91.67325,19.480564,28.074932,6
2,65.61,102.01,0.0784,1.0512711,0.8388134,0.27635565,0.9698898,0.7300941,0.5124974,0.99995893,-0.7805682,0.99875027,0.544419,-0.22711028,-0.3791965,0.40035367,0.999998,0.27290508,1.0,0.47510198,-0.336667,0.10028219,0.5438384,578.6874,395.34088,22.918312,25.210142,6
3,51.84,98.01,0.0529,1.059715,0.8390855,0.22797753,0.79366785,0.7301926,0.5144959,0.9999498,-0.88919115,0.9983185,0.54399955,-0.2037504,-0.4225342,0.06009562,0.99999994,0.22602835,1.0,0.011480335,-0.49920323,0.4157682,-0.11727796,567.2282,487.01413,18.33465,22.918312,6
4,51.84,98.01,0.0529,1.059715,0.8390855,0.22797753,0.79366785,0.7301926,0.5144959,0.9999498,-0.88919115,0.9983185,0.54399955,-0.2037504,-0.4225342,0.06009562,0.99999994,0.22602835,1.0,0.011480335,-0.49920323,0.4157682,-0.11727796,567.2282,487.01413,18.33465,22.918312,6
5,65.61,102.01,0.0784,1.0512711,0.8388134,0.27635565,0.9698898,0.7300941,0.5124974,0.99995893,-0.7805682,0.99875027,0.544419,-0.22711028,-0.3791965,0.40035367,0.999998,0.27290508,1.0,0.47510198,-0.336667,0.10028219,0.5438384,578.6874,395.34088,22.918312,25.210142,6
6,38.44,92.16,0.1024,1.0460279,0.8387045,0.31456655,-0.083089404,0.7300547,0.5112481,0.9999323,-0.98468786,0.9989877,0.5445868,0.28843606,0.19657291,0.391672,0.99999833,0.30950692,1.0,-0.05475133,-0.74300754,0.120000064,-1.4395106,550.0395,401.07047,9.167325,26.929016,6
7,49.0,77.44,0.0729,1.0460279,0.84201086,0.26673144,0.6569866,0.7312552,0.5112481,0.99984926,-0.81109303,0.9989877,0.53946054,0.29381225,0.11331293,-0.35516676,1.0,0.26362485,1.0,-1.2469213,-1.3931525,2.8213491,0.2132802,504.20285,1186.0226,20.62648,25.7831,6
8,39.69,90.25,0.09,1.0502204,0.83821404,0.29552022,0.0168139,0.7298773,0.51224756,0.99992514,-0.9971722,0.99879974,0.5453414,-0.42229593,-0.3729533,0.14579746,0.9216685,0.2913126,1.0,0.7400286,-0.8242757,-0.94476527,0.04800112,544.3099,91.67325,19.480564,28.074932,6
9,65.61,121.0,0.0484,1.0449823,0.83810496,0.21822962,0.9698898,0.72983783,0.51099825,0.9999833,0.004425698,0.99903214,0.545509,-0.36604127,0.0069553545,0.32960325,0.90514827,0.21651806,1.0,0.21017532,0.394746,-0.96448314,0.791757,630.2536,85.94367,24.637186,25.7831,6
10,65.61,144.0,0.0729,1.0335505,0.83646464,0.26673144,0.9698898,0.7292459,0.5082492,0.99999386,0.84385395,0.9994556,0.54802084,-0.2875191,0.42639965,0.054729246,0.8956929,0.26362485,1.0,-1.3131529,1.2074271,-0.9743421,0.6264779,687.5494,83.07888,23.49127,32.085636,5
11,73.96,94.09,0.0529,1.0356197,0.83859557,0.22797753,0.7343971,0.7300153,0.5087491,0.9999387,-0.96236485,0.99938756,0.5447545,0.040300995,-0.42640096,-0.037436556,0.99955034,0.22602835,1.0,-0.31967798,-0.66173947,-0.43210047,0.5438384,555.76904,240.64227,22.918312,30.366764,5
12,62.41,116.64,0.0324,1.0408108,0.83712167,0.17902957,0.99894136,0.72948277,0.5099987,0.9999796,-0.1943299,0.9992001,0.54701674,-0.15841088,-0.12098282,-0.1304455,0.8336546,0.17808087,1.0,-0.05475133,0.23220977,-1.0236368,0.29591975,618.79443,68.75494,21.199438,36.09634,5
13,43.56,153.76,0.0256,1.0449823,0.8366838,0.15931821,0.31154135,0.7293249,0.51099825,0.9999959,0.9861923,0.99903214,0.5476862,0.10190973,-0.2841151,0.059605017,0.90514827,0.1586485,1.0,2.3295887,1.5324996,-0.96448314,0.5438384,710.46765,85.94367,22.918312,29.793806,7
14,68.89,94.09,0.1764,1.0408108,0.841579,0.40776044,0.90217185,0.7310979,0.5099987,0.9999387,-0.96236485,0.9992001,0.540134,-0.41103712,-0.38100427,-0.3860026,1.0,0.39693043,1.0,-1.3793846,-0.66173947,2.53544,2.3619082,555.76904,1102.9437,35.523384,38.388172,5
15,43.56,129.96,0.0289,1.0325176,0.8367933,0.16918235,0.31154135,0.72936434,0.5079993,0.9999888,0.39349088,0.99948806,0.5475189,0.22527428,-0.26168567,-0.42339072,0.90514827,0.16838105,1.0,0.4088703,0.7198185,-0.96448314,0.3785593,653.1719,85.94367,21.772396,31.512678,7
16,39.69,92.16,0.2304,1.0470744,0.83755904,0.46177918,0.0168139,0.7296406,0.511498,0.9999323,-0.98468786,0.9989422,0.54634684,-0.33089393,-0.3946711,0.19488762,0.800499,0.4462436,1.0,0.34263864,-0.74300754,-1.0433546,-2.431185,550.0395,63.025356,2.2918313,20.62648,6
17,38.44,163.84,0.4356,1.0294245,0.8355868,0.61311686,-0.083089404,0.7289299,0.5072495,0.99999726,0.97283256,0.99957955,0.5493585,0.41802981,-0.2587033,0.36979085,0.8336546,0.5783634,1.0,0.9387236,1.857572,-1.0236368,1.2049547,733.386,68.75494,27.501974,22.345354,8
18,54.76,127.69,0.1156,1.0335505,0.8369575,0.3334871,0.8987081,0.7294236,0.5082492,0.9999876,0.29974535,0.9994556,0.5472678,0.42369074,0.42555264,0.41107723,0.800499,0.3274774,1.0,-0.4521413,0.63855034,-1.0433546,0.7091175,647.4423,63.025356,24.064228,30.366764,6
19,42.25,90.25,0.0961,1.0449823,0.8390311,0.30505863,0.21511999,0.73017293,0.51099825,0.99992514,-0.9971722,0.99903214,0.5440834,0.4111666,0.42638588,0.39251658,0.9999994,0.3004371,1.0,0.21017532,-0.8242757,0.21858945,-1.6047897,544.3099,429.71835,8.021409,28.64789,5
20,38.44,163.84,0.4356,1.0294245,0.8355868,0.61311686,-0.083089404,0.7289299,0.5072495,0.99999726,0.97283256,0.99957955,0.5493585,0.41802981,-0.2587033,0.36979085,0.8336546,0.5783634,1.0,0.9387236,1.857572,-1.0236368,1.2049547,733.386,68.75494,27.501974,22.345354,8
21,40.96,121.0,0.0961,1.0387312,0.8366838,0.30505863,0.1165492,0.7293249,0.50949883,0.9999833,0.004425698,0.99927807,0.5476862,-0.20922883,0.23419872,0.02599239,0.9939632,0.3004371,1.0,-0.12098299,0.394746,-0.6884329,0.3785593,630.2536,166.15776,21.772396,20.053522,7
22,46.24,110.25,0.0676,1.0502204,0.8376683,0.25708055,0.49411336,0.72968006,0.51224756,0.99997246,-0.47553694,0.99879974,0.5461793,-0.1673384,0.17925644,-0.24884598,0.93540907,0.25429553,1.0,1.8659669,-0.01159456,-0.9250474,0.7091175,601.6057,97.402824,24.064228,27.501974,8
23,57.76,86.49,0.4489,1.0768068,0.8380504,0.620986,0.96791965,0.7298181,0.51849157,0.99990857,-0.99222535,0.99726325,0.54559284,0.42333642,0.031118177,0.4223718,0.90514827,0.5849799,1.0,-0.91576296,-0.9868119,-0.96448314,-1.6047897,532.85077,85.94367,8.021409,29.220848,5
24,43.56,100.0,0.0729,1.0533757,0.8388134,0.26673144,0.31154135,0.7300941,0.5129971,0.9999546,-0.8390715,0.9986483,0.544419,-0.1149041,0.42493162,-0.19957793,0.8617232,0.26362485,1.0,1.5348086,-0.41793513,-1.0039189,0.6264779,572.9578,74.48451,23.49127,26.929016,6
25,49.0,108.16,0.0625,1.0470744,0.8390311,0.24740396,0.6569866,0.73017293,0.511498,0.99996954,-0.56098425,0.9989422,0.5440834,-0.40287066,0.4052056,0.09839792,0.99999994,0.24491866,1.0,0.4088703,-0.09286267,0.5143576,-0.11727796,595.8761,515.662,18.33465,28.64789,6
26,47.61,100.0,0.0576,1.0533757,0.8376683,0.23770262,0.5784398,0.72968006,0.5129971,0.9999546,-0.8390715,0.9986483,0.5461793,-0.22906925,0.20505685,0.06623053,0.7615942,0.23549575,1.0,1.7335036,-0.41793513,-1.0630726,0.13064066,572.9578,57.29578,20.053522,25.210142,6
