,sulphates_rbfFeature_exp,volatile acidity_sin_exp,alcohol_sigmoid_exp,volatile acidity_square_sigmoid,chlorides_cos_sigmoid,alcohol_sigmoid_sigmoid,density_sigmoid_sigmoid,chlorides_exp_tanh,density_sigmoid_tanh,alcohol_zscore_tanh,volatile acidity_tanh_tanh,free sulfur dioxide_tanh_rbfFeature,free sulfur dioxide_rbfFeature_rbfFeature,sulphates_rbfFeature_rbfFeature,density_sigmoid_rbfFeature,density_cos_rbfFeature,volatile acidity_sin_ln,sulphates_degree_ln,alcohol_square_ln,chlorides_sigmoid_ln,sulphates_rbfFeature_sin,volatile acidity_sin_sin,density_cos_sin,residual sugar_tanh_sin,chlorides_cos_sin,pH_zscore_zscore,alcohol_square_zscore,chlorides_exp_zscore,volatile acidity_tanh_zscore,free sulfur dioxide_rbfFeature_zscore,chlorides_cos_negative,volatile acidity_tanh_negative,residual sugar_tanh_negative,free sulfur dioxide_rbfFeature_negative,alcohol_cos_negative,chlorides_exp_radian,volatile acidity_sin_radian,volatile acidity_square_radian,pH_zscore_radian,alcohol_degree_radian,citric acid_degree_radian,quality
0,1.1199824,1.3056897,2.7178721,0.51821697,0.7308595,0.7310289,0.67508066,0.7802573,0.6238326,-0.88386256,0.25768283,0.07639965,-0.18054576,-0.012063235,-0.0032465986,0.26102844,-1.3215129,3.2497191,4.3495035,-0.6709003,0.1130706,0.26357988,0.51367325,0.841471,0.8409236,-1.2469213,-1.2987733,-0.044071816,-0.05488436,0.94514644,-0.9989877,-0.26362485,-1.0,-0.29381225,0.81109303,0.01825663,0.0046553416,0.001272345,-0.021762881,8.8,0.35999998,6
1,0.6886974,1.3438252,2.7180784,0.52248484,0.73082256,0.7310438,0.67477834,0.781892,0.6229903,-0.67739034,0.28334248,-0.06368087,-0.12194082,0.014573701,-0.25531018,-0.10752906,-1.219018,3.334877,4.5025835,-0.6689473,-0.36436728,0.29123756,0.51870996,0.79661137,0.84082186,0.7400286,-0.8182592,0.12900901,0.25888658,-1.4233574,-0.99879974,-0.2913126,-0.9216685,0.42229593,0.9971722,0.018329803,0.005157801,0.0015707964,0.012915936,9.499999,0.33999997,6
2,0.6844111,1.3183166,2.7181704,0.51959,0.7308128,0.7310505,0.6748259,0.78230006,0.62312293,-0.3244986,0.26632595,-0.13745552,0.24307716,-0.07526077,0.21988587,-0.24855742,-1.2860667,3.2272463,4.625071,-0.6684596,-0.37017417,0.2728514,0.51792115,0.8414699,0.8407951,0.47510198,-0.37713143,0.17238626,0.0502837,-0.77778745,-0.99875027,-0.27290508,-0.999998,0.22711028,0.7805682,0.01834814,0.004823316,0.0013683381,0.008292094,10.1,0.4,6
3,0.6553839,1.2560571,2.7181456,0.5132219,0.73072785,0.7310487,0.67484754,0.78555477,0.62318313,-0.4614903,0.22225624,-0.10550024,0.2650828,0.16119948,0.10021878,0.09949475,-1.4785082,3.1319363,4.5850697,-0.66456765,-0.4100731,0.22600785,0.5175623,0.84147096,0.8405613,0.011480334,-0.5271749,0.520984,-0.48094586,-0.70052546,-0.9983185,-0.22602835,-0.99999994,0.2037504,0.88919115,0.018495517,0.0039789584,0.0009232792,0.00020036964,9.9,0.32000002,6
4,0.6553839,1.2560571,2.7181456,0.5132219,0.73072785,0.7310487,0.67484754,0.78555477,0.62318313,-0.4614903,0.22225624,-0.10550024,0.2650828,0.16119948,0.10021878,0.09949475,-1.4785082,3.1319363,4.5850697,-0.66456765,-0.4100731,0.22600785,0.5175623,0.84147096,0.8405613,0.011480334,-0.5271749,0.520984,-0.48094586,-0.70052546,-0.9983185,-0.22602835,-0.99999994,0.2037504,0.88919115,0.018495517,0.0039789584,0.0009232792,0.00020036964,9.9,0.32000002,6
5,0.6844111,1.3183166,2.7181704,0.51959,0.7308128,0.7310505,0.6748259,0.78230006,0.62312293,-0.3244986,0.26632595,-0.13745552,0.24307716,-0.07526077,0.21988587,-0.24855742,-1.2860667,3.2272463,4.625071,-0.6684596,-0.37017417,0.2728514,0.51792115,0.8414699,0.8407951,0.47510198,-0.37713143,0.17238626,0.0502837,-0.77778745,-0.99875027,-0.27290508,-0.999998,0.22711028,0.7805682,0.01834814,0.004823316,0.0013683381,0.008292094,10.1,0.4,6
6,1.2172241,1.3696655,2.7180977,0.52557766,0.7308595,0.7310453,0.67481726,0.7802573,0.6230988,-0.6309588,0.29998848,0.27065936,0.01141919,0.020176291,-0.26343927,-0.117992595,-1.1565596,3.2932043,4.523526,-0.6709003,0.1953094,0.3094043,0.5180647,0.84147006,0.8409236,-0.05475133,-0.7466133,-0.044071816,0.46507326,0.9273649,-0.9989877,-0.30950692,-0.99999833,-0.28843606,0.98468786,0.01825663,0.005490222,0.0017872171,-0.000955591,9.6,0.16000001,6
7,1.1199824,1.3056897,2.7178721,0.51821697,0.7308595,0.7310289,0.67508066,0.7802573,0.6238326,-0.88386256,0.25768283,0.07639965,-0.18054576,-0.012063235,-0.0032465986,0.26102844,-1.3215129,3.2497191,4.3495035,-0.6709003,0.1130706,0.26357988,0.51367325,0.841471,0.8409236,-1.2469213,-1.2987733,-0.044071816,-0.05488436,0.94514644,-0.9989877,-0.26362485,-1.0,-0.29381225,0.81109303,0.01825663,0.0046553416,0.001272345,-0.021762881,8.8,0.35999998,6
8,0.6886974,1.3438252,2.7180784,0.52248484,0.73082256,0.7310438,0.67477834,0.781892,0.6229903,-0.67739034,0.28334248,-0.06368087,-0.12194082,0.014573701,-0.25531018,-0.10752906,-1.219018,3.334877,4.5025835,-0.6689473,-0.36436728,0.29123756,0.51870996,0.79661137,0.84082186,0.7400286,-0.8182592,0.12900901,0.25888658,-1.4233574,-0.99879974,-0.2913126,-0.9216685,0.42229593,0.9971722,0.018329803,0.005157801,0.0015707964,0.012915936,9.499999,0.33999997,6
9,1.0069796,1.2438726,2.7182364,0.51209766,0.7308682,0.7310553,0.67476964,0.7798479,0.6229661,0.3754445,0.21319686,-0.18347386,0.14206779,-0.24380597,-0.1869382,-0.2054675,-1.5222075,3.2497191,4.7957907,-0.6713891,0.0069552986,0.21650158,0.51885325,0.7865167,0.8409477,0.21017532,0.33519965,-0.08723745,-0.58872104,-1.237297,-0.99903214,-0.21651806,-0.90514827,0.36604127,-0.004425698,0.018238382,0.0038088255,0.0008447393,0.0036682512,11.0,0.43,6
10,1.5317328,1.3056897,2.7182653,0.51821697,0.73095155,0.7310574,0.67463976,0.7753284,0.6226038,0.835906,0.25768283,0.04299629,0.24637403,0.20850451,0.23455691,-0.19247493,-1.3215129,3.4684086,4.9698133,-0.6767834,0.4135955,0.26357988,0.5209989,0.78064233,0.8411767,-1.3131529,1.1979494,-0.55918527,-0.05488436,-0.9775876,-0.9994556,-0.26362485,-0.8956929,0.2875191,-0.84385395,0.01803886,0.0046553416,0.001272345,-0.02291884,12.0,0.41,5
11,0.6528545,1.2560571,2.7181153,0.5132219,0.73093814,0.73104656,0.6748086,0.77615243,0.62307465,-0.57951987,0.22225624,0.257565,0.017741391,-0.12742117,0.25728655,0.0765348,-1.4785082,3.4133487,4.544252,-0.67580026,-0.4135967,0.22600785,0.51820815,0.84122795,0.8411399,-0.31967798,-0.67421764,-0.47375953,-0.48094586,0.10666639,-0.99938756,-0.22602835,-0.99955034,-0.040300995,0.96236485,0.018074974,0.0039789584,0.0009232792,-0.0055794334,9.7,0.4,5
12,0.88604915,1.1960561,2.7182264,0.50809926,0.7309013,0.7310546,0.67469174,0.778208,0.6227488,0.2281242,0.17622197,-0.20766415,-0.14270629,0.27216333,0.195662,0.1566523,-1.7202044,3.5861914,4.7590923,-0.6733471,-0.1206879,0.17807473,0.5201416,0.7403928,0.8410385,-0.05475133,0.1716523,-0.2594521,-1.0243096,-0.5505665,-0.9992001,-0.17808087,-0.8336546,0.15841088,0.1943299,0.018165575,0.0031246555,0.00056548667,-0.000955591,10.8,0.37,5
13,0.75267994,1.172711,2.7182708,0.50639963,0.7308682,0.73105776,0.6746571,0.7798479,0.6226522,0.91085136,0.15733075,-0.2528589,0.1632259,0.05588028,-0.015205898,0.16275941,-1.8368518,3.3943005,5.0353928,-0.6713891,-0.28030813,0.1586451,0.52071327,0.7865167,0.8409477,2.3295887,1.5640551,-0.08723745,-1.2445265,0.3104352,-0.99903214,-0.1586485,-0.90514827,-0.10190973,-0.9861923,0.018238382,0.0027806272,0.00044680428,0.04065899,12.4,0.4,7
14,0.68317497,1.5034469,2.7181153,0.543986,0.7309013,0.73104656,0.67504615,0.778208,0.62373656,-0.57951987,0.37731946,-0.13265082,0.19912179,-0.12875485,0.2504533,0.02034893,-0.8970754,3.6477494,4.544252,-0.6733471,-0.3718529,0.39655438,0.51425093,0.841471,0.8410385,-1.3793846,-0.67421764,-0.2594521,1.4557983,-1.3861192,-0.9992001,-0.39693043,-1.0,0.41103712,0.96236485,0.018165575,0.007116762,0.0030787608,-0.024074804,9.7,0.62,5
15,0.7697529,1.1843361,2.7182515,0.5072245,0.730958,0.7310564,0.67466575,0.77491605,0.62267625,0.6167968,0.16680758,0.26538372,-0.20532279,0.13633811,-0.086965084,0.27185723,-1.7767782,3.4503899,4.8672266,-0.6772752,-0.2587092,0.16837643,0.52057046,0.7865167,0.8411943,0.4088703,0.67129725,-0.60182923,-1.1342326,0.71845937,-0.99948806,-0.16838105,-0.90514827,-0.22527428,-0.39349088,0.018020831,0.002952789,0.0005044001,0.007136133,11.4,0.38,7
16,0.6739017,1.5868948,2.7180977,0.5573465,0.7308506,0.7310453,0.67472637,0.78066635,0.6228454,-0.6309588,0.4188064,-0.15340205,-0.16532649,-0.022903007,0.24281992,0.08542826,-0.7726685,3.0265758,4.523526,-0.67041165,-0.38450462,0.44554165,0.51956934,0.7177037,0.840899,0.34263864,-0.7466133,-0.0008668171,2.014639,-1.1210483,-0.9989422,-0.4462436,-0.800499,0.33089393,0.98468786,0.018274896,0.008059567,0.0040212385,0.005980172,9.6,0.040000003,6
17,0.77205205,1.8461767,2.7182744,0.60721016,0.7309759,0.73105806,0.6745704,0.7736774,0.62241024,0.952454,0.52147496,-0.25465462,-0.2719595,-0.13157149,-0.15741257,0.020091066,-0.48919973,3.1066184,5.0988903,-0.67875236,-0.25582722,0.5754194,0.5221402,0.7403928,0.84124374,0.9387236,1.9421647,-0.7295199,3.5118837,1.3559918,-0.99957955,-0.5783634,-0.8336546,-0.41802981,-0.97283256,0.017966848,0.010700908,0.0076026544,0.016383817,12.8,0.48,8
18,1.5304359,1.395827,2.7182481,0.52886784,0.73095155,0.7310561,0.6746788,0.7753284,0.6227126,0.5639117,0.3162523,0.25947398,0.26578072,0.267567,0.23966931,-0.15680897,-1.0981511,3.4133487,4.8496056,-0.6767834,0.41282418,0.32733998,0.520356,0.7177037,0.8411767,-0.4521413,0.5861474,-0.55918527,0.6687233,1.3747152,-0.9994556,-0.3274774,-0.800499,-0.42369074,-0.29974535,0.01803886,0.0058204476,0.0020176005,-0.007891354,11.3,0.42000002,6
19,1.5317116,1.3567046,2.7180784,0.52400655,0.7308682,0.7310438,0.67484325,0.7798479,0.6231711,-0.67739034,0.29171255,-0.00401698,0.045874476,0.2411495,0.069318295,0.21495683,-1.1872513,3.35508,4.5025835,-0.6713891,0.41358298,0.3003491,0.5176341,0.84147066,0.8409477,0.21017532,-0.8182592,-0.08723745,0.3622896,1.3332921,-0.99903214,-0.3004371,-0.9999994,-0.4111666,0.9971722,0.018238382,0.0053242776,0.0016772614,0.0036682512,9.499999,0.14,5
20,0.77205205,1.8461767,2.7182744,0.60721016,0.7309759,0.73105806,0.6745704,0.7736774,0.62241024,0.952454,0.52147496,-0.25465462,-0.2719595,-0.13157149,-0.15741257,0.020091066,-0.48919973,3.1066184,5.0988903,-0.67875236,-0.25582722,0.5754194,0.5221402,0.7403928,0.84124374,0.9387236,1.9421647,-0.7295199,3.5118837,1.3559918,-0.99957955,-0.5783634,-0.8336546,-0.41802981,-0.97283256,0.017966848,0.010700908,0.0076026544,0.016383817,12.8,0.48,8
